Naresova výprava bola poslednou významnou expedíciou, ktorú financovala Veľká Británia.	Nares’s mission would be the last major one sponsored by Great Britain.	0.211475
Postavil loď s novým kýlovým dizajnom, ktorá bola v arktických vodách schopná dobre odolávať ľadu.	He built a ship named Fram ("forward”) with a new keel design, capable of holding fast against the ice in Arctic waters.	0.247059
Pomenoval ju Fram ("Vpred"). ~~~ Chcel ju nechať zapadnúť v ľade, odkiaľ by ju tok vody odniesol až k Severnému pólu.	The ship would be allowed to become embedded in ice, and Nansen believed the current would then carry it to the pole.	0
Vyplával v roku 1893 s malou posádkou dvanástich mužov.	He set out in 1893 with a small crew of 12.	3.47647
Spočiatku bolo všetko v poriadku.		-0.3
Loď odolávala ľadu.	At first all went well.	0.266667
Avšak asi po roku plavby si Nansen uvedomil, že jeho plán ho možno predsa len neprivedie k Severnému pólu.	The ship was able to withstand the pressure of the ice in the water.	0.123214
V marci 1895 sa rozhodol, že sa na pól vydá na lyžiach a saniach. ~~~ Spolu s kolegom Hjalmarom Johansenom vytvorili nový rekord.	However, after about a year adrift, the explorer saw that his water route might not take him to the North Pole after all.	-0.0105
Aj napriek krutým podmienkam na Zemi Františka Jozefa sa dostali ďalej ako ich predchodcovia.	Nansen decided to strike for the pole by skis and by sledges in March 1895.	0.208065
Napokon si museli postaviť prístrešok a prezimovať na ostrove, ktorý je dnes známy ako Jacksonov ostrov.	He and teammate Hjalmar Johansen were able to establish a new farthest north record while facing harsh conditions as they moved across Franz Josef Land.	0.346471
Svoj názov dostal na počesť britského polárneho prieskumníka Fredericka Jacksona, ktorý v roku 1896 zachránil Nansena a Johansena a priviedol ich späť do Nórska.	They were forced to build a shelter and overwinter at what is now called Jackson Island, named in honor of British polar explorer Frederick Jackson, the man who found Nansen and Johansen and brought them back to Norway in 1896.	0.312086
Medzitým sa zvyšok posádky lode Fram nechal unášať ľadovými kryhami Arktídy. ~~~ Chceli zistiť, či je Nansenova teória správna.	Meanwhile, still dedicated to testing Nansen’s theory, the Fram and the rest of her crew remained caught in the pack ice that was drifting across the Arctic.	-0.0205224
Otto Sverdrup prevzal velenie a dohliadal na to, aby vedecké pozorovania pokračovali aj počas pomalej plavby.	Otto Sverdrup commanded the ship and made sure that scientific observations continued as the Fram slowly moved.	0.649783
V auguste 1896 sa konečne dostali na otvorené more a podarilo sa im vrátiť sa do Nórska, čím potvrdili Nansenovu teóriu.	In August 1896 the ship finally found open water and was able to sail back to Norway, proving Nansen’s theory correct.	1.79394
Menej úspešná, ale o nič menej nápaditá, bola expedícia balónom, ktorú v roku 1897 zorganizoval švédsky prieskumník Salomon Andrée.	Less successful but no less imaginative was a balloon expedition attempted by Swedish explorer Salomon Andrée in 1897.	0.422601
Andrée veril, že by sa na Severný pól mohol dostať skôr vzduchom než vodou.	Andrée believed he could achieve the pole by air rather than by sea.	0.696992
Spolu s Nilsom Strindbergom a Knutom Fraenkelom vzlietli 11. júla 1897 z nórskych Špicbergov.	He and Nils Strindberg and Knut Fraenkel set out from Spitsbergen, Norway, on July 11, 1897.	0.288462
Balón sa po troch dňoch zrútil. ~~~ Trojica pád prežila, ale čoskoro zahynula v neúprosných arktických podmienkach.	The balloon crashed three days into the trip; the three men survived the initial landing but perished in the unforgiving conditions on land.	-0.030303
Európske expedície pokračovali, no bez úspechov.	European expeditions for the North Pole continued with no success.	0.633117
Niektorým sa podarilo dosiahnuť nový rekord, tak ako napríklad talianskej výprave, ktorú viedol princ Luigi Amedeo. ~~~ So svojím kapitánom Umbertom Cagnim prišli ďalej ako Nansen, ale na Severný pól sa nedostali.	Some managed to push a little farther north, like the Italian mission led by Prince Luigi Amedeo, with his captain Umberto Cagni managing to travel a bit farther north than Nansen, but did not achieve the North Pole.	0.0865686
Jedným z nich bol aj Robert E. Peary, ktorý v období medzi rokmi 1886 až 1909 podnikol do Arktídy osem výprav.	Among them was Robert E. Peary, who made eight trips to the Arctic between 1886 and 1909.	0.897748
Ďalším nádejným americkým moreplavcom bol Frederick A. Cook, ktorý v rokoch 1891 – 1892 slúžil v Pearyho výprave ako lekár.	Another American striver was Frederick A. Cook, who served in 1891-92 as physician on Peary’s Arctic mission.	0.764894
Cook pokračoval v bádaní severných oblastí Zeme, až napokon v roku 1907 podnikol na Severný pól vlastnú výpravu.	Cook continued to explore Earth’s northern regions, eventually striking out on his own for the North Pole in 1907.	0.45477
Jeho bývalí druhovia sa stali jeho konkurentmi, každý sa snažil získať cenu pre seba.	The two former comrades had become competitors, each one trying to capture the prize.	0.3
Peary a Henson verili, že 6. apríla 1909 dorazili na Severný pól.	On April 6, 1909, Peary and Henson believed they reached the North Pole.	0.728811
Zemepisnú šírku vedel v celej posádke vypočítavať iba Peary a mnoho vedcov ich spochybnilo. ~~~ Rýchlosť ich návratu vyvolala ďalšie otázniky.	Of all the team, only Peary knew how to make the latitude calculations, and many researchers have called them into question.	0.0506329
Cookova výprava v roku 1907 odštartovala pomerne pompézne.	The speed with which they returned prompted further doubt.	0.294118
Škuner John R. Bradley, ktorý vyplával z Massachusettského prístavu, mal namierené do Grónska, kde mal stráviť zimu v eskimáckej osade Annoatok, približne 1 100 kilometrov od štartu.	Cook’s mission began with little fanfare in 1907 when his schooner, the John R. Bradley, departed from Massachusetts for Greenland, where he would spend the winter at Annoatok, an Inuit settlement some 700 miles away.	0.676979
Vo februári 1908 odtiaľ odišiel a vybral sa hľadať Severný pól.	In February 1908 he set off in search of the North Pole.	2.99783
Dvaja Eskimáci Etukishook a Ahwelah sprevádzali Cooka celou cestou na sever. ~~~ Cook 21. apríla 1908 vyhlásil, že sa dostal na 90° zemepisnej šírky.	Two Inuit guides, Etukishook and Ahwelah, accompanied Cook all the way north to where he claimed he reached 90° north on April 21, 1908.	0.109211
Peary sa v lete 1908 vydal na Severný pól loďou Roosevelt. ~~~ V tom čase sa ho snažil dosiahnuť už skoro dvadsať rokov.	Peary had been trying to claim the North Pole for nearly two decades by the time he set out in summer 1908 aboard the Roosevelt.	1.45357
Svoju výpravu začal s veľkou skupinou, ale v priebehu niekoľkých mesiacov v nej zostali len Matthew Henson – veterán z Pearyho expedícií – a štyria eskimácki sprievodcovia.	He started his journey with a large group, but winnowed it down over several months to just Matthew Henson, a veteran of Peary’s expeditions, and four Inuit guides.	0.49472
Pearyho skupina si myslela, že 6. apríla 1909 dosiahla Severný pól.	On April 6, 1909, Peary’s party believed they had reached the North Pole.	0.27931
Na jeseň 1909 súperiace noviny písali o prvenstve obidvoch mužov, čím vyvolali ostré diskusie.	In fall 1909 competing newspapers trumpeted each man’s claim to the discovery, and a red-hot controversy was born.	2.44146
Cookove tvrdenia podrobne preskúmali a napokon ich vyhlásili za nepotvrdené.	Cook’s account came under great scrutiny and was pronounced unproven.	0.265574
Národná zemepisná spoločnosť potvrdila správnosť Pearyho dokumentov a uznala, že sa naozaj dostal na Severný pól.	The National Geographic Society, after examining Peary’s papers, proclaimed that Peary had indeed reached the North Pole.	0.278788
Cookovo meno upadlo, zatiaľ čo Peary si užíval slávu.	Cook’s reputation diminished while Peary’s soared.	0.3
Peary a Cook medzi sebou bojujú o prvenstvo na Severnom póle. Titulná strana parížskeho časopisu Le Petit Journal z roku 1909.	Peary and Cook fight over their claims of having arrived first at the North Pole cover of a Parisian publication Le Petit Journal 1909.	1.23772
V 80.-tych rokoch minulého storočia Národná zemepisná spoločnosť prehodnotila Pearyho dokumenty a zistila, že sa na Severný pól nedostal.	In the 1980s the National Geographic Society reevaluated Peary’s documents and found that he had not achieved the North Pole.	0.263551
Iní experti tvrdia, že prvým bol Henson, a nie Peary.	Other experts argue that Henson was actually the first to the pole, not Peary.	0.432727
Cookove tvrdenia ostávajú záhadou; jeho dokumenty sa stratili a už sa nikdy nenašli.	Cook’s account remains a mystery; his supporting documents went missing and have never been found.	0.464971
V nasledujúcich desaťročiach bol Severný pól na dosah vďaka lietadlám.	In the decades ahead, powered flight finally brought the pole within reach.	0.285484
Prvá oficiálna výprava, ktorá vstúpila na 90° zemepisnej šírky, bola sovietska posádka. ~~~ Vysadili ju priamo na mieste v roku 1948.	The first confirmed expedition to set foot at 90° north was a Soviet crew, airlifted directly to the spot in 1948.	0.0869636
Zdalo sa však, že bádatelia zanevreli na suchozemský prístup. ~~~ Zmenilo sa to až v 60.-tych rokoch 20. storočia, keď Ralph Plaisted, poisťovací agent z Minnesoty, úspešne zavŕšil prvú suchozemskú výpravu na Severný pól. Dostal sa naň na snežnom skútri.	But the land approach seemed abandoned until the 1960s when Ralph Plaisted—an insurance man from Minnesota—successfully headed the first surface conquest of the pole, riding on a snowmobile, and arriving on April 19, 1968.	0.0202621
O rok neskôr sa britský prieskumník Wally Herbert stal prvým človekom, ktorý došiel k Severnému pólu pešo v rámci veľkolepej, vyše 6 100 kilometrovej plavby Severným ľadovým oceánom.	A year later, British explorer Wally Herbert became the first, confirmed person to walk to the pole as part of an epic, 3, 800-mile crossing of the Arctic Ocean.	0.457643
Príprava Ralph Plaisted nastupuje do lietadla v Montreale počas príprav na suchozemské dobytie Severného pólu.	SETTING OUT Ralph Plaisted boards a plane at Montreal in an early phase of his overland conquest of the North Pole.	0.671875
Jeho tím sa dostal na Severný pól na snežných skútroch na jar v roku 1968.	His team would reach the pole by snowmobile in the spring of 1968.	0.481558
Medzi extázou a vytriezvením vám bude váš milenec pripomínať narkomana.	From ecstasy to withdrawal, the lover resembles an addict.	0.229412
Ako sa dozviete o skutkoch vykonaných v mene lásky?	When we want to read of the deeds that are done for love, whither do we turn?	0.177273
Stačí si vyhľadať rubriku pod názvom Vraždy.	To the murder column.	-0.0157895
George Bernard Shaw	George Bernard Shaw	2.55
George Bernard Shaw spoznal silu romantickej lásky a náklonnosti na vlastnej koži.	George Bernard Shaw knew the power of romantic love and attachment.	0.977586
Romantická láska a náklonnosť sú podľa neho závislosťami. ~~~ Keď sa ľuďom vo vzťahu darí, hovoríme o (úžasne) pozitívnej závislosti, a keď vzťah stroskotáva, hovoríme o (zničujúcej) negatívnej závislosti.	Both, I will maintain, are addictions—wonderful addictions when the relationship is going well; horribly negative addictions when the partnership breaks down.	-0.0168
Tieto dve závislosti lásky sa vyvíjajú už veľmi dlho. ~~~ Začalo to asi pred 3,2 miliónmi rokov, keď Lucy so svojimi príbuznými a priateľmi blúdili po pastvinách východnej Afriky.	Moreover, these love addictions evolved a long time ago, as Lucy and her relatives and friends roamed the grass of east Africa some 3. 2 million years ago.	0.113942
Vezmite si romantickú lásku.	Take romantic love.	0.166667
Veď aj spokojný milenec má všetky vlastnosti narkomana.	Even a happy lover shows all of the characteristics of an addict.	0.263265
Aj láskou posadnutí muži a ženy túžia po emocionálnom a fyzickom spojení s milovanou osobou.	Foremost, besotted men and women crave emotional and physical union with their beloved.	0.288158
Táto túžba je súčasťou všetkých závislostí.	This craving is a central component of all addictions.	0.238462
Pri pomyslení na objekt svojho záujmu milenci tiež pociťujú nával vzrušenia, čo je forma istej intoxikácie.	Lovers also feel a rush of exhilaration when thinking about him or her, a form of intoxication.	0.25125
Čím viac ich posadnutosť naberá na sile, tým viac sa milenec snaží nadviazať spojenie s milovanou osobou.	As their obsession builds, the lover seeks to interact with the beloved more and more, known in addiction literature as intensification.	0.21
V literatúre, ktorá sa zaoberá drogovými závislosťami a ich prevenciou, sa tento stav označuje ako intenzifikácia.	They also think obsessively about their beloved, a form of intrusive thinking fundamental to drug dependence.	0.460681
Obsesívne premýšľajú o milovanej osobe, čo je porovnateľné s dotieravými myšlienkami drogovo závislých.		-0.3
Milenci vidia realitu skreslene a svoje priority a každodenný život prispôsobujú milovanej osobe. Často siahajú po nevhodných, nebezpečných a extrémnych riešeniach, len aby ohromili toho druhého, alebo aby s ním zostali v kontakte.	Lovers also distort reality, change their priorities and daily habits to accommodate the beloved, and often do inappropriate, dangerous, or extreme things to remain in contact with or impress this special other.	0.268508
Osobnosť človeka sa môže zmeniť. ~~~ Tento jav je známy ako afektívna porucha.	Even one’s personality can change, known as affect disturbance.”	-0.0236842
Mnohí beznádejne zamilovaní sú skutočne ochotní obetovať sa v prospech svojej lásky, dokonca by pre milovaného človeka zomreli.	Indeed, many smitten humans are willing to sacrifice for their sweetheart, even die for him or her.	0.203571
Tak ako narkoman trpí, keď nemá prístup k drogám, aj milenca sužuje, ak je odlúčený od milovanej osoby. ~~~ V oboch prípadoch ide o separačnú úzkosť.	And like addicts who suffer when they can’t get their drug, the lover suffers when apart from the beloved— separation anxiety.”	-0.0222222
Skutočný problém sa dostaví po odmietnutí.		-0.3
Väčšina opustených mužov a žien pociťuje príznaky, ktoré sú podobné abstinenčným príznakom.	Trouble really starts, however, when a lover is rejected.	0.414
Ide hlavne o námietky, záchvaty plaču, letargiu, úzkosť, poruchy spánku (príliš veľa alebo príliš málo spánku), stratu chuti do jedla alebo prejedanie sa, podráždenosť a pocit neustálej samoty.	Most abandoned men and women experience the common signs of drug withdrawal, including protest, crying spells, lethargy, anxiety, sleep disturbances (sleeping way too much or way too little), loss of appetite or binge eating, irritability, and chronic loneliness.	0.192216
Milenci sa môžu stať závislými tak ako drogovo závislí.	Lovers also relapse the way addicts do.	0.176471
Ešte dlho po ukončení vzťahu v nich môžu isté udalosti, ľudia, miesta, piesne alebo iné vonkajšie podnety súvisiace s rozchodom vyvolať nepríjemné spomienky.	Long after the relationship is over, events, people, places, songs, or other external cues associated with the abandoning partner can trigger memories.	0.28855
Spustia novú lavínu túžby, znepokojivé myšlienky, neustálu potrebu volania si, písania si alebo náhodného stretnutia.	This sparks a new round of craving, intrusive thinking, compulsive calling, writing, or showing up—all in hopes of rekindling the romance.	0.256731
To všetko v nádeji, že sa románik opäť oživí. ~~~ Láska sa neustále spája s prejavmi všetkých závislostí. ~~~ Niektorí psychológovia prišli k záveru, že romantická láska sa môže teoreticky stať závislosťou.	Because romantic love is regularly associated with a suite of traits linked with all addictions, several psychologists have come to believe that romantic love can potentially become an addiction.	-0.124444
Myslím si, že romantická láska je závislosťou. ~~~ Ako som už spomenula, je to závislosť v najlepšom zmysle slova, keď je láska opätovaná, netoxická a primeraná. ~~~ Ak sú pocity romantickej lásky nevhodné, jedovaté, neopätované alebo s úplnou platnosťou odmietnuté, je to závislosť zničujúca.	I think romantic love is an addiction—as I have mentioned, a positive addiction when one’s love is reciprocated, nontoxic, and appropriate; and a disastrously negative addiction when one’s feelings of romantic love are inappropriate, poisonous, unreciprocated, or formally rejected.	-0.118357
Ak počiatočná myšlienka nie je úplne absurdná, potom tu nie je žiadna nádej, povedal údajne Einstein.	If at first the idea is not absurd, then there is no hope for it,” Einstein reportedly said.	0.256579
Len málo vysokoškolských pracovníkov a laikov považuje túto romantickú lásku za závislosť. Domnievajú sa, že všetky závislosti sú chorobné a škodlivé.	Few academics and laymen regard romantic love as an addiction—because they believe that all addictions are pathological and harmful.	0.258261
Údaje však túto hypotézu nepotvrdzujú.	Data do not support this notion, however.	0.291429
Keď neurovedci Andreas Bartels a Semir Zeki porovnávali myšlienky šťastne zamilovaných ľudí s euforickými myšlienkami drogovo závislých, ktorí práve dostali dávku kokaínu alebo iného opiátu, v systéme odmeny mozgu sa aktivovalo mnoho podobných oblastí.	When neuroscientists Andreas Bartels and Semir Zeki compared the brains of happily-in-love participants with the brains of euphoric addicts who had just injected cocaine or opioids, many of the same regions in the brain’s reward system became active.	0.634446
Keď moji kolegovia znovu analyzovali zistené dáta z pozorovania 17-tich šťastne zamilovaných mužov a žien, objavili aktivitu v nucleus accumbens - v oblasti mozgu, ktorá je spojená so všetkými závislosťami, vrátane túžby po heroíne, kokaíne, nikotíne, alkohole, amfetamínoch, opiátoch ale aj túžby po hazardných hrách, sexe a jedle (ešte nepublikované údaje).	Moreover, when my colleagues reanalyzed our data on 17 men and women who were happily in love, we found activity in the nucleus accumbens (unpublished data), a brain region linked with all of the addictions—including the cravings for heroin, cocaine, nicotine, alcohol, amphetamines, opioids, and even gambling, sex, and food.	0.441938
Muži a ženy, ktorí sú v láske šťastní a bezpodmieneční, sú na svojich partneroch závislí.	Men and women who are intensely and happily in love are addicted to their partner.	0.269565
Moja kolegyňa, s ktorou skúmame mozog, neurovedkyňa Lucy Brownová tvrdí, že romantická láska je vlastne prirodzená závislosť, normálny, trochu pozmenený stav, ktorý zažívajú všetci ľudia.	So, my brain-scanning partner, neuroscientist Lucy Brown, has proposed that romantic love is a natural addiction, a normal altered state” experienced by almost all humans.	0.382952
Romantická príťažlivosť sa spája s niekoľkými psychologickými, behaviorálnymi a fyziologickými vlastnosťami.	Romantic attraction is now associated with a suite of psychological, behavioral, and physiological traits.	0.534043
Rozbor tohto šialenstva sa začal zhromažďovaním údajov, ktoré sa spomínajú v publikácii Láska a limerencia: skúsenosť s láskou (z originálu Love and Limerence) od Dorothy Tennovovej.	Data collection largely began with the now classic dissection of this madness, found in Love and Limerence, by Dorothy Tennov.	0.589683
Tennovová vytvorila približne 200 výrokov na tému romantická láska. ~~~ Požiadala 400 mužov a žien z Bridgeportskej univerzity a jej okolia v štáte Connecticut, aby na otázky odpovedali slovami áno alebo nie.	Tennov devised approximately 200 statements about romantic love and asked 400 men and women at and around the University of Bridgeport, Connecticut, to respond with true” or false” reactions.	0.118545
Dotazníky vyplnili stovky ďalších osôb.	Hundreds of additional individuals answered subsequent versions of her questionnaire.	-0.0416667
Z ich odpovedí, rovnako aj denníkov a iných osobných záznamov, Tennovová identifikovala charakteristiky, ktoré sú spoločné pre stav byť zamilovaný, ktorý nazvala limerenciou.	From their responses, as well as their diaries and other personal accounts, Tennov identified a constellation of characteristics common to this condition of being in love, ” a state she called limerence.”	0.383824
Prvým rozhodujúcim aspektom romantickej lásky je jej vznik, teda okamih, kedy váš partner začne pre vás znamenať niečo viac.	The first dramatic aspect of romantic love is its inception, the moment when another person begins to take on special meaning.	0.3
Začínate sa (zámerne) sústreďovať na danú osobu. ~~~ Vedci hovoria o prvom náznaku záujmu.	”You start to focus intently on him or her, a state known to scientists as salience.	-0.015
Môže ísť o dlhoročného kamaráta, ktorého vidíte v inom svetle alebo o niekoho cudzieho.	”It could be an old friend seen in a new perspective or a complete stranger.	0.242857
Ako však povedal jeden z Tennovovej probandov: Zmenil sa celý môj život.	But as one of Tennov’s informants put it, My whole world had been transformed.	0.280645
Všetka moja pozornosť sa upriamila na môj nový objekt záujmu, na Marilyn.	It had a new center and that center was Marilyn.	0.400227
Romantická láska sa ďalej rozvíja podľa konkrétneho vzorca.	Romantic love then develops in a characteristic pattern, beginning with intrusive thinking.	0.141509
Všetko to začína nepokojnou mysľou. ~~~ Myšlienky o objekte vášho záujmu zaplavujú vašu myseľ.	Thoughts of the love object” begin to invade your mind.	0.179688
V ušiach vám stále rezonujú slová, ktoré povedal.		-0.3
Predstavujete si jej úsmev, pripomínate si rôzne odpovede, jedinečné okamihy, dvojzmyselné významy slov a vychutnávate si to.	A certain thing he said rings in your ear; you see her smile, recall a comment, a special moment, an innuendo—and relish it.	0.446278
Zaujíma vás, čo si objekt vášho záujmu myslí o knihe, ktorú čítate, o filme, ktorý ste videli alebo o probléme vo vašej práci.	You wonder what your beloved would think of the book you are reading, the movie you just saw, or the problem you are facing at the office.	0.277143
A každý zlomok sekundy, ktorý ste spolu prežili, si znova prehrávate a skúmate vo vašej mysli.	And every tiny segment of the time the two of you have spent together acquires weight and becomes material for review.	0.22875
Nikdy nezabudnem na ten pocit, keď som prvýkrát uvidela výsledky.	I will never forget the moment I first saw the results.	0.228261
Mala som pocit, že vyskočím do neba.	I felt like jumping in the sky.	0.242308
Najskôr sa tieto predstavy objavujú ako snívanie počas dňa.	At first these intrusive reveries may occur irregularly.	0.288
Niektorí tvrdia, že keď posadnutosť naberie na sile, dokážu 85 až 100 percent svojho času nepretržite rozmýšľať o objekte svojho záujmu. ~~~ A sú zbláznení do jediného jednotlivca.	But many said that, as the obsession grew, they spent from 85 to almost 100 percent of their days and nights in sustained mental attentiveness, doting on this single individual.	0.845338
Fixovaním sa na jednu osobu milenci strácajú schopnosť sústrediť sa na iné veci, ako napríklad na každodenné povinnosti, prácu, školu a ľahko sa rozptyľujú.	Indeed, along with this fixation, lovers lose some ability to focus on other things, such as daily tasks, work, and school; they become easily distracted.	0.29313
Dokonca sa začnú zameriavať na triviálne povahové črty zbožňovaného jednotlivca. ~~~ Tieto vlastnosti následne zveličujú, čo môžeme nazvať procesom kryštalizácie.	Moreover, they begin to focus on the most trivial aspects of the adored one and aggrandize these traits in a process called crystallization.	-0.0302521
Kryštalizácia je odlišná od idealizácie v tom, že šialene zamilovaná osoba vníma slabé stránky svojho idola.	Crystallization is distinct from idealization in that the infatuated person does indeed perceive the weaknesses of his or her idol.	0.239362
Väčšina osôb, ktoré Tennovová pozorovala, dokázala spísať zoznam zlyhaní milovanej osoby.	In fact, most of Tennov’s participants could list the faults of their beloved.	0.241791
Jednoducho si tieto nedostatky nevšímali, alebo presvedčili sami seba o tom, že išlo o jedinečné a neodolateľné defekty.	But they simply cast these flaws aside or convinced themselves that these defects were unique and charming.	0.26087
Chaucer hovorí: Láska je slepá.	As Chaucer said, love is blynd.	0.788889
Tennovovej šialene zamilovaní respondenti poukázali počas fantazírovania na tri dominantné pocity: túžba, nádej a neistota.	Paramount in the daydreams of Tennov’s infatuated informants were three overriding sensations: craving, hope, and uncertainty.	0.294545
