Rytmus a prejav	Rhythm and expression	0.171429
Predstavujeme si ho ako silu, pretože jeho regulačné a stimulačné schopnosti sú obsiahnuté v našom myslení, cítení a tvorení.	Because its regulating, stimulating powers are present in all that we think, feel, and do, it is imperative that we have some concept of it as a force.	0.402778
Rytmus nie je ľahké definovať.	Rhythm is difficult to define.	0.3
Jeho význam vyplýva zo skutočného prežívania.	Its significance is arrived at only by actually experiencing it.	0.190244
Keď v akejkoľvek situácii nadobúdame skúsenosť spojenú s rytmom, môžeme povedať, že sa cítime dobre alebo ako na hojdačke.	Whenever we experience rhythm in action, we usually describe it by saying the movement felt right or had a swing.	0.268421
Dobre sa cítime vtedy, keď je čas a hodnota námahy v rovnováhe. ~~~ Pomocou nich sa spájajú všetky súvisiace časti do jednotnej skúsenosti vnímanej ako celok.	Rhythmic sensations feel right because of the right proportioning of the time and stress values that bind all the related parts into a unified experience sensed as a whole.	-0.0135338
Touto regulačnou a spájacou silou je rytmus.	This regulating and binding force is rhythm.	0.3
Organicky chápeme rytmus ako spúšťač všetkých reakcií a činností v našom organizme.	Organically, rhythm is a fundamental tendency in all our responses and is a principle of action in our physical organism.	0.407482
Rytmus sa prejavuje pomocou svalového napätia. ~~~ Myseľ si uvedomuje túto silu pomocou prostriedkov kinestetického vnímania.	Rhythm manifests itself in muscular tensions, and the mind becomes aware of this force by means of the kinesthetic sense.	-0.0101942
Pohyb taktiež zahŕňa aj uvoľnenie energie. ~~~ Rytmus ako skúsenosť môžeme vysvetliť ako nameranú energiu, pretože pohyb sa uskutočňuje na základe zákonov štruktúrneho fungovania, ktorý je prirodzene časovo usporiadaný.	Movement implies energy release, and, because movement takes place according to laws of structural functioning which have a natural timing setup, rhythm as an experience may be said to be measured energy.	-0.0146552
Organické vlastnosti rytmu sú taktiež obsiahnuté aj v ďalších formách prirodzenej aktivity, akou je napríklad myslenie a cítenie, po ktorých nasleduje rytmická pulzácia.	The organic characteristics of rhythm are also present in other forms of natural activity, such as thinking and feeling, which are proceed by rhythmic pulsation.	0.278261
Rytmy piesní, poézie a intonácia hlasu sú prejavom organického rytmu a dýchania, chodenia, alebo sú prejavom inej svalovej činnosti.	The rhythms of song and poetry and the cadences of speech are as much manifestation of organic rhythm and breathing, walking, or any other muscular action.	0.258261
Výrazný pohyb je samozrejme rytmický, avšak nie len kvôli štruktúrnemu tvoreniu, ale kvôli vplyvu vnímaných rytmov, akými sú myšlienka a pocit na jeho formu.	Expressive movement is obviously rhythmical, not only because of structural patterning, but because of the influence on its form by thought and feeling, both of which fall into responsive rhythms.	0.226667
V súvislosti s organizáciou môžeme rytmus chápať ako proces, pomocou ktorého sú načas uskutočňované udalosti oddelené, prepojené a usporiadané.	In relation to organization, rhythm may be considered as a process by which events taking place in time are marked off, related, and organized.	0.437603
Keby toto všetko neobsahoval, vznikol by zmätok.	Without it all would be confusion.	0.17
Avšak rytmus by mal slúžiť hlavne ako impulz na vyvolanie činnosti a na prejavenie citov.	But the fundamental object of rhythm is to minister both to the stimulation and to the expression of feeling.	0.236842
A preto sa rytmická forma považuje za zdroj odrážajúcej mentálnej skúsenosti.	Thus rhythmic form is the channel for reflecting mental experience.	0.254237
Podľa istého rozsahu rytmus citov určuje rytmus pohybu.	To a certain extant the rhythm of emotion determines the rhythm of motion.	0.214286
Je pravdepodobné, že vnútorné rytmy dvoch jednotlivcov nie sú rovnaké.	So it is very unlikely that the internal rhythms of any two individuals are the same.	0.256452
Lepšie povedané, jednotlivé variácie základných rytmických modelov dodávajú prejavu študenta jedinečnú hodnotu a vzbudzujú záujem.	In fact, the individual variations of the basic rhythmic patterns are what give unique value and interest to every student’s expression.	0.3
Komunikácia sa považuje za bohatú a úplnú, ak sa vonkajší a vnútorný rytmus spájajú v jedno. ~~~ Ak nie, tanec vyznie príliš fyzicky, čo znamená, že v ňom vidíme viac tela než duše.	If inner and outer rhythm are one, communication is rich and complete; if not, the dance is likely to be too physical, too much of the body, rather than of the mind through body.	-0.00308219
Zdrojom spojenia pocitu a pohybu je citové porozumenie myšlienky, nálady, rytmu a pohybu.	The source of this union between feeling and movement is a sensitive comprehension of idea, mood, rhythm, and movement.	0.421978
Rytmus je taktiež silným zdrojom inšpirácie.	Rhythm is also a potent source of inspiration.	0.3
Tanečník môže čerpať z rytmov vlastnej telesnej činnosti, hudby a poézie alebo z rytmov aktivity v prostredí.	From the rhythms of his own bodily action, or from the rhythms of music and poetry, and from rhythm of activity in his environment, a dancer may derive his themes.	0.335816
Pri vnímaní rytmického zážitku môžeme využiť ktorýkoľvek z našich zmyslov.	Any one of our senses may be employed in the perception of a rhythmic experience.	0.290909
Tak ako sme schopní rozoznať rytmické poradie pomocou sluchového zmyslu, tak sa pomocou kinestetického zmyslu môžeme naučiť vnímať pohyby svalov z hľadiska ich trvania a rozsahu stresu a sily.	Just as we are able to recognize a rhythmical sequence through the auditory sense, so we can learn through the kinesthetic sense to be aware of muscular sensations in terms of their duration and degrees of stress and force.	0.361818
Práve tento zmysel nás informuje o pozíciách nášho tela a jeho častiach, o hodnote snahy a o tempe nevyhnutnom pre výkon.	It is this sense that informs us of the positions of the body and its parts, of the amount of effort and speed necessary for execution.	0.273529
Vnímanie významu v pohybe prichádza vďaka znalosti jeho rozsahu, rôznym stupňom sily, časovým vzťahom a rýchlosti.	Consciousness of meaning in movement comes through knowledge of its range, varying degrees of force, time relationships, and speed.	0.258
Pri zažívaní týchto rytmických fáz vytvárame základnú a prirodzenú reakciu, primárne organickú a sekundárne duševnú a náročnú.	In experiencing these rhythmic phases we produce a fundamental and elemental response, primarily organic, secondarily intellectual and discriminating.	0.404505
Kvôli sprostredkovaniu týchto základných reakcií a následných podnetov ich spojenia štruktúrne faktory spôsobujú tvorivé a citové reakcie.	It is through the medium of these fundamental responses and their resulting stimuli of association that there structural factors arouse imaginative and emotional responses.	0.234146
Takýto proces jemne a kreatívne prejavuje citový život.	In such a process there is involved a subtle creative manifestation of the feeling life.	0.47415
A tak si môžeme všimnúť, že rytmus nie je len o dodržiavaní dôb.	Thus we see that by rhythm much more is implied than just keeping time.	0.266038
V najširšom význame môžeme rytmus vysvetliť ako formu, pomocou ktorej expresívny život vteká do tvorby vlastných foriem.	In its broadest meaning rhythm may be said to be the mold through which expressive life flows in creating its forms.	0.275258
V tanci sú pohyby považované za hnacie sily činnosti spolu s mentálnym životom tanečníka.	In dance, movements are the motor symbols of action within the mental life of the dancer.	0.292
Prostredníctvom činnosti tanec vyjadruje city vyvolané pomocou vnemov pohybu.	Through action, dance expresses feelings aroused by the sensations of movement.	0.3
Dynamickú fázu rytmického pohybu môžeme stručne vysvetliť ako čas trvania alebo ako relatívnu dĺžku času na vykonanie každého jedného pohybu; dôraz alebo stupeň sily, respektíve ako intenzitu, pomocou ktorej sa uvoľňuje energia; tempo alebo rýchlosť pohybov nasledujúcich za sebou.	The dynamic phases of rhythmic movement may in brief be said to be: duration, or the relative length of time taken by any single movement; stress, or the degree of force or intensity with which energy is released; and tempo, or the rate at which movements follow one another.	0.278947
Séria pohybov sa vykonáva v pomalom alebo rýchlom tempe bez toho, aby ovplyvnila relatívny čas každého prvku, ale zmena tempa prináša zmenu kinestetickej skúsenosti.	A series of movements may be executed in slow or rapid tempo without affecting the relative time of the single constituents, but change in tempo will bring about a change in the kinesthetic experience.	0.245455
Všetky tri fázy (čas, dôraz a tempo) sa nachádzajú v každej sérii pohybov a určujú vonkajšiu formu tanca. ~~~ Okrem ich vzájomných vzťahov môžu existovať ďalšie nekonečné variácie tanečných vzorov. ~~~ Ich základ tvoria dynamické a generačné príčiny.	These three phases of movement, all of which exist together in any action series, and out of whose interrelations the endless variety of dance patterns are built, determine the outward form of the dance; and in them are inherent the dynamic, generation causes of expression.	-0.1375
Tak ako je pre každé zviera typický určitý pohyb a rytmická zvláštnosť, tak sa aj človek správa podľa svojho prostredia.	Just as every animal has an action and a rhythm peculiar to itself, so man moves according to his nature.	0.391133
Každý cit sa prejavuje pomocou určitého pohybu.	Every emotion has its appropriate and peculiar movement.	0.242857
Rozoznávame pohyby radosti, hnevu, vzrušenia, smútku, mieru, strachu, vernosti a mnoho ďalších.	There is movement of joy, rage, excitement, sorrow, peace, fear, devotion, and so on through the list of feeling states.	0.24
Pohyb ako vonkajšie rozpoznateľné správanie v spojení citového, intelektuálneho a fyzického charakteru.	Movement, as outward, observable behavior, in an integration of the emotional, intellectual, and physical natures.	0.274194
Činnosť znamená vášeň (cit), ktorá ho vyvoláva, myšlienku (intelekt), ktorá ho tvorí a viditeľný pohyb fyzického tela, ktorý to vykonáva.	Action implies a desire (emotion) which prompted it, a thought (intellect) which shaped it, and a visible movement of physical body to carry it out.	0.570588
Môžeme tvrdiť, že vášeň povzbudzuje myšlienku, ktorá sa prejavuje pomocou aktu.	That is to say, a desire stimulates a thought, and the thought embodies itself in an act.	0.282857
Obidve tieto zložky patria do nášho podvedomia. ~~~ Znamená to, že ich nevidíme, avšak odhaľuje ich tretia viditeľná zložka, ktorá je súčasťou tela.	Two of these component activities are invisible and belong to the consciousness, but they are revealed by the third component, which is visible and belongs to the body.	-0.0190476
Psychický stav môžeme vyjadriť iba prostredníctvom konania a telo ho môže prejaviť pomocou viditeľných charakteristických znakov.	Mental states can be expressed only by actions, and can be communicated only through their visible, characteristic attributes in the observable body.	0.263478
Vďaka kinestetickému vnímaniu dochádza k rozvoju a kontrole zručnosti, ktorá je pri telesnom vyjadrovaní nevyhnutnou.	The development and control of the skill necessary for this body expression come through kinesthetic perception.	0.281633
Ak chce človek získať túto rozlišovaciu schopnosť, musí sa sústrediť hlavne na svalovú činnosť. ~~~ Chápanie základných princípov pohybu mu môže výrazne pomôcť pri jeho štúdiu.	To gain this power of discrimination, one must give attention to muscular sensations, and this study must be reinforced by understanding of basic principles of motion.	-0.00839161
Nevyhnutnou, ale nie jedinou pomocou pri efektívnosti, je systematický telový tréning.	As an aid to efficiency, therefore, although not as a complete method, some sort of systematic body training is necessary.	0.194805
Len ťažko sa môže niekto naučiť rozlišovať prvky fyzickej zdatnosti pri tancovaní od ich ideálnej formy, hoci z teórie jasne vyplýva, že pohyb sa nepokladá za umenie, ak nie je nabitý emóciami a kontrolovaný duševnou disciplínou.	It is difficult to practice to separate the elements of physical skill in dance from its ideal essence, although it is clear in theory that movement is not art until it is emotionally charged and controlled by intellectual discipline.	0.296923
Je nad slnko jasné, že bezchybnosť tela znamená viac než rozvoj svalov a nervov. ~~~ Závisí taktiež od postoju ľudského tela, ktorý musí byť vytrénovaný a o obohatený.	It is clear, too, that the perfection of the body must mean more than the development of muscles and nerves; it must mean also a trained, enriched attitude of the whole human being.	0.0892857
V rovnakom čase by sa mala dať rozoznať hodnota gymnastických prvkov.	At the same time the value of gymnastic exercises should be recognized.	0.295
Pomocou precvičovania a poznania by si mal študent vedieť vydedukovať pravidlá, ktoré budú pre neho prospešné.	From exercise and directed study the student can deduce rules which will be highly corrective while they are also formative.	0.26875
Vlastnými skúsenosťami nájde cestu a spôsob, ktoré vedú k uspokojivému umeniu. ~~~ Nie je možné, aby tieto skúsenosti nadobudol len prostredníctvom vonkajšieho prostredia.	He will discover in his own experience ways and means which will take a significant part in producing satisfying art and which could not be taught from the outside.	-0.0131387
Okrem podobných štúdií vstupuje do hry bohatá a rôznorodá slovná zásoba vnímavých pohybov a forma pohybu založená na umeleckej intelektuálnej selektivite bude odrazom emócií, ktoré ju spôsobili.	Out of such studies a rich and varied vocabulary of responsive movements comes automatically into play, and the form of movement, grounded in artistic intellectual selectivity, will be reflective of the emotions which cause it.	0.362764
Technický pokrok	Technical achievement	0.20625
Jedným z riešení problémov pri tanečnom vzdelávaní je rozvoj motorickej techniky a kvalitného kinestetického vnímania.	To develop a motor technique, and a fine discriminating kinesthetic sense to control it, is one of the solutions to the problem of dance education.	0.433214
Ide o proces objavenia, analýzy, syntézy a zdokonaľovania podľa duševného usporiadania, ktoré najviac vyžaduje úsilie mysle a tela.	It is a process of discovery, analyses, and synthesis, and a perfecting, according to an intellectual ordering, which demands the best efforts of both mind and body.	0.550572
Duševné úsilie sa oproti iným faktorom, ako napríklad vyjadrenie, musí viac koncentrovať, aby sa vyhlo chybám.	The mental effort required to obviate mistakes demands so much concentration that other factors, such as expression, are bound to suffer.	0.23125
Opakovaná činnosť sa zautomatizuje, to znamená, že netreba nad ňou premýšľať, a tak sa myseľ môže venovať umeleckej tvorbe.	Repeated activity becomes automatic and is finally executed with little or no thought, thus freeing the mind for the activities of artistic creation.	0.237736
Človek reaguje na podnety zasahujúce nervový systém a z jeho nervových dráh pramenia určité schopnosti.	The onset of a stimulus result in a general bombardment of the nervous system, and out of this generalized activity there emerge the specialized paths we term skills.	0.320833
V takomto prípade sú všetky motorické techniky rovnaké.	In this respect, all motor technique are the same.	0.25814
Fyzická zručnosť má rovnaké všeobecné podmienky pokiaľ ide o tenis, plávanie, tanec, hru na hudobný nástroj alebo manipuláciu s nástrojmi.	Physical skill has the same general conditions whether it is concerned with tennis, swimming, dance, the playing of an instrument, or the handling of tools.	0.2675
Motorická inteligencia je technikou fyzického nástroja.	Technique of the physical instrument is motor intelligence.	0.288235
Jej ovládanie nezávisí od mechanického opakovania alebo uplatnenia vzorca, ale od inteligencie a zámeru.	Its acquirement is dependent upon intelligence and purpose and not upon mechanical drill or application of formula.	0.273913
Pojem tanečná technika môžeme vysvetliť ako umeleckú poctivosť tanečníka, ktorá sa realizuje pomocou nervov a svalov.	Dance technique is the dancer’s artistic integrity working through his nerves and muscles.	0.208861
Ak si chce človek osvojiť techniku, v prvom rade musí po nej túžiť, resp. ju musí chcieť.	But to acquire technique one must first have desire, must want to.	0.203571
Najprv si musíme uvedomiť, že chceme niečo dosiahnuť.	The very inception of achieving is wanting to achieve.	0.3
Nie je možné, aby ľahostajnosť a úspech išli ruka v ruke.	Indifference and accomplishment can never exist side by side.	0.2625
Naše motto je: S väčším záujmom prichádza väčšie nadšenie.	The greater the interest, the keener is our power.	0.244186
Sme posadnutí hľadaním odpovedí na otázky Ako? a Prečo?.	We are possessed to find out the hows and whys.	0.223077
Intelektuálna túžba nám nedovoľuje oddychovať, pokiaľ nenájdeme riešenie.	Intellectual curiosity does not permit any rest until there is a solution.	0.285937
Ak k tomu budeme pristupovať s ľahostajnosťou, nemôžeme očakávať zdokonalenie.	In indifferent attitude, or one of mechanically plodding along the line of least resistance on the chance that something may happen, will not bring perfection.	0.0171429
Úspech akejkoľvek činnosti, jednoduchej či zložitej, závisí od snahy úmyselne smerujúcej k ideálu.	The success of any act, no matter how simple or complex, depends upon a conscious direction of effort toward the ideal.	0.255172
Na rozdiel od ľahostajnosti je presnosť v detailoch nevyhnutná.	Exactness in details, as opposed to slackness in the early stages, is essential.	0.230357
Požadovaný výsledok môže byť vytvorený iba zdokonaľovaním jeho prvkov.	A desired result can be produced only by the perfecting of its elements.	0.290164
Pri osvojovaní si akéhokoľvek nového pohybu musí byť každý pocit odpozorovaný a zaznamenaný, len tak sa môže spojiť s určitými javmi v našom vedomí.	In the learning of any new act or movement, every sensation must be observed and registered, so that action becomes associated with certain effects in consciousness.	0.264286
Tieto pocity nám pri opätovnej reprodukcii pomôžu znásobiť snahu alebo sa jej vyhnúť.	These impressions, at the next effort of reproduction, will be useful in duplication of the effort or in avoidance of duplication according to one’s abilities in recognition, comparison, analyses, and synthesis.	-0.137838
Závisí to od schopnosti tanečníka rozlišovať, porovnávať, robiť analýzu a syntézu.	When acts are performed consciously, the differences in action and effect can easily be noted.	0.267123
Ak akty vykonávame vedome, ľahko môžeme zaznamenať rozdiely v pohyboch a javoch.	Such a worker will remember what was done, for he was conscious not only of what he was doing but why!	0.475055
Tak ako si pracovník pamätá čo urobil nielen kvôli tomu, že si bol toho vedomý, ale preto, že si uvedomoval dôvod PREČO to robil.	Although the will is of importance in the expressive act, it can never be a substitute for the impulse to expression.	0.408813
Aj keď je vôľa v expresívnom výraze dôležitá, je nemožné, aby nahradila impulz vyjadrenia.		-0.3
Vôľa je stále prítomná, ale spolu s intelektuálnymi, citovými a duchovnými činnosťami vytvára dokonalú jednotu.	The will is ever present, but blended with intellectual, emotional, and spiritual actions in a perfect unity.	0.474734
Toto spojenie mentálnych síl vedie k tzv. superinteligencii, ktorá pozná následok ešte pred príčinou.	This blend of mental forces results in a kind of superintelligence that knows the effect before it starts the cause.	0.269663
Táto spolupráca s ďalšími mentálnymi schopnosťami je jedným z tajomstiev úspechu.	This co-operation with the other mental faculties is one of the secrets of success.	0.295775
Vôľa môže kontrolovať a viesť, ale nikdy nemôže do vyjadrenia dodávať impulz, len v prípade, že slúži mentálnej koncentrácii.	The will can control and guide, but never can supply the impulse to expression except as it serves mental concentration.	0.282353
Pomocou tejto funkcie myseľ s myšlienkou držia spolu, usmerňujú sa a zadržujú impulzy, až kým sa nerozšíria po celom organizme.	In this capacity it holds the mind to the idea in hand, directing and restraining impulses until they become diffused through the whole organism.	0.261468
Prostredníctvom vôle dokážeme spájať rôzne útržky myšlienok a urobiť tak z remeselníka umelca.	It collects a scatterbrain and makes an artist of the artisan.	0.380189
Keď je myseľ už úplne posadnutá, sila jej predstavivosti vedie cez motorickú dráhu k sebauvoľneniu a stáva sa v tanečných pohyboch objektívnou.	When the mind is so possessed, the force of its imagery tends to release itself over some motor path and becomes objectified in movements of dance.	0.3
Tu vôľa prestáva fungovať a spája sily s aktivitami iných mentálnych činností preukázaných vo výraze.	Here the will ceases to function and joins forces with the activity of the other mental actions concerned in expression.	0.252273
Skutočný impulz je pre vyjadrenie hlbší než vôľa.	The true impulse to expression is deeper than the will.	0.272093
Ak duch nevyzdvihuje vôľu a nepodporuje motív vôle alebo vyjadrenia, výrazné výsledky môžu byť obeťami povrchnosti a obmedzenosti.	Unless the spirit commends the will and furnishes the motive to will or to express, expressive results are in danger of being superficial and limited.	0.265789
Sila vyjadrenia závisí od sily myšlienky a pocitu.	Power of expression depends upon power of thought and feeling.	0.231818
Rozhodnutie tanečníka byť výrazným a na pohľad citlivým sa zaznamenáva veľmi rýchlo.	Nothing is detected so quickly as the resolution to be expressive and to appear emotional.	0.287838
Technika a vyjadrenie sa spájajú v jedno a to isté vtedy, keď techniku považujeme za jediný vhodný prostriedok vyjadrenia.	Technique and expression really become one and the same thing, if we think of technique as the only adequate means of expression.	0.288571
Rozvoj techniky znamená smerovanie a obmieňanie nenatrénovaných, zdanlivo prirodzených pohybových modelov na ich príslušné umelecké formy.	Developing technique means directing and changing the untrained, seemingly natural, movement patterns into their related art forms.	0.27931
Tento pojem by mal znamenať dokonalý stav.	The natural should mean the perfect state.	0.3
A preto slovo správny by malo nahradiť slovo prirodzený.	In this light, correct might be substituted for natural.	0.3
Zopár amatérov objavilo kontrolu nevyhnutnú pre dobrý telesný pohyb. ~~~ A tak sa za prvý krok považuje nacvičovanie prirodzeného alebo správneho pohybu.	So few people have developed, without training, the control necessary for good body motion; consequently the first step is to train back to the natural or correct way of moving.	-0.0193182
Toto je jediný princíp, na ktorom môže byť vedomie umeleckého pohybu založené.	This is the only basis upon which consciousness of art movement can be established.	0.286765
Ale musíme si pamätať, že profil človeka sa odhaľuje pomocou jeho chybného obvyklého pohybu.	But we must remember that patterns of the individual are revealed in the faulty, habitual movement.	0.28125
Každý pohyb odhaľuje kvôli svojmu pôvodu organickú jednotu.	Every movement reveals organic unity because of its origin.	0.294231
Keď pracujeme na tom, aby sme zdokonalili našu techniku, vedome smerujeme nenatrénovaný a nenaštudovaný pohyb k cieľovej forme.	In working toward a perfected technique we consciously direct untrained, unstudied movement into forms that aim toward a goal.	0.45239
Originálna, inštinktívnejšia forma sa stáva podmienkou ideálnej formy.	The original, more instinctive form becomes conditioned by the ideal form.	0.295313
Tak ako si vie myseľ predstaviť tieto nové formy vo vzťahu s dobre známymi organickými formami, tak sa bude skutočný a výrazný štýl rozvíjať.	And only as the mind can conceive of these new forms as related to the familiar organic forms will a true and expressive style develop.	0.40125
Pri budovaní techniky by sme sa mali pokúsiť o to, aby sme nezničili a nezablokovali známe reakčné tendencie. ~~~ Mali by sme ich uvoľniť, aby mohli prispievať a spolupracovať so zámernou snahou mysle.	In building technique, than, we should try not to thwart and block the familiar reaction tendencies, but to release them in order that they may contribute to, and co-operate with, the goal-aiming efforts of the mind.	-0.0115385
Ak nepokladáme náš cieľ za vrchol, stratíme tým spontánnosť kvôli nedôvere voči inštinktívnej inšpirácii.	If the aim is not uppermost, spontaneity will be lost because of distrust in instinctive inspiration.	0.27931
Organická jednota medzi vonkajšou a vnútornou skúsenosťou sa nesmie zničiť.	Organic unity between inner and outer experience must not be destroyed.	0.275806
Nové formy spoločne s modelom života by mali znamenať rast, nie jeho skazu.	New forms should mean growth with the life pattern, not the destruction of it.	0.290625
Tento druh snahy alebo techniky spôsobuje pri presune z obyčajného k ideálnemu, že telo prijíma abstraktnú neosobnú kvalitu vedúcu k vnútornej neviditeľnej klasickej kráse.	This kind of effort, or technique, when working from the ordinary toward the ideal, causes the body to take on an abstract impersonal quality resulting in an innate, unsought classical beauty.	0.274
Vedomosti a vyjadrenie	Knowledge and expression	0.271429
Každý prináša do jednotlivých štúdií všeobecné, avšak nie úplne zrozumiteľné chápanie, s ktorým by mohol pracovať.	Everyone brings to such a study some general but inarticulate understanding with which to build.	0.238554
Ale s porozumením a využitím správnych princípov môže tanečník ľahšie pochopiť vedeckú štúdiu o pohybe.	But with a recognition and application of clear and exact principles, he can approach a scientific study of movement.	0.454167
Najprv musí pochopiť základnú vedu o pohybe a až potom môže rozvíjať svoje zručnosti.	There must be an understanding of the fundamental science of movement before the skill for its control can develop.	0.19726
Žiadny umelec nemôže dovoliť, aby stál temperament medzi ním a faktami, ktoré formujú jeho výkon.	No artist can afford to let temperament come between him and the facts which condition his work.	0.476389
Podstatou vedy je objavenie pravdy aktuálnych podmienok.	The essence of science is the discovery of the truth of actual conditions.	0.229412
Toto objavenie ponúka vedomosti a ochranu, s ktorou môžu pracovať všetci umelci alebo študenti umenia.	This discovery provides the knowledge and security with which any artist or student artist may work.	0.289535
Medzi vedou a umením nie je nepriateľský vzťah.	There need be no antagonism between science and art.	0.270732
Veda netvorí umenie, ale prispieva k vytváraniu pravdivého umenia.	Science will not make art — but it will contribute to a truthful art.	0.289474
Najdôležitejšie pri práci na umeleckom vyjadrovaní je, aby sme poznali podmienky, pomocou ktorých dokáže myseľ tvoriť a charakteristiku média, pomocou ktorého to funguje.	It is of the greatest importance, when we are working toward art expression, to know the conditions under which the mind creates and the nature of the medium through which it works.	0.420973
Naše reakcie sú, pravdepodobne, krátke a nezachytené.	Our reactions are so likely to be fleeting and uncaught.	0.3
Vzhľadom na naše skúsenosti by nám malo pomáhať hlavne porozumenie.	We must, to be true to experience, be reinforced with understanding.	0.3
Analýza podmienok prispieva k tomu, že sa vyjadrenie stáva nevyhnutným porozumením, cez ktoré si jasnejšie uvedomujeme naše schopnosti, takisto ako si začíname uvedomovať hodnotu snahy druhých.	Through analyses of conditions that contribute to expression comes the necessary understanding by which we gain clearer consciousness of our abilities as well as a keen appreciation of the efforts of others.	0.285799
No príliš podrobná analýza môže zatieniť skutočný význam reality, napr. si niečo nemusíme všimnúť, čo znamená, že pri obnove je menej obsahu ako na začiatku.	But too much analyses may obscure the real significance of reality — something may escape, so that in the reconstruction there is less of substance than in the beginning.	0.279851
V tomto procese nevzniká nijaké nebezpečenstvo, ak si neustále uvedomujeme, že skutočný jav spočíva v celku, ktorý znamená viac než súčet jeho častí.	There is no danger in this process if we continually realize that the real phenomenon resides in the whole — which is something more than the sum of its parts.	0.292969
Analýza je potrebná na to, aby sme pochopili pointu všetkých informácií.	Analysis proves its usefulness when separate elements fuse into one impression.	0.266667
Predchádzajúce pripomienky nie sú zbytočné, práve naopak, začínajú zlepšovať celkový dojem.	The earlier observations are not lost, though they no longer stand out as separate judgments; rather they have gone to enhance the total impression.	0.139024
A tak analýza prestane fungovať. ~~~ Ako keby všetko bolo jasné už od začiatku.	Analysis then ceases to function; it is as if everything had been clear from the beginning.	-0.025
V umení sa napokon všetka znalosť premení na intuíciu.	In art, all knowledge must ultimately become intuitive.	0.287234
Charakter tanečníka by mal prijať všetky potrebné informácie, čo spôsobuje, že umelecké vyjadrenie založené na znalostiach pôsobí ako nevyhnutný produkt spontánnych impulzov.	Every form of information should be so absorbed and transformed by the personality that the artistic expression which has grown out of that knowledge seems to be the inevitable product of spontaneous impulses.	0.383682
Pomocou tohto procesu vznikajú najlepšie diela, diela najvyššieho umenia.	Such is the effect of the very greatest works, the works of supreme art.	0.27
V tanci je technika nevyhnutná na to, aby sme dokázali rozpoznať anatomické, fyzické a psychologické súvislosti a disciplíny.	For dance to be vital to an individual life its technique must be experienced in a way that recognizes the anatomical, physiological, and psychological connections and disciplines.	0.331289
Mali by sme ju vysvetliť pomocou termínov tých skúseností, ktoré sa týkajú oblasti intelektu, emócií a ducha. ~~~ Termíny náhodných schopností a foriem by sme mali použiť len vtedy, ak pomáhajú funkcii vyjadrenia a komunikácie.	It should be conceived in terms of those experiences that lie within the realm of the intellect, emotions, and spirit, and not in terms of arbitrary skills and forms except as they assist the function of expression and communication.	-0.00233161
Nakoniec všetko závisí od jednotlivca.	In the end, everything depends upon the individual.	0.214286
