Medzi extázou a vytriezvením vám bude váš milenec pripomínať narkomana.	From ecstasy to withdrawal, the lover resembles an addict.	0.229412
Keď neurovedci Andreas Bartels a Semir Zeki porovnávali myšlienky šťastne zamilovaných ľudí s euforickými myšlienkami drogovo závislých, ktorí práve dostali dávku kokaínu alebo iného opiátu, v systéme odmeny mozgu sa aktivovalo mnoho podobných oblastí.	When neuroscientists Andreas Bartels and Semir Zeki compared the brains of happily-in-love participants with the brains of euphoric addicts who had just injected cocaine or opioids, many of the same regions in the brain’s reward system became active.	0.634446
Keď moji kolegovia znovu analyzovali zistené dáta z pozorovania 17-tich šťastne zamilovaných mužov a žien, objavili aktivitu v nucleus accumbens - v oblasti mozgu, ktorá je spojená so všetkými závislosťami, vrátane túžby po heroíne, kokaíne, nikotíne, alkohole, amfetamínoch, opiátoch ale aj túžby po hazardných hrách, sexe a jedle (ešte nepublikované údaje).	Moreover, when my colleagues reanalyzed our data on 17 men and women who were happily in love, we found activity in the nucleus accumbens (unpublished data), a brain region linked with all of the addictions—including the cravings for heroin, cocaine, nicotine, alcohol, amphetamines, opioids, and even gambling, sex, and food.	0.441938
Muži a ženy, ktorí sú v láske šťastní a bezpodmieneční, sú na svojich partneroch závislí.	Men and women who are intensely and happily in love are addicted to their partner.	0.269565
Moja kolegyňa, s ktorou skúmame mozog, neurovedkyňa Lucy Brownová tvrdí, že romantická láska je vlastne prirodzená závislosť, normálny, trochu pozmenený stav, ktorý zažívajú všetci ľudia.	So, my brain-scanning partner, neuroscientist Lucy Brown, has proposed that romantic love is a natural addiction, a normal altered state” experienced by almost all humans.	0.382952
Romantická príťažlivosť sa spája s niekoľkými psychologickými, behaviorálnymi a fyziologickými vlastnosťami.	Romantic attraction is now associated with a suite of psychological, behavioral, and physiological traits.	0.534043
Rozbor tohto šialenstva sa začal zhromažďovaním údajov, ktoré sa spomínajú v publikácii Láska a limerencia: skúsenosť s láskou (z originálu Love and Limerence) od Dorothy Tennovovej.	Data collection largely began with the now classic dissection of this madness, found in Love and Limerence, by Dorothy Tennov.	0.589683
Tennovová vytvorila približne 200 výrokov na tému romantická láska. ~~~ Požiadala 400 mužov a žien z Bridgeportskej univerzity a jej okolia v štáte Connecticut, aby na otázky odpovedali slovami áno alebo nie.	Tennov devised approximately 200 statements about romantic love and asked 400 men and women at and around the University of Bridgeport, Connecticut, to respond with true” or false” reactions.	0.118545
Dotazníky vyplnili stovky ďalších osôb.	Hundreds of additional individuals answered subsequent versions of her questionnaire.	-0.0416667
Z ich odpovedí, rovnako aj denníkov a iných osobných záznamov, Tennovová identifikovala charakteristiky, ktoré sú spoločné pre stav byť zamilovaný, ktorý nazvala limerenciou.	From their responses, as well as their diaries and other personal accounts, Tennov identified a constellation of characteristics common to this condition of being in love, ” a state she called limerence.”	0.383824
Prvým rozhodujúcim aspektom romantickej lásky je jej vznik, teda okamih, kedy váš partner začne pre vás znamenať niečo viac.	The first dramatic aspect of romantic love is its inception, the moment when another person begins to take on special meaning.	0.3
Začínate sa (zámerne) sústreďovať na danú osobu. Vedci hovoria o prvom náznaku záujmu.	”You start to focus intently on him or her, a state known to scientists as salience.	0.278571
Môže ísť o dlhoročného kamaráta, ktorého vidíte v inom svetle alebo o niekoho cudzieho.	”It could be an old friend seen in a new perspective or a complete stranger.	0.242857
Ako však povedal jeden z Tennovovej probandov: Zmenil sa celý môj život.	But as one of Tennov’s informants put it, My whole world had been transformed.	0.280645
Všetka moja pozornosť sa upriamila na môj nový objekt záujmu, na Marilyn.	It had a new center and that center was Marilyn.	0.400227
Romantická láska sa ďalej rozvíja podľa konkrétneho vzorca.	Romantic love then develops in a characteristic pattern, beginning with intrusive thinking.	0.141509
Všetko to začína nepokojnou mysľou. ~~~ Myšlienky o objekte vášho záujmu zaplavujú vašu myseľ.	Thoughts of the love object” begin to invade your mind.	0.179688
V ušiach vám stále rezonujú slová, ktoré povedal.		-0.3
Predstavujete si jej úsmev, pripomínate si rôzne odpovede, jedinečné okamihy, dvojzmyselné významy slov a vychutnávate si to.	A certain thing he said rings in your ear; you see her smile, recall a comment, a special moment, an innuendo—and relish it.	0.446278
Zaujíma vás, čo si objekt vášho záujmu myslí o knihe, ktorú čítate, o filme, ktorý ste videli alebo o probléme vo vašej práci.	You wonder what your beloved would think of the book you are reading, the movie you just saw, or the problem you are facing at the office.	0.277143
A každý zlomok sekundy, ktorý ste spolu prežili, si znova prehrávate a skúmate vo vašej mysli.	And every tiny segment of the time the two of you have spent together acquires weight and becomes material for review.	0.22875
Nikdy nezabudnem na ten pocit, keď som prvýkrát uvidela výsledky.	I will never forget the moment I first saw the results.	0.228261
Mala som pocit, že vyskočím do neba.	I felt like jumping in the sky.	0.242308
Najskôr sa tieto predstavy objavujú ako snívanie počas dňa.	At first these intrusive reveries may occur irregularly.	0.288
Niektorí tvrdia, že keď posadnutosť naberie na sile, dokážu 85 až 100 percent svojho času nepretržite rozmýšľať o objekte svojho záujmu. A sú zbláznení do jediného jednotlivca.	But many said that, as the obsession grew, they spent from 85 to almost 100 percent of their days and nights in sustained mental attentiveness, doting on this single individual.	1.68883
Fixovaním sa na jednu osobu milenci strácajú schopnosť sústrediť sa na iné veci, ako napríklad na každodenné povinnosti, prácu, školu a ľahko sa rozptyľujú.	Indeed, along with this fixation, lovers lose some ability to focus on other things, such as daily tasks, work, and school; they become easily distracted.	0.29313
Dokonca sa začnú zameriavať na triviálne povahové črty zbožňovaného jednotlivca. ~~~ Tieto vlastnosti následne zveličujú, čo môžeme nazvať procesom kryštalizácie.	Moreover, they begin to focus on the most trivial aspects of the adored one and aggrandize these traits in a process called crystallization.	-0.0302521
Kryštalizácia je odlišná od idealizácie v tom, že šialene zamilovaná osoba vníma slabé stránky svojho idola.	Crystallization is distinct from idealization in that the infatuated person does indeed perceive the weaknesses of his or her idol.	0.239362
Väčšina osôb, ktoré Tennovová pozorovala, dokázala spísať zoznam zlyhaní milovanej osoby.	In fact, most of Tennov’s participants could list the faults of their beloved.	0.241791
Jednoducho si tieto nedostatky nevšímali, alebo presvedčili sami seba o tom, že išlo o jedinečné a neodolateľné defekty.	But they simply cast these flaws aside or convinced themselves that these defects were unique and charming.	0.26087
Chaucer hovorí: Láska je slepá.	As Chaucer said, love is blynd.	0.788889
Tennovovej šialene zamilovaní respondenti poukázali počas fantazírovania na tri dominantné pocity: túžba, nádej a neistota.	Paramount in the daydreams of Tennov’s infatuated informants were three overriding sensations: craving, hope, and uncertainty.	0.294545
Ak osoba, ktorú milujete, reaguje pozitívne, zbláznený partner si bude tieto vzácne fragmenty prehrávať v mysli niekoľko dní.	If the cherished person gave the slightest positive response, the besotted partner would replay these precious fragments in reverie for days.	0.422115
Ak jedna alebo druhá strana pokus o zblíženie odmietne, z neistoty sa môže stať zúfalstvo a nevšímavosť.	If he or she rebuffed one’s overtures, uncertainty might turn to despair and listlessness instead.	0.285882
Milenec sa bude bezcieľne potulovať a premýšľať, až kým sa mu nepodarí ospravedlniť svoj neúspech a nenájde odpoveď na otázku.	The lover would moon about, brooding until he or she had managed to explain away this setback and renew the quest.	0.258947
Ústredným podnetom impulzívneho konania je nepriazeň osudu a sociálne bariéry. ~~~ Tieto faktory môžu posilniť romantickú vášeň a žiadostivosť.	Key incendiaries are adversity and social barriers; these heighten romantic passion and craving—a phenomenon I christened frustration attraction.”	-0.006
Ide o fenomén, ktorý som nazvala frustrácia z príťažlivosti.		-0.3
Základným spúšťačom úzkosti a extázy je nikdy nekončiaci sa strach.	And underlying all of this angst and ecstasy is unmitigated fear.	0.283929
28-ročný vodič kamiónu popísal podobné pocity ako väčšina respondentov: Skoro som vyskočil z kože, povedal.	A 28-year-old truck driver summed up what most informants felt: I’d be jumpy out of my head,” he said.	0.268235
Bolo to niečo ako tréma, akoby som kráčal na pódium pred dav ľudí.	It was like what you might call stage fright, like going up in front of an audience.	0.223636
Pri stlačení zvončeka sa mi triasli ruky.	My hand would be shaking when I rang the doorbell.	0.25
Keď som jej volal, pulz v spánkoch bol tak silný, že som nepočul ani vyzváňací tón.	When I called her on the phone, I felt like I could hear the pulse in my temple louder than the ringing of the phone.”	0.186957
Zvýšené množstvo energie (tzv. hypománia) je taktiež jedným z hlavných ukazovateľov romantickej lásky.	Intense energy (hypomania) is another central trait of romantic love.	0.152459
Pobláznený milenec sa chveje, bledne, zažíva návaly horúčavy, celkovú slabosť, zdrvujúci pocit trápnosti, koktanie a pociťuje reakcie, ktoré sú podmienené sympatickým nervovým systémom vrátane potenia, tzv. motýlikov v žalúdku, búšenia srdca, porúch prijímania potravy alebo problémov so zaspávaním.	Smitten lovers report trembling, pallor, flushing, a general weakness, overwhelming sensations of awkwardness and stammering, as well as one or more sympathetic nervous system reactions, including sweating, butterflies in the stomach, a pounding heart, and difficulty eating or sleeping.	0.361323
Niektorí ľudia majú dokonca pocit, že prišli o väčšinu základných schopností a zručností.	Some even feel a loss of their most basic faculties and skills.	0.38926
Francúzsky románopisec 19. storočia Stendhal tento pocit dokonale opísal.	Stendhal, the 19th-century French novelist, described this feeling perfectly.	0.281818
Spomenul si na popoludnie, kedy sa prechádzal so svojou milou a napísal: Vždy, keď som podal Léonore ruku, mal som pocit, že spadnem a musel som premýšľať, ako správne chodiť.	Recalling the afternoons, he went strolling with his sweetheart, he wrote, Whenever I gave my arm to Léonore, I always felt I was about to fall, and I had to think how to walk.	0.29375
Ďalšími ústrednými pocitmi romantickej vášne sú plachosť, dychtivé očakávanie, strach z odmietnutia, túžba po reciprocite a intenzívna motivácia získať si výnimočného človeka.	Shyness, anticipation, fear of rejection, longing for reciprocity, and intense motivation to win this special person are other central sensations of romantic passion.	0.27931
Milenci môžu byť často žiarliví, v snahe ochrániť začínajúce partnerstvo.	Lovers can also become easily jealous.	0.0264706
Niektorí zachádzajú do extrémov, čo je medzi zvieracími behavioristami známe ako ochrana partnera.	Some even go to extremes to protect the budding partnership, known to animal behaviorists as mate guarding.	0.282759
Ľudia, ktorých Tennovová pozorovala, zažívali predovšetkým pocit bezmocnosti a dojem, že ich posadnutosť bola iracionálna, mimovoľná, neplánovaná, nekontrolovateľná.	Above all, Tennov’s participants expressed the feeling of helplessness, the sense that this obsession was irrational, involuntary, unplanned, uncontrollable.	0.280714
Ja si skôr myslím, že náklonnosť k Emily je pudovou záležitosťou. ~~~ Ide o inštinktívne konanie, ktoré nie je ovládané voľou alebo logickosťou.	As a business executive in his early 50s wrote about an office crush, I am advancing toward the thesis that this attraction for Emily is a kind of biological, instinct-like action that is not under voluntary or logical.	-0.075
To mi udáva smer.	It directs me.	0.253846
Snažím sa tomu odolať, nenechať sa ovplyvňovať a využiť to napr. pri sexe, poprieť to, užiť si to a áno dofrasa, prinútiť ju reagovať!	I try desperately to argue with it, to limit its influence, to channel it (into sex, for example), to deny it, to enjoy it, and, yes, dammit, to make her respond!	0.48375
Aj keď viem, že Emily a ja nemáme absolútne žiadnu šancu na spoločný život, som posadnutý myšlienkou na ňu, uviedol 50-ročný obchodný manažér na tému kancelárske aféry.	Even though I know that Emily and I have absolutely no chance of making a life together, the thought of her is an obsession.	0.419412
Zdá sa, že romantická láska je súborom intenzívnych emócií, ktoré pripomínajú jazdu na horskej dráhe (zhora nadol) a pohyb kyvadla, pričom sa tieto emócie prejavia iba u jedného človeka a jeho rozmary vás môžu dohnať k zničeniu všetkého okolo vás vrátane pracovných príležitostí, vašej rodiny a vzťahu s vašimi priateľmi.	”Romantic love, it seems, is a panoply of intense emotions, rollercoastering from high to low, hinged to the pendulum of a single being whose whims command you to the detriment of everything around you—including work, family, and friends.	0.348401
Táto mimovoľná spleť myšlienok, pocitov a motivácie iba čiastočne súvisí so sexom.	And this involuntary mosaic of thoughts, feelings, and motivations is only partially related to sex.	0.2375
Tennovovej šialene zamilovaní respondenti túžia mať s milovanou osobou sex.	Tennov’s infatuated lovers yearned to have sex with their beloved.	0.253448
Ale ich žiadostivosť zatieňuje oveľa hlbšia túžba.	But their lust was overshadowed by a far deeper craving.	0.28
Chceli by svojim milovaným zavolať, napísať, pozvať ich von, ale predovšetkým opätovať ich vášeň.	They wanted their beloved to call, write, invite them out, and, above all, reciprocate their passion.	0.292941
Sexuálnu túžbu prekonáva emocionálna väzba medzi šialene zamilovanými mužmi a ženami.	For infatuated men and women, emotional union trumps sexual desire.	0.213559
V skutočnosti 95 percent žien a 91 percent mužov, ktorých Tennovová pozorovala negovalo výrok: Najlepšie na láske je sex.	In fact, 95 percent of Tennov’s female informants and 91 percent of her male subjects rejected the statement The best thing about love is sex.”	2.35385
Tieto pocity sa môžu objaviť v každom veku.	Moreover, these feelings can erupt at any age.	0.275676
Zistila som to, keď som zostavila môj vlastný dotazník na tému romantická láska a zozbierala údaje od 437 Američanov a 402 Japoncov.	I discovered this when I designed my own questionnaire on romantic love and collected data on 437 Americans and 402 Japanese.	1.91938
Ľudia starší ako 45 rokov a osoby mladšie ako 25 rokov nepreukázali žiadne významné štatistické rozdiely v 82 percentách otázok.	People over age 45 and those under 25 showed no significant statistical differences on 82 percent of the queries.	2.20625
Intenzívne pocity romantickej lásky sa zvyčajne vyskytujú v puberte.	Intense feelings of romantic love generally first occur around puberty.	0.290164
Ale aj malé deti môžu zažiť pocit zaľúbenia alebo detskú lásku.	But even young children can experience a crush” or puppy love.	0.29434
Najmladší zaľúbený človek, ktorého som stretla bol 2 a pol ročný chlapec.	The youngest love-struck person I ever met was a 2-and-a-half-year-old boy.	0.535714
Vždy, keď malé dievčatko prišlo do jeho domu na akože rande, sedel vedľa nej a hladkal ju po vlasoch. Po jej odchode mal asi dvojhodinové depresie.	Every time a particular little girl came to his home for a playdate, he just sat beside her and stroked her hair; after she departed, he became depressed for about two hours.	0.359892
Ona bola jedinečná a on bol (ňou) posadnutý.	She was special; he was obsessed.	0.206897
Láska zraňuje:	LOVE HURTS:	0.218182
Ilustrácia zo Stendhalovho románu Červený a čierny (z fran. originálu Le Rouge et le Noir), ktorá opisuje milostný trojuholník z roku 1830 počas Francúzskej revolúcie.	An illustration from Stendhal’s novel Le Rouge et le Noir, which features a love triangle set during the 1830 French Revolution.	2.38549
Hlavná postava románu - Julien Sorel - bol popravený gilotínou.	Its protagonist, Julien Sorel, is guillotined.	0.635714
Z časopisu Culture club	Culture Club	1.075
V roku 1996 som pracovala na projekte, ktorého cieľom bolo zistiť, čo sa deje v mozgu, keď sa človek bezpodmienečne a šialene zamiluje.	In 1996, I embarked on a project to establish what happens in the brain when you fall deeply, madly in love.	0.352094
Najskôr som naplánovala experiment.	First, I planned the experiment.	0.858621
Zozbierala som údaje o aktivite mozgu (pomocou funkčnej magnetickej rezonancie alebo fMRI) počas toho, ako šialene zamilovaní respondenti plnili dve samostatné úlohy: pozerali by sa na fotografiu milovanej osoby a sledovali by fotografiu človeka, ktorý by v respondentoch nevyvolal žiadne pozitívne alebo negatívne emócie.	I would collect data on brain activity (using functional magnetic resonance imaging, or fMRI) as love-smitten participants performed two separate tasks: gazing at a photograph of their beloved and looking at a photograph of someone who generated no positive or negative feelings in them.	0.390476
Pri pozeraní sa na fotografiu s milovanou osobou a na neutrálnu fotografiu by respondenti vykonávali činnosť, ktorá by ich rozptyľovala.	Between eyeing the positive and neutral photos, they would perform a distraction task.	0.342286
V tomto prípade by som na obrazovke premietala väčšie číslo (napríklad 6 137) a poprosila respondentov, aby od tohto čísla začali počítať odzadu z pamäti v inkrementoch po sedem (ide o kladné alebo záporné číslo, o ktoré dané číslo zväčšujeme).	In this case, I would cast a large number on the screen (like 6, 137) and ask participants to mentally count backward from this number in increments of seven.	0.328244
Myslela som si, že keď budú vystavení stimulom pripomínajúcim ich milovaných a neutrálnym podnetom, že ich myseľ sa zbaví silných emócií.	This, I hoped, would cleanse the brain of strong emotions between exposure to the beloved and exposure to the neutral stimulus.	0.272222
Potom by som porovnala mozgové aktivity, počas všetkých troch situácií.	Then I would compare the brain activity that occurred under all three conditions.	0.266667
Moja hypotéza?	My hypothesis?	0.3
Domnievala som sa, že nájdem zvýšenú aktivitu v tej časti mozgovej siete, ktorá vytvára dopamín, prírodný stimulant. ~~~ Táto oblasť mozgu generuje energiu, eufóriu, túžbu, sústredenosť a motiváciu, hlavné črty romantickej lásky.	Foremost, I suspected I would find elevated activity in the brain’s networks for dopamine, a natural stimulant—because this brain system generates energy, euphoria, craving, focus, and motivation, some of the core traits of romantic love.	-0.00530303
Taktiež som predpokladala, že vyššie množstvo neurochemického noradrenalínu v mozgu môže prispieť k šialenstvu, pretože daný neurotransmiter má za následok sústredenie sa a motiváciu, ale aj niektoré z telesných prejavov romantickej lásky. ~~~ Ide napríklad o motýliky v žalúdku, roztrasené kolená a sucho v ústach.	I also posited that the closely related neurochemical norepinephrine might contribute to this madness, because this neurotransmitter produces focus and motivation too, as well as some of the bodily responses of romantic love such as butterflies in the stomach, wobbly knees, and a dry mouth.	0.0315433
Myslela som si, že nízka aktivita v oblasti, v ktorej sa vytvára serotonín, môže vytvoriť dotieravé a obsedantné myšlienky spojené s romantickou vášňou.	And I thought low activity in the serotonin system might create the intrusive, obsessive thinking of romantic passion.	0.214706
Nakoniec som čakala, že do hry vstúpi mnoho ďalších neurochemických systémov, ktoré vyvolávajú rozličné emócie, pohnútky, myšlienkové pochody a sú výsledkom poznávacej činnosti a správania typického pre romantickú lásku.	Last, I expected that many other neurochemical systems might be involved—together producing the range of emotions, motivations, cognitions, and behaviors common to romantic love.	0.228846
Ale stavila som hlavne na dopamín.	But my bets were on dopamine.	0.24
Odmietnutí milenci sú stále šialene zamilovaní a lipnú na partnerovi, ktorý ich zavrhol.	These discarded lovers are still madly in love with and deeply attached to their rejecting partner.	0.268831
Trpia fyzicky aj duševne.	They are in physical and mental pain.	0.182609
Potom som s Brownom, psychológom Artom Aronom a s inými zoskenovala mozog ďalším 17-tim milencom. ~~~ Išlo o 10 žien a 7 mužov, ktorí boli šialene a šťastne zamilovaní po dobu v priemere 7,4 mesiaca.	Then, with Brown, psychologist Art Aron, and others, I put 17 new lovers into the brain scanner: 10 women and seven men who had been madly and happily in love for an average of 7.4 months.	-0.0107143
Stála som v tmavom laboratóriu na pôde Lekárskej fakulty Alberta Einsteina.	I was standing in a darkened lab at the Albert Einstein College of Medicine.	0.290625
Bolo to ešte pred tým, ako som rozpoznala aj tie najmenšie zhluky, ktoré vykazovali aktivitu vo ventrálnej tegmentálnej oblasti alebo VTA, teda oblasti mesencefalonu, tiež známeho ako stredný mozog. Ide o malú továreň v blízkosti spodnej časti mozgu, ktorá vyrába dopamín a týmto prírodným stimulantom zásobí aj iné oblasti v mozgu.	Before my eyes were scans showing blobs of activity in the ventral tegmental area, or VTA, a tiny factory near the base of the brain that makes dopamine and sends this natural stimulant to many brain regions.	0.346091
Zároveň sme zaznamenali aktivitu v iných častiach mozgu, ale oblasť VTA bola veľmi dôležitá.	We found activity in many other brain regions, but the VTA was particularly important.	0.475676
Je súčasťou systému odmeny mozgu, mozgovej siete, ktorá generuje pocit nedostatku, chuť hľadať, túžbu, energiu, sústredenie a motiváciu.	This factory is part of the brain’s reward system, the brain network that generates wanting, seeking, craving, energy, focus, and motivation.	0.295
Fičia na prírodnom amfetamíne.	They are high on natural speed.	0.288889
Muži cítia túto vášeň rovnako intenzívne ako ženy.	And men feel this passion just as powerfully as women.	0.286364
V tejto súvislosti Tennovová vzhľadom na viac než 800 respondentov vyhodnotila, že muži aj ženy zažili intenzívnu vášeň v takmer rovnakom percentuálnom pomere.	Tennov wrote of her more than 800 informants that men and women experienced this intense passion in roughly equal proportions.	1.7881
S mojimi kolegami sme tento predpoklad potvrdili.	My colleagues and I have now confirmed this.	0.252632
V našej štúdii zameranej na mladých šťastných milencov s pomocou fMRI muži preukázali rovnakú aktivitu v oblasti VTA a iných nervových dráhach súvisiacich s romantickou vášňou ako ženy.	In our fMRI study of young happy lovers, men showed just as much activity in the VTA and other neural pathways for romantic passion as women did.	0.416786
Navyše pri opakovaní experimentu so skenovaním mozgu v Číne miestni respondenti zaznamenali rovnakú aktivitu vo VTA a v oblasti, v ktorej sa vytvára dopamín. V tomto prípade hovoríme o neurochemických dráhach plných potrieb.	Moreover, when my colleagues re-did this brain scanning experiment in China, their Chinese participants showed just as much activity in the VTA and other dopamine pathways—the neurochemical pathways for wanting.	0.380381
Takmer každý človek na tejto Zemi pociťuje rovnakú vášeň.	Almost everyone on earth feels this passion.	0.215385
Keďže VTA leží v blízkosti primitívnych oblastí mozgu, ktoré sú prepojené s pocitmi hladu a smädu, uvedomila som si, že romantická láska je u ľudí základnou hnacou silou.	In fact, because the VTA lies near primitive brain regions associated with thirst and hunger, I came to realize that romantic love is a basic human drive.	0.479402
Môj kolega Brown, ktorý má na starosti röntgenové snímanie mozgu, pridal zaujímavú myšlienku. ~~~ Romantická láska je podľa neho rovnako dôležitým mechanizmom na prežitie ako uspokojiť smäd.	My brain-scanning partner Brown has added to this perspective, saying that romantic love is a survival mechanism as crucial as the craving for water.	-0.0437008
Táto hnacia sila, tento mechanizmus dôležitý na prežitie, je tiež závislosťou.	This drive, this survival mechanism, is also an addiction.	0.194118
Avšak nie sme jediné bytosti, ktoré zdedili chémiu lásky.	Moreover, we are not the only creatures that have inherited the chemistry of love.	0.18
Keď samica hraboša prérijného začne prejavovať záujem o samca toho istého druhu, v niektorej z častí odmeňovania mozgu sa zvýši hladina dopamínu o 50 percent.	When a female prairie vole begins to express attraction to a male vole, she experiences a 50 percent increase of dopamine activity in parts of this reward system.	1.56701
Zvýšenie dopamínu v mozgu spôsobí, že aj samec ovce bude v očiach samice atraktívnejší.	An increase of dopamine in the brain is also associated with mate attraction in female sheep.	0.284
Nervový mechanizmus súvisiaci s príťažlivosťou sa vyvinul u mnohých druhov vtákov a cicavcov tak, aby jednotlivcom umožnil uprednostniť a zamerať sa na konkrétnych páriacich sa partneroch, čím sa ušetrí drahocenný čas a energia pri dvorení.	Hence, this neural mechanism for attraction must have evolved in many species of birds and mammals—to enable individuals to prefer and focus on specific mating partners, thereby conserving valuable courtship time and energy.	0.278238
U väčšiny druhov však príťažlivosť trvá krátko a môže ísť o minúty, hodiny, dni alebo týždne.	In most species, however, this attraction is brief, lasting only minutes, hours, days, or weeks.	0.28481
