Po prepuknutí rezignácie, respektíve zúfalstva, sa milenec vzdáva nádeje a skĺza do depresie.	As resignation/despair sets in, the lover gives up hope and slips into depression.	0.253521
Bruce Ellis a Neil Malamuth pri pozorovaní 124 párov, ktoré spolu chodia, zistili, že každý druh informácie vyvolá iné prejavy romantickej lásky a hnevu alebo rozrušenia.	In a study of 124 dating couples, Bruce Ellis and Neil Malamuth reported that romantic love and anger/upset” react to different kinds of information.	2.17512
Intenzita hnevu prípadne rozrušenia môže u milenca kolísať v závislosti od udalostí, ktoré maria ciele milenca, akými sú napríklad nevera partnera, nedostatok emocionálnej odovzdanosti alebo odmietnutie.	The lover’s level of anger/upset oscillates in response to events that undermine the lover’s goals, such as a mate’s infidelity, lack of emotional commitment, or rejection.	0.237162
Pocity romantickej lásky milenca sa menia aj v závislosti od udalostí, ktoré podporujú ciele milenca, ako napríklad viditeľná sociálna podpora partnera počas výletov s príbuznými a priateľmi alebo bezprostredné prejavy lásky a vernosti.	The lover’s feelings of romantic love fluctuate in response to events that advance the lover’s goals, such as a partner’s visible social support during outings with relatives and friends, or a direct declaration of love and fidelity.	0.465865
Romantická láska a hnev alebo rozrušenie môžu prebiehať súčasne, čo môže zvýšiť závislosť na partnerovi aj po odmietnutí.	Thus, romantic love and anger/upset can operate concurrently, adding intensity to one’s rejection addiction.	0.271875
Túto protestnú reakciu sme museli zdediť, pretože vychádza zo základného mechanizmu cicavcov, ktorý sa spustí po porušení akéhokoľvek druhu spoločenskej pripútanosti.	We must have inherited this protest response, for it stems from a basic mammalian mechanism that gets triggered when any kind of social attachment is ruptured.	0.273333
Vezmime si napríklad malé psíča.	Take the puppy.	-0.0214286
Ak by sme ho vzali matke a dali ho do kuchyne, okamžite začne chodiť z miesta na miesto, zúfalo skákať na dvere, štekať a kňučať na znak protestu.	When it is removed from mother and put into the kitchen by itself, it immediately begins to pace, frantically leaping at the door, barking and whining in protest.	0.363448
Izolované malé potkany vydávajú nepretržité vzlyky s vyššou intenzitou ako dokáže vnímať ľudské ucho.	Isolated baby rats emit ceaseless ultrasonic cries; they hardly sleep because their brain arousal is so intense.	0.273034
Dokonca pre vzrušenie v mozgu, ktoré je veľmi intenzívne, nedokážu ani spať.		-0.3
Účelom tohto protestu je zvýšiť ostražitosť a podnietiť opustené stvorenie, aby protestovalo, hľadalo a volalo o pomoc.	The purpose of this protest: to increase alertness and stimulate an abandoned creature to object, search, and call for help.	0.294231
Námietky, odpoveď na stresovú situáciu, frustrácia z príťažlivosti, hnev v dôsledku opúšťania sa, túžba, abstinenčné príznaky, toto všetko zohráva úlohu na celom svete pri zločinoch, ktoré sú motivované vášňou.	Protest, the stress response, frustration-attraction, abandonment rage, craving, withdrawal symptoms: All play a role in the worldwide incidence of crimes of passion.	0.223973
Rovnako ako všetky závislosti, aj romantická láska môže viesť k násiliu.	Like all addictions, romantic love can lead to violence.	0.214286
Avšak nakoniec to opustený milenec vzdá.	Eventually, however, the abandoned lover gives up.	0.225
On alebo ona prestane prenasledovať milovanú osobu, následne sa dostane do druhej typickej fázy romantického odmietnutia - rezignácie alebo zúfalstva.	He or she stops the pursuit of the beloved, ushering in the second general phase of romantic rejection, resignation/despair.	0.229907
Počas tejto fázy odmietnutý človek prepadne pocitom letargie, skleslosti, melanchólie a depresie, čo je známe ako zúfalá reakcia organizmu.	During this stage, the rejected one slips into feelings of lethargy, despondency, melancholy, and depression, known as the despair response.	0.3
Pri pozorovaní 114 mužov a žien, ktorých partner opustil počas posledných ôsmich týždňov sa ukázalo, že 40 percent z nich zažilo tzv. klinicky merateľnú depresiu.	In a study of 114 men and women who had been rejected by a partner within the past eight weeks, 40 percent experienced clinically measurable depression.	2.00499
Niektorí milenci so zlomeným srdcom dokonca zomrú na následky infarktu alebo mŕtvice, ktoré boli výsledkom depresií.	Some broken- hearted lovers even die from heart attacks or strokes caused by their depression.	0.222222
Iní spáchajú aj samovraždu.	Others commit suicide.	0.242857
Odmietnutí milenci pociťujú smútok aj počas protestnej fázy. Keď zmizne všetka nádej, môže sa stupňovať.	Surely most rejected lovers feel this sadness during the protest phase as well, but it’s likely to escalate as all hope vanishes.	0.240659
Toto zúfalstvo je prepojené s niekoľkými mozgovými dráhami.	This despair has been associated with several brain networks.	0.29434
Pravdepodobne sú aktívne aj dopamínové dráhy.	Yet, once again, dopamine circuits are most likely involved.	0.212195
Keď odmietnutý partner dospeje k presvedčeniu, že odmenu nikdy nedostane, bunky produkujúce v systéme odmeny mozgu dopamín, znižujú aktivitu a vyvolávajú letargiu, skleslosť a depresiu.	As the rejected partner comes to believe that the reward will never come, dopamine-producing cells in the reward system of the brain decrease their activity, producing lethargy, despondency, and depression.	0.385755
Krátkodobý stres zvyšuje produkciu dopamínu a norepinefrínu.	Short-term stress escalates the production of dopamine and norepinephrine.	0.234545
Dlhodobý stres potláča aktivitu týchto neurochemikálií a naopak spôsobuje depresiu.	Long-term stress suppresses the activity of these neurochemicals, producing depression instead.	0.256
Mnoho odborníkov definuje závislosť ako patologickú, problematickú poruchu.	Many professionals define addiction as a pathological, problematic disorder.	0.3
Keďže romantická láska je vzhľadom na rôzne okolnosti pozitívnou skúsenosťou, výskumníci nechcú oficiálne klasifikovať romantickú lásku ako závislosť.	And because romantic love is a positive experience under many circumstances, researchers remain largely unwilling to officially categorize romantic love as an addiction.	0.268657
Pokiaľ ide o vzorce správania a mechanizmy v mozgu, závislosť na láske je však rovnako reálna ako ktorákoľvek iná závislosť.	But love addiction is just as real as any other addiction, in terms of its behavior patterns and brain mechanisms.	0.26875
Aj keď romantická láska nie je zdraviu škodlivá, je spojená s intenzívnou túžbou a úzkosťou a dokáže prinútiť milenca uveriť, povedať a urobiť nebezpečné a nevhodné veci.	Even when romantic love isn’t harmful, it is associated with intense craving and anxiety and can impel the lover to believe, say, and do dangerous and inappropriate things.	0.297931
Okrem toho, všetky formy užívania návykových látok vrátane alkoholu, opiátov, kokaínu, amfetamínu, marihuany a tabaku (ako aj závislosť na jedle, hazardných hrách a sexe, ktoré nespadajú do kategórie závislostína návykových látkach) okamžite spustia niekoľko rovnakých systémov odmeňovania, ktoré sú zároveň aktívne pri šťastne zamilovaných mužoch a ženách, ako aj medzi odmietnutými jedincami.	Moreover, all forms of substance abuse, including alcohol, opioids, cocaine, amphetamines, cannabis, and tobacco (as well as the non-substance addictions to food, gambling, and sex) activate several of the same reward pathways that are activated among men and women who are happily in love, as well as those rejected in love.	0.226087
Na rozdiel od všetkých ostatných závislostí, ktoré trápia iba percento populácie, sa určitá forma závislosti na láske vyskytne takmer u každého človeka v určitom okamihu jeho života.	Unlike all other addictions, however, which afflict only a percentage of the population, some form of love addiction is likely to occur to almost every human being at some point during the life course.	0.27707
Najnovšie zistenia tvrdia, že romantická láska by mala byť považovaná za závislosť, aj keď nie je oficiálne zaradená medzi závislosťami.	Modern data suggest that romantic love should be treated as an addiction, regardless of its lack of official diagnostic classification as an addiction.	0.269492
Zviera v človeku sa môže prebudiť pri návale emócií, ktoré striedavo ustupujú a vzplanú na základe telesného rytmu. ~~~ Predkovia to údajne objavili, keď prvýkrát zostúpili z afrických stromov na zem. Postupne našli správny rytmus vzťahu, ktorý bol v súlade s ich prirodzeným rozmnožovacím cyklom. Boli to 3 až 4 roky.	The human animal seems driven by a tide of feelings that ebb and flow to an internal beat, a rhythm that emerged when our ancestors first descended from the trees of Africa and developed a tempo to their relationships that was in synchrony with their natural breeding cycle—three to four years.	0.0648657
Systém mozgu, ktorý produkuje dopamín, vazopresín, oxytocín a iné neurochemikálie pravdepodobne zosúladí tento rytmus, keď sa človek zamiluje. Rytmus sa zmení, keď človek začne cítiť silnú náklonnosť a harmóniu doslova vesmírnych rozmerov. Potom nastane tzv. stav znecitlivenosti alebo preťaženia, ktorý vedie k ľahostajnosti alebo vnútornému nepokoju. Pomaly ničí lásku a vedie k odlúčeniu, utrpeniu, ktoré môže spustiť matku všetkých závislostí, závislosť na partnerovi.	Perhaps the brain’s systems for dopamine, vasopressin, oxytocin, and other neurochemicals orchestrate this rhythm, escalating when you fall in love, changing as you begin to feel deep attachment and cosmic union, then eventually becoming desensitized or overloaded, leading to indifference or restlessness that slowly eats your love and leads to separation—a hardship that can trigger the mother of all addictions, addiction to a mate.	0.316312
Helen Fisherová je biologickou antropologičkou a vedeckou pracovníčkou na Kinseyho inštitúte.	Dr. Helen Fisher is a biological anthropologist and senior research fellow at The Kinsey Institute.	0.792857
Napísala päť medzinárodne uznávaných (a celosvetovonajpredávanejších) kníh o láske a osobnosti. ~~~ V súčasnosti je hlavnou vedeckou poradkyňou agentúry Match.com.	She has written five internationally best-selling books on love and personality and is currently Chief Scientific Advisor to Match.com.	0.00614035
Úryvok z knihy Anatómia lásky: Prirodzená história párenia, manželstva a prečo sme Stray © 2016 Helen Fisherová, vydané vydavateľstvom Z angl. Love Is Like Cocaine preložila DB W. W. Norton 1. februára 2016	Excerpted from the book Anatomy of Love: A Natural History of Mating, Marriage, and Why We Stray © 2016 by Helen Fisher, published by W. W. Norton on Feb. 1, 2016.	0.864459
Pre účely tejto štúdie podstúpilo echo-planárne zobrazovanie 52 osôb, pričom išlo o rodených pravákov (P), rodených ľavákov (Ľ) a osoby, ktoré boli v mladom veku nútené preučiť sa z prirodzene dominantnej ľavej ruky na ruku pravú.	Echo-planar MR imaging was performed in 52 subjects: consistent right- handers (RH), consistent left-handers (LH), and subjects who had been forced at an early age to switch their left-hand preferences toward the right side.	1.23661
Snímanie prebiehalo počas toho, ako participanti vykonávali buď jednoduché pohybové úlohy (ohýbanie ukazováka), alebo komplexné úlohy (postupné vyvíjanie tlaku na palec).	The scanning was performed during simple (flexion/extension of the index finger) and complex (successive finger-thumb opposition) tasks.	0.22562
Participanti vykonávali činnosti preferovanou aj nepreferovanou rukou.	Subjects performed the tasks using both the preferred and non-preferred hand.	0.286154
U pravákov sme zaznamenali všeobecnú prevahu v aktivácii ľavej hemisféry v porovnaní s hemisférou pravou.	In righthanders, there was a general predominance of left-hemisphere activation relative to right hemisphere activation.	0.251087
U ľavákov bol model aktivácie opačný.	In lefthanders this pattern was reversed.	0.263636
U preučených osôb sme takúto objemovú asymetriu nezaznamenali.	The switched subjects showed no such volumetric asymmetry.	0.276923
Zvýšenie náročnosti pohybovej aktivity viedlo k zvýšenej aktivácii stále aktivovaných oblastí a navyše k následnej aktivácii ipsilaterálnej hemisféry k hemisfére kontralaterálnej.	Increasing levels of complexity of motor activity resulted in an increase in the volume of consistently activated areas and the involvement of the ipsilateral in addition to contralateral activations.	0.275625
U pravákov aj ľavákov aktivovali pohyby vykonávané ich preferovanou rukou prevažne kontralaterálnu hemisféru mozgu, zatiaľ čo pohyby nepreferovanej ruky viedli k pomerne vyváženejšej aktivácii oboch hemisfér s väčším zapojením ipsilaterálnych aktivácií.	In both right- and left-handers, movements of the preferred hand activated mainly the contralateral hemisphere, whereas movements of the non-preferred hand resulted in a more balanced pattern of activation in the two hemispheres, indicating greater involvement of the ipsilateral activations.	0.259821
Táto štúdia dokazuje, že u ľavákov aj pravákov je preferovaná ruka z väčšej časti riadená kontralaterálnou hemisférou, zatiaľ čo nepreferovaná ruka je riadená oboma hemisférami.	Overall, this study shows that in both left- and right-handed subjects, the preferred hand is controlled mainly by the hemisphere contralateral to that hand, whereas the non-preferred hand is controlled by both hemispheres.	0.225974
Preučení jednotlivci zdieľajú určité vlastnosti motorickej kontroly s ľavákmi aj pravákmi.	The switched individuals share features of both left-handers and right-handers regarding their motor control architectures.	0.192593
Kľúčové slová: ľaváctvo, motorická kontrola, fMRI (funkčná magnetická rezonancia), plasticita mozgu, funkčná asymetria hemisfér	Key words: left-handedness, motor control, fMRI, brain plasticity, hemispheric asymmetry	0.16875
Preferencia jednej z rúk je najvýraznejším prejavom asymetrie mozgu u človeka.	Hand preference is the most prominent behavioral expression of brain asymmetry in man.	0.273913
Väčšina populácie (približne 90 %) uprednostňuje pri každodenných činnostiach pravú ruku.	The majority (approximately 90%) of the human population is righthanded.	0.225
Aj napriek dlhotrvajúcemu výskumu, ktorý sa zaoberá problémom neurobiologického pôvodu preferencie ruky a tiež presvedčeniu, že bezprostredne súvisí s funkčnou asymetriou mozgu (Grabowská et al. , 1994), neurálne koreláty pri preferencii ruky sú stále predmetom diskusie.	Despite a long history of research on the neurobiological origin of handedness and common believe that it is strongly linked to the brain asymmetry (Grabowska et al. 1994), the neural correlates of hand preferences are still a matter of debate.	0.579179
Pokroky v technikách funkčného neurozobrazovania umožňujú priame meranie kortikálnej reprezentácie pohybov.	The advances in functional neuroimaging techniques have allowed the cortical representation of movements to be measured directly.	0.25102
Štúdie o neuro-zobrazovaní, ktoré sa zameriavali na mozgové koreláty pri preferencii jednej z rúk, pripísali túto behaviorálnu asymetriu funkčnej asymetrii hemisfér v kôrových oblastiach riadiacich motorické funkcie.	The neuroimaging studies that have focused on the brain correlates of hand preference have attributed this behavioral asymmetry to hemispheric lateralization of the cortical areas controlling motor function.	0.283425
Títo autori však majú odlišné názory na špecifické prejavy rozdielov, ktoré sa týkajú preferencie ruky.	There is, however, a lack of consistency in these authors’ opinions as to the specific manifestation of handedness- related differences.	0.206667
Tieto rozdiely sa vyskytli v lokalizácii, objeme či množstve aktivovaných oblastí v oboch hemisférach a tiež v špecifickej prítomnosti ipsilaterálnej aktivácie pri motorickej kontrole preferovanej a nepreferovanej ruky.	Such differences have been found either in the localization, the volumes or the number of activated areas in the two hemispheres or in the specific presence of ipsilateral activation in the motor control of the preferred vs. non-preferred hand.	0.278238
Navyše, model ipsilaterálnej aktivácie sa zdá byť závislý od takých faktorov, ako je napríklad komplexnosť pohybu.	Moreover, this ipsilateral activation pattern seems to be dependent on such features as movement complexity.	0.284211
FMRI štúdia Solodkina a kol. (2001) zistila, že počas sekvenčného pohybu prstom mali ľaváci tendenciu aktivovať asociačné oblasti kôry vo väčšej miere a množstve a preukazovali menšiu lateralizáciu než praváci.	In their fMRI study Solodkin and coauthors (2001) found that, during the performance of a sequential finger movement task, left-handers tended to activate larger volumes in a greater number of association cortices and showed less lateralization than did righthanders.	0.511202
Nasledujúca práca rovnakých autorov odhalila väčšiu aktiváciu v ľavej premotorickej kôrovej oblasti pri používani oboch rúk u pravákov, čo naznačilo všeobecnú dominanciu ľavej hemisféry pri motorických funkciách. U ľavákov sa preukázala aktivácia prevažne v premotorickej kôrovej oblasti kontralaterálnej k práve pohybujúcej sa ruke, čo nenaznačilo takúto asymetriu (Hluštík et al. , 2002).	A subsequent report by the same authors revealed that right-handers had greater activation in the left premotor area for either hand, indicating a general dominance of the left hemisphere in motor function, whereas the left-handed group showed a predominance of activation in the premotor cortex contralateral to the moving hand (either left or right), indicating no such asymmetry (Hlustik et al. 2002).	0.466282
Volkman a kol. (1998) v magnetoencefalografickej štúdii a Dassonville a iní (1997) v fMRI štúdii pomocou podobných porovnaní však dokázali, že použitie preferovanej ruky u pravákov aj ľavákov súviselo s väčšou aktiváciou kontralaterálnej motorickej kôrovej oblasti.	However, similar comparisons performed by Volkman and colleagues (1998) in a magnetoencephalographic study and by Dassonville and others (1997) in an fMRI study revealed that, in both right- and left-handers, the use of the preferred hand was associated with a greater volume of activation in the contralateral motor cortex.	0.807827
Viaceré štúdie sa zamerali výhradne na problematiku ipsilateránej aktivácie, a to na základe zistenia, že u pravákov je ipsilaterálna aktivácia charakteristická pre pohyb nepreferovanej (ľavej) ruky ako protiklad k pohybom ruky preferovanej.	Several papers have specifically focused on the ipsilateral activation issue based on the observation that in right-handers ipsilateral activation is characteristic of non-preferred (left) hand movements as opposed to preferred hand movement.	0.389487
Singh a kol. (1998) zistili, že praváci vykazovali väčšiu aktiváciu v senzomotorickej oblasti ipsilaterálnej hemisféry pri pohyboch nepreferovanej ľavej ruky v porovnaní s aktiváciou ipsilaterálnej hemisféry pri pohyboch preferovanej pravej ruky. ~~~ V prípade ľavákov sa takáto asymetria nevyskytla.	Singh and coauthors (1998) reported that right handers showed greater activation of the ipsilateral hemisphere in the sensorimotor region for non-preferred (left) hand movements compared to ipsilateral hemisphere activation for preferred (right) hand movements; whereas, in left- handers, such asymmetry was not present.	0.0508929
V súlade s týmito zisteniami Gut a kol. (2007) spozorovali u pravákov výhodu ispilaterálnej aktivácie pri pohyboch ľavej ruky v porovnaní s pohybmi pravej ruky.	In line with those findings Gut and coworkers (2007) found in right-handed participants the advantage of ipsilateral activation during the left hand movements compared to the right hand movements.	0.460696
Kawashima a iní (1997) zaznamenali ipsilaterálnu aktiváciu tiež u ľavákov, nie však v motorickej, ale v premotorickej kôrovej oblasti a nie v ľavej, ale v pravej hemisfére.	Ipsilateral activation was also registered in lefthanded individuals by Kawashima and others (1997), but the effects were present in the premotor and not the motor cortex and in the right and not the left hemisphere.	0.333673
Bohužiaľ, tieto údaje nemožno porovnávať s údajmi o pravákoch, keďže počas výskumu nebola prítomná žiadna kontrolná skupina.	Unfortunately, these data could not be contrasted with data from right-handers, as no appropriate control group was involved.	0.3
Ďalšie dve štúdie poukazujú na podobnú motorickú kontrolu u ľavákov aj pravákov: obe skupiny preukázali väčšiu ipsilaterálnu aktiváciu v motorickej kôrovej oblasti ľavej hemisféry v porovnaní s hemisférou pravou.	Two other studies pointed to similarities in the motor control of left- and right- handers: bothgroups had stronger ipsilateral activations in the motor cortex of the left hemisphere compared to the right hemisphere.	0.3
Jediný rozdiel (ktorý zistil Verstynen a kol. , 2005) je, že u ľavákov bola funkčná asymetria hemisfér menej badateľná.	The only difference (revealed by Verstynenand coworkers in 2005) was that, in left-handers, the hemispheric asymmetries were less pronounced.	0.385294
Ak berieme do úvahy typ pohybových činností, ktoré vykonávali osoby zúčastnené na týchto výskumoch, odchýlka získaných výsledkov sa zvyšuje.	The divergence of the obtained results increases if one takes into account the type of motor tasks performed by the subjects in these studies.	0.2925
Nie je celkom jednoznačné, či rozdiely medzi ľavákmi a pravákmi existujú pri motorickej činnosti vo všeobecnosti, alebo či sú prevažne späté s komplexnejšími motorickými úlohami zahŕňajúcimi sekvenčnú zložku.	Specifically, it is not clear whether differences between left- and right-handers apply to motor behavior in general or are predominantly linked to more complex motor tasks involving sequential component in the movements.	0.285165
Solodkin a kol. (2001) a Verstynen a kol. (2005) objavili počas testovania jednoduchých a komplexných pohybov rozdiely súvisiace s preferenciou ruky iba pri komplexných pohyboch. Volkman a kol. (1998) a Klöppel a kol. (2007) však takéto rozdiely spozorovali aj pri relatívne jednoduchých činnostiach.	Using simple and complex movements, Solodkin and coauthors (2001) and Verstynen and colleagues (2005) found handedness-related differences only for complex tasks, however, differences have also been reported for relatively simple tasks (Volkman et al. 1998, Klöppel et al. 2007).	0.653926
Tieto zistenia poukazujú na dôležitosť kontroly komplexnosti úloh v budúcich štúdiách.	These findings points to the importance of controlling for task complexity in future studies.	0.284416
V prípade vynúteného praváctva sú otázky súvisiace s mozgovými korelátmi motorickej kontroly ďalším zaujímavým problémom, ktorý sa týka vlyvu preferencie jednej z rúk na organizáciu motorických funkcií v mozgu.	Questions about the brain correlates of motor control in case of forced right-handedness are another interesting issue concerning the effect of hand-preference on the organization of motor function in the brain.	0.298352
Väčšina ľavákov, obzvlášť staršia generácia, bola k preučeniu z ľavej ruky na pravú prinútená.	Many individuals, especially in older generation, report that they had experienced considerable pressure to switch their hand preference from left toright.	0.102439
Pokusy o preučenie môžu prebiehať takmer bez problémov a viesť u dieťaťa k zmene preferovanej ruky pri vykonávaní rôznych každodenných činností vrátane písania. V opačnom prípade môžu byť sprevádzané rôznymi neželanými ťažkosťami a viesť k preferovaniu opačnej ruky len pri určitých činnostiach.	Switch attempts may proceed either nearly free of problems and lead to a change in the child’s hand preference for a wide range of everyday activities, including writing; or switch attempts may bring much difficulty and result in a switch of preferences for only few activities.	0.412612
Pravdepodobne pôjde o činnosti, ako sú napr. písanie, kreslenie alebo jedenie, teda tie, kvôli ktorým bolo dieťa prinútené začať používať pravú ruku.	These specific activities are likely to include the specific targets of forced right-handednes such as writing, drawing or eating.	0.257522
Ak zvážime všetky tieto fakty, vzniká otázka, či skoré preučenie rodených ľavákov vedie k zmenám v organizácii mozgu, a teda mení sa viac na mozog "pravácky", alebo ostáva naďalej "ľaváckym".	Taken these facts together, the question follows whether early changes of hand preference behaviors due to environmental pressure exerted upon originally left-handed individuals lead to changes in brain organization toward a more right-handed” brain, or do these people still preserve left handed” brain features.	0.198001
Prihliadajúc na mnohé štúdie o plasticite mozgu, ktoré dokazujú, že ľudský mozog je schopný značnej reorganizácie v dôsledku skúseností a senzomotorických cvičení, pravdepodobnejšia je prvá možnosť.	The first possibility seems more plausible in light of many brain plasticity studies showing that the human brain is capable of substantial reorganization due to experience, and sensorimotor training.	0.298266
Druhú možnosť však nemožno vylúčiť, pretože lateralizácia mozgu je silne geneticky podmienená, a teda do veľkej miery závislá od vrodených faktorov.	However, the latter possibility cannot be excluded because the lateralization of brain function seems to be strongly genetically driven and, thus, heavily dependent on innate factors.	0.230233
Je tiež veľmi zaujímavé, či efektívnosť procesu preučenia z ľavej ruky na pravú nejakým spôsobom súvisí s tým, čo sa deje v mozgu.	Whether the effectiveness of a hand-preference conversion process is somehow related to what happens in the brain is also extremely interesting.	0.255963
Môžeme predpokladať, že jednotlivci odolnejší voči pokusom o preučenie, boli v porovnaní s úspešne preučenými jednotlivcami taktiež odolnejší voči reorganizácii mozgu.	It could be predicted that individuals who were more resistant to the alteration of hand preference were also more resistant to reorganization of their brains as compared with the individuals who switched more successfully.	0.212838
Otázkou teda je, či sa zmeny v profile behaviorálnych preferencií odrážajú v modeloch funkčnej organizácie mozgu.	In other words, the question is whether changes in the profile of behavioral preferences are reflected in the brain’s functional organization patterns.	0.379501
Skúmanie preučených ľavákov a následné porovnávanie týchto jednotlivcov s rodenými pravákmi a ľavákmi predstavuje jedinečnú príležitosť, ako získať lepší pohľad dovnútra mechanizmov, ktoré určujú lateralizáciu funkcií a podieľajú sa na plasticite mozgu.	Studying individuals who underwent attempts to switch toward right handedness and comparing them with consistent left- and right-handers presents an unusual opportunity to gain a better insight into the mechanisms that, on the one side, determine the lateralization of function and, on the other side, are involved in brain plasticity.	0.30481
Pri zmene preferencie ruky sa neurálnymi korelátmi zaoberalo niekoľko funkčných a štrukturálnych štúdií založených na neurozobrazovaní.	There are few functional or structural neuroimaging studies that investigated the neural correlates of switching handedness.	0.27
Siebner a iní (2002) v fMRI štúdii skúmali participantov počas písania ich dominantnou rukou, čiže rukou, ktorou bežne píšu.	Siebner and coworkers (2002), performed fMRI study during writing with the dominant hand (i. e. the hand normally used for writing by the tested subjects).	0.529907
U pravákov bola spozorovaná väčšia aktivácia v premotorickej a parietálnej kôre ľavej hemisféry, zatiaľ čo u preučených ľavákov bola aktivácia viac bilaterálna, s určitými aktivačnými ložiskami v pravej hemisfére, predovšetkým v premotorickej, v parietálnej a temporálnej oblasti.	The results showed the predominance of activation in left parietal and premotor regions in right-handers, and more bilateral activation with some activation foci in the right hemisphere (particularly in premotor, parietal and temporal areas) in switched left-handers.	0.28319
Taktiež sa zistilo, že existuje vzťah medzi stupňom dominancie ľavej ruky a cerebrálnym prietokom krvi v týchto oblastiach pravej hemisféry.	Moreover, there was a relationship between the degree of left hand dominance and cerebral blood flow in these right hemisphere regions.	0.42734
Siebner a kol. (2002) v tej istej štúdii skúmali model aktivácie mozgu aj u rodených ľavákov, pričom v tomto prípade bola charakteristická jasná dominancia pravej hemisféry.	In the same research the brain activation pattern was also studied in consistent lefthanders; this pattern was characterized by a clear right hemisphere dominance (Siebner et al. 2002).	0.390977
