Všetci užívali amfetamíny, spomína.	Everybody used amphetamines, he recalls.	0.263636
Renate Stecherová z východného Nemecka (vľavo) ako predbieha austrálsku bežeckú hviezdu Raelene Boyleovú vo finále behu na 200 metrov na olympiáde v Mníchove v roku 1972.	Above, Australian track star Raelene Boyle is beaten by East German Renate Stecher (left) in the 200-m Olympic Games final at the 1972 Munich Games.	0.480369
Cyklistika bola pretkaná dopingom už od svojho vzniku v 19. storočí, pričom po druhej svetovej vojne hrala kľúčovú úlohu pri rozširovaní stimulancií.	Cycling has been drug-ridden since its inception in the 19th century and played a key role in the explosion of stimulant use after World War II.	0.2775
Dánsky cyklista Knud Enemark Jensen v roku 1960 počas 100 km časovky tímov na olympiáde v Ríme skolaboval a následne zomrel v nemocnici. Autopsia odhalila, že užil amfetamín a liek na rozšírenie ciev, konkrétne Ronicol.	In 1960, Danish cyclist Knud Enemark Jensen collapsed during the 100-km team time trial at the Rome Olympics and later died in the hospital; the autopsy revealed that he had taken amphetamine and the blood vessel dilator Ronicol.	0.622043
Dánsky funkcionár pomáha Jensenovi po tom, ako dostal úpal, skolaboval a rozbil si hlavu počas 100 km časovky tímov na olympiáde v Ríme v roku 1960.	Above, Jensen is attended by a Danish official after collapsing with heat stroke and suffering a fractured skull during the 100-km team time trial at the Rome Olympics in 1960.	0.464158
O niekoľko hodín nato zomrel v nemocnici.	He died a few hours later in the hospital.	0.291429
John Bosley Zieger bol doktorom vzpieračského družstva Spojených štátov v 50. a 60. rokoch 20. storočia. ~~~ V roku 1954 vo Viedni pri poháriku so svojím sovietskym náprotivkom zistil, že sovietski vzpierači sú úspešní, pretože užívajú testosterón.	John Bosley Ziegler, MD, a physician for the US weightlifting team in the 1950s and '60s, was having drinks with his Soviet counterpart in Vienna, Austria, in 1954 and learned that the success of the Soviet weightlifting team was due to their being given testosterone.	0.656789
Podľa doktora Zieglera americkí športovci potrebovali užívať látky na zvýšenie výkonnosti, aby ostali konkurencieschopnými, a tak začal spolupracovať s farmaceutickou spoločnosťou CIBA. Vytvorili metándienón (Dianabol), anabolický steroid, ktorý sa objavil na trhu v roku 1960.	Deciding that US athletes needed a chemical edge to remain competitive, Dr Ziegler worked with the CIBA Pharmaceutical Company to develop an anabolic steroid, methandrostenolone (Dianabol), which appeared on the market in 1960.	0.579472
Jeho účinky (naberanie hmotnosti a sily) boli také pôsobivé, že sa onedlho dostal aj k ďalším športovcom.	The weight- and strength-gaining results were so impressive that steroid use quickly spread from weightlifters to other athletes.	0.223333
Jeden zo Zieglerových hviezdnych vzpieračov Ike Berger na olympiáde v Tokiu v roku 1964.	Above, one of Doc Ziegler's star lifters, Ike Berger, shown here at the 1964 Tokyo Olympics.	0.492105
So svojimi 59 kilogramami bol v prepočte podľa koeficientu najsilnejším mužom na svete.	At a body weight of 130 pounds, he was kilo for kilo the strongest man in the world.	0.264706
Spočiatku sa predpokladalo, že užívanie anabolických steroidov sa týkalo len OH v roku 1960, ale do ďalších hier sa mnoho silových športovcov tak nevídane zlepšilo, až sa to nedalo ignorovať.	Anabolic steroid use was thought to be limited in the 1960 Olympic Games, but by the 1964 Games, the startling improvement in many strength athletes was impossible to ignore.	0.367347
Onedlho športovci všetkých silových športov začali v značnej miere užívať steroidy.	Soon steroids were being extensively used by athletes in all strength sports.	0.268657
Do polovice 60. rokov 20. storočia steroidy užívala väčšina guliarov, diskárov, oštepárov i kladivárov.	By the mid-1960s, most top-ranking shot-putters and discus, javelin, and hammer throwers were taking steroids.	0.28022
Do roku 1968 sa k nim pridali aj šprintéri, prekážkari a bežci na stredné trate.	By 1968, sprinters, hurdlers, and middle-distance runners had joined them.	0.295455
Na predolympijskom sústredení v roku 1968 podľa odhadov tretina atletického družstva Spojených štátov užívala steroidy.	At the 1968 pre-Olympic training camp, an estimated one third of the entire US track and field team had used steroids.	2.34129
Americký doktor vzpieračského družstva raz povedal: Nemyslím si, že by bol vzpierač schopný súperiť na medzinárodnej úrovni bez toho, aby užíval anabolické steroidy.	Said a US weightlifting team doctor, I don't think it is possible for a weight man to compete internationally without using anabolic steroids.	0.242975
Arnold Schwarzenegger, bývalý držiteľ titulu Mr. Olympia a Mr. Universe.	Above, Arnold Schwarzenegger, former Mr Olympia and Mr Universe.	1.46316
V rozhovore z roku 1977 priznal, že užíval steroidy.	He admitted taking steroids in a 1977 interview.	3.94524
Tréneri aj športovci v ďalších športoch zakrátko prišli k rovnakému záveru.	Coaches and athletes in other sports quickly reached the same conclusion.	0.290625
Doping funguje, priznáva Yesalis.	Drugs work, Dr Yesalis concedes.	0.27931
Keby ste aj sto rokov trénovali naturálne [bez pomoci steroidov a podobných látok] až po hranice svojich síl a fyzických možností, nikdy by ste nedosiahli také výsledky, ako s pomocou niektorých z týchto látok.	If you train naturally for a hundred years, as far as your strength and physicality, you'll never get to the place that you can with some of these drugs.	0.27619
Podľa olympijských štatistík sa v období medzi rokmi 1956 a 1972 hmotnosť guliarov zvýšila o 14 % a hmotnosť bežcov na 3 000 metrov cez prekážky o 7,6 %.	Indeed, between 1956 and 1972, Olympic statistics show that the weight of shot putters increased 14%; the weight of steeplechasers increased 7.6%.	0.430435
Tím lekárov zo Spojených štátov sa pustil do rozsiahleho výskumu, aby zistil, aké účinky majú steroidy na vzpieračov a vrhačov, spomína zlatá olympijská medailistka v päťboji Mary Petersová. ~~~ Prišli však na to, že ich užívali takmer všetci, a tak im chýbali subjekty na porovnanie.	A medical team in the United States attempted to set up extensive research into the effects of steroids on weightlifters and throwers, recalled Olympic pentathlete gold medal winner Mary Peters, only to discover there were so few who weren't taking them that they couldn't establish any worthwhile comparisons.	-0.015
Niektorí športovci užívali 10 – 100 mg steroidov denne.	Some athletes were taking 10 - 100 mg of steroids a day.	4.18696
Sovietska guliarka Tamara Pressová získala zlatú medailu a stanovila nový olympijský rekord na olympiáde v Ríme v roku 1960.	Above, the Soviet Union's Tamara Press wins the gold medal in the shot put, setting a new Olympic record for the event in the 1960 Rome Olympics.	0.563551
Doping do amerického futbalu a bejzbalu priniesli tréneri, doktori, ako aj samotní hráči.	In football and baseball, drugs were often introduced by team coaches, trainers, and doctors as well as players.	0.230769
Jeden z doktorov bejzbalového tímu St. Louis Cardinals sa pre športový týždenník Sports Illustrated v roku 1969 vyjadril: Občas používame Dexamyl a Dexedrine [amfetamíny]	As one doctor with the St. Louis Cardinals baseball team told Sports Illustrated in 1969, We occasionally use Dexamyl and Dexedrine [amphetamines]…	1.16344
Používali sme aj barbituráty, Seconal, Tuinal, Nembutal...	We also used barbiturates, Seconal, Tuinal, Nembutal…	1.01875
Taktiež sme používali antidepresíva, Triavil, Tofranil, Valium.	We also used some antidepressants, Triavil, Tofranil, Valium.	1.40864
Ďalej dodal: Nemyslím si, že by bol doping na Stredozápade až natoľko rozšírený ako na Východnom alebo Západnom pobreží.	But, he added, I don't think the use of drugs is as prevalent in the Midwest as it is on the East and West Coasts.	0.26044
Bývalý hráč tímu San Diego Chargers o zneužívaní dopingových látok kalifornskému legislatívnemu výboru v roku 1970 povedal: Museli sme ich [steroidy] užívať na obed.	A former San Diego Charger told a California legislative committee on drug abuse in 1970, We had to take them [steroids] at lunchtime.	0.470354
Dával nám ich [funkcionár] na malom tanieriku a kázal užiť, inak sa vyhrážal pokutou.	He [a team official] would put them on a little saucer and prescribed them for us to take them and if not he would suggest there might be a fine.	0.319178
Ernie Ladd z roku 1963, obranca tímu San Diego Chargers.	Above, San Diego Chargers' defensive tackle Ernie Ladd in 1963.	1.34716
V tom čase bol najväčším hráčom – výška 2 m, váha 143 kg, obvod hrudníka 130 cm, pásu 100 cm, bicepsu 50 cm, krku 48 cm, topánky veľkosti č. 53.	Ladd was the largest player of his time: 6 feet 9 inches and 315 pounds, with a 52-inch chest, 39-inch waist, 20-inch biceps, 19-inch neck, and size 18D shoes.	0.258621
V roku 1928 Medzinárodná asociácia atletických federácií zakázala atlétom užívať doping, no keďže nedisponovala žiadnymi testami, mohla iba (ne)veriť čestným slovám športovcov.	In 1928, the IAAF first attempted to ban athletes for doping, but without reliable drug tests, officials had to rely on the honor system.	0.323478
Dopingové testy tak ako ich poznáme dnes sa po prvýkrát objavili v roku 1966 na majstrovstvách Európy v atletike.	Actual drug testing of athletes began at the 1966 European Athletics Championships.	2.74394
V roku 1968 Medzinárodný olympijský výbor (MOV) zaviedol dopingové testy na letných i zimných olympijských hrách.	In 1968, the International Olympic Committee (IOC) introduced drug testing at both the Summer and Winter Olympics.	0.3
Po tom, ako našli spoľahlivý test na anabolické steroidy, ich v roku 1976 zakázali. ~~~ Koncom 70. rokov stúpol počet diskvalifikácií pre pozitívne dopingové nálezy, a to najmä v silových športoch.	Anabolic steroids were banned in 1976, after a reliable test was developed, and in the late 1970s, doping-related disqualifications, particularly in strength-related sports, markedly increased.	0.0855407
V 70. a 80. rokoch sa v správach o dopingu hovorilo iba v športovej sekcii, ak vôbec.	In the 1970s and 1980s, however, news of drug use in sport was relegated to the sports pages of newspapers, if it was reported at all.	0.128571
Ešte z toho nevznikali škandály.	The practice had not public scandal.	0.268966
V 90. rokoch sa to všetko zmenilo.	In the 1990s, that changed.	0.2375
Beh na 110 metrov cez prekážky na olympiáde v Montreale v roku 1976 na ktorej, podľa Yesalisa, ako prvej zriadili podrobné dopingové testy.	yet risen to the level of major Above, the 110-m hurdles at the 1976 Montreal Olympiad, the first in which full-scale drug testing took place, says Dr Yesalis.	0.386864
Kanadský šprintér Ben Johnson na letných OH v roku 1988 zvíťazil v behu na 100 metrov.	At the 1988 Summer Olympics, Canadian sprinter Ben Johnson won the 100-m dash.	0.920469
Keď sa však následne podrobil dopingovému testu, ktorý poukázal na steroid stanozolol v jeho moči, zlatú medailu mu odobrali a titul svetového rekordéra získal predtým strieborný Carl Lewis.	But when a subsequent drug test found the steroid stanozolol in his urine, he was stripped of his gold medal; the world-record title went to American sprinter Carl Lewis, the runner-up.	0.698408
No v roku 2003 sa prišlo na to, že Lewis bol medzi športovcami, ktorí v roku 1988 neprešli dopingovým testom na americkej kvalifikácii na OH. V moči mu zistili prítomnosť zakázaných stimulancií a bronchodilatancií, za čo mal byť diskvalifikovaný.	In 2003, however, it was revealed that Lewis was among those who had failed drug tests at the 1988 Olympic trials—he had tested positive for banned stimulants and bronchodilators—and should have been disqualified.	0.431965
Do roku 2003 sa však testy upravili a množstvo zakázaných látok v Lewisovej vzorke z roku 1988 by sa už v roku 2003 nepovažovalo za pozitívny nález.	But by 2003, the tests had been revised, and the amount of drugs found in Lewis in 1988 would not have triggered a positive test in 2003.	0.591964
Preto si mohol svoj titul ponechať.	As such, he was allowed to keep his title.	0.26129
Ben Johnson sa postaral o najväčší športový škandál všetkých čias, vraví Yesalis.	Ben Johnson was the biggest sports scandal ever, says Dr Yesalis.	0.969643
Písali o tom na titulných stranách každých novín.	It was on the front page of virtually every newspaper.	0.27907
Až vtedy si ľudia po prvýkrát povedali – ,Počkať, veď ja som si myslel, že ich testujete‘.	It was the first time people said, 'Wait a minute, I thought you tested these people.'	0.2875
Ben Johnson na letných olympijských hrách v roku 1988 ako víťazí v behu na 100 metrov. Neskôr mu v tele zistili zakázané látky a odobrali medailu.	Above, Ben Johnson in action during the 1988 Summer Olympics, winning the 100-m race before being stripped of his medal and record for illegal drug use.	0.618579
Začiatkom nového tisícročia začali vychádzať na povrch informácie o miere dopovania elitných športovcov.	By the 2000s, the true extent of drug use in elite athletes was coming out.	0.15
V roku 2003, v tom istom roku ako Major League Baseball (hlavná bejzbalová liga v Spojených štátoch) zakázala užívanie steroidov, vypukla aféra BALCO.	In 2003 (the year Major League Baseball introduced its first steroid policy), the BALCO Affair exploded.	0.699412
Spoločnosť BALCO (Bay Area Laboratory Co-operative) so sídlom v meste Burlingame v Kalifornii obchodovalo s umelo-vytvoreným a dovtedy neidentifikovateľným steroidom tetrahydrogestrinónom (THG).	The Bay Area Laboratory Co-operative in Burlingame, California, marketed a then- undetectable designer steroid, terahydrogestrinone (THG, known as The Clear).	0.655714
Krátko po tom, čo objavili test na THG, otestovali 550 existujúcich vzoriek moču športovcov, z čoho 20 bolo pozitívnych.	Shortly after, a test for THG was developed, and 550 existing urine samples from athletes were tested; 20 tested positive.	2.24709
Vyšlo najavo, že viacero ostro sledovaných športových hviezd užívalo THG.	THG, it emerged, had been used by a number of high-profile sports stars.	0.280328
Boli to napríklad hráči Major League Baseball (Barry Bonds, Bobby Estalella, Jeremy Giambi, Amando Ríos a Benito Santiago), hráči ligy amerického futbalu National Football League (Chris Cooper, Bill Romanowski, Barrett Robbins, Dana Stubblefield a Tyrone Wheatley, všetci z tímu Oakland Raiders), atléti (kladivár John McEwen, guliari Cottrell Hunter a Kevin Toth), šprintéri (Dwain Chambers, Zhanna Blocková, Marion Jonesová, Tim Montgomery, Raymond J. Smith a Kelli Whiteová), bežkyňa na stredné trate (Regina Jacobsová), boxer Shane Mosley a cyklistka Tammy Thomasová.	They included Major League Baseball players (Barry Bonds, Bobby Estalella, Jeremy Giambi, Amando Rios, and Benito Santiago); National Football League players (Chris Cooper, Bill Romanowski, Barrett Robbins, Dana Stubblefield, and Tyrone Wheatley, all of the Oakland Raiders); track and field athletes (hammer thrower John McEwen; shot putters CJ Hunter and Kevin Toth; and sprinters Zhanna Block, Dwain Chambers, Marion Jones, Tim Montgomery, Raymond J. Smith, and Kelli White; and middle-distance runner Regina Jacobs); boxer Shane Mosely; and cyclist Tammy Thomas.	1.72131
Stovkám športovcom robili testy sto, hoci aj tisíckrát, ale nikdy ich nechytili, vraví Yeasalis.	Literally hundreds of athletes were tested hundreds if not thousands of times in a variety of sports and never got caught, says Dr Yesalis.	0.182143
