Rozhodla som sa poprechádzať.	I decided to take a walk.	0.214286
Fisherová a jej kolegovia Arthur Aron a Lucy Brownová pozorovali jednotlivcov, ktorí boli šialene zamilovaní po dobu siedmich mesiacov.	Fisher and her colleagues Arthur Aron and Lucy Brown recruited subjects who had been ―madly in love‖ for an average of seven months.	0.731081
Keď boli vo vnútri MRI prístroja, ukázali im dve fotografie. Jednu neutrálnu a druhú s podobizňou ich milovanej osoby.	Once inside the MRI machine, subjects were shown two photographs, one neutral, the other of their loved one.	0.428547
To, čo Fisherová zistila, ju fascinovalo.	What Fisher saw fascinated her.	0.203571
Keď sa každý jednotlivec pozrel na svojho partnera, ventrálna tegmentálna oblasť a nucleus caudatus sa rozsvietili, čo znamená, že v týchto častiach mozgu sa prejavovala spokojnosť a potešenie.	When each subject looked at his or her loved one, the parts of the brain linked to reward and pleasure—the ventral tegmental area and the caudate nucleus—lit up.	0.228889
Čo však uchvátilo Fisherovú najviac nebolo ani tak zistenie, kde sa láska nachádza, ale zachytenie jej špecifických chemických dráh.	What excited Fisher most was not so much finding a location, an address, for love as tracing its specific chemical pathways.	0.271429
Láska rozsvieti nucleus caudatus, pretože sa v ňom nachádza hustá sieť receptorov pre neurotransmiter 3 dopamín, o ktorom si Fisherová myslí, že je súčasťou nášho vlastného endogénneho nápoja lásky.	Love lights up the caudate nucleus because it is home to a dense spread of receptors for a neurotransmitter called dopamine, which Fisher came to think of as part of our own endogenous love potion.	0.387195
V správnom pomere produkuje dopamín intenzívnu energiu, radosť, zvýšenú pozornosť a motiváciu na získanie odmeny.	In the right proportions, dopamine creates intense energy, exhilaration, focused attention, and motivation to win rewards.	0.276
Preto, keď ste čerstvo zamilovaný, môžete bdieť celú noc, sledovať východ slnka, bežať opreteky a upaľovať na lyžiach aj na svahu, ktorý je nad vaše schopnosti.	It is why, when you are newly in love, you can stay up all night, watch the sun rise, run a race, ski fast down a slope ordinarily too steep for your skill.	0.384711
Láska nás robí odvážnymi, veselými podstupujeme kvôli nej skutočné riziko, ktoré sa niekedy oplatí a niekedy nie.	Love makes you bold, makes you bright, makes you run real risks, which you sometimes survive, and sometimes you don‘t.	0.293878
Prvýkrát som sa zamilovala v dvanástich do svojho učiteľa.	I first fell in love when I was only 12, with a teacher.	0.26
Volal sa pán McArthur, nosil sandále s otvorenou špičkou a smiešnu briadku.	His name was Mr. McArthur, and he wore open-toed sandals and sported a beard.	0.761538
Nikdy predtým som nemala muža učiteľa a povaţovala som to za veľmi nezvyčajné.	I had never had a male teacher before, and I thought it terribly exotic.	0.479286
Pán McArthur robil veci, na ktoré sa iný učiteľ neodvážil.	Mr. McArthur did things no other teacher dared to do.	0.539394
Opierajúc sa lenivo o stenu školskej budovy, fajčil cez prestávky cigarety. Popol cigarety bol čoraz dlhší a dlhší až pokým ho automaticky neodklepol prstom.	He smoked cigarettes at recess, leaning languidly against the side of the school building, the ash growing longer and longer until he casually tapped it off with his finger.	0.275556
Je zaujímavé aká unikátna konštelácia potrieb ma primäla k tomu, aby som milovala muža, ktorý nechal vybuchnúť vajce. Avšak ani výbuch vajca nebol pre mňa taký zaujímavý ako jeho fyzický vzhľad.	What unique constellation of needs led me to love a man who made an egg explode is interesting, perhaps, but not as interesting, for me, as my memory of love‘s sheer physical facts.	0.27
Nikdy predtým som také niečo necítila.	I had never felt anything like it before.	0.291176
Nemohla som ho dostať z hlavy.	I could not get Mr. McArthur out of my mind.	0.184615
Bola som nervózna, hrýzla som si vnútornú stranu líca, až pokiaľ som nepocítila pachuť krvi.	I was anxious; I gnawed at the lining of my cheek until I tasted the tang of blood.	0.246269
Škola sa pre mňa stala zrazu desivou a vzrušujúcou zároveň.	School became at once terrifying and exhilarating.	0.26
Uvidím ho na chodbe?	Would I see him in the hallway?	0.166667
V bufete?	In the cafeteria?	0.0666667
Dúfala som.	I hoped.	0.1875
Keď sa však moje sny stali skutočnosťou a zazrela som ho, nestalo sa nič. ~~~ Len ma to ešte viac rozpálilo.	But when my wishes were granted, and I got a glimpse of my man, it satisfied nothing; it only inflamed me all the more.	0.0114754
Pozrel sa na mňa?	Had he looked at me?	0.26
Prečo sa na mňa nepozrel?	Why had he not looked at me?	0.286364
Kedy ho znovu uvidím?	When would I see him again?	0.236842
Doma som si v telefónnom zozname našla jeho číslo a zavolala som mu.	At home I looked him up in the phone book; I rang him, this in a time before caller ID.	0.451128
Bolo to v dobe, keď sa ešte nezobrazovalo číslo volajúceho.		-0.3
Zodvihol mi. Haló?	He answered, Hello?	0.282353
Bolesť v srdci mi ho zlomila na polovicu.	Pain in my heart, ripped down the middle.	0.3
Zložila som.	Hang up.	0.15
Zavolala som znovu.	Call back. Hello?	0.2625
Haló?		-0.3
Nikdy som mu nič neodpovedala.	I never said a thing.	0.15
Raz som mu zavolala neskoro v noci a podľa toho, ako zodvihol telefón bolo jasné, dokonca aj takej predpubertiačke ako ja, že bol so ženou.	Once I called him at night, late, and from the way he answered the phone it was clear, even to a prepubescent like me, that he was with a woman.	0.415385
Jeho hlas bol zmätený a v pozadí bolo počuť jej zvonivý smiech.	His voice fuzzy, the tinkle of her laughter in the background.	0.3
Nevstala som z postele celý deň.	I didn‘t get out of bed for a whole day.	0.257143
Je vám to povedomé?	Sound familiar?	0.26
Možno ste mali 30, 8, 80 alebo 25, keď sa vám to stalo.	Maybe you were 30 when it happened to you, or 8 or 80 or 25.	0.708117
Možno ste žili v Káthmandu alebo Kentucky. ~~~ Vek a miesto je nepodstatné.	Maybe you lived in Kathmandu or Kentucky; age and geography are irrelevant.	-0.0047619
Donatella Marazzitiová z Univerzity v Pise v Taliansku je profesorkou psychiatrie, ktorá študuje biochémiu chorôb z lásky.	Donatella Marazziti is a professor of psychiatry at the University of Pisa in Italy who has studied the biochemistry of lovesickness.	0.44704
Potom, čo bola dvakrát zamilovaná a cítila, aké je to silné, začala skúmať podobnosti medzi láskou a obsedantno-kompulzívnou poruchou.	Having been in love twice herself and felt its awful power, Marazziti became interested in exploring the similarities between love and obsessive-compulsive disorder.	0.230769
Spolu so spolupracovníkmi zmerala hladinu serotonínu v krvi 24 jednotlivcov, ktorí sa zaľúbili v posledných šiestich mesiacoch a boli posadnutí objektom svojej lásky minimálne štyri hodiny každý deň.	She and her colleagues measured serotonin levels in the blood of 24 subjects who had fallen in love within the past six months and obsessed about this love object for at least four hours every day.	1.41953
Serotonín je pravdepodobne najdôležitejší neurotransmiter, hladinu ktorého môžu zmeniť najlepšie psychiatrické lieky, ako sú Prozac, Zoloft a Paxil, a iné.	Serotonin is, perhaps, our star neurotransmitter, altered by our star psychiatric medications: Prozac and Zoloft and Paxil, among others.	0.5575
Vedci si dlho mysleli, že ľudia s obsedantno-kompulzívnou poruchou (OKP) majú nerovnováhu― serotonínu.	Researchers have long hypothesized that people with obsessive-compulsive disorder (OCD) have a serotonin ―imbalance.	0.257143
Zdá sa, že lieky ako Prozac zmierňujú OKP tým, že zvyšujú množstvo tohto neurotransmiteru, prítomného na synapsii.	Drugs like Prozac seem to alleviate OCD by increasing the amount of this neurotransmitter available at the juncture between neurons.	0.421212
Marazzitiová porovnala hladinu serotonínu u zaľúbených so skupinou ľudí, trpiacich OKP a ďalšou skupinou, v ktorej nikto netrpel duševnou chorobou ani nebol zaľúbený.	Marazziti compared the lovers‘ serotonin levels with those of a group of people suffering from OCD and another group who were free from both passion and mental illness.	0.418662
Hladina serotonínu v krvi zaľúbených a chorých bola o 40 percent nižšia ako tá u jednotlivcov v druhej skupine.	Levels of serotonin in both the obsessives‘ blood and the lovers‘ blood were 40 percent lower than those in her normal subjects.	2.05532
Inak povedané, láska a obsedantno-kompulzívna porucha, môžu mať podobný chemické základ.	Translation: Love and obsessive-compulsive disorder could have a similar chemical profile.	0.542405
Z toho vyplýva, že lásku a duševnú poruchu môže byť ťažké rozpoznať.	Translation: Love and mental illness may be difficult to tell apart.	0.294828
Preto nebláznite a držte sa od nej ďalej.	Translation: Don‘t be a fool. Stay away.	0.675
Samozrejme, že túto radu nikto z nás nemôže počúvnuť.	Of course that‘s a mandate none of us can follow.	0.263415
Zamilovávame sa, niekedy znovu a znovu a zakaždým sa tým vystavujeme ťažkému stavu mysle.	We do fall in love, sometimes over and over again, subjecting ourselves, each time, to a very sick state of mind.	0.433766
Existuje nádej, avšak len pre tých, ktorí sa chytili do pasce pominuteľnej vášne s názvom Prozac.	There is hope, however, for those caught in the grip of runaway passion—Prozac.	0.233824
Neexituje však nič podobné dvojfarebnej tabletke, ktorá spôsobí, že vám bude všetko jedno a utlmí sexuálny apetít.	There‘s nothing like that bicolored bullet for damping down the sex drive and making you feel ―blah‖ about the buffet.	0.29697
Helen Fisherová sa domnieva, že uţívanie lieku ako Prozac ohrozuje schopnosť človeka zamilovať sa a zostať zamilovaný.	Helen Fisher believes that the ingestion of drugs like Prozac jeopardizes one‘s ability to fall in love—and stay in love.	0.633333
Opadnutím záujmu o lásku a s tým spojenej sexuálnej túžby sa vzťahy rozpadnú.	By dulling the keen edge of love and its associated libido, relationships go stale.	0.277273
Poznám jeden pár na pokraji rozvodu.	Says Fisher, I know of one couple on the edge of divorce.	0.159375
Manželka bola na antidepresívach.	The wife was on an antidepressant.	0.29
Prestala ich užívať, začala mať znovu orgazmus, opäť sa stala sexuálne príťažlivou a teraz sú zase zamilovaní, hovorí Fisherová.	Then she went off it, started having orgasms once more, felt the renewal of sexual attraction for her husband, and they‘re now in love all over again.	0.262162
Psychoanalytici vymysleli nespočetné množstvo teórií o tom, prečo sa zamilujeme práve do tej osoby, do ktorej sa zamilujeme.	Psychoanalysts have concocted countless theories about why we fall in love with whom we do.	0.184615
Freud by povedal, že váš výber je ovplyvnený neopätovaným želaním spať s matkou, ak ste chlapec alebo s otcom, ak ste dievča.	Freud would have said your choice is influenced by the unrequited wish to bed your mother, if you‘re a boy, or your father, if you‘re a girl.	0.529441
Jung veril, že vášeň je poháňaná nejakým druhom kolektívneho nevedomia.	Jung believed that passion is driven by some kind of collective unconscious.	0.558442
Dnešní psychiatri, ako napríklad Thomas Lewis z Lekárskej fakulty Kalifornskej univerzity v San Franciscu predpokladajú, že romantická láska je zakorenená v našich raných skúsenostiach s intimitou, konkrétne, ako sme sa cítili na prsiach matky a jej tvári. ~~~ Toto čisté pokojné prostredie sa nám vrylo do mozgu a ako dospelí sa ho neustále snažíme znovu nájsť.	Today psychiatrists such as Thomas Lewis from the University of California at San Francisco‘s School of Medicine hypothesize that romantic love is rooted in our earliest infantile experiences with intimacy, how we felt at the breast, our mother‘s face, these things of pure unconflicted comfort that get engraved in our brain and that we ceaselessly try to recapture as adults.	0.0519052
Podľa tejto teórie milujeme toho, koho milujeme ani nie tak kvôli nádeji na vybudovanie si budúcnosti, ale kvôli tomu, že dúfame v navrátenie minulosti.	According to this theory we love whom we love not so much because of the future we hope to build but because of the past we hope to reclaim.	0.254867
On alebo ona nám je povedomý, na základe určitého vzhľadu, vône, hlasu alebo dotyku, ktorý v nás aktivuje zabudnuté spomienky.	He or she is familiar. He or she has a certain look or smell or sound or touch that activates buried memories.	0.24
Keď som prvýkrát stretla svojho manžela, verila som, že táto psychologická teória je viac-menej správna.	When I first met my husband, I believed this psychological theory was more or less correct.	0.245455
Manžel má ryšavé vlasy a jemný hlas.	My husband has red hair and a soft voice.	0.645968
Je náladový, zvláštny a je chemik.	A chemist, he is whimsical and odd.	0.3
Raz, ešte predtým, ako sme sa vzali, ponoril ružu do tekutého dusíka, na čo zmrzla. ~~~ Potom ju hodil o stenu a okázalo rozbil.	One day before we married he dunked a rose in liquid nitrogen so it froze, whereupon he flung it against the wall, spectacularly shattering it.	-0.0214286
Vtedy som sa do neho zamilovala.	That‘s when I fell in love with him.	0.278571
Môj otec má tiež ryšavé vlasy, jemný hlas a veľa výstredností.	My father, too, has red hair, a soft voice, and many eccentricities.	0.521698
Mal tendenciu začať z ničoho nič spievať a robil pri tom veci, ktoré sme ešte nikdy nevideli.	He was prone to bursting into song, prompted by something we never saw.	0.21
Ukazuje sa však, že moje teórie o tom, prečo som sa zamilovala do svojho manžela, sú možno len výmysly.	However, it turns out my theories about why I came to love my husband may be just so much hogwash.	0.2775
Evolučná psychológia odmieta Freuda a jeho oidipovský komplex a všetky ostatné nezmyselné veci, pričom dáva prednosť jednoduchým schopnostiam na prežitie.	Evolutionary psychology has said good riddance to Freud and the Oedipal complex and all that other transcendent stuff and hello to simple survival skills.	0.290909
Predpokladá, že máme tendenciu vidieť seba ako atraktívnych, a preto si za partnerov vyberáme ľudí, ktorí vyzerajú zdravo.	It hypothesizes that we tend to see as attractive, and thereby choose as mates, people who look healthy.	0.238636
Podľa evolučných psychológov sa zdravie u ženy prejavuje 70 percentným pomerom obvodu pásu k bokom a u muža drsnými črtami, ktoré sa vyznačujú vysokým prísunom testosterónu v krvi.	And health, say these evolutionary psychologists, is manifested in a woman with a 70 percent waist-to-hip ratio and men with rugged features that suggest a strong supply of testosterone in their blood.	1.50826
Pomer obvodu pásu k bokom je veľmi dôležitý pre úspešný pôrod. ~~~ Štúdie preukázali, že presný pomer znamená vyššiu plodnosť.	Waist-to-hip ratio is important for the successful birth of a baby and studies have shown this precise ratio signifies higher fertility.	-0.0140187
Pokiaľ ide o robustný vzhľad, muž s dobrou hladinou testosterónu má tiež silný imunitný system, a tak je viac pravdepodobné, že môže s partnerkou splodiť zdravé dieťa.	As for the rugged look, well, a man with a good dose of testosterone probably also has a strong immune system and so is more likely to give his partner healthy children.	0.400668
Možno nos je jednoduchým prostriedkom na výber partnerov.	Perhaps our choice of mates is a simple matter of following our noses.	0.252941
Claus Wedekind z Univerzity v Lausanne vo Švajčiarsku spravil zaujímavý pokus s upotenými tričkami.	Claus Wedekind of the University of Lausanne in Switzerland did an interesting experiment with sweaty T-shirts.	0.865517
Požiadal 49 žien, aby ovoňali tričko, ktoré predtým nosili neznámi muži s rôznymi genotypmi, vplývajúcimi na telesný pach a imunitný systém.	He asked 49 women to smell T-shirts previously worn by unidentified men with a variety of the genotypes that influence both body odor and immune systems.	1.91653
Potom požiadal tieto ženy o ohodnotenie tričiek podľa toho, ktoré voňalo najlepšie a ktoré najhoršie.	He then asked the women to rate which T-shirts smelled the best, which the worst.	0.211765
To, čo Wedekind zistil bolo, že ženy preferujú pach muža, ktorého genotyp je veľmi odlišný od toho jej, čiže genotyp, ktorý je pravdepodobne spojený s imunitným systémom a disponuje niečím, čo ona nemá.	What Wedekind found was that women preferred the scent of a T-shirt worn by a man whose genotype was most different from hers, a genotype that, perhaps, is linked to an immune system that possesses something hers does not.	0.451909
Týmto sa zvyšuje šanca ženy, že jej dieťa bude zavalité.	In this way she increases the chance that her offspring will be robust.	0.225
Toto všetko vyzerá až príliš dobre na to, aby bola pravda to, že máme vrodený inštinkt na hľadanie partnera.	It all seems too good to be true, that we are so hardwired and yet unconscious of the wiring.	0.240789
Pretože, pokiaľ viem tak nikto nikdy nepovedal, zobrala som si ho kvôli jeho telesnému pachu.	Because no one to my knowledge has ever said, I married him because of his B. O.	0.230769
Nie.	No.	0.225
Povieme, zobrala som si ho alebo ju pretože je inteligentný, je krásna, je vtipný, je zhovievavá.	We say, I married him (or her) because he‘s intelligent, she‘s beautiful, he‘s witty, she‘s compassionate.	0.26747
Ale v láske sa môžeme sklamať práve tak, ako sa aj sklameme, keď sme zamilovaní.	But we may just be as deluded about love as we are when we‘re in love.	0.241071
Ak by o tomto všetkom rozhodoval test čuchu, psi by mali rozhodne výhodu, pokiaľ ide o výber partnerov.	If it all comes down to a sniff test, then dogs definitely have the edge when it comes to choosing mates.	0.296512
Prečo vášnivá láska nevydrží?	Why doesn‘t passionate love last?	0.266667
Ako je možné, že v pondelok sa nám niekto zdá krásny a o 364 dní neskôr, v iný pondelok táto krása pominula?	How is it possible to see a person as beautiful on Monday, and 364 days later, on another Monday, to see that beauty as bland?	1.81408
Určite sa vaša partnerka nemohla až tak zmeniť.	Surely the object of your affection could not have changed that much.	0.168293
Má stále rovnako tvarované oči.	She still has the same shaped eyes.	0.278571
Jej hlas mal vždy ten chrapľavý zvuk, ale teraz vás to hnevá. ~~~ Znie, ako keby potrebovala antibiotiká.	Her voice has always had that husky sound, but now it grates on you—she sounds like she needs an antibiotic.	-0.00340909
Alebo možno ste to vy, kto potrebuje antibiotiká, pretože partnerka, ktorú ste kedysi milovali, starali sa o ňu, a ktorá žiarila ako hviezda sa teraz cíti skôr ako nejaká zbytočná infekcia, ktorá vás unavuje a vysáva z vás všetku silu.	Or maybe you‘re the one who needs an antibiotic, because the partner you once loved and cherished and saw as though saturated with starlight now feels more like a low-level infection, tiring you, sapping all your strength.	0.362905
Celosvetové štúdie potvrdzujú, že vášeň sa naozaj zvyčajne skončí.	Studies around the world confirm that, indeed, passion usually ends.	0.294915
Koniec vášne je rovnaký ako jej počiatočné vzplanutie.	Its conclusion is as common as its initial flare.	0.257143
Niet divu, ţe niektoré kultúry povaţujú výber celoţivotného partnera na základe niečoho tak pominuteľného za hlúposť.	No wonder some cultures think selecting a lifelong mate based on something so fleeting is folly.	0.223171
Helen Fisherová naznačuje, že vzťahy sa často končia po štyroch rokoch, pretože tak dlho trvá vychovanie dieťaťa do detstva.	Helen Fisher has suggested that relationships frequently break up after four years because that‘s about how long it takes to raise a child through infancy.	0.379907
Vášeň, tak nespútaný a šialený pocit sa po tom všetkom stane užitočnou.	Passion, that wild, prismatic insane feeling, turns out to be practical after all.	0.25082
Nepotrebujeme sa nielen rozmnožovať, taktiež potrebujeme dostatok vášne na výchovu a pocit upevnenia, kedy partneri prevezmú na seba zodpovednosť pri výchove bezbranného dieťaťa.	We not only need to copulate; we also need enough passion to start breeding, and then feelings of attachment take over as the partners bond to raise a helpless human infant.	0.397917
Ak už dieťa nie je dojčené, môžeme ho ponechať so sestrou, tetami alebo priateľmi.	Once a baby is no longer nursing, the child can be left with sister, aunts, friends.	0.3
Každý z partnerov je teraz voľný, aby si našiel nového partnera a mal ďalšie deti.	Each parent is now free to meet another mate and have more children.	0.236842
Biologicky povedané, dôvody prečo sa romantická láska vytráca môžeme nájsť v spôsobe, akým náš mozog reaguje na nárast dopamínu, ktorý súvisí s vášňou a pocitom eufórie.	Biologically speaking, the reasons romantic love fades may be found in the way our brains respond to the surge and pulse of dopamine that accompanies passion and makes us fly.	0.295862
Užívatelia kokaínu to opisujú ako jav tolerancie - mozog sa prispôsobí zvýšeným dávkam drogy.	Cocaine users describe the phenomenon of tolerance: The brain adapts to the excessive input of the drug.	0.47037
Možno neuróny zostanú znecitlivené a potrebujú stále viac a viac produkovať dopamín – obrazne povedané, uvoľňovať pocity šťastia.	Perhaps the neurons become desensitized and need more and more to produce the high—to put out pixie dust, metaphorically speaking.	0.297321
Možno je dobré, ak sa romantika vytratí.	Maybe it‘s a good thing that romance fizzles.	0.265714
