Môže chudobný roľník skutočne cítiť vášeň?	Could a lice-ridden peasant really feel passion?	0.260526
Romantická láska je veľmi úspešná v bollywoodskych filmoch.	The triumph of romantic love is celebrated in Bollywood films.	0.29434
Napriek tomu, väčšina Indov stále verí, že dohodnuté sobáše majú väčšiu nádej na úspech, ako manželstvá z lásky.	Yet most Indians still believe arranged marriages are more likely to succeed than love marriages.	0.257143
V jednom prieskume u vysokoškolských študentov v Indii uviedlo 76 percent respondentov, že by si radšej vzali niekoho so všetkými správnymi vlastnosťami, aj keď by neboli do seba zaľúbení (na porovnanie s týmto súhlasí len 14 percent Američanov).	In one survey of Indian college students, 76 percent said they‘d marry someone with all the right qualities even if they weren‘t in love with the person (compared with only 14 percent of Americans).	1.42048
Manželstvo je považované za príliš významný krok, aby bolo ponechané náhode.	Marriage is considered too important a step to leave to chance.	0.227778
Renu Dinakaranová je nevšedná 45 ročná žena žijúca v Bangalore v Indii.	Renu Dinakaran is a striking 45-year-old woman who lives in Bangalore, India.	0.501261
Keď som sa s ňou stretla, bola oblečená v západnom štýle. Mala čierne legínsy a tričko.	When I meet her, she is dressed in Western-style clothes —black leggings and a T-shirt.	0.48339
Renu žije v dobre vybavenom apartmáne v tomto preplnenom meste, kde kravy spia na diaľniciach, zatiaľ čo okolo nich prebiehajú malé autá a z výfukov im stúpajú oblaky čierneho dymu.	Renu lives in a well- appointed apartment in this thronging city, where cows sleep on the highways as tiny cars whiz around them, plumes of black smoke rising from their sooty pipes.	0.491575
Renu sa narodila v tradičnej indickej rodine, kde sa očakával dohodnutý sobáš.	Renu was born into a traditional Indian family where an arranged marriage was expected.	0.499887
Nebola typ človeka na dohodnutý sobáš, pretože už od detstva z nej bola vášnivá tenistka, príliš spotená pre sárí a múdrejšia ako väčšina mužov okolo nej.	She was not an arranged kind of person, though, emerging from her earliest days as a fierce tennis player, too sweaty for saris, and smarter than many of the men around her.	0.381111
Avšak v 17 rokoch sa vydala za svojho prvého bratranca, muža ktorého sotva poznala. Chcela sa ho naučiť milovať, ale nemohla.	Nevertheless at the age of 17 she was married off to a first cousin, a man she barely knew, a man she wanted to learn to love, but couldn‘t.	1.78019
Renu považuje dohodnuté manželstvá za štátom schválené znásilňovanie.	Renu considers many arranged marriages to be acts of state-sanctioned rape.	0.619048
Dúfala, že sa doňho zaľúbi, ale čím viac rokov prešlo, tým menej lásky cítila. Nakoniec zostala vychudnutá a zatrpknutá, schovávala sa za závesmi v dome manželových rodičov a s túžbou pozerala na dvojicu oproti na balkóne.	Renu hoped to fall in love with her husband, but the more years that passed, the less love she felt, until, at the end, she was shrunken, bitter, hiding behind the curtains of her in-laws‘ bungalow, looking with longing at the couple on the balcony across from theirs.	0.245745
Bolo jasné, že ten pár sa zobral z lásky, závidela som im.	It was so obvious to me that couple had married for love, and I envied them.	0.2125
Naozaj závidela.	I really did.	0.2
Veľmi ma bolelo, keď som ich videla len tak spolu stáť, ísť na nákup chleba a vajec.!	It hurt me so much to see how they stood together, how they went shopping for bread and eggs.	0.274286
Vyčerpaná z núteného väzenia, neustáleho nosenia sárí, v ktorom sa nedalo poriadne hýbať a z odolávania pokušeniu nejesť z manželovho taniera, urobila to, čo je v tradičnej indickej kultúre zakázané.	Exhausted from being forced into confinement, from being swaddled in saris that made it difficult to move, from resisting the pressure to eat off her husband‘s plate, Renu did what traditional Indian culture forbids one to do.	0.264912
Odišla.	She left.	0.2625
Vtedy mala dve deti.	By this time she had had two children.	0.0666667
Vzala ich so sebou.	She took them with her.	0.247059
V mysli jej prebiehal starý film, ktorý videla v televízii, film taký zvláštny a lákavý, mätúci a upokojujúci zároveň, že ho nemohla dostať z hlavy.	In her mind was an old movie she‘d seen on TV, a movie so strange and enticing to her, so utterly confounding and comforting at the same time, that she couldn‘t get it out of her head.	0.357785
Bolo to v roku 1986.	It was 1986.	0.886364
Film sa volal Love Story.	The movie was Love Story.	1.3
Predtým, než som videla filmy podobné Love Story, som si neuvedomila, akú moc môže mať láska, hovorí Renu.	Before I saw movies like Love Story, I didn‘t realize the power that love can have, she says.	0.56514
Nakoniec mala šťastie.	Renu was lucky in the end.	0.285714
V Mumbai stretla muža menom Anil a pri ňom prvýkrát pocítila vášeň.	In Mumbai she met a man named Anil, and it was then, for the first time, that she felt passion.	0.656275
Keď som ho prvýkrát stretla, bolo to odlišné od všetkého, čo som dovtedy zažila.	When I first met Anil, it was like nothing I‘d ever experienced.	0.222222
Bol prvým mužom, s ktorým som kedy mala orgazmus.	He was the first man I ever had an orgasm with.	0.268421
Vznášala som sa po celý čas.	I was high, just high, all the time.	0.225
Vedela som, že to nevydrží a tak sme ten okamih naplnili sladkým pocitom túžby. Skoro akoby sme videli blížiaci sa koniec a zároveň sme sa stále spoznávali.	And I knew it wouldn‘t last, couldn‘t last, and so that infused it with a sweet sense of longing, almost as though we were watching the end approach while we were also discovering each other.	0.345311
Keď Renu hovorí o konci, určite nemyslí koniec vzťahu s Anilom, ale len koniec určitej fázy.	When Renu speaks of the end, she does not, to be sure, mean the end of her relationship with Anil; she means the end of a certain stage.	0.353394
Obaja sú stále šťastne ženatí, spoločenskí, ľúbia sa a sú zamilovaní. ~~~ Majú hravého čierneho jazvečíka, ktorého si kúpili spoločne.	The two are still happily married, companionable, loving if not ―in love, with a playful black dachshund they bought together.	0.005
Ich vzťah býval kedysi taký plný vášne, zdá sa však, že teraz je udržiavaný na stálej teplote dostatočnej na to, aby ich zahriala.	Their relationship, once so full of fire, now seems to simmer along at an even temperature, enough to keep them well fed and warm.	0.297222
Za toto sú vďační.	They are grateful.	0.28125
Či by som chcela všetku tú vášeň späť? pýta sa Renu.	Would I want all that passion back? Renu asks.	0.269231
Niekedy áno.	Sometimes, yes.	0.225
Ale pravdu povediac, bolo to vyčerpávajúce.	But to tell you the truth, it was exhausting.	0.720677
Z fyziologického hľadiska táto dvojica prešla z dopamínového stavu romantickej lásky, do relatívne pokojného oxytocínového stavu náklonnosti.	From a physiological point of view, this couple has moved from the dopamine-drenched state of romantic love to the relative quiet of an oxytocin-induced attachment.	0.264286
Oxytocín je hormón, ktorý podporuje pocit spojenia a zbližovania.	Oxytocin is a hormone that promotes a feeling of connection, bonding.	0.589655
Prérijné hraboše, zvieratá s vysokou hladinou oxytocínu sú si verné po celý život.	Prairie voles, animals with high levels of oxytocin, mate for life.	0.232759
Keď vedci zablokujú receptory oxytocínu u týchto hlodavcov, prestanú sa správať monogamne a začnú sa túlať.	When scientists block oxytocin receptors in these rodents, the animals don‘t form monogamous bonds and tend to roam.	0.277419
Niektorí vedci uvažujú, že autizmus, porucha poznamenaná neschopnosťou nastoliť a udržať vzťahy v spoločnosti, je spojený s nedostatkom oxytocínu.	Some researchers speculate that autism, a disorder marked by a profound inability to forge and maintain social connections, is linked to an oxytocin deficiency.	0.42907
Vedci experimentovali s liečením autistov pomocou oxytocínu, čo im v niektorých prípadoch pomohlo zmierniť príznaky.	Scientists have been experimenting by treating autistic people with oxytocin, which in some cases has helped alleviate their symptoms.	0.259223
V dlhodobých fungujúcich vzťahoch, ako u Renu s Anilom majú obaja z partnerov dostatok oxytocínu.	In long-term relationships that work—like Renu and Anil‘s—oxytocin is believed to be abundant in both partners.	0.441071
Pri dlhodobých vzťahoch, ktoré nefungujú, ako napríklad u Renu a jej prvého manžela alebo pri vzťahoch, ktoré sa rozpadnú akonáhle sa vytratí ich kúzlo, je pravdepodobné, že partneri nedokážu nájsť spôsob ako stimulovať alebo udržovať produkciu oxytocínu.	In long-term relationships that never get off the ground, like Renu and her first husband‘s, or that crumble once the high is gone, chances are the couple has not found a way to stimulate or sustain oxytocin production.	0.397239
Existujú však veci, ktoré môžete robiť spoločne, aby ste tomu pomohli, hovorí Helen Fisherová.	But there are things you can do to help it along, says Helen Fisher.	0.360714
Masírujte sa.	Massage.	0.166667
Milujte sa.	Make love.	0.27
Tieto činnosti spúšťajú oxytocín, a preto sa budete cítiť k sebe oveľa bližšie.	These things trigger oxytocin and thus make you feel much closer to your partner.	0.295588
Myslím si, že je to dobrá rada, ale je založená na predpoklade, že stále chcete mať sex s tým nudným utáraným manželom.	Well, I suppose that‘s good advice, but it‘s based on the assumption that you still want to have sex with that boring windbag of a husband.	0.512385
Mali by ste predstierať, že s ním chcete mať sex, aby sa produkoval oxytocín?	Should you fake-it-till-you-make-it?	0.0428571
Áno, odpovedá Fisherová.	Yes, says Fisher.	0.16875
Za predpokladu, že máte pomerne zdravý vzťah a ak máte dostatok orgazmov so svojím partnerom, môže sa stať, že zostanete navzájom k sebe pripútaní.	Assuming a fairly healthy relationship, if you have enough orgasms with your partner, you may become attached to him or her.	0.379221
Budete stimulovať oxytocín.	You will stimulate oxytocin.	0.3
Je to presne to isté, čo vaša matka vždy hovorila o zelenine: Jedz hrášok.	It‘s exactly what your mother always said about vegetables: Keep eating your peas.	0.256452
Zvykneš si na jeho chuť.	They are an acquired taste.	0.257143
Nakoniec ho predsa budeš mať rada.	Eventually, you will come to like them.	0.26
Ale ja som nikdy nebola milovníčka hrachu.	But I have never been a peas person.	0.23
Za dennej teploty 32°C sme spolu s manželom odišli z Bostonu do New York City, aby sme sa zúčastnili školy bozkávania.	It‘s 90 degrees on the day my husband and I depart, from Boston for New York City, to attend a kissing school.	0.679091
Máme dve deti, dve mačky, dvoch psov, nesúmerný dom a problematický vzdelávací školský systém. ~~~ Možno vieme, ako sa bozkávať, ale v našom neľahkom a uponáhľanom živote sme zabudli ako sa bozkávať.	With two kids, two cats, two dogs, a lopsided house, and a questionable school system, we may know how to kiss, but in the rough and tumble of our harried lives we have indeed forgotten how to kiss.	0.0777778
Na nebi je veľa oblakov, na rukách a krku pociťujeme lepkavosť vzduchu.	The sky is paved with clouds, the air as sticky as jam in our hands and on our necks.	0.265574
Školu bozkávania vedie Cherie Byrdová, terapeutka zo Seattlu. Nachádza sa na 12. poschodí schátranej budovy na Manhattane.	The Kissing School, run by Cherie Byrd, a therapist from Seattle, is being held on the 12th floor of a run-down building in Manhattan.	0.452648
Miestnosti sú obielené, na stole s kachličkami sú fľašky banánového a marhuľového nektáru, hrnček zeleného čaju, svieže cukríky a balzam na pery.	Inside, the room is whitewashed; a tiled table holds bottles of banana and apricot nectar, a pot of green tea, breath mints, and Chapstick.	0.540357
Ostatní študenti školy bozkávania niekedy pochádzajú zo vzdialených krajín ako Vietnam a Nigéria. Všetci sa šťastne rozvaľovali na podlahe na vankúšoch a prikrývkach.	The other Kissing School students—sometimes they come from as far away as Vietnam and Nigeria—are sprawled happily on the bare floor, pillows and blankets beneath them.	0.422917
Vyučovanie bude trvať 7 hodín.	The class will be seven hours long.	0.266667
Byrdová nám začala šúchať nohy.	Byrd starts us off with foot rubs.	0.289286
Ak sa chcete dobre bozkávať, povedala musíte sa naučiť ako spraviť predohru pred bozkávaním.	In order to be a good kisser, she says, you need to learn how to do the foreplay before the kissing.	0.29625
Predohra zahŕňa masáž zaváňajúcich nôh môjho manžela, ale nie to až také zlé, ako keď on masíroval moje.	Foreplay involves rubbing my husband‘s smelly feet, but that is not as bad as when he has to rub mine.	0.443609
Tesne pred tým, ako sme vyšli z domu, som omylom stúpila do plienky, do ktorej sa vyšpinil náš pes. Síce som sa umyla, ale teraz by ma zaujímalo, či to stačilo.	Right before we left the house, I accidentally stepped on a diaper the dog had gotten into, and although I washed, I now wonder how well.	0.252212
Inhalujte, povedala Byrdová a ukázala nám ako nasať vzduch.	Inhale, Byrd says, and shows us how to draw in air.	0.228571
Vydýchnite, povedala a potom strčila do chrbta môjho manžela.	Exhale, she says, and then she jabs my husband in the back.	0.269388
Nesústreďujte sa tak príliš na prsty povedala.	Don‘t focus on the toes so much, she says.	0.248571
Prejdite na lýtka.	Move on to the calf.	0.3
Byrdová nám povedala ďalšie veci o umení bozkávania.	Byrd tells us other things about the art of kissing.	0.286364
Opisuje pohyb energie prostredníctvom rôznych čakier, prejav emócií na perách, opisuje akú dôležitú úlohu zohrávajú vaše zmysly, ako nadviazať očný kontakt ako súčasť predohry, ako zašepkať tú správnu vetu.	She describes the movement of energy through various chakras, the manifestation of emotion in the lips; she describes the importance of embracing all your senses, how to make eye contact as a prelude, how to whisper just the right way.	0.269832
Ušlo veľa hodín.	Many hours go by.	0.3
Zazvonil mi mobil.	My cell phone rings.	0.282353
Bola to opatrovateľka.	It‘s our babysitter.	0.268421
Naše jednoročné dieťa má horúčku.	Our one-year-old has a high fever.	0.3
Musíme si skrátiť hodinu.	We must cut the long lesson short.	0.221739
Ponáhľame sa.	We rush out.	0.245455
Neskôr, už doma rozprávam priateľom, čo sme sa naučili v škole bozkávania.	Later on, at home, I tell my friends what we learned at Kissing School:	0.274576
Nemáme čas na bozk.	We don‘t have time to kiss.	0.194118
Úplne typické manželstvo.	A perfectly typical marriage.	0.2625
Láska v západnom svete.	Love in the Western world.	0.271429
Našťastie som sa dozvedela o ďalších možnostiach, ako reštartovať lásku.	Luckily I‘ve learned of other options for restarting love.	0.223529
Arthur Aron, psychológ na Stony Brook University v New Yorku vykonal experiment, ktorý vysvetľuje niektoré z mechanizmov, vďaka ktorým sa ľudia stávajú a zostávajú atraktívnymi.	Arthur Aron, a psychologist at Stony Brook University in New York, conducted an experiment that illuminates some of the mechanisms by which people become and stay attracted.	1.09553
Zabezpečil si skupinu mužov a žien, ktorí sa priťahujú. ~~~ Vytvoril páry v izbách a každú dvojicu poveril vykonávaním úloh, ako napríklad, aby každý z páru povedal tej druhej osobe nejaké osobné veci o sebe.	He recruited a group of men and women and put opposite sex pairs in rooms together, instructing each pair to perform a series of tasks, which included telling each other personal details about themselves.	0.0559481
Potom ich požiadal, aby sa každý pár pozeral priamo do očí jeden druhému v dĺžke 2 minúty.	He then asked each couple to stare into each other‘s eyes for two minutes.	0.237097
Po tomto stretnutí Aron zistil, že väčšina z párov sa vôbec nepoznala, ale začala cítiť príťažlivosť.	After this encounter, Aron found most of the couples, previously strangers to each other, reported feelings of attraction.	0.410953
V skutočnosti sa jeden pár aj zobral.	In fact, one couple went on to marry.	0.290323
Fisherová hovorí, že toto cvičenie robí divy pre niektoré páry.	Fisher says this exercise works wonders for some couples.	0.27
Aron a Fisherová tiež naznačujú, že je treba robiť spolu nové veci, pretože tie spúšťajú v mozgu dopamín, ktorý môže stimulovať pocity príťažlivosti.	Aron and Fisher also suggest doing novel things together, because novelty triggers dopamine in the brain, which can stimulate feelings of attraction.	0.428091
Inými slovami, ak vaše srdce búši v jeho prítomnosti, môžete sa rozhodnúť, že to nie je kvôli vašej nervozite, ale preto, že ho milujete.	In other words, if your heart flutters in his presence, you might decide it‘s not because you‘re anxious but because you love him.	0.283486
Posuňme sa ďalej. ~~~ Aron a iní zistili nasledovné, ak ste práve na nejakom mieste a máte sa s niekým stretnúť, je pravdepodobné, že si o ňom budete myslieť, že je atraktívny.	Carrying this a step further, Aron and others have found that even if you just jog in place and then meet someone, you‘re more likely to think they‘re attractive.	0.0952452
Takže prvé rande zahŕňajú nervy drásajúce aktivity, ako jazda na horskej dráhe, ale s najväčšou pravdepodobnosťou vedú k druhému a tretiemu rande.	So first dates that involve a nerve-racking activity, like riding a roller coaster, are more likely to lead to second and third dates.	0.395922
Táto stratégia si zaslúži zverejnenie na Match.com.	That‘s a strategy worthy of posting on Match.com.	0.65407
Zahrajte si squash.	Play some squash.	1.0125
A v čase stresu, prírodných katastrof, výpadkov prúdu a lovu zvierat, pevne uchmatnite svojho partnera a držte sa ho.	And in times of stress—natural disasters, blackouts, predators on the prowl—lock up tight and hold your partner.	0.290722
V Somerville, Massachusetts, kde žijem so svojím manželom sú našimi dravcami komáre.	In Somerville, Massachusetts, where I live with my husband, our predators are primarily mosquitoes.	0.708836
Toto nás však neodradí od toho aby sme spolu boli v dobrom aj zlom.	That needn‘t stop us from trying to enter the windows of each other‘s soul.	0.256364
Keď som to navrhla Benjaminovi, len nadvihol obočie.	When I propose this to Benjamin, he raises an eyebrow.	0.633333
Prečo radšej nejdeme von na kambodžské jedlo? spýtal sa.	Why don‘t we just go out for Cambodian food? he says.	0.265909
Pretože tak sa ten pokus nestal.	Because that‘s not how the experiment happened.	0.15
Ako vedec, je môj manžel vždy za experimenty.	As a scientist, my husband is always up for an experiment.	0.223077
Ale sme veľmi zaneprázdnení, takže si to musíme naplánovať.	But our lives are so busy that, in order to do this, we have to make a plan.	0.553846
Stretneme sa budúcu stredu na poludnie a v aute.	We will meet next Wednesday at lunchtime and try the experiment in our car.	0.139024
Vyskúšame tento experiment v utorok, noc pred našou schôdzkou som musela ísť na neplánovaný výlet do New Yorku.	On the Tuesday night before our rendezvous, I have to make an unplanned trip to New York.	0.381532
Môj manžel je šťastný, že môţe zabudnúť na naše rande.	My husband is more than happy to forget our date.	0.263415
Ale ja som nezabudla.	I, however, am not.	0.264706
V tú noc som mu zavolala z hotelovej izby.	That night, from my hotel room, I call him.	0.291429
Môžeme to urobiť cez telefón. povedala som.	We can do it on the phone. I say.	0.161538
A načo mám ako zízať? opýtal sa.	What am I supposed to stare into? he asks.	0.211111
Na klávesnicu?	The keypad?	0.218182
Na chodbe visí moja fotka.	There‘s a picture of me hanging in the hall.	0.117391
Pozeraj sa na ňu dve minúty.	Look at that for two minutes.	0.2875
Ja sa budem pozerať na tvoju fotku, ktorú mám v peňaženke.	I‘ll look at a picture I have of you in my wallet.	0.2325
Tak poďme. povedal	Come on. he says.	0.26
Ber to športovo, povedala som Je to lepšie ako nič.	Be a sport, I say. It‘s better than nothing.	0.251351
A možno ani nie.	Maybe not.	0.18
Dve minúty sa zdajú dlhá doba, keď sa máte pozerať na niečiu fotografiu so slúchadlom na uchu.	Two minutes seems like a long time to stare at someone‘s picture with a receiver pressed to your ear.	0.281013
Môj manžel si kýchol a ja som sa snažila si predstaviť, ako pri tom vyzerá a to ma rozosmeje.	My husband sneezes, and I try to imagine his picture sneezing right along with him, and this makes me laugh.	0.394737
Ďalších 15 sekúnd ubehlo pomaly, každá sekunda sa vliekla ako nejaká karamelová hmota, ktorá sa naťahuje, a keď stuhne, tak puká, až som mohla počuť a cítiť čas.	Another 15 seconds pass, slowly, each second stretched to its limit so I can almost hear time, feel time, its taffy-like texture, the pop it makes when it‘s done.	1.43793
Puk, puk, puk.	Pop pop pop.	0.245455
Naďalej zízam na manželovu fotku.	I stare and stare at my husband‘s picture.	0.24
Neprodukuje to žiaden zmysel a mám pocit porážky.	It doesn‘t produce any sense of startling intimacy, and I feel defeated.	0.167442
Napriek tomu pokračujem.	Still, I keep on.	0.14
Počujem ho dýchať na druhom konci linky.	I can hear him breathing on the other end.	0.3
Fotografia predo mnou bola odfotená asi pred rokom a odstrihnutá, aby sa mi zmestila do peňaženky, svetlo ryšavé vlasy mal stiahnuté do chvostu.	The photograph before me was taken a year or so ago, cut to fit my wallet, his strawberry blond hair pulled back in a ponytail.	0.370192
Nikdy som ho takto ešte nepozorovala.	I have never really studied it before.	0.3
Uvedomila som si, že sa na fotke nepozerá priamo na mňa. Jeho svetlomodré oči sa pozerajú doľava, na niečo, čo som nevidela.	And I realize that in this picture my husband is not looking straight back at me, but his pale blue eyes are cast sideways, off to the left, looking at something I can‘t see.	0.190385
Dotkla som sa ich.	I touch his eyes.	0.28
Pozrela som sa bližšie na jeho odvrátenú tvár.		-0.3
Je tam niečo smutné, možno spôsob, akým hľadí preč.	I peer close, and then still closer, at his averted face.	0.272727
Prizrela som sa bližšie tej fotke, aby som zistila, na čo sa pozerá. ~~~ Zbadala som to.	Is there something sad in his expression, something sad in the way he gazes off?	-0.011194
Malinká korytnačka, smerujúca k nemu.		-0.3
Počas mnohých expedícií začiatkom 19. storočia bádatelia nasadzovali v boji proti arktickej zime a zdrvujúcemu ľadu vlastné životy.	I look toward the side of the photo, to find what it is he‘s looking at, and then I see it: a tiny turtle coming toward him.	0.40941
Žiadna z nich síce neuspela, ale každá zachádzala ďalej a ďalej.	Risking life and limb, countless expeditions braved Arctic cold and crushing ice in the 1800s.	0.158182
Loď Panter vedľa ľadovca počas expedície do Grónska v roku 1869.	All failed, but each one came closer and closer to the top of the world.	0.278182
Viedol ju americký umelec a bádateľ William Bradford.	An iceberg looms over the Panther during an 1869 expedition to Greenland undertaken by the American artist and explorer William Bradford.	0.513475
Fráza "na vrchole sveta" v sebe nesie nadšenie a entuziazmus, ako keby neexistovalo nič lepšie ako stáť na 90° severnej zemepisnej šírky.	The phrase "on top of the world” carries ebullience and enthusiasm, as if nothing could be better than standing at 90° north latitude.	0.419815
V skutočnosti je však Severný pól odľahlým miestom Zeme. ~~~ Je chladný a nehostinný, je to neobývateľná oblasť ľadu a snehu.	In reality, Earth’s remote North Pole is frigid and barren, an inhospitable region of ice and snow.	-0.0375
Objaviť toto "neobjavené" miesto vzbudilo v európskych a amerických bádateľoch 19. a 20. storočia veľký záujem.	Finding this last "undiscovered” place became an obsession for European and American explorers in the 19th and 20th centuries.	0.262887
V blízkosti Severného pólu žilo len málo ľudí.	Few people lived near the North Pole.	0.225
Niekoľko Eskimákov sa k tomuto bodu usadilo najbližšie, ale väčšina oblasti ostala od zvyšku sveta izolovaná po celé stáročia.	A small Inuit community had settled the closest, but for the most part the region remained isolated from the rest of the world for centuries.	0.275229
Niekoľko nebojácnych bádateľov – John Cabot, Martin Frobisher, Henry Hudson a James Cook – sa pokúsilo prejsť touto oblasťou, aby našli Severozápadný priechod.	A few intrepid explorers—John Cabot, Martin Frobisher, Henry Hudson, and James Cook—tried to navigate the region in search of the Northwest Passage, a sea route believed to connect the Atlantic and Pacific Oceans in the waters above North America.	0.893478
Bola to morská trasa, ktorá údajne spájala Atlantický a Tichý oceán ponad Severnú Ameriku.	The North Pole was not a concern for these early explorers, but their work laid the foundation for a polar obsession to come.	0.6
Títo raní bádatelia Severný pól nemali v hľadáčiku, ale ich úspechy položili základy nadchádzajúcej polárnej posadnutosti.		-0.3
Veľká Británia, ktorá bola po skončení napoleonských vojen v roku 1815 najväčšou koloniálnou veľmocou, začala sériu arktických výprav. ~~~ Ich cieľom bolo priplávať do Beringovho prielivu cez Arktídu, ktorú si predstavovali ako otvorené more obklopené ľadom.	After the Napoleonic Wars ended in 1815, Great Britain, the foremost colonial power of the time, mounted a series of Arctic expeditions to reach the Bering Strait by crossing the Arctic, which was at the time believed to be an open sea surrounded by a belt of ice.	-0.00344037
John Ross a William Edward Parry v 20.-tych a 30.-tych rokoch 19. storočia viedli niekoľko expedícií, ale žiadna z nich prieliv neobjavila.	Sir John Ross and Sir William Edward Parry led several expeditions in the 1820s and 30s, but none located the passage itself.	0.912174
V roku 1831 James Clark Ross, Johnov synovec a v rokoch 1829 – 1832 aj dôstojník na jeho plavbe, dosiahol dôležitý vedecký míľnik.	In 1831 a scientific milestone was achieved by James Clark Ross, nephew of John and an officer on his uncle’s Arctic voyage of 1829-1832.	0.908486
Mladý Ross sa počas exkurzie na saniach stal prvým Európanom, ktorý zameral severné magnetické pole Zeme.	While on a sledge excursion, the young Ross became the first European to locate the planet’s north magnetic pole.	0.459987
Táto nevýrazná značka označuje 90° severnej zemepisnej šírky.	This unimpressive sign marks the 90° north latitude.	0.574638
Značka sa posúva spolu s ľadovými kryhami, ktoré unáša morský prúd.	The sign itself shifts as the polar caps are dragged along by the powerful marine currents.	0.201724
A K G / A L B U M Tieto rané plavby odhalili nebezpečenstvo severských vôd, no zároveň lákali nových bádateľov.	AKG/ALBUMThese early voyages revealed how dangerous exploration of northern waters could be but whetted explorers’ appetite for discovery.	0.202174
Komplikácie často nastávali vtedy, keď studené vody uväznili lode v novovytvorenom ľade.	Complications often arose from frigid waters trapping ships in newly forming ice.	0.270423
Ak posádka nedokázala oslobodiť plavidlo, musela čakať celé mesiace – či už na záchranu, alebo na roztopenie.	If a crew could not free their vessel, they often had to wait for months—either for a rescue or for the ice to thaw enough for them to sail away.	0.226596
V máji 1845 začala ďalšia britská expedícia. ~~~ Jej cieľom bolo nájsť Severozápadný priechod.	In May 1845 another British expedition launched to find the Northwest Passage.	1.95096
Expedíciu viedol známy britský bádateľ a námorný dôstojník John Franklin. ~~~ Stotridsaťtričlenná posádka vyplávala do arktických vôd na dvoch lodiach Erebus a Terror a zmizla bez stopy.	Led by celebrated British explorer and naval officer Sir John Franklin, a crew of 133 sailed the H. M. S. Erebus and H. M. S. Terror into Arctic waters and disappeared without a trace.	0.264833
V nasledujúcich desaťročiach sa viac ako stovka európskych lodí vydala hľadať Franklina a jeho mužov do labyrintov ostrovov a zátok, ktoré tvoria kanadskú Arktídu.	Over the next decade more than a hundred European ships went looking for Franklin and his men, searching the labyrinth of islands and inlets that make up the Canadian Arctic.	0.409362
Záchranné misie Franklina nenašli (jeho dve lode našli až v rokoch 2014 a 2016), ale priniesli neočakávané výsledky.	These rescue missions weren’t successful in finding Franklin (his two ships would not be found until 2014 and 2016), but they did have unexpected results.	2.10174
Zatiaľ čo kapitán námornej lode je povinný dodržiavať trasu určenú majiteľom lode, pri pátraní po človeku je to inak.	While the captain of a naval ship is under strict orders to follow the route stipulated by the ship owner, in the case of a manhunt, the rules are different.	0.363
Keďže cieľom bolo nájsť lode a kohokoľvek, kto prežil, kapitáni mali pri výbere smeru plavby voľnosť.	As the objective was to locate the ships and whomever remained alive, the captains enjoyed the freedom to set their own course.	0.231034
