Aféra BALCO poukázala na to, že dopingové testy boli jedna veľká fraška.	BALCO showed that drug testing was a farce.	0.430631
O rok na to sa Armstrong v televíznom rozhovore s Oprah Winfreyovou ku všetkému priznal.	The next year, Armstrong admitted to doping in a televised interview with Oprah Winfrey.	0.896
Floyd Landis, víťaz pretekov Tour de France, počas výsluchu na Pepperdinskej univerzite v roku 2007, kde ho obvinili z dopovania.	Above, Floyd Landis, winner of the 2006 Tour de France, listens during the hearing at Pepperdine University in 2007 at which he was accused of doping.	0.973745
Ako sa Lance Armstrong dokázal väčšinu svojej športovej kariéry vyhýbať dopingovým testom?	How did Lance Armstrong elude drug testing for much of his career?	0.632967
Jedným z jeho riešení bolo jednoducho utekať a schovávať sa kedykoľvek sa dopingoví komisári chystali prísť.	One strategy was simply running away and hiding when drug testers came calling.	0.185294
Profesionálny cyklista vždy musí svoju národnú antidopingovú agentúru upovedomiť o mieste svojho pobytu. ~~~ Pokiaľ udá mesto, v ktorom sa nachádza, nikto mu nebude vyčítať, ak práve nebude k dispozícii.	Professional cyclists must let their national antidoping agencies know of their whereabouts at all times, but as long as they accurately reported the cities they were in, they were not reprimanded for being unavailable.	-0.0112069
Armstrong často dostával varovania, keď sa ho chystali testovať, a tak narýchlo odišiel niekam inam, alebo sa zdržiaval na odľahlých miestach, kde nebolo ľahké ho nájsť.	Armstrong often received advanced warning that he was to be tested and changed his travel plans or stayed in remote locales, which made tracking him down a challenge.	0.511508
Taktiež používal sofistikované metódy, ktorými maril prácu komisárov.	He also used sophisticated techniques to thwart testers.	0.222
Jednou z nich bolo maskovanie nedovolených látok pomocou infúzie fyziologického roztoku, vďaka ktorému sa hodnoty v jeho krvi vrátili do normálu.	In one, drug masking, an infusion of saline was used to return his blood values to normal levels.	0.133333
Okrem toho užíval látky, ktoré boli nevystopovateľné, napr. EPO. ~~~ Pre túto látku v 90. rokoch neexistoval žiaden test.	And he used drugs that were untraceable, such as EPO, for which there was no test in the 1990s, when he began to take it.	-0.00765306
Neskôr test vyvinuli, ale Armstrong prišiel na to, že keď si nebude EPO vpichovať podkožne ale do žily a v malých dávkach, výsledky testov budú negatívne.	When a test was developed, Armstrong found that injecting small doses into a vein rather than subcutaneously produced a negative result.	0.675758
Museli by ste byť výskumníkom z National Institutes of Health [vládny výskumný inštitút Spojených štátov], aby ste porozumeli tomu, ako to spravil.	You'd need to be a researcher at the National Institutes of Health to understand how he did it, says Dr Yesalis.	0.872141
Až tak dôkladne to mal premyslené, hovorí Yesalis.	It was that sophisticated.	0.05
Lance Armstrong rozpráva Oprah Winfreyovej o svojej kontroverznej kariére (14. 1. 2013).	Above, on January 14, 2013, Lance Armstrong speaks to Oprah Winfrey regarding the controversy surrounding his cycling career.	0.873077
Biogenesis of America bola zdravotná klinika, ktorá sa špecializovala na úbytok hmotnosti a hormonálnu substitučnú liečbu. ~~~ Fungovala iba krátky čas v meste Coral Gables na Floride.	Biogenesis of America, a health clinic specializing in weight loss and hormone replacement therapy, operated briefly in Coral Gables, Florida.	0.242484
Písal sa rok 2013 (ten istý rok, čo sa Lance Armstrong ku všetkému priznal Oprah), keď niekoľko hráčov Major League Baseball obvinili z toho, že si obstarávali rastový hormón z kliniky Biogenesis.	In 2013, the same year that Lance Armstrong confessed all to Oprah, a scandal erupted when several Major League Baseball players were accused of obtaining human growth hormone from Biogenesis.	0.876987
Suspendovali trinástich hráčov na 50 a viac zápasov. ~~~ Boli to Alex Rodriguez, Antonio Bastardo, Everth Cabrera, Francisco Cervelli, Nelson Cruz, Fautino de los Santos, Sergio Escalona, Fernando Martínez, Jesús Montero, Jordan Norberto, Jhonny Peralta, César Puello a Jordany Valdespin. ~~~ Išlo o najviac súčasne suspendovaných hráčov v dejinách bejzbalu.	Thirteen players received suspensions of 50 games or more, including Alex Rodriguez, Antonio Bastardo, Everth Cabrera, Francisco Cervelli, Nelson Cruz, Fautino de los Santos, Sergio Escalona, Fernando Martínez, Jesús Montero, Jordan Norberto, Jhonny Peralta, César Puello, and Jordany Valdespin—the most simultaneous suspensions in baseball history.	0.689608
Obranca tímu New York Yankees Alex Rodriguez na tlačovej konferencii pre médiá, zatiaľ čo bol suspendovaný pre údajné užívanie steroidov z kliniky Biogenesis.	Above, New York Yankees third baseman Alex Rodriguez addresses the media in 2013 while facing suspension by Major League Baseball for his alleged use of steroids made by the Biogenesis clinic in Florida.	0.848358
Užívanie dopingových látok je podľa všetkého medzi elitnými športovcami veľmi rozšírené.	By many accounts, drug use in elite athletes is not just common, it's pervasive.	0.251471
Jeden odborník v správe Nezávislej cyklistickej reformnej komisie z roku 2015 odhaduje, že až 90 % profesionálnych cyklistov užíva látky na zvýšenie športovej výkonnosti.	In a 2015 Cycling Independent Reform Commission report, one expert estimated that 90% of professional cyclists take performance-enhancing drugs.	0.400394
V tom istom roku trojnásobnej víťazke bostonského maratónu z Kene Rite Jeptoovej zakázali pretekať na 2 roky po tom, čo odovzdala vzorku pozitívnu na EPO.	That same year, Kenya's Rita Jeptoo, a three-time Boston Marathon champion, was banned from competition for 2 years after testing positive for EPO.	1.7881
V roku 2015 Svetová antidopingová agentúra uverejnila správu, podľa ktorej je v ruskom športe na všetkých úrovniach hlboko zakorenené podvádzanie.	Also in 2015, a report commissioned by World Anti-Doping Agency indicated a deeply rooted culture of cheating at all levels in Russian sport.	0.28
V marci roku 2016 ruská tenisová hviezda Marija Šarapovová neprešla dopingovým testom.	In March 2016, Russian tennis star Maria Sharapova admitted to failing a drug test.	0.278873
Užívala meldónium, ktoré sa používa na liečbu ischémie, ale taktiež zvyšuje vytrvalosť.	She had been taking meldonium, which is used to treat ischemia but can also improve endurance.	0.288312
Zo súťaží ju suspendovali na 2 roky.	She was suspended from competition for 2 years.	4.32823
21. 7. 2016 Medzinárodná asociácia atletických federácií zakázala celému ruskému družstvu ľahkej atletiky štartovať na olympiáde v Riu, a to pre štátom podporované užívanie steroidov.	On July 21, 2016, Russia's entire track and field team was banned by the IAAF from competing in the Rio Olympics for taking state-endorsed steroids.	0.216
Predpokladá sa, že aj iné štáty sponzorujú podobné programy.	Other countries are also believed to sponsor such programs.	0.294231
Hráči tímu New York Yankees, nadhadzovači Roger Clemens a Andy Pettitte. ~~~ V správe z roku 2007 známej ako Mitchell Report boli obvinení z užívania amfetamínov, anabolických steroidov a rastového hormónu (STH).	Above, New York Yankees pitchers Roger Clemens and Andy Pettitte, accused in the 2007 Mitchell Report of taking amphetamines, anabolic steroids, and human growth hormone (HGH).	0.8837
Pettitte sa neskôr priznal, že užíval STH.	Pettitte later admitted to taking HGH.	0.702101
Clemens všetko poprel.	Clemens denied ever taking drugs.	0.921429
Dňa 24. 7., menej ako dva týždne pred začatím OH v Riu, sa Medzinárodný olympijský výbor postavil proti návrhu, podľa ktorého by nikto z ruskej výpravy nesmel na olympiáde v Riu štartovať, a to napriek tomu, že Svetová antidopingová agentúra s istotou potvrdila, že ruská vláda viedla najväčší dopingový program v histórii medzinárodného športu, čo je v úplnom rozpore so športovým duchom, ako napísal denník The New York Times.	On July 24, less than 2 weeks before the start of the Rio Games, the IOC ruled against barring Russia across the board from the Rio Olympics, even though, as the New York Times noted, the World Anti-Doping Agency confirmed beyond a reasonable doubt that the Russian government ran the biggest criminal doping program in the history of international sport, demeaning every notion of what athletic competition stands for.	0.463758
MOV prenechal rozhodnutie o tom, či majú ruskí športovci súťažiť v jednotlivých disciplínach na 28 samostatných športových federáciách.	Instead, the IOC will defer to 28 individual federations that govern each sport regarding whether to let Russian athletes compete in their disciplines.	2.00911
Zatiaľ čo sa Medzinárodná asociácia atletických federácií rozhodla z hier ruské družstvo v ľahkej atletike vylúčiť, mnoho iných športových federácií, vrátane gymnastickej a tenisovej, dovolilo ruským športovcom zúčastniť sa.	While the IAAF has ruled that Russia's track and field team will be banned from Rio, many sports federations, among them gymnastics and tennis, have declared that Russian athletes should be allowed to compete.	0.266102
Ruská vlajka.	Above, the Russian flag.	0.0923077
Yesalis pred Kongresom Spojených štátov svedčil ohľadom legislatívnych záležitostí kontroly zneužívania anabolických steroidov a rastového hormónu športovcami už niekoľkokrát.	Dr Yesalis has testified before Congress multiple times on legislation related to the control of anabolic steroid and growth hormone abuse by athletes.	0.385385
Čo s tým môžeme urobiť?	What can we do about this?	0.27
Absolútne nič, usúdil.	Not a damn thing, he concludes.	0.214286
Nestačí im pozerať sa na to najlepšie na olympijských hrách alebo na akomkoľvek inom športovom podujatí svetového formátu.	It's not enough for them to watch the Olympics or any elite sporting event to see the very best.	0.355363
Chcú vidieť superľudí a nadľudské výkony.	They want bigger-than-life people doing bigger-than-life things.	0.121622
Nechcú sa pozerať na talentovaných športovcov, ktorí vyzerajú ako priemerný chlapík alebo ženská.	They don't want to see an average-looking guy or gal who's a gifted athlete.	0.196875
Chcú neobyčajných ľudí.	They want people who don't look normal.	0.136364
Chcú postavy z marveloviek.	They want characters out of Marvel Comics.	0.156
A doping im to dokáže dať.	Drugs allow that.	0.1875
Obranca tímu New York Jets LaRon Landry, ktorý váži 103 kg a údajne dokáže v tlaku na lavičke vytlačiť 228 kg, pričom patrí k tým menším hráčom v National Football League.	Above, New York Jets safety LaRon Landry, who weighs 226 pounds and can reportedly bench 503 pounds, is one of the smaller guys in the National Football League.	1.10968
Ako vaše internetové návyky znečisťujú ovzdušie.	Why your internet habits are not as clean as you think.	0.286364
Svet internetu nám umožňuje posielať správy, zdieľať obrázky, sťahovať hudbu a vysielať videá jediným kliknutím.		-0.3
Budete prekvapení, ale to, ako sa správate online, má veľký vplyv na životné prostredie. ~~~ Je pravdepodobné, že ste dnes už odpovedali na niekoľko emailov, poslali zopár správ cez Messenger a možno ste si rýchlo niečo vyhľadali na internete.	The internet allows us to send messages, share pictures, download music and stream videos at a touch of a button, but our online habits have a surprising impact on the environment.	0.0330469
V priebehu dňa bezpochyby strávite ešte viac času surfovaním na webe, nahrávaním obrázkov, prehrávaním hudby a vysielaním videí.	It’s probable you’ve already replied to a couple of emails today, sent some chat messages and maybe performed a quick internet search.	0.452538
Každá z týchto činností však so sebou prináša aj svoju obeť. ~~~ Tou je niekoľko gramov oxidu uhličitého.	As the day wears on you will doubtless spend even more time browsing online, uploading images, playing music and streaming video.	-0.0375
Uvoľňujú sa následkom spotreby energie, ktorú vaše zariadenia potrebujú k činnosti a poháňa bezdrôtové siete, na ktoré ste napojení.	Each of these activities you perform online comes with a small cost – a few grams of carbon dioxide are emitted due to the energy needed to run your devices and power the wireless networks you access.	0.319565
Menej očividné, ale azda energicky náročnejšie, sú dátové centrá a rozsiahle servery, ktoré sú oporou internetu a uchovávajú obsah, ktorý navštevujeme.	Less obvious, but perhaps even more energy intensive, are the data centres and vast servers needed to support the internet and store the content we access over it.	0.288636
Napriek tomu, že množstvo energie potrebné na jedno vyhľadanie na internete alebo jeden email je malé, v súčasnosti využíva internet približne 4,1 miliárd ľudí, čo je 53,6 % celkovej populácie.	Although the energy needed for a single internet search or email is small, approximately 4.1 billion people, or 53.6 % of the global population, now use the internet.	0.556773
Zlomky tejto energie a s nimi súvisiace skleníkové plyny, ktoré sa uvoľnia pri každej činnosti na internete, môžu narastať.	Those scraps of energy, and the associated greenhouse gases emitted with each online activity, can add up.	0.250549
Odhaduje sa, že uhlíková stopa našich zariadení, internetu a ich podporných systémov sa podieľajú približne na 3,7 % celosvetových emisií skleníkových plynov.	The carbon footprint of our gadgets, the internet and the systems supporting them account for about 3.7% of global greenhouse emissions, according to some estimates.	0.291304
Mike Hazas, výskumný pracovník Lancasterskej univerzity tvrdí, že ide o podobné množstvo, aké celosvetovo vyprodukuje letecký priemysel .	It is similar to the amount produced by the airline industry globally, explains Mike Hazas, a researcher at Lancaster University.	0.588762
Predpokladá sa, že tieto emisie sa do roku 2025 zdvojnásobia.	And these emissions are predicted to double by 2025.	0.246667
Pri výrobe a sprístupnení digitálnych technológií medzi používateľov po celom svete, je vyprodukovaných približne 1,7 miliárd ton emisií skleníkových plynov. ~~~ Ak by sme toto množstvo rozrátali na jedného internetového používateľa, prišli by sme k záveru, že každý z nás je zodpovedný za tvorbu 414 kilogramov oxidu uhličitého ročne.	If we were to rather crudely divide the 1.7 billion tonnes (1.6 billion tons) of greenhouse gas emissions estimated to be produced in the manufacture and running of digital technologies between all internet users around the world, it means each of us is responsible for 414kg (912lbs) of carbon dioxide a year.	-0.0155769
Avšak, nie je to také jednoduché. ~~~ Táto hodnota je všade vo svete iná.	But things are not that simple – this figure can vary depending where in the world you are.	-0.0375
Používatelia internetu majú v niektorých oblastiach Zeme neprimerane veľkú uhlíkovú stopu.	Internet users in some parts of the globe will have a disproportionately large footprint.	0.284416
Podľa jednej štúdie bol pred 10 rokmi do atmosféry vylúčený ekvivalent 81 kilogramov oxidu uhličitého (CO2), za ktoré bol zodpovedný priemerný austrálsky používateľ internetu.	One study estimated that 10 years ago, the average Australian internet user was responsible for the equivalent of 81kg (179lbs) of carbon dioxide (CO2) being emitted into the atmosphere.	0.408235
Skvalitnenie energetickej účinnosti, úspor z rozsahu a využívanie energie z obnoviteľných zdrojov toto množstvo bezpochyby zníži. ~~~ Je však zrejmé, že za väčšinový podiel internetovej uhlíkovej stopy sú zodpovední ľudia z vyspelých krajín.	Improvements in energy efficiency, economies of scale and use of renewable energy will doubtless have reduced this, but it is clear that people in developed nations still account for the majority of the internet’s carbon footprint.	-0.00913706
(CO2 je jednotka, ktorá vyjadruje množstvo skleníkových plynov, ktoré má taký vplyv na klímu ako kilogram oxidu uhličitého).	(CO2 is a unit used to express the carbon footprint of all greenhouse gases together as if they were all emitted as carbon dioxide).	0.452339
Niektorí ľudia si uvedomili, že svojou internetovou aktivitou poškodzujú planétu a rozhodli sa konať.	For some, the realisation that their online activity is harming the planet has spurred them into taking action.	0.279775
Všetko, čo dokážeme spraviť pre znižovanie emisií CO2, je dôležité. ~~~ Dokonca aj maličkosť akou je naše správanie na internete, hovorí Philippa Gautová, učiteľka v meste Surrey vo Veľkej Británii.	Anything we can do to reduce carbon emissions is important, no matter how small, and that includes how we behave on the internet, says Philippa Gaut, a teacher from Surrey, UK.	0.0227064
Patrí do rýchlo rastúcej skupiny ekologicky uvedomelých spotrebiteľov, ktorí sa snažia znížiť svoj vplyv na životné prostredie online a používaním svojich telefónov.	She is one of a growing number of eco-conscious consumers trying to reduce their environmental impact online and on their phones.	0.477273
Gautová dodáva: Efektívnejšie by bolo, keby každý robil takéto maličkosti.	If everybody made changes, it would have more impact, she adds.	0.233333
Jednou z prekážok pri riešení problému uhlíkovej stopy je, že ľudia sa nevedia zhodnúť na tom, čo by malo byť stredobodom záujmu, aby sa predišlo škodlivému vplyvu našich internetových návykov.	One of the difficulties in working out the carbon footprint of our internet habits is that few people can agree on what they should and should not include.	0.216279
Mali by sa sem zahrnúť aj emisie, ktoré sa vyprodukujú pri výrobe výpočtovej techniky?	Should it include the emissions that come from manufacturing the computing hardware?	0.3
A čo emisie vytvárané zamestnancami a budovami technologických spoločností?	And what about those from the staff and buildings of technology companies?	0.28125
Spochybňujú sa aj hodnoty týkajúce sa prevádzky dátových centier.		-0.3
Veľa z nich využíva energiu z obnoviteľných zdrojov, no stále sa nájdu také, ktoré kupujú tzv. uhlíkovú kompenzáciu, aby zredukovali svoju spotrebu energie.	Even the figures around the running of data centres are disputed – many run on renewable energy, while some companies buy carbon off-sets to clean up their energy use.	0.288889
Zatiaľ čo veľa spoločností poháňa svoje dátové centrá pomocou energie z obnoviteľných zdrojov, stále vo svete nájdeme miesta, kde sú z veľkej časti poháňané spaľovaním fosílnych palív.	While many companies claim to power their data centre’s using renewable energy, in some parts of the world they are still largely powered from the burning of fossil fuels.	0.26875
V USA sú dátové centrá zodpovednéza 2 % celkovej spotreby elektrickej energie v krajine, zatiaľ čo v celosvetovom rozsahu sa podieľajú na spotrebe takmer 200 terawatthodín (TWh).	In the US, data centres are responsible for 2% of the country’s electricity use, while globally they account for just under 200 terawatt Hours (TWh) .	0.346825
Podľa Medzinárodnej telekomunikačnej únie, ktorá je súčasťou Organizácie Spojených národov, však táto hodnota zostala v posledných rokoch aj napriek zvýšenému internetovému prenosu dát a nadmernému zaťaženiu siete stabilná.	According to the United Nation’s International Telecommunications Union, however, this figure has flatlined in recent years despite rising internet traffic and workloads.	0.206
A to najmä z dôvodu zlepšenia energetickej účinnosti a centralizácie dátových centier do obrovských stredísk.	This is largely because of improved energy efficiency and the move to centralise data centres into giant facilities.	0.475
Kým veľa spoločností tvrdí, že poháňa svoje dátové centrá pomocou energie z obnoviteľných zdrojov, stále vo svete nájdeme miesta, kde sú z veľkej časti poháňané spaľovaním fosílnych palív.	But while many companies claim to power their data centre’s using renewable energy, in some parts of the world they are still largely powered from the burning of fossil fuels.	0.269388
Pre spotrebiteľov je náročné vybrať si to pravé dátové centrum.	And it can be difficult for consumers to choose which data centres they want to use.	0.490909
Avšak, mnohí významní poskytovatelia cloudových služieb sa zaviazali, že znížia svoje uhlíkové emisie. ~~~ Jedným z mnohých riešení bolo uchovávanie fotografií, dokumentov a v prípadoch, keď to bolo možné, prevádzkovanie služieb mimo ich serverov.	Many of the major cloud providers, however, have pledged to cut their carbon emissions, so storing photos, documents and running services off their servers where possible is one approach to take.	0.0173302
Ako jednotlivci môžeme uhlíkovú stopu svojich technológií znížiť napríklad tým, že si prestaneme kupovať stále nové a nové príslušenstvo.	As an individual, simply upgrading our equipment less often is one way of cutting the carbon footprint of our digital technology.	0.272727
Množstvo skleníkových plynov, ktoré sa vyprodukuje pri výrobe a preprave týchto zariadení, tvorí výraznú časť emisií z celkovej životnosti konkrétnej elektroniky.	The greenhouse gases emitted while manufacturing and transporting these devices can make up a considerable portion of the lifetime emissions from a piece of electronics.	0.43007
Na základe istej štúdie z Edinburskej univerzity sa zistilo, že predĺženie času používania jediného počítača a monitorovzo štyroch na šesť rokov dokáže predísť vzniku ekvivalentu 190 kilogramov emisií CO2.	One study at the University of Edinburgh found that extending the time you use a single computer and monitors from four to six years could avoid the equivalent of 190kg of carbon emissions.	0.362025
Aby sme znížili svoju digitálnu uhlíkovú stopu, môžeme zmeniť spôsob, akým využívame svoje elektronické zariadenia.	We can also alter the way we use our gadgets to cut our digital carbon footprints.	0.15
Najjednoduchšou cestou je posielať správy ekologickejšie.	One of the easiest ways is to switch they way we send messages.	0.294231
Podľa Mika Berners-Leeho, pracovníka na Lancasterskej univerzite, ktorý sa venuje výskumu uhlíkových stôp, vás asi neprekvapí, že uhlíková stopa emailu sa tiež dramaticky líši. ~~~ A to od 0, 3 gramu za nevyžiadanú poštu (spam) až po 4 gramy CO 2 e za obyčajné správy a 50 gramov CO 2 e za email s fotografiou alebo veľkou prílohou.	Perhaps unsurprisingly, the footprint of an email also varies dramatically, from 0.3 g CO2 for a spam email to 4g (0.14oz) CO2 for a regular email and 50g (1.7oz) CO2 for one with a photo or hefty attachment, according to Mike Berners-Lee, a fellow at Lancaster University who researches carbon footprints.	-0.0105058
Avšak tieto hodnoty platili pred desiatimi rokmi.	These figures, however, were crunched by Berners-Lee 10 years ago.	0.204545
Charlotte Freitagová, expertka na uhlíkové stopy v Small World Consulting spoločnosti založenej Berners-Leem hovorí, že vplyv emailovania sa mohol zvýšiť.	Charlotte Freitag, a carbon footprint expert at Small World Consulting, the company founded by Berners-Lee, says the impact of emailing may have gone up.	0.717121
Myslíme si, že uhlíková stopa jednej správy je v súčasnosti vyššia ako kedysi, a to najmä preto, že ľudia používajú väčšie telefóny, dodáva.	We think the footprint per message might be higher today because of the bigger phones people are using, she says.	0.224211
Na základe starších hodnôt niektorí ľudia odhadli, že ich práca s emailom vyprodukuje 1,6 kilogramu CO2 denne.	Based on the older figures, some people have estimated that their own emails will generate 1.6kg (3.5lb) CO2 in a single day .	0.435088
Sám Berners-Lee vyrátal, že typický komerčný používateľ vytvorí posielaním emailov 135 kilogramov CO2 ročne. Táto hodnota sa rovná 322 kilometrovej jazde rodinným autom.	Berners-Lee himself also calculated that a typical business user creates 135kg (298lbs) CO2 from sending emails every year, which is the equivalent of driving 200 miles in a family car.	0.531757
Nemal by však byť problém tieto hodnoty zredukovať.	But it should also be easy to cut this down.	0.225
Jednoduché vynechanie ďakovných emailov nám dokáže ušetriť nespočetné množstvo emisií CO2.		-0.3
Ak by každý dospelý človek vo Veľkej Británii poslal o jednu zbytočnú ďakovnú správu menej, predišli by sme tak tvorbe 16 433 ton uhlíka ročne.	By simply stopping unnecessary niceties such as thank you emails we could collectively save a lot of carbon emissions.	0.243564
Podľa energetickej spoločnosti OVO je to rovnaké množstvo, ako keby sme z ciest odstránili 3 334 dieselových áut.	If every adult in the UK sent one less thank you email, it could save 16, 433 tonnes of carbon a year – the equivalent to taking 3, 334 diesel cars off the road, according to energy company, OVO.	0.42713
Berners-Lee dodáva: Napriek tomu, že uhlíková stopa emailu nie je obrovská, slúži ako skvelý názorný príklad väčšieho princípu. ~~~ Tento princíp nám hovorí, že odstrániť z nášho života zbytočný odpad je dobré nielen pre našu duševnú pohodu, ale aj pre životné prostredie.	While the carbon footprint of an email isn’t huge, it’s a great illustration of the broader principle that cutting the waste out of our lives is good for our wellbeing and good for the environment, Berners-Lee says.	-0.0142959
Ďalšími spôsobmi, ako zmenšiť svoju digitálnu uhlíkovú stopu, je vymeniť pripájanie príloh za odkazy na súbory, prestať posielať správy viacerým príjemcom a odhlásiť sa z odberu stránok, ktoré už nesledujeme.	Swapping email attachments for links to documents and not sending messages to multiple recipients are another easy way to reduce our digital carbon footprints, as well as unsubscribing from mailing lists we no longer read.	0.285
Hneď ako som sa dozvedel o uhlíkovej stope, ktorú produkuje posielanie emailov, odhlásil som sa z odberu všetkých automaticky generovaných informačných bulletinov. ~~~ Je to desivé, hovorí Gaut.	I unsubscribed from automatically generated newsletters, as when I learned about the carbon footprint from emails, I was horrified, says Gaut.	-0.0243902
Teraz si dávam väčší pozor na to, aké stránky majú prístup k môjmu emailu. ~~~ Pomohlo mi to uvedomiť si, aký veľký dosah môže mať taká bežná vec.	Now, I’m careful not to send out my email to new websites… it’s made me consider the impact more.	0.0428571
Podľa odhadov služby Cleanfox, ktorá sa zaoberá ochranou pred nežiadúcou poštou, priemerný používateľ dostane 2 850 nevyžiadaných správ ročne len kvôli predplatnému stránok.	According to estimates by antispam service Cleanfox, the average user receives 2, 850 unwanted emails every year from subscriptions, which are responsible for 28.5kg (63lbs) CO2.	0.546053
Toto množstvo je zodpovedná za 28,5 kilogramu CO2.		-0.3
Ak by každý dospelý človek vo Veľkej Británii poslal o jednu zbytočnú ďakovnú správu menej, predišli by sme tak tvorbe 16 433 ton uhlíka ročne. ~~~ Je to rovnaké množstvo, ako keby sme z ciest odstránili 3 334 dieselových áut.	If every adult in the UK sent one less thank you email, it could save 16, 433 tonnes of carbon a year – the equivalent to taking 3, 334 diesel cars off the road.	0.0568182
Posielanie SMS správ je zrejme najekologickejšia alternatíva ako zostať v spojení s ľuďmi, pretože každá správa vytvorí iba 0,014 gramov CO2.	Choosing to send an SMS text message is the perhaps the most environmentally-friendly alternative as a way of staying in touch because each text generates just 0.014g of CO2.	0.511252
Príspevok na Twitteri má uhlíkovú stopu 0,2 gramu CO2 (aj keď táto informácia nebola Twitterom potvrdená), avšak Freitag odhaduje, že posielanie správ prostredníctvom súkromných četovacích aplikácií, akými sú WhatsApp alebo Messenger od Facebooku, je len o niečo menej uhlíkovo náročné ako posielanie emailov. ~~~ Tieto hodnoty sa odvíjajú od toho, čo posielate.	A tweet is estimated to have a footprint of 0.2g CO2 (although Twitter did not respond to requests to confirm this figure) while sending a message via a private messaging app such as WhatsApp or FacebookMessenger is estimated by Freitag to be only slightly less carbon intensive than sending an email.	0.0927489
Či už súto animované obrázky GIF, smajlíky alebo obrázky, všetky majú oveľa väčšiu uhlíkovú stopu ako čistý text.	Again this can depend on what you are sending – gifs, emojis and images have a greater footprint than plain text.	0.44832
Freitag tvrdí, že jednominútový telefonický rozhovor má len o niečo väčšiu stopu než posielanie SMS-iek. ~~~ V porovnaní s tým má videokonferencia oveľa väčšiu uhlíkovú stopu.	The carbon footprint of making a one-minute mobile phone call is a little higher than sending a text, according to Freitag, but making video calls over the internet is much higher.	-0.001
Každá minca má však dve strany, preto je dôležité vedieť, kedy je ekologickejšie necestovať na stretnutia autom.	But it is important to remember where it replaces travel to reach meetings, it can be far better for the environment.	0.296907
Rovnaká štúdia dokázala, že videokonferenčný hovor vyprodukuje iba 7 % z celkových emisií osobného stretnutia.	The same study found the video conferencing produced just 7% of the emissions of meeting in person.	0.253571
Podľa ďalšej štúdie je jazda autom vo vzdialenosti menšej ako 20 kilometrov zodpovedná za oveľa väčšie znečistenie ovzdušia ako videokonferencia.	Another study found the impact of a car ride exceeds the impact of a video conference at less than 20km.	0.156977
Vyhľadávanie na internete je ďalšia riziková oblasť.	Internet searching is another tricky area.	0.228947
Podľa údajov zverejnených spoločnosťou Google malo pred desiatimi rokmi každé jedno vyhľadávanie uhlíkovú stopu 0,2 gramov CO2.	A decade ago, each internet search had a footprint of 0.2g CO2, according to figures released by Google.	0.218182
