Podvedomie je podivuhodný úkaz.	Consciousness is a strange beast.	0.289655
Paradoxný (REM) spánok je ťažšie zachytiť, lebo podľa záznamu EEG je veľmi podobný prvej fáze ortodoxného (NREM) spánku.	REM is trickier to spot because in EEG terms it closely resembles stage 1 NREM sleep.	0.337034
Aby sa odborníci uistili, že skutočne ide o paradoxný spánok, pozorujú rýchle pohyby očí a uvoľnenie svalstva brady a čeľuste.	So to be sure it really is REM, researches also look for the telltale rapid eye movements and a slackening in the muscles of the chin and jaw.	0.420635
Mahowald nie je jediný, kto sa zaoberá týmito jasnými signálmi.	Mahowald is not the only person to have questioned these neat distinctions.	0.518182
Psychiater z Pennsylvánskej univerzity vo Filadelfii David Dinges už odoprel spánok v mene vedy mnohým ľuďom.	David Dinges, a psychiatrist at the University of Pennsylvania, Philadelphia, has probably deprived more people of sleep in the name of science than anyone else.	0.340681
V jednej z týchto štúdií počas druhej polovice 80.-tych rokov Dinges a jeho tím zistil, ako ľahko sa môžu jednotlivé fázy vedomia striedať.	In one such study in the late 1980s, Dinges and his team revealed how easily the different states of vigilance can become intermingled.	0.414474
Keď boli dobrovoľníci podrobení testom pracovnej pamäte, v ktorých mali odčítavať čísla, boli schopní urobiť s malými chybami v priemere 90 výpočtov za tri minúty.	When volunteers were subjected to tests of working memory in which they had to subtract numbers, they could do an average of 90 sums in 3 minutes with few errors.	0.401952
Po 52 hodinách bez spánku ich výkon klesol na približne 70 výpočtov, pričom počet chýb sa výrazne nezmenil.	After 52 hours deprived of sleep, their performance fell to around 70 subtractions, with not many more errors.	2.18485
Po dvojhodinovom spánku však došlo k výraznej zmene.	However, after they had slept for 2 hours the change was dramatic.	0.234783
Keď sme ich náhle zobudili, cítili sa síce čulí a pripravení počítať, no nedokázali urobiť čo i len jeden výpočet, hovorí Dinges.	When we woke them up abruptly, and they rated themselves as alert and ready to go, they couln't do even one subtraction, says Dinges.	0.42493
Dokonca sa zdalo akoby stále snívali, kým sa snažili riešiť úlohu.	People even seemed to be dreaming as they attempted the task.	0.271154
Spolu s množstvom nesprávnych odpovedí prichádza podnet na zamyslenie sa: Čo ak ľudia bežali rýchlejšie než normálni ľudia bežia domov.	One subject mused: What if people ran faster than normal people run home, in the middle of a string of incorrect responses.	0.259223
Ľahšou formou takejto dezorientácie je spánková inercia, ktorá je v súčasnosti všeobecne známou príčinou slabosti, ktorú niektorí ľudia pociťujú po zazvonení budíka.	Known as sleep inertia, a less extreme version of such disorientation is now generally recognised as the cause of the grogginess some people get after their alarm clock goes off.	0.289655
Akoby boli navonok prebudení, no ich mozgové funkcie ešte spia, akoby mozgové spojenia zodpovedné za vnímanie plne fungovali, no pracovná pamäť je ešte vypnutá.	It is as if they are socially awake but functionally asleep, as if the brain circuits underlying responsiveness are up and and running, but those mediating working memory are still offline.	0.252174
Mahowald je presvedčený, že je to len jedna z mnohých porúch, ktoré možno vysvetliť ako rozpad hraníc medzi spánkom a bdením.	Mahowald is convinced that it is just one of many disorders that can be explained as a breakdown in the boundaries between sleep and wakefulness.	0.527444
V tom istom vydaní časopisu Sleep Medicine vymenoval celý rad rôznych stavov ako Vetrugnov opis ľudí s disociatívnym stavom (roč. 10, s. 159).	He lits a whole raft of such conditions in the same issue of Sleep Medicine as Vetrugnos description of people with status dissociatus (vol. 10, p. 159).	0.782645
Jednou z porúch je porucha správania v REM spánku (REM sleep behavior disorder – RBD), kedy ľudia počas REM spánku reagujú zo sna. ~~~ Vtedy dochádza k prechodu z dočasnej paralýzy alebo kataplexie, ktoré zvyčajne sprevádzajú túto poruchu, k plnej mobilite a bdelosti.	One is REM behavioural disorder (RBD), in which people in REM sleep act out their dreams because the temporary paralsis, or cataplexy, that normally accompanies this state is replaced by the full mobility of wakefulness.	0.142661
Pri spánkovej paralýze dochádza k pravému opaku.	In sleep paralysis the opposite is true.	0.231429
V tomto štádiu prechádza kataplexia do stavu bdelosti, kedy sa človek po prebudení nedokáže hýbať.	Here, cataplexy intrudes into wakefulness, and a person wakes to find him or herself unable to move.	0.3
Tento zvláštny jav zažilo odhadom už vyše 40 % ľudí.	It is estimated that up to 40 percent of people have experienced this disturbing phenomenon.	3.06136
Prekvapivo bežné sú aj hypnagogické halucinácie – zmyslové obrazy, ktoré sa objavujú na prahu spánku, kedy snový komponent paradoxného spánku prechádza do bdelého stavu.	Also suprisingly common are hypnagogic hallucinations – sensory illusions that occur on the cusp of sleep when the dreaming component of REM intrudes into wkefulness.	0.411608
Mahowaldov zoznam zahŕňa taktiež námesačnosť, nočný teror a narkolepsiu, čo je vrodená nestabilita v rozoznávaní hraníc medzi bdelosťou a spánkom, ktorá zahŕňa prudké striedanie jednotlivých fáz s tendenciou zaspať uprostred vety.	Mahowald's list also includes sleepwalking, night terrors and narcolepsy, which is an inherent instability in vigilance state boundaries characterised by rapid cycling between states and the tendency to fall asleep mid-sentence.	0.296985
Zoznam zahŕňa aj také sporné témy ako zážitky blízkosti smrti a únosy mimozemšťanmi.	Controversially, the list also includes near-death experiences and alien abductions.	0.287671
Podľa Mahowalda nie je náhoda, že únosy mimozemšťanmi sa takmer vždy vyskytujú v polohe ležmo počas prechodu z bdelého stavu do spánku.	It is no coincidence, he says, that alien abductions almost always occur in the recumbent position, in the transition from wakefulness to sleep.	0.27913
Spánok je vysoko komplexný stav, v ktorom musia byť zmeny v zmyslovom, svalovom, hormonálnom a nervovom systéme vzájomne koordinované k navodeniu bdelého stavu.	Sleep is a highly complex phenomenon in which changes in sensory, muscular, hormonal and neural systems must be coordinated to create a particular state of vigilance.	0.418525
Keď sa nad tým zamyslíte, u miliardy ľudí na svete dochádza každých 24 hodín nespočetne veľakrát k striedaniu medzi jednotlivými fázami bdelosti, paradoxného (REM) a ortodoxného (NREM) spánku.	When you think about it, there are billions of pepole in the world who are shifting between wakefulness, REM and non-REM multiple times every 24 hours, says Mahowald.	1.38222
Presnosť tohto striedania je priam udivujúca, hovorí Mahowald.	It's amazing that the switching is as accurate as it is.	0.242553
Táto presnosť svedčí o existencii akejsi prispôsobivej sily, ktorá nás udržiava buď v jednej, alebo druhej fáze.	This accuracy suggests that there is a strong adaptive drive to be fully in one state or another.	0.240741
Tiež si však myslí, že disociatívny stav, teda prítomnosť viac ako jedného bdelého stavu súčasne, je bežnejší než sa zdal.	But he also thinks that state dissociation – the presence of more than one vigilance state concurrently – is more common than anyone previously suspected.	0.222115
Hranice medzi spánkom a bdením sú obzvlášť nejasné po odoprení spánku.	The boundaries between sleep and wakefulness are particularly blurred when we are sleep-deprived.	0.177049
Približne pred pätnástimi rokmi si Dinges uvedomil, že hoci jeho dobrovoľníci ochudobnení o spánok pôsobili bdelo, v skutočnosti zažívali krátkodobé mikrospánky alebo výpadky vedomia.	Around a decate ago, Dinges realised that althought his sleep- deprived volunteers seemed to be awake, they were in fact experiencing momentary lapses, or microsleeps.	0.384583
Od tej doby zistil, že tieto letmé zdriemnutia trvajú v priemere od pol sekundy až do dvoch sekúnd a sú tým frekventovanejšie, čím väčší nedostatok spánku máme, až kým už viac nedokážeme byť hore a zaspíme.	Since then, he has discovered that these fleeting naps last between half a second and 2 secons, and become increasingly frequent the longer we are deprived of sleep, until finally we cannot recover and nod off.	0.374104
Dinges ich vníma ako určitý boj medzi nervovým systémom, ktorý sa snaží spustiť spánok, a ostatnými systémami, ktoré sa snažia udržať stav bdenia.	Dinges sees them as the outward sign of a tug-of-war between neural systems that are trying to initiate sleep, and others that are trying to maintain wakefulness.	0.5212
Tieto tvrdenia sa zhodujú s myšlienkami Jamesa Kruegera z Washingtonskej štátnej univerzity v Pullmane, ktorý tvrdí, že jednotlivé spracovateľské jednotky v mozgu, známe ako kortikálne stĺpce, zaspia nezávisle od seba po tom, čo sa unavia.	This chimes with the ideas of James Krueger of Washington State University in Pullman, who has argued that the individual processing units in the brain – known as cortical columns – fall asleep independently when they become tired.	0.283077
Podľa neho k striedaniu bdelého stavu a spánku dochádza vtedy, keď je väčšina stĺpcov buď v jednom, alebo druhom štádiu (Nature Reviews Neuroscience, roč. 9, s. 910).	In his view, shifts between wakefulness and sleep occur when enough columns are in one state or the other (Nature Reviews Neuroscience, vol 9, p 910).	0.819841
Krueger verí, že táto mozaika spánku vysvetľuje spánkovú inerciu a námesačnosť.	Krueger believes this mosaic pattern of sleep explains sleep inertia and sleepwaling.	0.528571
Niektorí ľudia podliehajú mikrospánkom ľahšie než druhí.	Some people are more prone to microsleeps than others.	0.274468
Výskum jeho kolegov z roku 2007 ukázal, že existujú výrazné rozdiely v ľudskej schopnosti odolávať spánku pri únave.	In a 2007 study, Dinges and his colleagues showed that there are enormous differences in people's ability to resist the lure of sleep when tired.	1.97084
V skupine zdravých dospelých ľudí s dostatkom spánku sú rozdiely v čulosti nepatrné.	Among a group of healthy, non. sleep- deprived adults, the differences in alertness are small.	0.267123
Akonáhle však vyprovokujeme systém odoprením spánku, dochádza k väčším a väčším zmenám, hovorí Krueger (Journal of Sleep Research, roč. 116, s. 170).	But as soon as we provoke the system with some sleep deprivation, those differences get larger and larger, he says (Journal of Sleep Research, vol16, p 170).	0.945197
Týka sa to všetkých, najmä však ľudí s takou profesiou, pri ktorej je udržanie bdelého stavu otázkou života a smrti (pozri Základná kontrola majora Toma).	This has implications for all of us, especially those in professions where staying awake is a life-or-death matter (see ground control to Major Tom).	0.530551
Ak jazdíte po diaľnici rýchlosťou 100 kilometrov za hodinu a dostanete krátky výpadok vedomia, vaše prsty sa na volante uvoľnia a odkloníte sa na ceste o 4 stupne, hovorí Dinges.	If you're doing 100 kilometers per hour on a highway and you have a lapse, your fingers go lax on the steering wheel and you drift off the road at a 4 – degree angle, says Dinges.	1.73911
Stačia dve sekundy na úplné vybočenie z trate.	Two seconds is all it takes to be completely out of your lane.	0.2175
Vyše 20 percent dopravných nehôd súvisí s únavou.	Up to 20 percent of traffic accidents are fatigue-related.	4.24419
Zobrazenia mozgu odhalili duševný rezervný systém u ľudí, ktorí dokážu zotrvať v bdelosti aj po tom, čo im bol odoprený spánok (Journal of Neuroscience, roč. 29, s. 7848).	Brain imaging has recently revealed a mental back-up system in people who remain alert when sleep-deprived (Journal of Neuroscience, vol 29, p 7948).	0.760156
Kým u ostatných ľudí bola mozgová aktivita pri únave znížená, ľudia odolní voči spánku dokážu udržať úroveň mozgovej aktivity.	While other people have reducted brain activity when tired, sleep-resistant individuals manage to maintain their brain activity levels.	0.272477
Zaujímavý je aj fakt, že títo ľudia dokážu spustiť nové centrá, ktoré im pomáhajú kompenzovať dlhý čas bez spánku.	More interestingly, they also recruit new areas to help compensate for having been awake for so long.	0.261628
Týchto respondentov vybrali do výskumu kvôli špecifickej genetickej informácii objavenej u asi 40 % ľudí, ktorá podľa všetkého súvisí s odolnosťou voči zaspaniu aj po odoprení spánku.	These people were selected for the study because they had a gene variant found in around 40 percent of people that is thought to be associated with resistance to sleep deprivation.	1.46466
Zdá sa, že títo ľudia sú menej náchylní voči disociovanému stavu, hoci to ešte nie je vedecky preukázané.	It seems likely that such people are also less prone to state dissociation, although this has not yet been tested.	0.434299
Ďalšia skupina ľudí, ktorí v porovnaní s druhými vyzerajú viac čulo, sú ľudia trpiaci primárnou insomniou, ktorá nesúvisí so žiadnym iným stavom.	Another group who appear to be more vigilant than most are people who suffer from primary insomnia – insomnia not associated with any other condition.	0.2952
Existuje dôkaz, ktorý poukazuje na to, že títo ľudia sú v neustálom stave nadmernej aktivity, majú relatívne vysoké metabolické tempo a vysokú hladinu stresového hormónu kortizolu.	There is evidence to suggest they are in a constant state of hyperarousal, with relatively high metabolic rates and high levels of the stress hormone cortisol.	0.364444
Akoby niekto jednoducho spúšťal 24 hodín denne ich aktivitu, a teda sú čulí nielen v noci, no ešte viac cez deň, hovorí Mahowald.	It's as though somebody just cranked up their alertness over 24 hours, so they are more alert at night, but they are also more alert in the day, says Mahowald.	1.73611
Teória nejasných hraníc medzi spánkom a bdelosťou sa začína plno akceptovať a výskumníci ďalej hľadajú nové spôsoby na zachytenie letmých spánkov a kolísania v mozgu.	As the blur between sleep and wakefulness becomes more widely accepted, researchers are devising techniques for capturing the brain's fleeting lapses and vacillations.	0.293706
Napríklad neurovedec Giulio Tononi z Wisconsinskej univerzity v Madisone sleduje mozog ľudí počas spánku, pričom používa EEG s 256 elektródami namiesto zvyčajných 32, aby tak zvýšil priestorové rozloženie a tým uľahčil možnosť zachytiť mozog v momente chvíľkového spánku.	For example, neuroscientist Giulio Tononi of the University of Wisconsin, Madison, is eavesdropping on sleeping brains using EEGs with 256 electrodes rather than the more usual 32, to improve spatial resolution and help him catch the brain in the act of mosaic napping.	1.36771
Podľa Tononiho je mikrospánok len špičkou ľadovca.	Microsleeps are just the tip of the iceberg, Tononi says.	0.273333
Obzvlášť sa zaoberá možnosťou, že niektoré časti nášho mozgu sa môžu vypnúť bez toho, aby sme si to vôbec uvedomili.	He is particularly concerned by the possiblity that parts of our brain might be going offline without us even realising it.	0.281633
V mnohých ohľadoch je to akoby ste zažili dočasnú mentálnu poruchu a pritom o tom nikto, vrátane vás, nemusí ani vedieť, hovorí.	In many respects, it would be like having a temporary mental disorder without anybody, including yourself, being aware of it, he says.	0.413768
Ako príklad možno uviesť zábudlivosť a fantazírovanie, rovnako ako aj abnormálne, či dokonca kriminálne správanie (Pozri Keď zločin nie je zločinom).	Forgetfulness and daydreaming could be examples of this, but so could more bizzare and even criminal behaviours (See When a crime is not a crime, page 32).	0.436364
Medzitým začal Pierre Maquet z Univerzity Liège v Belgicku používať fMRI 1, aby zaznamenal obrazy mozgovej aktivity počas rozličných štádií spánku.	Meanwhile, Pierre Maquet at the University of Liège, in Belgium has started to use fMRI to chart the patterns of brain activity associated with different sleep states.	0.676278
Jeho tím postupne odhaľuje, že rozdiely medzi spánkom a bdelým stavom vyzerajú úplne inak pri porovnávaní obrazov zachytávajúcich aktivitu celého mozgu (vrátane hlbokých štruktúr), kým EEG meria aktivitu len v niekoľkocentimetrovej vonkajšej vrstve kortexu.	His team is already finding that the distinctions between sleep and wakefulness look quite different when you compare patterns of activity across the whole brain, including deep structures, as opposed to using EEG, which measures activity in just the outer few millimetres of the cortex.	0.274667
Spolu s týmito metódami prichádza aj nádej, že sa konečne objasní taká diskutovaná otázka, akou je funkcia spánku.	Lurking in the background is the hope that these approaches will shed light on the vexed issue of what sleep is for.	0.29375
Podľa hlavnej teórie je spánok dôležitý pre konsolidáciu pamäte.	A leading theory is that it is important for memory consolitadion.	0.3
Stále však zostáva nevyjasnená otázka, prečo sa u dvoch Talianov s disociatívnym stavom neprejavil žiaden deficit v pamäti, a to aj napriek kompletnému rozpadu oboch fáz REM a NREM spánku.	Yet one of the puzzling aspects of the two Italians with status dissociatus is that, despite complete disruption of both their REM and NREM sleep, they showed no memory deficit.	0.471401
Prispieva tento fakt len k názoru, že spánok nemá žiaden iný účel iba šetriť našu energiu a udržať nás v bezpečí (New Scientist 15 marec 2008, s. 30)?	Does this add grist to the mill of those who beileve that sleep has no other purpose than to save energy and keep us safe (New Scientist, 15 March 2008, p 30)?	1.73618
Alebo to znamená, že títo ľudia v skutočnosti zažili istý druh mozaikového spánku, tak ako tvrdí Mahowald?	Or does it mean, as Mahowald believes, that the two individuals were in fact experiencing some sort of mosaic sleep?	0.276923
Táto otázka môže byť konečne vyriešená vďaka jasnejším definíciám spánku a bdenia a citlivejším nástrojom na ich meranie.	Armed with a less black-and-white definition of sleep and wakefulness, and more sensitive tools for measuring them, that question might finally be resolved.	0.37218
V roku 1988 bol 23-ročný Kanaďan Kenneth Parks súdený za vraždu a pokus o vraždu svojich svokrovcov.	In 1988 a 23-year-old Canadian man named Kenneth Parks went on trial for the murder and attempted murder of his parents-in-law.	2.55216
Počas jednej noci minulého roka sadol do auta a prešiel cez mesto 23 kilometrov až k ich domu, kde ich napadol s nožom a montážnou pákou na pneumatiky.	One night in the previous year, he drove 23 kilometres across town to their home and attacked them with a tire iron and a knife.	1.74286
Bol úplne zbavený viny na základe tvrdenia, že v danom čase bol námesačný.	He was acquitted on all counts, on the grounds that he was sleepwalking at that time.	0.261905
Odvtedy sa mnohí obhajcovia odvolávajú na parasomniu – starší názov pre poruchy týkajúce sa čiastočného prebudenia počas spánku. Tento termín je v súčasnosti využívaný zväčša v oblasti práva.	Since then, numerous defendants have pleaded parasomnias – an old- fashioned term for disorders involving partial arousal during sleep that is now mostly used in law.	0.36252
Mark Pressman z Nemocnice Lankenau vo Wynnewood v Pennsylvánií odhaduje, že každoročne je tento dôvod použitý na obranu v piatich až desiatich prípadoch po celom svete.	Mark Pressman, at the Lankenau Hospital in Wynnewood, Pennsylvania, estimates that they are used as a defence in between five and ten cases worldwide each year.	0.504575
Zložitosť celej situácie ohľadom trestnej zodpovednosti týmto len narastá a je zdrojom neutíchajúcich sporov medzi právnikmi.	This raises tough issues about criminal responsibility and has been a source of ongoing dispute among lawyers.	0.425944
Jedna z najspornejších oblastí sa týka mužov obvinených zo sexuálneho napadnutia, ktorí sa odvolávajú na nevedomú sexuálnu aktivitu počas spánku, tzv. sexomniu (New Scientist, 28. október 2006, s. 40).	One of the most contentious areas concerns men charged with sexual assault who claim sleep-related sexual behaviour, or sexsomnia, as a defence (New Scientist, 28 October 2006, p 40).	0.665385
Sexomnia je kolísanie medzi námesačnosťou a vedomým stavom.	Sexsomnia is a variation on sleepwalking and a recognised condition.	0.593711
K rozporu dochádza vtedy, keď sa títo násilníci odvolávajú na požitie veľkého množstva alkoholu, ktoré vyvolalo sexomniu.	The controversy arises when these men claim – sometimes successfully that heavy alcohol consumption provoked their sexsomnia.	0.288679
V niektorých prípadoch s takýmito alibi na súde skutočne obstoja.		-0.3
Spolu s mojimi kolegami sme zásadne proti ospravedlňovaniu týchto činov, a to z toho dôvodu, že neexistuje žiaden vedecký dôkaz o tom, že ťažká intoxikácia vyvoláva námesačnosť, tvrdí Pressman.	My colleagues and I have been actively opposing this defence on the grounds there is no scientific evidence that severe intoxication causes sleepwalking, Pressman says.	0.256552
Zároveň pripúšťa, že táto oblasť práva je veľmi zložitá najmä preto, lebo nie je možné na základe výskumu objasniť, čo sa odohrávalo v hlave násilníka počas jednej noci v minulosti.	But he admits that it is a fiendishly difficult area of law, not least because no sleep study can shed light on what happened in a single individual's brain on a single night in the past.	0.3
Piloti komerčných letov a iní profesionáli, ktorých práca si vyžaduje vysokú ostražitosť, musia občas prejsť testom udržiavania bdelosti.	Every so often, commercial pilots and other professionals, whose jobs require them to be highly vigilant have to take something called the maintenance of wakefulness test.	0.235537
Musia sedieť v pohodlnom kresle s tlmeným osvetlením a zotrvať v bdelosti po dobu 40 minút. Táto procedúra sa opakuje štyrikrát v priebehu ôsmich hodín.	They must sit in a comfy chair in a dimly lit room and stay awake for 40 minutes, a procedure that is repeated four times over the course of 8 hours.	0.508269
Ak by zaspali, EEG by zachytil pohyb očí a uvoľnenie čeľuste.	If they should drop off, this is detected by EEG, eye movement and jaw slackness.	0.457692
Sú to však len čiastočné opatrenia a v každom prípade ľudia s takouto profesiou majú vysokú motiváciu nezaspať.	However, these are fairly crude measures and anyway people whose job is on the line tend to be highly motivated to stay awake.	0.426316
Odborníci na spánok pripúšťajú, že je potrebné vykonať citlivejší test a David Dinges z Pennsylvánskej univerzity vo Filadelfií tvrdí, že takýto test má.	Sleep scientists acknowledge that a more sensitive test is required, and David Dinges at the University of Pennsylvania, Philadelphia, believes he has one.	0.795455
Je ním jeho test časovej reakcie, v ktorom dotyčné osoby musia opakovane reagovať na blikanie svetla stláčaním tlačidla.	His is a test of reaction time in which subjects have to repeatedly press a button in response to a light going on.	0.42598
Dinges Tvrdí, že toto psychomotorické testovanie stavu bdelosti je neuveriteľne citlivé na zistenie nestability v rozoznávaní hraníc medzi bdením a spánkom.	This psychomotor vigilance test is unbelievably sensitive to instability in the boundaries between wakefulness and sleep, Dinges claims.	0.415395
Skrátená verzia bola v júli vyslaná do Medzinárodnej vesmírnej stanice ISS, kde ju astronauti mohli otestovať.	A shortened version went up to the International Space Station in July, so that the astronauts could put it through its paces.	0.26875
Ak sa potvrdí, že tento test dokáže presne odhaliť ich schopnosť vykonávať danú prácu, čoskoro môže byť aplikovaný na pilotov, pracovníkov jadrových elektrární a ostatných pracovníkov, ktorí majú v rukách osudy druhých ľudí.	If it accurately reflects their ability to do their job, it may soon be routinely applied to pilots, nuclear power station operators and others in life-or-death jobs.	0.189362
Bežný spôsob rozoznávania bdelého stavu od ortodoxného a paradoxného spánku je hľadanie charakteristických vzorcov mozgovej aktivity pomocou prístroja EEG, ktorý meria elektrickú aktivitu v niekoľkomilimetrovej vonkajšej vrstve kortexu.	The traditional way of distinguishing wakefulness from non-REM and REM sleep is to look for characteristic patterns of brain activity using an EEG, which measures electrical activity in the outer few millimetres from the cortex.	0.380371
Laura Spinneyová je švajčiarska spisovateľka z Lausanne. ~~~ Je prekvapivo ľahké stratiť počas mimotelového zážitku kontakt s vaším fyzickým bytím, hovorí Anil Ananthaswamy.	Laura Spinney is a writer in Lausanne, SwitzerlandIt's surprisingly easy for your sense of self to lose touch with your physical being in an out-of-body experience, says Anil Ananthaswamy.	0.177566
Muž sa zobudil a cítil sa slabo.	The young man woke feeling dizzy.	0.277778
Keď vstal a otočil sa, videl svoje telo ležať na posteli.	He got up and turned around, only to see himself still lying in bed.	0.25
Zakričal na svoje spiace telo, zatriasol ním a skočil naňho.	He shouted at his sleeping body, shook it, and jumped on it.	0.288
Neskôr cítil, že opäť leží v posteli, no teraz videl seba ako stojí pri posteli a trasie svojím telom.	The next thing he knew he was lying down again, but now seeing himself standing by the bed and shaking his sleeping body.	0.247059
Šokovaný vyskočil z okna.	Stricken with fear, he jumped out of the window.	0.0652174
Jeho izba bola na treťom poschodí.	His room was on the third floor.	0.266667
Neskôr ho našli ťažko zraneného.	He was found later, badly injured.	0.289655
To, čo prežil tento 21-ročný mladík bol mimotelový zážitok, jeden z najzvláštnejších stavov vedomia.	What this 21-year-old had just experienced was an out-of-body experience, one of the most peculiar states of consciousness.	0.235227
Spúšťačom bola zrejme jeho epilepsia (Journal of Neurology, Neurosurgery and Psychiatry, roč. 57, s. 838).	It was probably triggered by his epilepsy (Journal of Neurology, Neurosurgery and Psychaitry, vol 57, p 838).	1.60927
Nechcel spáchať samovraždu, hovorí neuropsychológ Peter Brugger zo švajčiarskej univerzitnej nemocnice v Zürichu.	He didn't want to commit suicide, says Peter Brugger, the young man's neuropsychologist at University Hospital Zurich in Switzerland.	0.473109
Vyskočil preto, aby našiel spojku medzi jeho telom a svojím ja.	He jumped to find a match between body and self.	0.467727
Zrejme konal skratovo.	He must have been having a seizure.	0.171429
V priebehu 15 rokov po uplynutí tohto dramatického incidentu Brugger spolu s ostatnými prešli dlhú cestu cestu k pochopeniu mimotelových zážitkov.	In the 15 years since that dramatic incident, Brugger and others have come a long way towards understanding out-of-body experiences.	1.98008
