Trvalo mi večnosť dostať sa domov, no keď som konečne dorazila, Melanie som už nenašla.	It took forever to get home, and when I did, Melanie was not there.	0.396364
"Päť ráz, päť časových osí a ja sa zakaždým vraciam stále viac dozadu. ~~~ Olovo, hrany a rozdrvené tabletky zo mňa vychádzajú von a potom sa vracajú späť."	”Five times, five lines, lead and edges and crushed pills all yanked out of me, spit back further and further each time."	-0.0415842
Usporiadala som ich na okennú parapetu, ako keby to boli zamietnuté možnosti, a nechala ich tam, aby sa s nimi porátal čas.	I lined them up on my windowsill like the rejected possibilities they were, and let time spool itself out.	0.252809
Nemôžem za to, naozaj nie.	Not my fault, not my fault.	0.3
Tak veľmi som sa snažila, najprv vytvoriť uzavretý kolobeh, a potom ho rozdeliť na celky.	I’d tried so hard, first to knit the cycle closed and then to slash it to pieces.	0.254545
No záver stále odo mňa odtancoval a svet krvácal do svojho ďalšieho kolobehu.	But still the end danced away from me, the world bleeding into its next cycle.	0.295385
"Čo, dočerta, robíš?" spýtal sa ma spolubývajúci po piatykrát a opieral sa o zárubňu, ako pri každom pokuse o záchranu sestry.	"What the hell are you doing?” said my roommate for the fifth time, leaning against the doorframe as he did in every iteration.	0.29717
Moje mrzuté oči sa dívali na každú jeho snahu o pomoc, ktorá sa rozpadávala predo mnou ako domček z karát: spolubývajúci prišiel do kúpeľne a zistil, že jeho lieky sú preč; spolubývajúci odišiel do práce a vrátil sa neskoro; spolubývajúci celý sčernetý a spálený po tom, čo zhorel byt; spolubývajúci ma uložil do postele a vypol svetlo, pred tým, ako sa pobral do kuchyne a zbavil sa všetkých nožov.	My sullen eyes saw his every possibility splayed out before me like a fall of cards: roommate disappearing into the bathroom to find his medications gone; roommate leaving for work and returning too late; roommate blackened and burned as the apartment went up in smoke; roommate helping me into bed and turning the light off before heading back into the kitchen to bundle up all of the knives.	0.338891
"Premýšľam," zavrčala som.	"Thinking,” I croaked.	0.242857
Moje ruky sa rozžiarili elektrickou energiou a iskrami, ktoré sa nedali ovládať a tancovali mi cez prsty.	My hands itched with electricity, sparks I couldn’t control dancing across my fingers.	0.24
"Ty a tie tvoje divné čáry-máry."	"You and your weird sleight of hand shit."	0.227586
Povzdychol si a hodil po mne iPhone.	He sighed and tossed me my iPhone.	0.65431
"Zvoní ti mobil."	"Your phone is ringing."	0.1875
Tá hlúpa animovaná zvučka, čo vyhrávala z reproduktorov, bola obľúbená mojej sestry. ~~~ Trvalo mi asi sekundu, než som si to stihla uvedomiť. Mala som ju nastavenú pre pevnú linku.	It took me a second to realize that the stupid anime song filtering out of the speakers was the one that Melanie liked, my ringtone for the home landline.	-0.0140693
No nevolala mi ona.	But it wasn’t her on the phone.	0.141176
Volala moja matka a oznámila mi, že Melanie sa utopila v bazéne na dvore počas nečakaného lejaku, ktorý sa spustil z jasnej oblohy.	It was my mother, who told me that Melanie had drowned in the pool in the backyard during a freak rainstorm, one that had ruptured from an empty sky.	0.517273
Spomalil sa mi tep a každou sekundou slabol.	My heartbeat slowed, each second syrup-thick.	0.276316
"Ale ja som si myslela, že mám viac času," šepkala som do mobilu.	"But I thought I had more time,” I whispered into the phone.	0.276
Naozaj som mala mať ešte pár dní, aby som mohla premýšľať a všetko napraviť. ~~~ "Nikto nevie, kedy si nás Boh vezme do svojho raja," prerušila matka moje myšlienkové pochody.	It was true, I was supposed to have a few more days to think of things, to fix them— "No one knows when God will take us home,” said my mother.	-0.0171875
"Je to len v Božích rukách a vždy bolo."	"He’s in the Lord’s hands. Always has been."	0.254545
Pri mojom smútku som skoro zabudla na sestru a v čase mojej neprítomnosti apokalypsa nabrala iný smer.	In my grief, I’d nearly forgotten about my sister, and in my absence, my apocalypse had shifted course without me.	0.268966
Svet sa opäť skončil roztrasenými vzlykmi a ja som sa okamžite pustila do práce.	The world ended anew with a shuddering sob, and I hit the ground running.	0.465574
Tentoraz som sa vrátila o dva týždne dozadu.		-0.3
Dva mučivé týždne, než som nastúpila do lietadla. ~~~ Skrz moje červené oči som si ako prvé zarezervovala letenku domov. ~~~ Dúfala som, že ak sa tam dostanem skôr, tak nebude príliš neskoro.	This time, I touched down two weeks, two agonizing weeks, before I would board my plane, and the first thing I did was book an immediate red-eye home, hoping that if I got there early, I wouldn’t be too late.	-0.149123
Zle, zle, zle.	Wrong, wrong, wrong.	0.161538
"Aký je život v meste?" zaujímala sa Melanie, keď ma minulú jar prišla navštíviť.	"What’s life like in the city?” Melanie had asked me when she’d come to visit me, the spring before she died.	0.208696
Zašila som sa do svojej izby, aby som si nacvičovala monológy na predstavenie pre seniorov, až kým ma nepálili pľúca, čo pravdepodobne znamenalo, že som nedýchala správne. ~~~ Melanie ma prosila, aby sme išli von.	I’d holed up in my dorm room to practice monologues for my senior showcase until my lungs burned, which probably meant I hadn’t been breathing properly anyhow, and Melanie had demanded that we go outside.	-0.00701754
Vybrali sme sa smerom do centra mesta, kde vyparádení študenti a slušne oblečení turisti brázdili ulice a ohliadali sa po tradičných hranolčekoch.	We’d gone downtown, where well- dressed students and decently-dressed visitors crawled the streets, looking for artisanal french fries.	0.282353
Zakotvili sme v obchode so šiškami, ktorý bol asi taký veľký ako šatník Melanie u nás doma, a skrčené sme sedeli na okennej parapete.	We’d settled in a donut shop about as big as Melanie’s closet back home and were crunched up, knees to chests, on the inside windowsill.	0.414595
Vyzerala dobre. Mala na sebe ten svetloružový sveter, ktorý som jej tajne poslala na narodeniny. ~~~ Dokonca si nalakovala nechty, hoci jej to doma zakazovali.	She’d looked good, wearing the pale pink sweater I’d secretly sent her for her birthday, fingernails painted the way they never could be at home.	-0.0159836
No takisto vyzerala veľmi unavene, skoro až bledo, a na jej tvári sa odrážala ťarcha slov našich rodičov.	But she’d also looked so tired, sallow almost, her face lined with the weight of our parents’ words.	0.282143
Hlavou mi preblysli všetky možné varianty, ktoré očakávali moji kamaráti, že vyslovím. ~~~ Napríklad: mesto je úžasné, vzrušujúce; mám také šťastie, že tu môžem žiť; milujem ho.	All the things that my friends expected me to say—the city’s great, it’s exciting, I’m so lucky to live here, I love it—flashed through my head.	-0.03875
A tiež pravda, ktorú som nikdy nikomu nepovedala, pretože by ju aj tak nechcel nikto počuť.	So did the things I’d never told anyone, that I couldn’t tell anyone, because they wouldn’t want to hear it.	0.249351
Napríklad: aká bola osamelosť zdrvujúca; ako ma vyhodili z troch zamestnaní; ako som každý deň na ceste do divadla prechádzala okolo toho istého blázna v tuneli, ktorý sypal zmes jazykov zo svojich prekliatych úst a volal Ježiša o pomoc, a ako som prechádzala okolo transparentu, na ktorom stálo: ZMIZNITE BEZ TOHO, ABY STE OPUSTILI NEW YORK!	How the loneliness was crippling; how I’d been fired from three part-time jobs by now; how every day, on my way to class, I walked past the same madman in the tunnel moaning for Jesus, a mess of languages spilling from his bloody lips, past a banner ad that read: GET AWAY WITHOUT LEAVING NEW YORK.	0.403796
"Je to inak, ako som očakávala," vykoktala som zo seba.	"It’s different,” I’d said at last.	0.145161
Bez teba neviem, kto som.	I don’t know who I am without you, I didn’t say.	0.0681818
"Chápem," odpovedala Melanie.	"I understand,” Melanie had replied.	0.246429
Skoro by som povedala, že skutočne rozumela.	I could tell that she did.	0.0681818
Sledovala som cestu späť, znova a znova, až do prvej potenciálnej eventuality.	I have followed the path back, again and again, to that first stream of possibility.	0.286765
Udalosti sa tak úhľadne usporiadali, že som sa s nimi mohla pohrávať aj počas spánku, a občas som sa s nimi skutočne hrala.	The events lined up so neatly that I could do them in my sleep, and sometimes did.	0.143284
Stále viedli k púštnemu monzúnu, predieraniu sa cez vodu a k mojej sestre miznúcej v ohnivých stĺpoch.	They always led back to the desert monsoon, slogging through the water, my sister disappearing in a pillar of flame.	0.428736
Prečo si nechcela, aby som ti pomohla?	Why didn’t you want me there to help you?	0.290909
Chcela som sa spýtať.	I wanted to ask.	0.192857
Ak všetko zašlo až tak ďaleko, prečo si ma nepoprosila, aby som prišla domov?	If you were this far gone, why didn’t you ask me to come home?	0.21
Nikdy som nebola dostatočne blízko, aby som sa k nej dostala cez vietor, ktorý okolo nás burácal počas prašnej búrky a odnášal môj hlas.	I never got close enough to reach her through the wet- dust wind that snarled and roared around us, snatching my voice away.	0.267961
Existujú časové osi, o ktorých som nepremýšľala.	There are timelines I don’t think about.	0.231429
Napríklad taká, kde nemám žiadne schopnosti a dostanem sa včas na párty u susedov. ~~~ Vysokoškolák si prepletie ruky okolo môjho a nie sestrinho krku a nohami ho kopem do brucha.	There is a timeline where the power never touches me, where I make it home in time for the party at the neighbor’s house, where a college boy’s hands are around my throat, not my sister’s, my legs kicking around his waist.	0.0667785
Melanie ho spáli na kusy, roztlčie balvany a zavíja, až kým nestratí hlas.	Melanie scorches him to pieces, blackens him, shatters the boulders in the wash, and howls until her voice bleeds.	0.352381
Jej slzy padajú do mojich očí a pri kontakte syčia a vyparujú sa, zatiaľ čo prázdna a zničená obloha nad nami zíva.	Her tears fall into my eyes, sizzling and evaporating on contact, as the sky yawns above us, hungry, broken.	0.286813
Sú aj iné, ak sa vrátim po uzavretom kolobehu späť do detských čias: spadnem na ľade a hlavou mi silno prerazí svetlo; škorpión ma bodne do ruky a následne mi stuhnú končatiny a zviera mi hruď. ~~~ Melanie má na sebe po prvýkrát šaty a potom fňuká, lebo na ňu otec kričí.	There are others, too, reaching back further along the daisy chain, when we were younger: slipping on ice, light cracking hard through my head; the agonizing sting of a scorpion on my arm, the stiffening of limbs, sudden tightness in my chest; Melanie in a dress for the first time, sobbing as our father screamed at her.	0.0497174
A smerom dopredu, po rozvíjajúcich sa osách, ktoré rozmazávajú okraje budúcej podoby: nože sa odrazia od môjho brucha a vykrivia sa; policajné sirény kvília, výstrely pália do kráteru, kde kedysi bolo moje mesto a všade navôkol cítiť spálený cukor; lietadlo nikdy bezpečne nepristane, pretože vzplanie v plameňoch na pristávacej dráhe.	And forward, along the lines that branch out, fuzzing the borders of the future’s shape: knives, dented, rejected by my gut; police sirens wailing, gunshots ringing into the crater where my city used to be, the scent of burnt sugar; a plane that never lands safely, erupting into flame on the runway.	0.314424
Spomínam si na to len ako na nejasnú hmlu, ako na príbeh, ktorý mi raz niekto povedal, ale zabudla som jeho detaily.	I only remember these as faint echoes, like a story someone told me once but whose details I’ve forgotten.	0.276404
Naozaj sa to stalo?	Did they happen?	0.26
Áno.	Yes.	0.3
Nie.	No.	0.225
Reťazce sa narušili, rozrástli sa ako korene, čím sa roztvorili možnosti.	The chain frays, spreads out like roots, possibilities endless.	0.257143
Prepáč, prepáč, prepáč!	I’m sorry, I’m sorry, I’m sorry.	0.218182
V čase, keď nám ešte tieklo mlieko po brade, sme ležali v zime na koberci a ohrievali si premočené nohy na radiátore.	When Melanie and I were little, we’d lie on the carpet in the winter and warm our soggy feet by the radiator.	0.273034
Zvykli sme vtedy skákať do snehových závejov, čo vytáčalo našu mamu do nepríčetnosti.	This was when we still had a bad habit of jumping into snowbanks, exasperating our mom to no end.	0.275676
Melanie sa práve učila, ako rozpustiť v snehu určité tvary. ~~~ Z konca ukazováka jej vychádzali tie najkrajšie iskry.	Melanie had just begun to learn how to melt shapes in the snow, the finest spark at the end of her index finger.	0.0187166
"Zaujímalo by ma, prečo máme tieto schopnosti," uvažovala Melanie a zovrela päsť okolo blesku, ktorý preblyskoval cez dlaň.	"I wonder why we can do these things,” Melanie had said, closing her fist around the lightning glinting across her palm.	0.440073
Zaškerila som sa na ňu a pokúšala som sa zachytiť aspoň kúsok zatúlanej statickej elektriny, ktorá jej tancovala po ruke.	I grinned at her, reaching out to catch a bit of stray static dancing down her arm.	0.312255
"Neviem.	"Dunno.	0.2625
Nemyslíš, že je super byť výnimočná?	Don’t you think it’s cool to be special?	0.28125
Je to jediné, čo dokážeme iba my a nikto iný."	It’s the one thing no one else can do but us."	0.291892
Zamávala nohou na radiátore.	She wagged a foot at the radiator.	0.265385
