"Avšak aj trochu osamelé."	"It’s kind of lonely, though.”	0.2625
Správne pracujúca myseľ neustále prijíma dojmy, asociuje ich, čistí, triedi a uvoľňuje. ~~~ Taktiež ich transformuje, aby mohli lepšie plniť svoj účel.	A properly functioning mind is constantly receiving impressions, associating them, refining them, selecting and releasing them, and do transforming them that they may better serve its purpose.	-0.0426923
Proces, pri ktorom človek zhromažďuje zážitky a koná činy, ktorými prejavuje pociťovanie, voľbu a vôľu, prebieha v nervovej sústave prostredníctvom mechanizmu podnet – reakcia.	The process whereby man gathers unto himself experience and performs acts manifesting sensation, choice, and volition, is accomplished through the nervous system by means of its stimulus-response mechanism.	0.249351
Na dosiahnutie týchto integrovaných reakcií sa používajú špeciálne prostriedky.	To achieve these integrated responses it employs special tools.	0.214286
Po prvé sú to zmyslové orgány alebo receptory, ktoré prijímajú informácie z vonkajšieho prostredia.	First of all there are those sense organs, or receiving organs (receptors), that pick up information from the outside world.	0.234483
Receptory sú koncové zmyslové štruktúry, ktoré sú prispôsobené na príjem rôznych foriem vonkajších podnetov a na ich prevod do formy, ktorú potom nervové vlákna prenesú do mozgu a miechy.	They are terminal sensory structures adapted to receive various forms of environmental stimuli and to transmit them to the brain in the form of nerve impulses.	0.244444
Vďaka nim sme schopní vžiť sa do každej životnej aktivity okolo nás.	Because of them we are able to "tune in” on all life"s activities around us.	0.274138
Tieto receptory sú jediným prostriedkom, pomocou ktorého sa sily vonkajšieho prostredia a tvorivé sily vo vnútri tela môžu dostať do centrálnej nervovej sústavy a aktivovať ju.	These receptors are the only media through which the forces of the world outside or the generating forces within the body can reach the central nervous system and bring it into activity.	0.292105
Iba prostredníctvom receptorov môžu tieto sily preniknúť do vedomia.	They are the only way such forces can attain awareness.	0.210638
V tomto zmysle sa môžu receptory chápať ako analyzátory nášho prostredia, ktoré ho rozdeľujú na súčasti. ~~~ Každý receptor je zameraný na určitý aspekt vonkajšieho a vnútorného prostredia.	In this sense, the receptors may be thought of as analyzers of our environment, splitting it up into its component parts, each particular receptor attuned to certain aspects of the external environment and the mileu intérieur.	-0.0277778
* Tento termín je použitý z dôvodu ľahšieho pochopenia. ~~~ Označuje duševný aspekt organizmu, nevyjadruje oddelenie mysle od tela.	*A term here used for convenience to designate the mental aspect of the total organism, and not to imply a separation of mind from body.	0
Okrem piatich najzákladnejších zmyslov rozlišujeme aj receptory, ktoré patria k iným zmyslom – reagujú len na podmienky vnútri tela.	Besides the usually mentioned five senses, there are organs of other senses – responsive only to conditions within the body itself.	0.441964
Do skupiny receptorov, ktoré majú pri skúmaní pohybu osobitý význam, patria receptory vo svaloch, v kĺboch a v šľachách.	The group of sense organs that are of special interest in the study of movement are those in the muscles, joints, and tendons.	0.294175
Sú stimulované aktivitou týchto častí, informujú myseľ o presnom stave svalovej kontrakcie a o rozsahu pohybu v kĺbe.	They are stimulated by the activity of these parts, reporting to the mind the exact state of muscular contraction, the range of joint movement.	0.240594
Práve vďaka tomuto pohybovému – kinestetickému – zmyslu môžeme posúdiť načasovanie, silu a rozsah nášho pohybu a vedome či automaticky sa prispôsobiť tejto informácii.	It is by means of this movement sense – the kinaesthetic sense – that we can judge, the timing, force, and extent of our movement, and adjust ourselves consciously or automatically to this information.	0.490345
K tejto skupine receptorov patria orgány rovnováhy, ktoré zabezpečujú telesnú rovnováhu a držanie tela.	To this group of receptors also belong the organs of static and equilibratory sensations, which serve to maintain body balance and posture.	0.207692
Receptory potom prinášajú obrovské množstvo potrebného zmyslového materiálu.	The receptors, then, bring, as grist to the mill, a great mass of sensory material.	0.3
Na tento materiál následne reagujú orgány reakcie – efektory.	The task of executing a reaction to this sensory material belongs to the effectors, which are the organs of response.	0.05
Tak ako sú receptory určené na príjem podnetov, efektory sú určené na ich realizáciu.	Just as the receptors are specialized agents receiving stimuli, the effectors are specialized discharging agents.	0.189041
Medzi nimi sa nachádza vodivé tkanivo, ktoré plní asociačné funkcie a prenáša impulzy dnu a von.	Between these lies a conducting tissue, serving an associative function as well as carrying impulses in and out.	0.425251
Zároveň poskytuje i nekonečné možnosti pre súvzťažné procesy.	It also provides infinite possibilities for correlative action.	0.289091
Vďaka poznatkom o asociácii a prekrývaní impulzov si môžeme okamžite uvedomiť, aké nekonečné a rozsiahle sú možnosti mysle. ~~~ Môžeme pokojne predpokladať, že v mozgu sú percepčné oblasti citlivé na ďalšie formy energie, ktoré prestupujú éter a o ktorých ľudstvo zatiaľ nemá ani tušenie.	With such an arrangement for association and overlapping of impulses, we can at once appreciate how infinite and vast are the possibilities of the mind, and can theorize that there are perceptual areas of the brain awaiting further sensitization to forms of energy pervading the ether, of which, as yet, man remains unaware.	-0.0171429
Pred vytvorením efektívnej motorickej reakcie prejde veľké množstvo prichádzajúceho materiálu intenzívnou zmenou.	Before an effective motor response is made, the great mass of incoming material undergoes a profound change.	0.267742
Zorganizuje sa do určitých myšlienok alebo predstáv o prostredí, na ktoré sa vynaloží energia.	It becomes organized into definite ideas about, or images of, the environment upon which energy is expended.	0.259756
Táto zmena prebieha v mozgovej kôre, v ktorej pretrvávajú zvyšky minulých dojmov a kde prebiehajú mimoriadne zložité selektívne korelačné a asociačné procesy.	This change takes place in the cerebral cortex, where residues of past impressions are retained and where selective correlations and associations of great complexity take place.	0.267391
Vytvárajú sa tam nové vzory správania, ktoré sa týkajú myslenia i konania.	There emerge new behaviour patterns in thought as well as in action.	0.268966
Pred preniknutím k diskriminačným a organizačným centrám sa prichádzajúce impulzy zdržia v podkôrovej retranslačnej stanici – v talame (v lôžku).	As the incoming impulses course toward the discriminating and organizing centers of cortex, they are first delayed at a subcortical relay station, the thalamus.	0.416873
Reflexná činnosť talamu síce nedosiahne zreteľné vedomie, ale napriek tomu obohacuje neskôr vzniknuté vedomie o pocity.	The reflex activity of the thalamus does not attain distinct consciousness, but nevertheless it contributes a feeling tone to the awareness ultimately aroused.	0.205714
Talamus sa často nazýva aj starý mozog.	The thalamus is often spoken of as the "old brain.	0.229412
U vývojovo starších živočíchov bez kôry je talamus veľmi dôležitý a v človeku zachováva jeho primitívne funkcie.	”It is important in lower forms without a cortex, and in man it retains its primitive functions.	0.407407
Vďaka vplyvu starého mozgu súvisí stimulácia priamo s kvalitou pocitov. ~~~ Ich aktívne prejavy sa však zlepšujú vďaka asociačným vplyvom mozgovej kôry.	It is because of this contribution of the "old brain” that stimulation is directly connected with feeling tones, but it is the associative influences of the cortex that contribute toward enhancing their active manifestations.	-0.0709924
Kôra kontroluje, alebo potláča všetky nižšie centrá.	The cortex has a controlling or inhabiting influence over all the lower centers.	0.159574
Ak je cesta medzi talamom a mozgovou kôrou prerušená, reakcie na citový podnet sú nadmerné.	If path from the thalamus to the cortex is cut, there results excessive response to affective stimuli.	0.265385
Kvality pocitov teda spôsobia citové preťaženie, pretože regulačný vplyv kôry je nefunkčný.	There is an overloading of sensation with feeling tone because the regulating influence of the cortex has been released.	0.218519
Takto sa zvyčajne správa nezrelá myseľ dieťaťa, primitívneho človeka alebo nezrelého dospelého.	This type of behaviour is normally that of the immature mind, whether in a child, in primitive man, or in an immature adult.	0.236471
Zdá sa, že v starom mozgu sa nahromadila múdrosť celej rasy – zvyšky rasovej skúsenosti, ktoré pomohli človeku prežiť, a preto sú plné emočných kvalít.	It seems that within this "old brain” resides the stored-up wisdom of the race – residues of racial experience that have helped man to survive and that are, therefore, rich in emotional tone.	0.340385
Prevláda presvedčenie, že citová fáza pociťovania a emočný život ako taký sídlia práve v tomto starom mozgu a nie v mozgovej kôre.	Indeed, the affective phase of sensations and the emotional life in general are believed to reside in this "old brain” and not in the cerebral cortex.	0.256364
Pocity však nie sú presne lokalizované a rozlišované.	The sensations, however, are without clear localization and discrimination.	0.165957
Tieto funkcie totiž vyžadujú spoluprácu kôry.	These need the co-operation of the cortex.	0.267568
Hoci talamus a miecha zodpovedajú za všetky inštinktívne impulzy bez pomoci kôry, podliehajú jej inhibičnému vplyvu.	The thalamus and the spinal cord take care of all impulses of the instinctive type without reference to the cortex, but they are not free of its inhibiting influence.	0.191176
Ďalšou podkôrovou oblasťou, ktorá má významný vplyv na celkový pohyb tela, je mozoček.	Another subcortical area that has profound influence upon all movement is the cerebellum.	0.288
Hoci mozoček pohyb nespúšťa, určitým spôsobom ovplyvňuje svalový tonus a zoslabuje tonus svalov antagonistov.	It does not initiate movement, but in some way it affects the tonicity of the muscles and diminishes the tonus of the antagonist muscles.	0.44433
Udržuje správnu rovnováhu svalových kontrakcií.	It maintains proper balance of muscular contractions.	0.272727
Aj keď si jeho funkčnú aktivitu uvedomujeme, detaily ešte úplne nepoznáme.	The details of its functional activity, although appreciated, are not clearly understood.	0.235385
Je však isté, že mozoček je mechanizmus nevedomej motorickej koordinácie a zohráva úlohu najmä pri reflexných a inštinktívnych činnostiach.	But it is certain that the cerebellum is the mechanism of unconscious motor coordination and is devoted chiefly to reflex and instinctive activities.	0.285246
Vedci zistili, že strata tonusu zapríčinená poruchou mozočka sa prejavuje zvýšenou pohyblivosťou kĺbov.	Medical science has discovered that loss of tonicity, due to the impaired functioning of the cerebellum, results in increases mobility of the joints.	0.182609
Predpokladá sa, že sídlom inteligencie a vedomia (psychiky) je sivá hmota koncového mozgu.	Intelligence and consciousness (the psyche) are believed to reside within the gray matter of the cerebrum.	0.250633
Prebiehajú v nej veľmi zložité korelačné a asociačné procesy.	Correlations and associations of great complexity take place within it.	0.25
Navyše má schopnosť uchovávať si dojmy z minulosti.	It also possesses the ability to retain past impressions.	0.266667
Jej štruktúra umožňuje, aby každá časť nielen prijímala prichádzajúce (aferentné) impulzy, ale aj vysielala odchádzajúce (eferentné) impulzy.	It is so constructed that every part not only receives incoming impulses but originates outgoing impulses as well.	0.214286
Impulzy, ktoré súvisia s asociačnými, so selekčnými a s diskriminačnými procesmi, najskôr prechádzajú do mozgovej kôry, aby sa v nej tieto deje mohli zrealizovať.	Impulses that involve association, selection, and discrimination are referred to the cortex for these processes before being passed on to the effectors for execution.	0.291429
Potom pokračujú k efektorom, ktoré zodpovedajú za realizačné procesy.		-0.3
