Jedného dňa, asi o 5 miliónov rokov neskôr, v tomto Raji fúkal studený vietor.	One day, perhaps five million years later, a cold wind blew through this Eden.	0.3
Preto radšej zabudni, aký som úbožiak, píše, konaj tak, nech nie som tvojou prekážkou a premýšľaj o Ježišovi, ktorý je učiteľom každého človeka. (KV 135)	Then will you soon forget me who am a wretch”, she writes, and do this, so that I am no hindrance to you, and you will contemplate Jesus, who is every man’s teacher(ST 135).	0.39
Tajomným životom a neustálym sa ukrývaním pred svetom sa Juliana snažila priblížiť k tajomnu a anonymite samotného Boha.	In this act of putting on a veil of concealment and anonymity, Julian points to the concealment and anonymity of God himself.	0.45501
Boh sa síce ukazuje svetu, ale stále ostáva skrytý ako tzv. Deus absconditus (Boh skrytý).	God reveals himself to the world, and yet he always remains a Deus absconditus.	0.455224
Podobným spôsobom sa stalo známym vo svete aj jej svedectvo. ~~~ Svojím poslaním pustovníčky a duchovnej matky sa nám snaží pripomenúť aj existenciu neviditeľného a nadpozemského sveta.	In a similar way, Julian’s work has been made known to the world, and yet in her vocation of an anchoress and spiritual mother she reminds us of the existence of an invisible and spiritual world.	0.0104051
Adrienne von Speyrová, švajčiarska mystička 20. storočia, ktorá konvertovala na katolícku vieru pod vedením editora väčšiny jej diel H. U. von Balthasara, nám v prvej časti knihy o svätých a ich živote v modlitbe s názvom Das Allerheiligenbuch (Kniha všetkých svätých, preložila S. Š. ) poskytuje vzácny náhľad do vnútorného života Juliany z Norwichu.	Adrienne von Speyr, a Swiss mystic of the XX century, who converted to Catholicism under the guidance of H. U. von Balthasar who edited most of her works, in the first part of her book on the saints and their life of prayer, Das Allerheiligenbuch, gives us a precious insight into the interior life of Julian of Norwich.	0.642045
V súčasnosti sa nám pustovnícky spôsob života môže zdať neobvyklý. ~~~ V ranom období cirkvi a v stredoveku však nebol žiadnym zriedkavým úkazom.	Today, the life of a recluse may seem somewhat unusual to us, but it was not a rare phenomenon in the early centuries of the Church and in the Middle Ages.	-0.00365854
Slovo pustovník je odvodené z gréckeho slovesa anachorein, čo v preklade znamená ustúpiť alebo vzdialiť sa.	The word anchoriteis derived from the Greek verb anachorein and means to retireor to withdraw”.	0.259756
Pustovník, či už muž alebo žena, sa vzďaľoval od sveta, aby mohol v pokoji viesť život pokánia a modlitby.	An anchorite, male or female, retired from the world to lead a life of penance and prayer.	0.410667
Tento samotársky životný štýl sa odvíjal z tradície prvých Otcov púšte, napr. Antona, Pavla Pustovníka, Makaria alebo Arsenia, ktorí sa snažili nájsť hlbšie spojenie s Bohom, a to tým spôsobom, že opustili hluk mesta a utiahli sa do púšte.	This solitary life–style developed from the tradition of the first Desert Fathers who, like Anthony, Paul the Hermit, Macarius or Arsenius, in their search for a deeper communion with God retreated to the desert, away from the noise of the city.	0.444059
Ich pustovnícky ideál opisovali v texte s názvom Vitas Patrum (Životy Otcov), ktorý podnietil príchod prvých pustovníčok známych ako Matky púšte.	Their hermitical ideal, narrated in a text known as Vitas Patrum, was soon to be followed by the first female anchoresses, known as Desert Mothers.	0.431525
K východnej kultúre patrí aj podobná zbierka výrokov a skutkov týchto svätých matiek s názvom Meterikon.	The eastern tradition has in its possession a similar collection of sayings and deeds of these holy mothers, called Meterikon.	0.592941
Navyše pustovnícky život žien má aj biblické opodstatnenie, a to v postave Anny, ktorá sa spomína v príbehu Obetovania Pána v chráme.	Moreover, the female anchoritic life has a scriptural foundation, namely, in the figure of Anna, mentioned in the scene of the Presentation of the Lord in the temple.	0.358753
Evanjelista Lukáš ju opisuje ako prorokyňu, čo môžeme v súčasnosti vyjadriť aj pojmom mystička, ktorá bola obdarovaná duchovným porozumením a víziami.	The evangelist Luke defines her as a prophetess”, which could be translated today in terms of a mysticendowed with spiritual understanding and visions.	0.434056
Z chrámu neodchádzala, vo dne i v noci slúžila Bohu pôstom a modlitbami (Lk 2, 36-37).	He tells us that she never left the Temple, and served God night and day with fasting and prayer (Lk 2, 36-37).	0.750245
Tento obraz nám ju vykresľuje ako pustovníčku v chráme, ktorá zasvätila svoj život Bohu a posväteniu kňazov.	This picture presents her as a recluse of the temple, who lived there for God and for the sanctification of the priests.	0.444086
V čase stredoveku došlo k znovuzrodeniu rehoľného a pustovníckeho života.	In the Middle Ages the monastic and anchoritic life experienced a revival.	0.56804
A. K. Warren, ktorý študoval posledné vôle a ich odkázané dedičstvo miestnym pustovníkom, píše, že v 14. storočí žilo v Anglicku približne 96 osamelých pustovníčok. V 15. storočí ich počet vzrástol na 1103 .	A. K. Warren, studying the wills with their bequests to local anchorites, estimates that in the 14th century there lived around 96 female anchorites in England alone, and in the 15th the number increased to 1103 .	1.66629
V tom čase mali rehoľníčky a pustovníčky na ľudí obrovský vplyv, pomáhali im prostredníctvom modlitieb, rád a útechy.	The nuns and anchoresses had an enormous impact on the people of that time and exercised a role of praying, counselling and reconciling.	0.416311
Niektoré významné ženy stredoveku dokonca plnili v cirkvi učiteľskú funkciu, ako napríklad Hildegarda z Bingenu, Matilda z Hackebornu, Gertrúda Veľká, Katarína Janovská a Katarína Sienská.	Some of the great women of the medieval ages had even a teaching role in the Church, like for example, Hildegard of Bingen, Mechtild of Hackeborn, Gertrude the Great, Catherine of Genoa and Catherine of Siena.	0.397203
Toto dokazuje, že ich utiahnutie sa do samoty nebolo žiadnym únikom pred službou ľuďom, či pred plnením funkcie duchovných matiek.	This shows that their withdrawal from the world was not an escape from serving the people and exercising the role of spiritual motherhood towards them.	0.257143
Zámerom pustovníčky nebolo pracovať len na vlastnom spasení, ale tiež modliť a kajať sa za ostatných.	The anchoress’ intent was not to work only for her own salvation, but to pray and do penance on behalf of others.	0.27931
Týmto spôsobom sa pustovnícky život stal akousi formou prežívania cudzieho utrpenia a spoluúčasti pri celkovom sprostredkovaní Krista.	In this way, the anchoritic life-style became a form of vicarious substitution, participating in the universal mediation of Christ.	0.453509
Z tohto dôvodu mali dôležité postavenie v spoločnosti. ~~~ Obyvatelia boli hrdí na to, že majú pustovníčku, ktorá za nich obetuje svoje každodenné modlitby.	Therefore they were given a high social status, for the citizens were proud to have a recluse who offered her daily prayers for them.	-0.0297297
Hlavný cieľ samotárskeho života uvádza aj sv. Aelred Rievaulx v jeho pravidlách pre pustovníkov nasledovne: Objím celý svet náručím plným tvojej lásky a pri tom rozmýšľaj a zablahoželaj dobru, rozjímaj a smúť za hriešnymi.	Aelred of Rievaulx, in his rule for recluses, indicates this essential point of the solitary life: Embrace the whole world with the arms of your love and in that act at once consider and congratulate the good, contemplate and mourn over the wicked.	0.358872
Vo svojom konaní pamätaj na trpiacich a utláčaných a súciť s nimi.	In that act look upon the afflicted and the oppressed and feel compassion for them…	0.225
Spomeň si na úbohosť chudobných, stonanie sirôt, opustenosť vdov, bolesť zarmútených, potreby cestujúcich, modlitby panien, nebezpečenstvo tých na mori, pokušenia mníchov, povinnosti prelátov, námahu tých, ktorí vedú vojnu. ~~~ Pre pustovníkov neexistovala nijaká všeobecná norma života.	In that act call to mind the wretchedness of the poor, the groans of the orphans, the abandonment of widows, the gloom of the sorrowful, the needs of travellers, the prayers of virgins, the perils of those at sea, the temptations of monks, the responsibilities of prelates, the labours of those waging Ancrene Riwle.	-0.00714286
Až v stredoveku bolo spísaných niekoľko pravidiel.	In the Middle Ages a number of such rules were written.	0.293333
Už v 9. storočí mních menom Grimlaic napísal Regula Solitarium a z 11. storočia pochádza pravidlo Aelreda Rievaulxa určené pre jeho sestru pustovníčku.	Already in the ninth century, a monk named Grimlaic wrote the Regula Solitarium and in the eleventh century we find the rule of Aelred of Rievaulx written for his anchoress sister.	0.751538
V 13. storočí bola napokon zostavená najznámejšia zbierka pravidiel pre pustovníkov pod názvom Ancrene Riwle alebo tiež Ancrene Wisse (Príručka pre pustovníkov).	Finally, in the thirteenth century the most famous collection of instructions for anchoresses, the so-called Ancrene Riwle or Ancrene Wisse was written.	0.801285
Nariadenie sa sústreďuje predovšetkým na vnútorný život pustovníka.		-0.3
Ako príklad života v rozjímaní uvádza evanjelický príbeh o Márii, ktorá sedela pri Ježišových nohách.		-0.3
Zdôrazňuje nasledovnú pasáž: Vy pustovníci, ste si privlastnili Máriinu úlohu, ktorú schválil náš Pán Starostlivosť o domácnosť je poslaním Marty, Máriinou úlohou je pokoj a oddych od všetkého hluku sveta, aby jej nebránil v počúvaní Božieho hlasu.	The Rule concentrates, above all, on the inner life of a recluse and sets up as an example of contemplative life the Gospel story of Mary who sat at Jesus’ feet and chose the better part: Ye anchorites have taken to yourselves Mary’s part, which our Lord himself commended…	0.360638
Pre pustovníčku ako Kristovu nevestu bola hlavnou cnosťou čistota.	Housewifery is Martha’s part, and Mary’s part is quietness and rest from all the world’s din, that nothing may hinder her from hearing the voice of God”.	-0.0508475
V Ancrene Riwle sa nachádza hneď niekoľko morálnych zásad, ktorých cieľom bolo vyhýbať sa pokušeniu.	As a bride of Christ, the essential virtue of the anchoress was chastity and there are many concrete precepts in the Ancrene Riwle that should help her avoid any violation of it.	0.464655
Kontakt s mužmi bol striktne obmedzený a ako svojho spovedníka si pustovníčka musela vybrať staršieho kňaza s dobrou povesťou.	Her contact with men was severely restricted and she was counselled to choose as her confessor an elderly priest of good reputation.	0.291743
Dokument tiež obsahuje aj praktické predpisy týkajúce sa vonkajšieho pustovníckeho života.	The document also gives practical instructions about the external life of an anchoress.	0.280263
Stanovuje presné predpisy týkajúce sa toho, čo by mala jesť a ako sa obliekať, kedy môže spať a akú formu by mali mať jej modlitby.	It sets down precise rules about what she should eat and wear, when she might sleep and what sort of prayers she should say.	0.282353
Ancrene Riwle tiež určuje, že pustovníčka môže v čase od Veľkej noci až do sviatku Povýšenia sv. Kríža v septembri konzumovať dve jedlá denne a po zvyšok roka a na všetky piatky môže jesť len jedenkrát za deň.	The Rule sets down that the anchoress could have two meals a day from Easter until Holy Cross Day in September, and only one meal the rest of the year and on all Fridays.	0.309627
Nemôže jesť mäso, okrem obdobia, keď je chorá.	She was allowed no meat except in time of illness.	0.285
Pokiaľ ide o oblečenie, nie je predpísaná žiadna špecifická farba, dôležité je len to, aby boli šaty jednoduché a v zime teplé.	As for the clothes, no particular colour is specified, but it is said only that it should be plain and warm in winter.	0.269072
Predpis je veľmi prísny, hoci na záležitostiach týkajúcich sa stravovania a odevu si až tak nezakladá.	The Rule is very severe, though, about any sort of unhealthy exaggeration, both in meals as well as in clothes.	0.282955
Pripomínajúc si známe slová sv. Pavla o láske v Prvom liste Korinťanom verš 13, autor Príručky pre pustovníkov hovorí: Aj keby som si spôsobil všetku bolesť a utrpenie, aké môže telo zniesť; a chudobným dal to, čo mám, no lásky k Bohu a blížnym by som nemal, v ňom a pre neho by bolo všetko stratené.	Recalling the famous words of St. Paul in 1 Cor 13 about love, the author of the Ancrene Riwle says: Though I inflicted upon my body all the pains and all the sufferings that a body could endure; and though I gave poor men all that I had; unless I had therewith love to God and to all men, in him and for him, it were all lost”.	0.333119
I keď pustovníčka nežila v rehoľnom spoločenstve, kde bol každodenný život podrobený disciplíne kláštorných zvykov, očakávalo sa od nej, že sa bude riadiť určitým harmonogramom modlitieb, rozjímania, práce ako aj oddychu.	Though the anchoress did not live in a monastic community where the daily life was regimented by monastic routine, she was supposed to follow a certain schedule of prayer, contemplation, work and rest as well.	0.272727
Akonáhle pustovníčka vstúpila do svojej pustovne, nemohla z nej už viac odísť, inak by jej hrozila exkomunikácia.	Once the anchoress entered her anchorhold, she was not allowed to leave it anymore on pain of excommunication.	0.287234
Pri odchode z pozemského sveta sa konali dokonca aj špeciálne obrady, akými boli zádušná omša či procesia k jej cele.	There was even a special enclosure rite celebrated at her departure from the world, such as a Requiem Mass and a procession to the cell.	0.257576
Potom hlavný kňaz, ktorým bol obyčajne miestny biskup alebo jeho zástupca, udelil pustovníčke posledné požehnanie, roztrúsil popol na jej hlavu i do jej cely a zamuroval ju.	Afterwards, the main celebrant, normally the local bishop or his representative, administered extreme unction to the anchoress, scattered ashes on her and her cell, and bricked her in.	0.27973
Odvtedy ju svet pokladal za mŕtvu.	She was considered dead to the world.	0.28
Pozostávala z niekoľkých izieb a bola postavená hneď vedľa kostola. ~~~ Jedno okno ju spájalo s kostolom, čo jej umožňovalo zúčastňovať sa na liturgických službách a druhé zase s okolitým svetom, kde si ľudia mohli chodiť po radu.	It consisted of a suite of rooms and was built next to the Church, with one window looking into the Church so that the anchoress could take part in the liturgical services and, with another window open to the world to allow people to come for counsel.	0.0434678
Jedna z izieb slúžila ako oratórium, kde sa pravidelne modlievala.	One of the rooms would serve as an oratory where daily prayers were said.	0.284483
Taktiež je možné, že pustovňa bola spojená so záhradou alebo dvorom.	There might even have been a garden or a courtyard attached to the anchorhold.	0.264407
Navyše, pustovníčka mohla mať aj slúžku, ktorá mala na starosti všetky úlohy súvisiace s domácnosťou.	Besides, the anchoress was allowed to keep a servant who would take care of all necessary provisions in the household.	0.259091
Na základe pravidiel obsiahnutých v Ancrene Riwle si dokážeme lepšie predstaviť Julianin život.	Following the guidelines of the Ancrene Riwle, we can easily imagine what the life of Julian looked like.	0.496429
