Závisí.	They do.	0.3
Hoci je pohľad na dospievanie ako na prispôsobivé obdobie výstižný, občas tomu ťažko uveriť- hlavne z pohľadu rodičov, ktorí sa vysporiadavajú s tínedžermi v ich otravných, protichodných alebo trápnych, desivých momentoch.	This adaptive-adolescence view, however accurate, can be tricky to come to terms with— the more so for parents dealing with teens in their most trying, contrary, or flat-out scary moments.	0.238125
Je utešujúce pripísať znepokojujúce aspekty tomu, že sa organizmus tínedžera učí, ako jednať so svojím okolím.	It's reassuring to recast worrisome aspects as signs of an organism learning how to negotiate its surroundings.	0.3
Prirodzený výber je však nemilosrdný a nedbalé chvíle tínedžera môžu priniesť neúnosné následky.	But natural selection swings a sharp edge, and the teen's sloppier moments can bring unbearable consequences.	0.478992
Možno neriskujeme, že budeme zabití počas rituálnych bojov alebo zožratí leopardom, ale drogy, alkohol, šoférovanie a kriminalita si berú vysokú daň.	We may not run the risk of being killed in ritualistic battles or being eaten by leopards, but drugs, drinking, driving, and crime take a mighty toll.	0.424364
Môj syn žije, je na výške a darí sa mu, bez auta.	My son lives, and thrives, sans car, at college.	0.284615
Niektorí jeho priatelia zo strednej však počas experimentovania na cestách umreli.	Some of his high school friends, however, died during their driving experiments.	0.287143
Uprostred malých ale hrozivých riskov majú naše deti moc nad svojou prispôsobivosťou.	Our children wield their adaptive plasticity amid small but horrific risks.	0.259091
My rodičia sa samozrejme kráčajúc po nejasnej hranici medzi pomáhaním a brzdením našich detí na ich ceste prispôsobiť sa dospelosti tiež často potkneme.	We parents, of course, often stumble too, as we try to walk the blurry line between helping and hindering our kids as they adapt to adulthood.	0.266949
Spojené štáty minú ročne zhruba miliardu dolárov na programy, ktoré majú poučiť tínedžerov o násilí, gangoch, samovražde, sexe, užívaní drog a iných potenciálnych nástrahách.	The United States spends about a billion dollars a year on programs to counsel adolescents on violence, gangs, suicide, sex, substance abuse, and other potential pitfalls.	0.409796
Len málo z nich sa osvedčilo.	Few of them work.	0.1
My predsa len môžeme pomôcť a to aj robíme.	Yet we can and do help.	0.0315789
Môžeme odvrátiť niektoré z najhorších nebezpečenstiev sveta a postrčiť tínedžerov smerom k vhodným reakciám na tie ostatné.	We can ward off some of the world's worst hazards and nudge adolescents toward appropriate responses to the rest.	0.2625
Štúdie ukazujú, že deťom rodičov, ktorí sa zapájajú a usmerňujú svojich tínedžerov ľahkou, ale pevnou rukou zostávajúc s nimi v spojení ale povoľujúc nezávislosť, sa zvyčajne darí v živote oveľa lepšie.	Studies show that when parents engage and guide their teens with a light but steady hand, staying connected but allowing independence, their kids generally do much better in life.	0.358553
Tínedžeri sa chcú učiť v prvom rade, ale nie iba, od svojich priateľov.	Adolescents want to learn primarily, but not entirely, from their friends.	0.275
Na určitej úrovni a v určitej chvíli (a je úlohou rodiča všimnúť si kedy) si tínedžer uvedomí, že mu rodič môže ponúknuť isté zrnká múdrosti, vedomosť, hodnotnú nie preto, lebo prichádza od rodičovskej autority, ale preto, lebo prichádza z vlastných skúseností rodiča z čias, kedy sa sám snažil zistiť, ako funguje svet.	At some level and at some times (and it's the parent's job to spot when), the teen recognizes that the parent can offer certain kernels of wisdom—knowledge valued not because it comes from parental authority but because it comes from the parent's own struggles to learn how the world turns.	0.265289
Tínedžer si správne uvedomuje, že musí porozumieť nielen svetu rodičov, ale aj tomu, do ktorého vstupuje.	The teen rightly perceives that she must understand not just her parents' world but also the one she is entering.	0.286813
Keď mu to však umožníme, môže oceniť aj to, že jeho rodičia raz tiež čelili rovnakým problémom a možno si pamätajú zopár vecí, ktoré za to stoja.	Yet if allowed to, she can appreciate that her parents once faced the same problems and may remember a few things worth knowing.	0.513551
Medzitým sa nechajte v časoch neistoty inšpirovať poslednou zvláštnosťou dospievajúceho mozgu, posledným kľúčom k jeho neohrabanosti a neobyčajnej prispôsobivosti.	Meanwhile, in times of doubt, take inspiration in one last distinction of the teen brain—a final key to both its clumsiness and its remarkable adaptability.	0.270677
Hovoríme o dlhodobej plasticite neskoro sa vyvíjajúcich frontálnych oblastí počas toho, ako pomaly dozrievajú.	This is the prolonged plasticity of those late-developing frontal areas as they slowly mature.	0.241463
Ako sme už predtým spomínali, tieto oblasti ukladajú tukovú myelínovú izoláciu (bielu hmotu mozgu), ktorá urýchľuje prenos ako posledné.	As noted earlier, these areas are the last to lay down the fatty myelin insulation—the brain's white matter—that speeds transmission.	0.289565
Na prvý pohľad sa to javí ako zlá správa.	And at first glance this seems like bad news:	0.264706
Tieto oblasti potrebujeme na splnenie našej misie, vstupu do sveta. ~~~ Prečo teda nebežia na plné obrátky, keď sú problémy najskľučujúcejšie?	If we need these areas for the complex task of entering the world, why aren't they running at full speed when the challenges are most daunting?	-0.00378151
Odpoveďou je, že rýchlosť prichádza na úkor flexibility.	The answer is that speed comes at the price of flexibility.	0.633333
Počas toho, ako myelínový obal výrazne zrýchli šírku pásma axónu, potlačí tiež rast nových vetiev z axónu.	While a myelin coating greatly accelerates an axon's bandwidth, it also inhibits the growth of new branches from the axon.	0.257143
Podľa Douglasa Fieldsa, neurovedca z Národného inštitútu zdravia, ktorý strávil roky študovaním myelínu, je toto obdobie, kedy oblasť mozgu ukladá myelín, akýmsi rozhodujúcim obdobím pre učenie. ~~~ Spojenia sa zdokonaľujú, ale akonáhle je proces ukončený, je ťažšie niečo zmeniť.	According to Douglas Fields, an NIH neuroscientist who has spent years studying myelin, This makes the period when a brain area lays down myelin a sort of crucial period of learning—the wiring is getting upgraded, but once that's done, it's harder to change.	-0.0172811
Priehradka, v ktorej môže skúsenosť najlepšie opätovne prepojiť tieto spojenia, je vysoko špecifická pre každú oblasť mozgu.	The window in which experience can best rewire those connections is highly specific to each brain area.	0.228409
Rečové centrá mozgu teda nadobúdajú väčšinu svojej izolácie počas prvých 13-tich rokov, keď sa dieťa učí jazyk.	Thus the brain's language centers acquire their insulation most heavily in the first 13 years, when a child is learning language.	0.25625
Dokončená izolácia tieto vedomosti upevňuje, ale získavanie ďalších, ako napríklad druhého jazyka, výrazne sťažuje.	The completed insulation consolidates those gains—but makes further gains, such as second languages, far harder to come by.	0.28835
Takto je to teda s myelinizáciou predného mozgu v neskorých tínedžerských a skorých dvadsiatych rokoch.	So it is with the forebrain's myelination during the late teens and early 20s.	0.190909
Toto oneskorené dokončenie, resp. zadržiavanie pripravenosti, zvyšuje flexibilitu presne vtedy, keď stojíme pred dverami do sveta, ktorému budeme čeliť v dospelosti.	This delayed completion—a withholding of readiness—heightens flexibility just as we confront and enter the world that we will face as adults.	0.240984
Táto dlhá a pomalá vývojová vlna postupujúca odzadu dopredu, ukončená až okolo 25. -teho roku života, sa javí byť výlučne ľudskou adaptáciou.	This long, slow, back-to-front developmental wave, completed only in the mid-20s, appears to be a uniquely human adaptation.	0.421784
Je možné, že je jednou z našich najdôležitejších.	It may be one of our most consequential.	0.220588
V niektorých pasážach svojich spisov Juliana spomína, že je nevzdelaná a negramotná.	In her writings, Julian mentions in several passages that she is ignorant and illiterate.	0.287838
Tieto výroky o jej nevzdelanosti spôsobili medzi učencami zmätok:	These statements about her ignorance have given much puzzlement to the scholars:	0.237931
Ale nedajbože, aby ste mi hovorili alebo sa nazdávali, že som učiteľka, nikdy to nebolo mojím zámerom - som žena, nevzdelaná, slabá a krehká.	But God forbid that you should say or assume that I am a teacher, for that is not and never was my intention; for I am a woman, ignorant, weak and frail.	0.409916
Ale veľmi dobre viem, že to čo hovorím, mám zo zjavenia toho, kto je najvyšším učiteľom.	But I know very well that what I am saying I have received by the revelation of him who is the sovereign teacher.	0.227027
Jednoduché a nevzdelané stvorenie bolo svedkom zjavenia.	This revelation was made to a simple, unlettered creature.	0.675
Ak bezpodmienečne uveríme Julianino tvrdenie o jej nevzdelanosti, môžeme predpokladať, že ako negramotná diktovala svoje dielo pisárovi. ~~~ V stredoveku to bolo bežným zvykom.	If we take Julian’s protestation of ignorance at face value, we can assume that, being unable to read or write, she dictated her book to a scribe, which was a common practice in the Middle Ages.	-0.00686275
Ale rovnako môžeme predpokladať, že týmito výrokmi sa snaží len zdôrazniť, že videnia zo Zjavení nepochádzajú z jej vlastného teologického vzdelania, ale majú úplne nadprirodzený charakter, alebo, že ona prosto používala len rétorické prostriedky, ktoré si vyžadujú zhovievavosť čitateľov.	But we can equally assume that with these statements she is only trying to emphasize that the revelations received have no origin from her own wit or theological education, but possess an entirely supernatural character, or that she is simply applying a rhetorical device that appeals for benevolence from the readers.	0.279762
Ďalšou hypotézou je, že aj ona sama opakuje slová sv. Pavla o nadradenosti lásky, ktorá prekonáva všetky znalosti a vedu: A keby som mal dar proroctva a poznal všetky tajomstvá a všetku vedu a keby som mal takú silnú vieru, že by som vrchy prenášal, a lásky by som nemal, ničím by som nebol (1Kor 13, 2).	Another hypothesis is that she is just echoing the words of St. Paul about the primacy of love, which surpasses all knowledge and science: And though I have the power of prophecy, to penetrate all mysteries and knowledge, and though I have all the faith necessary to move mountains – if I am without love, I am nothing” (1 Cor 13, 2).	0.373328
V skutočnosti nám Juliana hovorí o sebe to isté, keď vraví, že nie som dobrým človekom kvôli zjaveniu, ale skrze neho milujem Boha ešte viac.	In fact, Julian tells us the same about herself in clear terms: I am not good because of the revelation, but only if I love God better”.	0.281081
Juliana sa nechce prezentovať ako učiteľka ale skôr ako pútnička, ktorá túži po tom, aby sa podelila s ostatnými so všetkým, čo videla v cudzine.	Julian does not want to present herself as a teacher, but rather as a pilgrim who comes back home, eager to share with others what she has seen in a foreign land.	0.27541
A napriek tomu si len ťažko vieme predstaviť, že nemá vôbec žiadne vzdelanie.	And yet, we can hardly imagine she had no education at all.	0.195918
Hoci jej literárny štýl je veľmi elegantný a jednoduchý, niektoré vyjadrenia tajomstiev Boha, stručné vety, použitie prirovnaní a rýmov odhaľujú výnimočné rétorické umenie.	Though her literary style is very simple and neat, some of the formulations of the deepest mysteries of God in small, succinct phrases, her use of simile and rhyme, reveal extraordinary rhetorical art.	0.262252
V anglickej literatúre si z literárneho hľadiska jej kniha zaslúži výnimočné postavenie spolu s jej súčasníkom Geoffreym Chaucerom.	From a literary point of view, her book merits a pioneering position in English Literature along with Geoffrey Chaucer, who was her contemporary.	0.276522
V skutočnosti bola Juliana prvou ženou, ktorá napísala knihu v angličtine.	In fact, she was the first woman to write a book in the English language.	0.275
Jej štýl písania sa podobá štýlu kníh Starého zákona alebo rétoriky cirkevných otcov.	But her writing has also a certain resemblance to the style of the Old Testament Wisdom Literature or to the rhetoric of the Church Fathers.	0.125676
To platí najmä o niektorých protikladných tvrdeniach, keď uvádza, napríklad: Aby sme nespadli Bohu do oka, a aby sme nestáli vo vlastnom výhľade alebo Lebo Boh vidí jedným spôsobom a človek vidí iným.	This is especially true of some antithetic affirmations when she writes, for example: For we do not fall in the sight of God, and we do not stand in our own sight”; or: For God sees in one way and man sees in another way”.	0.370484
Okrem toho jej Zjavenia odzrkadľujú hlbokú znalosť Vulgáty, latinského prekladu Biblie a ďalších duchovných spisov západnej teologickej a mníšskej tradície.	Besides, her Showings exhibit a profound familiarity with the Latin Vulgate Bible and with a wide range of other spiritual writings of the western theological and monastic tradition.	0.546584
Najpôsobivejšia je predovšetkým jej znalosť Svätého Písma. ~~~ Prepojenie textov je na takej úrovni, že rozdiel medzi citáciami a jej slovami prakticky nie je viditeľný.	In particular, her knowledge of the Sacred Scripture is most impressive: she incorporates it so well in her text that there is virtually no distinction between quotation and her own words.	-0.0144828
Môžeme predpokladať, že svoje vzdelanie získala vstupom do rehole.	It is possible to assume that she entered a religious order where she gained her academic training.	0.172881
V 14. storočí to bola prakticky pre dievča či ženu takmer jediná možnosť.	This was, in fact, almost the only possibility for a girl or a woman of the fourteenth century to acquire education.	0.344931
Keby bola laičkou, s najväčšou pravdepodobnosťou by k výučbe nemala žiadny vzťah.	If she had been a laywoman, most probably she would have had no access whatsoever to instruction.	0.253521
Podľa niektorých učencov patrila Juliana k ženskému náboženskému združeniu Bekyniam.	According to some scholars Julian belonged to a community of Beguines.	0.22623
V skutočnostit žili Bekyne v Norwichi a vlastnili tam najmenej tri domy, ktoré boli spojené s kostolom sv. Vavrinca, sv. Smithina a sv. Petra Hungatea.	In fact, the Beguines lived in Norwich and possessed at least three houses there which were attached to the churches of St. Lawrence, St. Smithin and St. Peter Hungate.	0.269531
Podľa istého historického faktu v čase, kedy žila Juliana, neboli v Norwichi žiadne Bekyne.	But there is a historical fact that speaks against the association of Julian with this religious community: there were no Beguines in Norwich at Julian’s time yet.	0.0759494
Avšak niektoré činitele naznačujú, že existuje isté prepojenie s benediktínmi, ktorí vlastnili dom pre mníšky v dedine Carrow, bývalom benediktínskom prepošstve v Brancodalei na severovýchode Norwichu.	However, there are some factors that indicate her connections with the Benedictines who had a house for nuns at Carrow, outside Norwich city walls.	0.2952
Opátstvo Carrow bolo jedno z najznámejších kláštorov v Anglicku. V tom období to bola internátna škola pre dievčatá a chlapcov.	Carrow Abbey, one of the most famous nunneries of England, in Julian’s time had a boarding school for girls and boys.	0.552041
Nemôžeme s istotou tvrdiť, že Juliana ešte ako dievča navštevovala túto školu a následne sa stala mníškou. ~~~ V Zjaveniach je ale významná pasáž, kde jej Pán pripomína služby v mladosti. Práve to môže byť narážka na zasvätenie jej života mníšskemu rádu:	We cannot be sure if Julian frequented this school as a girl and subsequently became a nun there, but there is a significant passage in the Showings where the Lord reminds her of the service in her youth, which might be an allusion to the consecrated life in a religious order:	0.0494366
Ďakujem vám za prácu a služby v mladosti.	I thank you for your service and your labour in your youth”.	0.171429
Okrem toho malo opátstvo výhody z Kostola sv. Juliána.	Besides, the Abbey held the benefice of St. Julian’s Church.	0.268085
Francis Blomfield nám zanechal ešte jednu vzácnu informáciu o Opátstve Carrow v Norwichi:	Francis Blomfield leaves us another precious piece of information regarding Carrow Abbey of Norwich:	0.904396
Tento kláštor bol po mnohé roky školou a miestom vzdelávania dievčat z vyššie postavených rodín v diecéze, ktoré vychovávali mníšky.	This nunnery for many years had been a school or place of education for the young ladies of the chief families of the diocese, who boarded with and were educated by the nuns.	0.366541
Je tu aj ďalší dôkaz, ktorý potvrdzuje predchádzajúce domnienky.	There is also other evidence that points in this direction.	0.264706
Benediktíni začínali konverzáciu so slovami Velebte Pána a Juliana ich vo svojej knihe mnohokrát používa.	It used to be a custom among the Benedictines to initiate conversation with the words Benedicite Dominus”, and Julian uses this several times in her book.	0.363587
Navyše titul Matka Juliana jej dala benediktínska mníška Margery Kempeová.	Moreover, the title Dame Julian”, given to her by Margery, is that of a Benedictine nun.	0.263636
Napokon Julianine rukopisy sa zachránili pred skazou v benediktínskych a brigitínskych kláštoroch.	Finally, her manuscripts were preserved from destruction by Benedictine and Brigittine convents.	0.293023
Všetky tieto skutočnosti naznačujú jej vzťah k benediktínom, k miestu, kde získala svoje vzdelanie a napísala aj svoje dielo.	All this indicates in favour of her relation to the Benedictine family where she might have received her formation and education.	0.294444
Boh je Ten, ktorý preberá iniciatívu, ale človek musí reagovať.	It is God who takes the initiative, but the human creature must respond.	0.267273
Nadprirodzené zjavenia v skutočnosti nie sú len obyčajné prepisy mystickej skúsenosti, ktoré by spravili z jasnovidcov len pasívny nástroj v Božích rukách.	In fact, supernatural revelations are not mere transcriptions of the mystical experience that would make the visionary a merely passive instrument in the hands of God.	0.282222
Julianina aktivita a osobná angažovanosť sa odzrkadľujú počas celého jej písania.	Julian’s activity and personal commitment can be seen throughout her writing.	0.282353
Nielenže aktívne premýšľa o tom, čo vidí a počuje, ale každú chvíľu sa pýta a vyjadruje svoje pochybnosti. ~~~ Dokonca sa s Pánom háda o zmysle Jeho slov, keď sa jej zdajú byť v rozpore s Písmom a učením Cirkvi.	She not only ponders actively on what she sees and hears, but every now and then she asks questions, expresses her doubts and even ventures to wrangle with the Lord over the meaning of his words when they seem to be in apparent contradiction with Scripture and Church teaching.	-0.0505814
Kniha Zjavenia je preto tiež plodom osobnej reflexie, modlitby a odriekania Matky Juliany.	Therefore, the book of the Showings is also the fruit of the personal reflection, prayer and asceticism of Mother Julian.	0.208861
Svoje posolstvo nám odovzdala v dvoch vydaniach:	It is handed down to us in two versions.	0.209091
Krátke vydanie bolo napísané pravdepodobne onedlho po Zjaveniach a Dlhé vydanie napísané asi o 20 rokov neskôr, teda v roku 1393.	There is a Short Text probably written very soon after the revelations, and a Long Text written around twenty years later, in 1393, after she had pondered on their meaning.	0.343636
Intenzita zjavení zažitých v krátkom čase je porovnateľná s intenzitou balíčka milostí, vyžadujúc veľa času na odhalenie jej významu.	The density of her revelations, which took place within such a short time, makes her visions comparable to a dense package of grace that requires a lot of time to unravel in order to penetrate fully into its meaning.	0.137069
Ani po uplynutí toľkých rokov však nedokázala zabudnúť na to, čo videla. ~~~ Po zjaveniach nasledovali vnútorné usmernenia, ktoré dostávala od Pána takmer 20 rokov.	The span of so many years did not erase what she saw, for the visions were followed by further inward instructions” that she received from the Lord for almost twenty years.	-0.00321429
Medzi oboma verziami existujú významné rozdiely.	There are some noteworthy differences between the two versions.	0.218182
Napríklad Krátke vydanie neobsahuje žiadnu zmienku o slávnej alegórii Pána a služobníka v kapitole 51, ani materského alegorického vyobrazenia Boha, ktorá poukazuje, že Dlhé vydanie je tiež plodom jej hlbokých meditácií.	For example, the short version does not contain any mention of the famous allegory of the Lord and the servant in Chapter 51, nor of her maternal image of God based on the allegory, which shows how much the Long Text is also the fruit of her profound meditation on the visions.	0.337205
Jej kniha Zjavenia obsahuje rozsiahlu škálu skúseností a hlbokých myšlienok. ~~~ Práve týmto nadobúda dogmatický charakter, čo je viditeľné v druhej časti.	Her book of revelations, after its experiential and contemplative level, acquires a doctrinal dimension, as we shall see in the second part.	0.0216578
Juliana sa vo svojich Zjaveniach dotýka zásadných otázok dogmatickej teológie, konkrétne Najsvätejšej Trojice, stvorenia, hriechu, vtelenia, vykúpenia, cirkvi, Eucharistii, Panne Márii a eschatológie.	In her revelations Julian touches on profound issues of dogmatic theology: the Holy Trinity, creation, sin, incarnation, redemption, Church, Eucharist, the Virgin Mary and eschatology.	0.26646
Avšak zameriava sa hlavne na tajomstvo nekonečnej Božej lásky k stvoreniam, ktoré demonštruje krvavým umučením Ježiša Krista.	Her primary focus, however, is on the mystery of the infinite love of God for his creatures, manifested through the Passion of Jesus Christ.	0.278182
Predstavuje to prizmu, cez ktorú sa pozerá na všetky ostatné záhady.	This constitutes a prism through which she views all other mysteries.	0.294915
V skutočnosti predstavuje Božia láska základné zjavenie, ktoré je vysvetlené v šestnástich zjaveniach.	In fact, God’s love represents the fundamental revelation which is expounded in sixteen showings.	0.278824
V úvode Dlhého vydania Juliana charakterizuje svoje zjavenia takto:	This is how Julian characterizes her showings in the introduction to the Long Text:	0.245
Toto je zjavenie lásky, ktorú Ježiš Kristus, naše nekonečné šťastie, predstavil v šestnástich zjaveniach, z ktorých prvé je jeho ukrižovanie, všetky nasledujúce zjavenia sú prepojené.	This is a revelation of love which Jesus Christ, our endless bliss, made in sixteen showings, of which the first is about his precious crowning of thorns… in which all the revelations which follow are founded and connected.	0.249375
Svoje dielo nikdy nepomenovala, ale názov Zjavenia lásky bol pravdepodobne vhodný, lebo dostatočne vyjadroval podstatu jej vízií.	Julian never gave her book a title, but a revelation of love” could make up for one, as it expresses adequately the essence of her visions.	0.297368
Na konci Dlhého vydania Juliana prosí Pána o vysvetlenie zmyslu zjavení a dostáva takúto odpoveď:	At the end of the Long Text, as Julian asks for the meaning of all these showings she receives this answer form the Lord:	0.246429
Chcela by si vedieť, čo mal na mysli Pán a aký je význam tohto zjavenia?	What, do you wish to know your Lord’s meaning in this thing?	0.246
Vedz teda: Pán ti chcel prejaviť lásku.	Know it well, love was his meaning.	0.26
Kto ti to zjavuje?	Who reveals it to you?	0.84375
Láska.	Love.	0.25
Čo ti zjavil?	What did he reveal to you?	0.05
Lásku.	Love.	0.25
Prečo ti to zjavuje?	Why does he reveal it to you?	0.8
Pre lásku.	For love…	0.266667
Tak som sa naučila, že náš Pán je láska.	So I was taught that love is our Lord’s meaning (LT 342).	0.172727
Juliana spätne sumarizuje svoje zjavenia jednoducho ako lekcie lásky:	In retrospect, Julian summarizes her revelations simply as a lesson of love:	0.280645
Všetky tieto zjavenia nášho vľúdneho Pána sú lekcie lásky, láskavé utešovania a povzbudzovania našej duše.	All this familiar revelation of our courteous Lord is a lesson of love, and a sweet, gracious teaching from himself, in comforting of our soul.	0.400403
Hoci sa Juliana zamýšľa nad najhlbšími teologickými záhadami, robí to s takou jednoduchosťou a jasnosťou, že jej rukopis slúži ako návod nielen pre vybranú elitnú spoločnosť, ale aj pre veriacich hľadajúcich Boha.	Though Julian ponders on the deepest mysteries of theology, she does it with so much simplicity and clarity of expression, that her writing becomes accessible not only to an elite of some sophisticated thinkers, but to all her fellow Christians who are in search of God.	0.320417
Práve preto nepíše v latinčine, ale stredovekým dialektom norwichskej angličtiny. ~~~ Tým však riskovala, že ju budú spájať s náboženským hnutím lolardov reformujúcich katolícku cirkev. ~~~ Ich knihy sa totiž dostali pod cenzúru arcibiskupa Arundela.	This is one of the reasons why she writes not in Latin, but in the Middle English dialect of Norwich, even though, in this way, she ran the risk of being associated with the Lollard movement whose books came under the censorship of Archbishop Arundel.	-0.129193
Napriek tomu z jej svedectva vidíme, že Pána milovala jedinečným a čistým spôsobom. ~~~ Nie kvôli víziám, milodarom alebo darom, ktoré od Neho dostala, ale preto, že si to zaslúžila.	Yet, from her personal testimony, we see that she did love the Lord in a very unique and pure way, that is to say, not because of the visions, graces or gifts she received from him, but because he deserves it.	0.0715686
V konečnom dôsledku sa Julianino učenie javí výnimočným aj z iného aspektu.	Finally, Julian’s work appears so exceptional for one more aspect.	0.263793
Predstavuje mozaiku, ktorú len zriedkakedy nájdeme tak rozumne vyváženú v teologických i duchovných dielach iných autorov.	It represents an integration of various elements that we rarely find so finely balanced in theological and spiritual works of other authors.	0.266667
Jej metóda a učenie zjednocuje mystické a ľudské, bežné a výnimočné vedomosti a duchovnosť, filozofiu a teológiu, poéziu a dogmatickú reč.	In her method and teaching she unifies the mystical and the human, the ordinary and the extraordinary, knowledge and spirituality, philosophy and theology, poetry and dogmatic speech.	0.201681
Z tejto štrukturálnej jednoty a rovnováhy vyplýva ďalšia zvláštnosť Zjavení:	Out of this structural unity and equilibrium follows another particularity of the Showings:	0.247059
striedanie telesných a duchovných vízií v spojení s miestom, ktoré ona vníma na duši.	the alternation of bodily and spiritual visions in connection with locutions that she perceives in her soul.	0.217808
Ona sama to vysvetľuje nasledovne: Toto všetko sa preukázalo v troch častiach. ~~~ To znamená telesnou víziou, slovami vytvorenými v mojom chápaní a duchovnými víziami.	She herself comments on it all saying: All this was shown in three parts, that is to say, by bodily vision and by words formed in my understanding and by spiritual vision”.	-0.00211268
Na harmonické začlenenie intelektu, modlitby a mystického zážitku Zjavení uvádza Juliana vynikajúci príklad. ~~~ Na rozdiel od teórie vzniknutej pri stole ho označil významný švajčiarsky rímskokatolícky teológ H. U. von Balthasar za teológiu kľačania a teológiu v modlitbe, ktoré opisoval vo svojom slávnom vyhlásení o vzťahu medzi teológiou a svätosťou.	The harmonious integration of intellect, prayer and mystical experience in the Showings renders Julian an excellent example of what H. U. von Balthasar, in his famous statement on the relationship between theology and sanctity, labelled as a kneeling theology”, a theology at prayer”, in contrast to a theology done at the desk.	0.151253
Julianu môžeme zaradiť k tradícií svätých teológov - od čias cirkevných otcov až po stredovek, ktorí nevideli rozdiel medzi teológiou a svätosťou, učením a uctievaním. ~~~ Krátke a Dlhé vydanie nedisponuje nijakými originálmi.	Julian can be classified as a member of the long tradition of holy theologians – from the time of the Church Fathers up to the Middle Ages – who knew no separation between theology and sanctity, study and adoration.	0.0442092
Dnes je však k dispozícii veľa modernizovaných verzií Julianiných Zjavení.	There are no originals either of the Short Text or of the Long Text.	0.246429
Tie sú známe od roku 1670 po tom, ako anglický benediktín Serenus Cressy zverejnil Dlhé vydanie.	Whereas today there is available a great number of modernized versions of the revelations, Julian’s Showings became known to the public only after the English Benedictine Serenus Cressy published the Long Text in 1670.	0.272453
Do polovice 17. storočia existovalo len zopár zachovaných kópií jej spisov.	Until the mid-17th century there existed only a few surviving copies of her writings.	0.268182
Dôvodom je možno fakt, že rukopisy a knihy boli počas prenasledovania kresťanov v časoch reformácie zničené.	The possible reason for this lack is to be found in the destruction of manuscripts and printed books during the persecution of Catholics in the time of the Reformation.	0.15
Všetky zo zachovaných Julianiných rukopisov, až na výnimku rukopisu Amherst, sa našli mimo Anglicka.	Of the surviving Julian’s manuscripts, all but one, the so-called Amherst Manuscript, were discovered outside England.	0.245455
Z Krátkeho vydania je významný hlavne rukopis Amherst 37790, ktorý je uložený v Britskej knižnici.	Of the Short Text the significant Amherst Manuscript Additional 37790 is preserved in the British Library.	0.462794
Úvod, ktorý napísal Julianin pisár, odkazuje na rok 1413 po Kristovi a tvrdí, že Juliana bola ešte stále nažive.	The introduction, written by Julian’s scribe, refers to A. D. 1413”, and states that Julian was still alive.	0.290217
To však nemusí hneď znamenať, že Krátke vydanie Zjavení bolo napísané v roku 1413.	It does not necessarily imply that the Short Text of the Showings was written in 1413.	0.491429
Možno, že tento postreh je len poznámkou redaktora k už predtým existujúcemu textu, pričom samotný rukopis je len kópiou neskoršieho dáta.	Maybe, this observation is an editorial addition to an earlier text, whereas the manuscript itself is only a copy of posterior date.	0.28125
