Obojok by mal byť povolený a pod ním má visieť knísavá protiváha.	The collar should hang loose, with a dangling counterweight below.	0.556364
Keď sme sa vracali späť k nášmu autu, pomyslel som si:	As we withdraw, circling back toward our vehicle, I think:	0.266667
Takto sa to robí.	So that's how it's done.	0.18
S troškou opatrnosti a rešpektu si zisti, čo potrebuješ a potom sa vzdiaľ.	Show a little caution, a little respect, get the information you need, back off.	0.704762
Všetci sú spokojní.	And everybody is happy.	0.25
Po štyridsiatich rokoch pozná Douglas-Hamilton tento druh tak dobre ako každý v Afrike.	After four decades Douglas-Hamilton knows this species about as well as anyone in Africa.	0.510338
Výskumami v teréne si vyslúžil veľký zmysel pre osobnosti zvierat, ktorý ďalej cibril láskou. ~~~ Pozná ich prchké nálady, nepatrné signály, škálu temperamentov a pudov.	He has a keen sense, well earned by field study and sharpened by love, of the individuality of the animals—their volatile moods, their subtle signals, their range of personalities and impulses.	-0.0196552
Podľa tejto jeho komunikácie s Annou by som nikdy nepovedal, že o pár týždňov uvidím, ako ho napadne, schmatne, pohádže a takmer do brucha bodne práve slon.	Nothing about his interaction with Anne has prepared me for the moment, some weeks later, when I'll watch him charged, caught, thrown, and nearly tusked through the gut by an elephant.	0.352181
Čoskoro sme opäť vo vzduchu na Douglas-Hamiltonovom Cessna lietadle a letíme nízko ponad obrysy krajiny.	SOON WE'RE ALOFT again in Douglas-Hamilton's Cessna, flying low over the contours of the landscape.	0.282558
Nízky prelet je spôsob, ktorý uprednostňuje. ~~~ Veď načo letieť vo výške tristo metrov, keď môžete pohladiť reliéf?	It's his preferred style, flying low; why go up a thousand feet when you can caress the topography?	-0.0289157
Tak sme sa vzniesli, jemne poklesli nad skalnaté svahy, hrebene, suché agátové roviny a piesočnaté rieky, a vraciame sa na severovýchod k Národnej rezervácii Samburu.	So we rise and descend gently over the rocky slopes, the ridges, the dry acacia plains, the sand rivers, returning northeast toward a place called Samburu National Reserve.	0.409091
Hneď za rezerváciou sa nachádza štrková pristávacia dráha a neďaleko od nej jeho tábor.	Just beyond the reserve sits a gravel airstrip and, not far from that, his field camp.	0.4875
Doma budeme ešte pred zotmením.	We'll be home before dark.	0.234783
Národná rezervácia Samburu je jedným z menej známych klenotov severnej Kene. ~~~ Meno dostala podľa hrdého kmeňa bojovníkov a pastierov, z ktorého, ako aj iní, pochádza David Daballen. ~~~ Rezervácia je pomerne malá.	Samburu National Reserve is one of the little known jewels of northern Kenya, taking its name from the proud tribe of warriors and pastoralists in which David Daballen, among others, has his roots.	-0.046909
Rozprestiera sa iba na 170 kilometroch štvorcových polosuchej savany, drsného terénu vysočín, suchých naplavenín (miestne známych ako lugga), pobrežných agátových lesov a pálm Hyphaene Thebaica, ktoré sa tiahnu popri severnom brehu rieky Ewaso Ngiro.	The reserve is a relatively small area, just 65 square miles of semiarid savanna, rough highlands, dry washes (known locally as luggas), and riparian forests of acacia and doom palm along the north bank of the Ewaso Ngiro River.	0.42902
Keďže sa tam nenachádzajú vydláždené cesty a samburskí pastieri tam chodia len zriedka, zverou sa to tam len tak hemží.	Lacking paved roads, sparsely surrounded by Samburu herders, it teems with wildlife.	0.190541
Žijú tam levy, leopardy, samozrejme gepardy, ale aj zebra Grévyho, mriežkované žirafy, antilopa beisa oryx, gazela gerenuk, pštros dvojprstý somálsky a drop kori.	There are lions, leopards, and cheetahs, of course, but also Grevy's zebras, reticulated giraffes, beisa oryx, gerenuks, Somali ostriches and kori bustards.	0.54984
Prevládajúcimi zvieratami sú však slony.	But the dominant creatures are the elephants.	0.275676
Tie zohrávajú dôležitú úlohu v tvarovaní ekosystému - olupujú kôru zo stromov, alebo klčujú rovno celé stromy, čím udržujú priestor savany otvorený.	They play a major role in shaping the ecosystem itself—stripping bark from trees or uprooting them, keeping the savanna open.	0.241121
Dokážu zastrašiť dokonca aj levy.	They intimidate even the lions.	0.278571
Do rezervácie prichádzajú a odchádzajú väčšinou za účelom útočišťa pred nebezpečenstvom, ktoré im hrozí od ľudí v priestrannejšej a rôznorodejšej krajine.	They come and go across the boundaries of the reserve, using it as a safe haven from human-related dangers in a much larger and more ambivalent landscape.	0.558774
Priestrannejšia krajina zahŕňa celú oblasť Samburu (v ktorej rezervácia leží) a časti ďalších troch oblastí, z ktorých je najznačnejšia Laikipia. ~~~ Je to oblasť vyvýšenej mozaiky súkromných rančov, útočísk, chránených území, pšeničných polí, ohrád, horských svahov, riečnych údolí a ciest. ~~~ Na jej juhu sa nachádzajú aj takzvané shamby (malé rodinné farmy).	The larger landscape includes all of Samburu District (within which the reserve lies) and parts of three other districts, most notably Laikipia, a high-elevation patchwork of private ranches and sanctuaries, community conservation areas, wheat fields, fences, mountain slopes, stream valleys, roads, and shambas (small family farms) just to the south.	-0.025
V Laikipii sú zóny divokej zveri, rastlinnej produkcie, chovu dobytka a osídlenia rozložené ako rozsypaná škatuľa farebných kúskov mozaiky.	In Laikipia, zones of wildlife habitat, crop production, cattle husbandry, and human habitation are juxtaposed like a spilled box of multicolored mosaic tiles.	0.410656
Naopak, v Samburu sú shamby zriedkavejšie a sotva nájdete nejaké ploty.	Samburu, by contrast, has fewer shambas and scarcely any fences.	0.267857
Samburčania, ktorí hovoria jazykom Maa, neprejavili veľký záujem o zanechanie svojho tradičného spôsobu života, akým je chov kôz a dobytka, obliekanie sa do kostýmov z červených diek shuka, jagavých korálok, pierok (najmä mladí muži) a nájazdy proti starovekým nepriateľom v prospech moderných, zbabelých praktík, ako napríklad pestovanie plodín.	The Samburu people, who speak a dialect of the Maa language, have shown little inclination to surrender their traditional ways—tending goats and cattle, costuming themselves resplendently (especially the young men) in beads and feathers and red shukas (blankets), exchanging raids against their ancient enemies—in favor of modern, pusillanimous practices such as growing crops.	0.335224
Ich konzervatívnosť, nedostatok dobrej pôdy, vody a zvýšenie povedomia hospodárskeho prínosu turizmu ušetrili kraj Samburu od intenzívneho prerábania pôdy, ktoré môžeme vidieť v oblastiach Laikipii.	Their traditionalism, along with a shortage of good soils and water and a growing awareness of the economic benefits of tourism, has so far spared Samburu District from the sort of intensive land conversion seen in parts of Laikipia.	0.494769
Kombinovaný ekosystém Samburu-Laikipia pokrýva zhruba 28 500 kilometrov štvorcových. ~~~ Žije v nej asi 5 400 slonov, čo je najväčší počet jedincov slona afrického žijúceho prevažne mimo všetkých chránených území v Keni.	The combined Samburu-Laikipia ecosystem comprises roughly 11,000 square miles, and within it live about 5,400 elephants—the largest population of Loxodonta Africana existing mainly outside protected areas anywhere in Kenya.	-0.00555556
Veľkosť jeho populácie a jej momentálny rast (možno až niekoľko percent za rok) odrážajú skutočnosť, že Samburu-Laikipia je pre slony výnosná, pohostinná krajina. ~~~ Použiteľné sú však i ďalšie dve prídavné mená: znervózňujúca a zložitá.	That population size and its current growth (at perhaps several percent a year) reflect the fact that Samburu-Laikipia is a productive, hospitable landscape for elephants, but two other adjectives are also applicable: edgy and complicated.	0.123529
Vo vnútri mozaiky zloženej zo zmiešaných využití a zmien podmienok sezón hrozia slonom určité riziká.	Within the mosaic of mixed uses and shifting seasonal conditions, elephants face certain risks.	0.281928
Rovnako aj ľuďom.	So do people.	0.2
Vznikajú rozpory, ktoré občas končia poničením úrody útočnými slonmi, zabitím kráv, zastrelením slona či podupaním a prebodnutím človeka.	Conflicts occur, resulting occasionally in a crop devastated by raiding elephants, or a cow killed, or an elephant shot, or a person trampled and tusked.	0.435581
Keďže ľudská populácia v Keni taktiež rastie o viac než 2 % ročne, potenciál týchto konfliktov sa môže iba zvýšiť.	And with Kenya's human population also growing by more than 2 percent annually, the potential for such conflicts can only increase.	1.82143
Bude sa musieť rozhodnúť o tom, čo by malo byť pod ochranou (Priestor pohybu slonov? Kukuričné polia? Práva ľudí na zakladanie nových fariem? ) a čo musíme obetovať.	Decisions will be made about what should be protected (Elephant travel corridors? Cornfields? The right of people to continue establishing new farms?) and what must be sacrificed.	0.267626
Nie je to presne ten istý vedecký program, s ktorým rozbiehal svoju kariéru, ale nesie sa v rovnakom duchu.	It's not precisely the same research agenda with which he began his career, but it's in the same spirit.	0.289655
Priviedol ho k nemu reliéf krajiny.	It's where the contours of the landscape have led him.	0.154839
Keby ste sa ma opýtali ako desaťročného, že čo chcem robiť, hovorí Douglas-Hamilton, povedal by som, že chcem lietadlo. ~~~ Lietať po Afrike a zachraňovať zvieratá.	IF YOU HAD ASKED ME, when I was ten years old, what I wanted to do, Douglas-Hamilton says, I'd have said: I want to have an airplane; I want to fly around Africa and save the animals.	-0.00971223
Letectvo je súčasťou jeho pôvodu.	Aviation was part of his lineage.	0.289655
Jeho otec Lord David Douglas-Hamilton velil vo flotile Spitfire počas Bitky o Maltu. ~~~ Zomrel neskôr v 2. svetovej vojne na výzvednej misii. ~~~ Aj jeho traja strýkovia boli uznávaní letci pre Kráľovské vzdušné sily Veľkej Británie (Royal Air Force- RAF).	His father, Lord David Douglas-Hamilton, had commanded a Spitfire squadron in the Battle of Malta and then died on a reconnaissance mission later in World War II; his three uncles had also been distinguished Royal Air Force (RAF) fliers.	-0.0596869
Jeden z týchto strýkov sa ešte pred tým stal prvým človekom, ktorý len tak z rozmaru preletel na otvorenom dvojplošníku (bol teplo oblečený) ponad vrchol Mount Everestu.	One of those uncles had earlier become the first man to pilot an open-cockpit biplane (he was dressed warmly) over the summit of Mount Everest, just for the sheer glorious hell of doing it.	0.38006
Po vojne sa Iainova mama opäť vydala. ~~~ Bol to láskavý muž, ktorý Iainovi čítal príbehy o Afrike a zobral rodinu bývať do Kapského mesta, avšak potom náhle umrel.	After the war Iain's mother was remarried, to a kindly man who read Iain stories about Africa and who took the family to live in Cape Town, then died abruptly himself.	0.0853928
Keď mal Iain 13 rokov, vrátil sa späť do Británie na škótsku internátnu školu, kde začal snívať o úniku.	At age 13, Iain found himself back in Britain at a Scottish boarding school, nurturing dreams of a getaway.	0.439655
Ako študent prvého stupňa vysokej školy na Oxforde sa rozhodol ísť v stopách otca a strýkov a chcel sa pridať k Dobrovoľným rezervám RAF, ale kvôli zlému zraku ho prehlásili za nespôsobilého.	As an undergraduate at Oxford, he would have joined the RAF Volunteer Reserve, following the path of his father and uncles, but poor vision disqualified him.	0.236842
Našťastie, na zoológiu nepotreboval plný počet zo zrakových testov.	Zoology, fortunately, didn't require 20/20 eyesight.	0.225
Veda bola pre mňa bránou k divočine, hovorí Douglas-Hamilton, nie naopak.	Science for me was a passport to the bush, he says, not the other way around.	0.295238
Stal som sa vedcom preto, aby som mohol žiť v Afrike a pracovať v teréne.	I became a scientist so I could live a life in Africa and be in the bush.	0.477155
Takmer túžobne dodáva, Rád by som bol horárom.	Almost wistfully, he adds, I would've liked to have been a game warden.	0.15
Avšak na začiatku 60. rokov ešte pred nezávislosťou Kene bolo pre mladého Škóta, ktorý nevedel po swahilsky, takéto štátne pracovné postavenie neprípustné.	But for a young Scotsman who spoke no Swahili, in the early 1960s, just before Kenyan independence, such a civil employment position was out.	0.259664
Tak odišiel pracovať do Tanzánie ako dobrovoľný výskumník a neskôr mu bol ponúknutý projekt v malej oblasti Národného parku Lake Manyara.	So he went to Tanzania as a research volunteer and then was offered a project in a small area called Lake Manyara National Park.	0.538765
So zopár drobnými, ktoré mal z predaja dedičstva, si kúpil staré lietadlo Piper Pacer s výkonom 150 koní, ktoré bolo dostatočne rýchle na sledovanie veľkých zvierat. ~~~ Metódou pokusov a omylov sa ním naučil pristávať na núdzových skalnatých letiskách.	With a bit of money from selling some inherited stock, he bought himself an old 150-horsepower Piper Pacer, nimble enough for tracking big animals, and learned by trial and error to land it on rocky airstrips.	0.0212698
Tu v Manyara uskutočnil Douglas-Hamilton svoje prvé skutočné pozorovanie slonej spoločenskej štruktúry a ich priestorového správania (t.j. kam chodia, ako dlho tam ostávajú) použitím rádiovej telemetrie.	There at Manyara, Douglas-Hamilton did the first serious study of elephant social structure and spatial behavior (where they go, how long they stay) using radio telemetry.	0.345805
Vďaka tomu získal na Oxforde doktorát.	It earned him a doctorate at Oxford.	0.270968
Takisto sa stal prvým pozorovateľom slonov, ktorý sa úzko zameriaval na žijúce jedince, nie iba na sklony vývoja v rámci populácie alebo na analýzu uhynutých exemplárov.	He also became the first student of elephants to focus closely on living individuals, not just trends within populations or the analysis of dead specimens.	0.270455
Spoznával slony jeden po druhom, zapisoval si ich jedinečné znaky, dal im mená a pozoroval ich spoločenské interakcie.	He got to know the elephants one by one, noted their individuating traits, gave them names, watched their social interactions.	0.282353
Keď si Douglas-Hamilton všimol odlišné črty jedincov a zovšeobecnené vzory v populácii, začal si klásť otázky o motivácii.	Noticing the distinct traits of individuals and the generalized patterns within a population, Douglas-Hamilton began to wonder about motivations.	0.553525
Čo slony potrebovali?	What did elephants need?	0.27
Čo chceli?	What did they want?	0.09
Ako ich pohyby v krajine odrážali tieto túžby?	How did their movements on the landscape reflect those cravings?	0.18
Aké druhy rozhodnutí robili?	What sort of choices did they make?	0.253846
Oženil sa s talianskou kráskou Oriou Roccovou, ktorá sa narodila v Keni, a zobral ju späť do Tanzánskej divočiny, kde s ním zdieľala život v teréne a vášeň pre slony.	He married a Kenyan-born Italian beauty named Oria Rocco and took her back to the Tanzanian bush, where she shared his field life and his passion for elephants.	0.394493
V roku 1970 spolu napísali najlepšie predávanú knihu Among the Elephants a narodili sa im dve prekrásne dcéry.	Together, during the 1970s, they produced one best-selling book, Among the Elephants, and two luminous daughters.	0.636984
Fotky z toho obdobia nám ukazujú Iaina Douglas-Hamiltona ako chudého, opáleného mladíka so strapatými, slnkom vyťahanými vlasmi a s bifľošskými okuliarmi, oblečeného v šortkách, čižmách, bez košele, občas v terénnej veste. ~~~ Žije si skvelý život medzi priateľskými hrubokožcami, taký mix Tarzana, Clarka Kenta a Doktora Doolittla.	Photos from the time show Iain Douglas- Hamilton as a thin young man with wild, sun-bleached hair and nerdy glasses, wearing bush shorts and boots, sometimes a field vest but no shirt, deeply tanned, living a dashing life in the midst of friendly pachyderms: an amalgam of Tarzan, Clark Kent, and Doctor Doolittle.	0.0337571
Potom koncom 70. a v 80. rokoch nastali pochmúrnejšie časy. Douglas-Hamilton zohrával dôležitú úlohu pri šírení poplachu o ohavnom vyčíňaní - masakre afrických slonov kvôli veľkoobchodu.	Then came the grim years of the late 1970s and '80s, when Douglas-Hamilton played a lead role in raising the alarm against an ugly development—the wholesale slaughter of African elephants.	0.518472
Ale táto novodobá fáza, ktorá bola poháňaná náhle prudkým rastom cien slonoviny a výrobou príšerne efektívnych automatických zbraní, bola na inej úrovni.	But this modern phase, driven by a sudden sharp rise in the price of ivory and made gruesomely efficient by automatic weapons, was on a different scale.	0.416262
Podľa istého hodnotenia prišla Keňa medzi rokmi 1970 a 1977 o viac než polovicu zo všetkých 120 000 slonov.	Between 1970 and 1977, according to one assessment, Kenya lost more than half its 120,000 elephants.	0.462517
Vývoz slonoviny z jedného kontinentu - a to iba legálne vývozy do hlavných trhov bez ohľadu na malé trhy či pašeráctvo- zarobili dokopy dva milióny libier za rok.	Ivory exports from the continent—just the legal exports to major markets, not even considering small markets or smuggling—totaled about two million pounds a year.	0.531176
Podľa váhy klov Douglas-Hamilton vypočítal, že Afrika prišla o viac než 100 000 slonov ročne.	Based on that weight of tusks, Douglas-Hamilton calculated elephant losses throughout Africa at somewhere above 100,000 animals annually.	0.33375
Rozhodol sa s tým niečo spraviť.	He decided to do something.	0.25
S finančnou podporou od mnohých ochranárskych mimovládnych organizácií Douglas-Hamilton uskutočnil veľmi ambiciózny prieskum, ktorým chcel zmerať stav slonej populácie na celom kontinente.	With funding from several conservation NGOs, Douglas-Hamilton organized a hugely ambitious survey to gauge the status of elephant populations throughout the continent.	0.387578
Biológom pracujúcim v teréne, horárom, ochranárom a ďalším dobre informovaným ľuďom rozposlal dotazníky, ktorými zisťoval ich narátané počty alebo najlepšie odhady miestnej a regionálnej populácie a aj on samotný letel na vlastné prieskumy.	He mailed out questionnaires to field biologists, game wardens, conservationists, and other well-informed people, asking for their counts or best estimates of local and regional populations, and he flew surveys himself.	0.27
Z výsledkov, ktoré zozbieral v roku 1979, prišiel k záveru, že v Afrike žilo okolo 1,3 milióna slonov.	From the results, compiled in 1979, he figured that Africa then contained about 1,3 million elephants.	0.645964
Možno to vyzerá ako veľké číslo, no bol v tom háčik - trendová krivka smerovala nadol.	It might seem like a sizable number, but there was a devil in the details; the trend lines pointed down.	0.241667
Douglas-Hamilton z toho vyvodil, že africké slony vymierali neudržateľným tempom, čo dostávalo životaschopnosť ich populácie do nebezpečenstva.	African elephants were dying at an unsustainable rate, Douglas-Hamilton concluded, putting the viability of their populations at risk.	0.441243
Niektorí odborníci v teréne s ním nesúhlasili. ~~~ Tvrdili, že populácia slonov je v poriadku, alebo že Douglas-Hamiltonove údaje neboli spoľahlivé.	Some experts in the field disagreed, arguing that elephant populations were doing just fine, or at least that Douglas-Hamilton's data were unreliable.	-0.00234375
Tieto nezhody trvali naďalej i počas 80. rokov vo forme sporných stretnutí a byrokratických bojov, ktoré sú známe pod názvom Boje o slonovinu.	Those disagreements eventually carried through the 1980s in a series of contentious meetings and bureaucratic battles that became known as the Ivory Wars.	0.395248
Douglas-Hamilton dal v tomto období pozorovanie správania slonov bokom a roky strávil vyšetrovaním stavu sužovanej slonej populácie v Zaire, Južnej Afrike, Gabone a iných miestach, a to tak, že rátal počet zvierat preletom alebo ich amatérsky stopoval na zemi.	Meanwhile Douglas-Hamilton had set aside his behavioral studies and spent years investigating the status of beleaguered elephant populations in Zaire, South Africa, Gabon, and elsewhere, both by overflying to count animals and by amateur sleuthing on the ground.	0.526733
Išiel do Stredoafrickej Republiky, posnoril v každom obchode so slonovinou a keď sa vládca Jean-Bédel Bokassa začal zaujímať o túto návštevu pozorovateľa slonov, rýchlo odišiel.	He went to the Central African Empire, nosed into the ivory trade there, and left quickly when the emperor, Jean-Bédel Bokassa, began to get curious about this visiting elephantologist.	0.407592
Odletel do Ugandy, v ktorej po páde Idiho Amina vládol veľký chaos, a našiel tam rozstrieľané slonie zdochliny, ktoré sa rozkladali po národných parkoch.	He flew into Uganda amid the turmoil after Idi Amin's fall, and saw bullet-riddled elephant carcasses littering the national parks.	0.252212
Boli to ťažké časy.	It was a dreadful time.	0.247059
Touto činnosťou som strávil hrozných 20 rokov, hovorí.	I really spent a terrible 20 years doing that, he says now.	3.96042
Jeho nebezpečná, pochmúrna práca nesmierne pomohla podporiť rozhodnutie v roku 1989, ktoré bolo vynesené Dohovorom o medzinárodnom obchode s ohrozenými druhmi (CITES- Convention on International Trade in Endangered Species) na zákaz medzinárodného predaja slonoviny.	His dangerous, gloomy work helped immeasurably to support the 1989 decision under the Convention on International Trade in Endangered Species (CITES) to outlaw the international sale of ivory.	0.797798
Vybrala si však daň v jeho osobnom živote. ~~~ Stálo ho to roky života, úzkosť, čas strávený preč od svojich dcér a od žijúcich slonov.	But on a personal level, it cost him—anxiety, years of his life, time away from his daughters, and time away from living elephants.	0.0152623
Douglas-Hamiltonova práca v Národnej rezervácii Samburu mu do života priniesla ďalšiu úlohu, a to zaúčanie mladých vedcov.	HIS WORK in Samburu National Reserve has reflected a new role in Douglas- Hamilton's life: mentoring young scientists.	0.618627
V roku 1997 sa vrátil aj s mladým žiakom, ktorého tam umiestnili.	He came, in 1997, along with a student he had placed there.	0.263265
Tým žiakom bol George Wittemyer, americký študent, ktorý dostal Fulbrightovo štipendium na štúdium spoločenských vzťahov slonov.	The student was George Wittemyer, an American Fulbright scholar who wanted to study elephant social relations.	0.596691
V tom čase mal už Douglas-Hamilton založenú svoju vlastnú výskumnú a ochranársku organizáciu v Nairobi nazvanú Zachráňme slony - Save the Elephants (STE).	By that time, Douglas-Hamilton had established his own research-and-conservation organization, Save the Elephants (STE), based in Nairobi.	0.942276
Wittemyerovi poskytol kontakty, záštitu a pár použitých stanov. S tými si Wittemyer postavil jednoduchý tábor v priestore pri rieke Ewaso Ngiro, v tieni pár veľkých agátových stromov a v blízkosti kužeľovitého kopca.	He supplied Wittemyer with contacts, an aegis, and a couple of used tents, with which Wittemyer set up a simple field camp along the Ewaso Ngiro River, in the shade of some large acacia trees and near a conical hill.	0.650153
Wittemyer začal spoznávať miestne slony, triediť ich rodinné pridruženia a pomenovávať ich. ~~~ Presne ako pred tridsiatimi rokmi Douglas-Hamilton v Manyara.	Just as Douglas-Hamilton had done three decades earlier at Manyara, Wittemyer began learning the local elephants, sorting out their family affiliations, and naming them.	0.104436
Podobne ako v ďalších sloních populáciách, každá rodina je riadená a vedená náčelníčkou, ktorou je staršia samica, matka alebo stará matka väčšiny členov.	As in other elephant populations, each family was dominated and guided by a matriarch, an older female, mother or grandmother to most of the members.	0.408333
Wittemyer zoskupil mená do mnemonických rodinných zhlukov. ~~~ Tento systém naďalej využívajú výskumníci v Samburu: Spice Girls (ktoré zahŕňajú Rosemary, Basil a Sage), Prvé dámy (Eleanor, Martha, Lucy Kibaki, Jackie), Biblické mestá (Babylon, Nazaret, Jeruzalem), Panovníčky (Viktória, Kleopatra, Anastázia, Diana) a mnoho ďalších.	Wittemyer grouped the names in mnemonic familial clusters, a system that has been continued by later researchers at Samburu: the Spice Girls (including Rosemary, Basil, and Sage), the First Ladies (Eleanor, Martha, Lucy Kibaki, Jackie), the Biblical Towns (Babylon, Nazareth, Jerusalem), the Royals (Victoria, Cleopatra, Anastasia, Diana), and many others.	0.454237
Počas celého roku prišlo do rezervácie Samburu zhruba 900 slonov, buď natrvalo alebo len dočasne. ~~~ Väčšina z nich je zapísaná v záznamoch STE.	Roughly 900 individual elephants use the Samburu reserve in the course of a year, either as residents or as short-term visitors, and most of them are identified in STE records.	1.01071
Postupne vznikla z dvojstanového tábora stála skladba, asketická ale pohodlná. ~~~ Je zložená z tucta stanových domov, kuchyne so slamenou strechou, pracovne spojenej s jedálňou, ktorá má betónovú podlahu a bezdrôtové internetové pripojenie. ~~~ Vonku sa nachádzajú aj latríny a vedrové sprchy.	Gradually the two-tent camp became a permanent compound, ascetic but comfortable, comprising a dozen wall tents, a thatch-roofed kitchen, an office-and-dining-hall structure with a concrete floor and wireless Internet, plus outhouses and bucket showers.	-0.0786212
Douglas-Hamilton spravil z tohto vľúdneho stanovišťa základňu svojej činnosti, ktorá sa teraz volá Tábor Zachráňme slony (Save the Elephants Camp).	Douglas-Hamilton made this gracious outpost, now called Save the Elephants Camp, his base of operations.	0.737225
Za ten čas Douglas-Hamilton pracoval s ďalšími mladými spolupracovníkmi. ~~~ Sústredil sa na priestorovú veličinu, čo je skúmanie miesta a času pohybu jedincov pomocou techniky systému globálnej navigácie.	Meanwhile Douglas-Hamilton, working with still other young collaborators, concentrates on the spatial dimension—that is, the study of which elephants move where, and when—using global positioning system technology.	-0.00926966
Priestorový výskum tvorí technicky zložitejší doplnok k technicky jednoduchšiemu pozorovaniu správania.	The spatial study forms a high-tech complement to the low-tech behavioral observations.	0.233766
Douglas-Hamilton si pamätá na prvé GPS zariadenie, ktoré videl v akcii. ~~~ Do Kene ho doniesli jeho priatelia v roku 1991 a nainštalované bolo do lietadla na počítanie slonov v Národnom parku Tsavo.	DOUGLAS-HAMILTON REMEMBERS the first GPS unit he ever saw in action, brought to Kenya by friends in 1991 and rigged onto an airplane for use in counting elephants within Tsavo National Park.	0.669231
Toto GPS zariadenie zaznamenávalo iba polohu lietadla, ktoré sledovalo polohu zvierat.	That GPS unit registered only the whereabouts of the airplane, as the plane traced the whereabouts of the animals.	0.472078
No napriek tomu sa vyjadril, že to bol veľký objav, keď sme mohli vidieť, ako a kadiaľ sa slony pohybujú - štýly pohybu, ktoré si osvojili.	Still, he says, It was quite a revelation to see how the elephants moved and circled—the patterns they adopted.	0.532979
Tieto štýly sú dôležité, pretože odrážajú informované rozhodnutia slonov o tom, kde by mohli najlepšie uspokojiť svoje najnaliehavejšie potreby, a to potravu, bezpečie a vhodné podmienky na rozmnožovanie.	The patterns were important because they reflected informed choices by the elephants as to where they might best satisfy their most urgent imperatives, finding what Douglas-Hamilton calls the three S's: sex, sustenance, and security.	0.468133
Technika GPS im ponúkla spôsob, ako tieto štýly podrobne zmapovať.	GPS technology now offered a way to chart such patterns in detail.	0.562013
Hneď ako som uvidel jedno z tých zariadení, hovorí, chcel som ho dať na slona.	As soon as I saw one of those gadgets, he says, I wanted to put it on an elephant.	0.3
Momentálne má v ekosystéme Samburu-Laikipia tieto Save the Elephants GPS obojky okolo 20 slonov.	About 20 elephants in the Samburu-Laikipia ecosystem currently wear Save the Elephants GPS collars.	3.48929
Najnovší model poskytuje každú hodinu jeden pozičný bod od každého slona.	The latest model delivers one positional point from each elephant every hour.	0.535938
Technika nových obojkov nie je iba zložitá.		-0.3
