Zabudnite na tradičný marketing. ~~~ Nefunguje.	Traditional marketing doesn’t work: get over it!	-0.00357143
Ktokoľvek, kto videl seriál Mad Men 14, bude mať prehľad o týchto "útočných" dňoch prvých reklamných agentúr.	Anyone who has seen the TV series Mad Men will have some insight into those heady days of the first ad agencies.	0.626812
Druhú fázu predstavuje tzv. priamy marketing. ~~~ Jeho náplňou bolo segmentovať a oslovovať konkrétnych zákazníkov, vytvárať si zoznamy o nich a následne ich "bombardovať" letákmi (ehm, myslím tým priamu poštu).	The second phase was direct marketing—a far more focused approach of segmenting and targeting a particular market, creating marketing lists, and then bombarding them with junk mail (er, I mean direct mail).	0.0239286
Čím viac sa snažil získať si cieľovú skupinu, tým viac strácal záujem zo strany ľudí.	While more targeted, this is still an interruption of people’s attention.	0.2625
Dnes sa nachádzame v ére sociálneho marketingu.	We are now in the era of social marketing.	0.24
Cieľová skupina je stále na dosah, v skutočnosti je na trhu ešte väčšia medzera než kedykoľvek predtým. ~~~ Rozdiel je v tom, že ich nevyrušujeme, ani sa nesnažíme hľadať povolenie na komunikáciu s nimi, keďže vytvárame komunity našim produktom a službám.	We can still reach targeted markets—even more niche than before, in fact—but the difference now is that we are not so much interrupting them, or even seeking permission to communicate with them, as creating communities around our products and services.	-0.000700935
Vďaka ním nás majú ľahko na dosah takže namiesto toho, aby sme museli vyhľadávať my ich, vyhľadávajú oni nás.	We are making ourselves findable by these communities so that, instead of having to find, target and mail them, they come looking for us!	0.225
Ako je to možné?	How did this come about?	0.15
Prečo je v dnešnom modernom svete sociálny marketing čoraz viac dominantný?	What is it about modern life that makes social marketing increasingly dominant?	0.536364
Ľudia sú tvory spoločenské.	Humans are social creatures.	0.288
Je naším prirodzeným inštinktom byť v kontakte s inými ľuďmi.	We have a natural instinct to connect with others.	0.230233
V dnešnej dobe však žijeme izolovaný život.	Yet modern life is isolating.	0.161538
Viac ako polovica ľudí žije v mestách.	More than half of us live in cities.	0.27
Tretina žije osamote.	A third of us live alone.	0.285
Zdá sa, že dni klebetenia s našimi susedmi ponad plot alebo v miestnom obchode už patria do románu slečny Marplovej.	The days of gossiping with neighbors over the garden fence, or in the corner store, seem to belong in a Miss Marple novel.	0.290816
Veľa ľudí dnes pracuje z domu.	More and more of us work from home or telecommute at least some of the time.	-0.115385
Ak aj máme kolegov, naše multikomunikačné prostredie nám už nedovoľuje iba tak si s nimi posedieť pri obede či na káve a preberať včerajšie rodinné záležitosti alebo program v televízii.	Even if we have office colleagues, our multi-channel media milieu means we no longer have so many of those watercooler moments when we discuss last night’s television with them.	0.284
Trendom je, že široko-záberové vysielanie začína nahrádzať užšie, špecifické, čiže médium, ktoré sa sústreďuje na naše záujmy, potreby a túžby.	The trend is away from broadcasting toward narrowcasting—media that is individually tailored to our interests, needs and desires.	0.268142
Každému nášmu rozmaru, chuti či priorite môže byť vyhovené, avšak kde sú ostatní, ktorí zdieľajú naše záujmy?	Our every individual whim, taste, and preference may be met—but where are the others who share our niche interests?	0.287234
Vďaka internetu s nimi dokážeme byť v kontakte stále.	Thanks to the Internet, we can now connect with them.	0.293333
Pretože sociálne médium je personálne médium, kde záleží na originalite, veľké spoločnosti majú občas problém ho využívať a niektoré ho používajú skutočne zle.	Because social media is a personal medium where authenticity matters, it is not always easy for big corporations to use—and some have got it really, really wrong.	0.42281
Najlepšie je ak vediete malý podnik. Dokážete si vybudovať dôveru a vytvoriť si kontakty vďaka svojej osobnosti a originalite.	It’s perfect if you’re a small business or entrepreneur: You can build trust and make connections by using your personality, and being genuine.	0.41422
Každý, kto má prístup k internetu a je trošku kreatívny, dokáže dnes komunikovať so svetom textovou formou, audiom, videom či obrázkami.	Anyone with an Internet connection and a bit of creativity can now communicate with the world via the written word, audio, video, and images.	0.431235
Za posledných pár rokov došlo k radikálnej a výraznej zmene v oblasti vytvárania a distribuovania myšlienok z veľkých mediálnych agentúr k jednotlivcom. Vďaka tomu môže byť dnes vydavateľ každý.	A radical power shift of content creation and distribution from large media institutions to individuals has taken place over the past few years: Everyone is a publisher now.	0.362632
To je dôvod, prečo ste sa práve vy stali Osobnosťou roka 2006 pre časopis Time.	That’s why Time magazine’s Person of the Year in 2006 was YOU.	2.75769
Myšlienka je prvým krokom vášho úspešného on-line marketingu, pokiaľ ju využijete tak, aby ste upútali vašich potenciálnych zákazníkov a klientov, ktorí vás budú vyhľadávať pomocou svojich prehliadačov.	That content is the starting point for your online marketing campaign, as you use it to reach and engage with potential customers and clients who will seek it out with their online searches.	0.266038
Revolúcia on-line marketingu začala a vy môžete byť jej súčasťou.	The online marketing revolution has arrived—and you can be part of it.	0.284211
Ak ste začiatočníkom vo svete biznisu alebo už ste jedným z usilovných biznismenov, výzvy a požiadavky, ktorým čelíte, vás môžu vystrašiť.	If you’re a new or aspiring business owner, the challenges and tasks you face can appear daunting.	0.336546
Kedy a ako si nájsť čas na obchodovanie s produktom či službami a takisto spôsob ako ich doručiť?	How do you find time to market your product or service as well as doing the work required to deliver it?	0.285185
Táto publikácia vám ukáže rýchle triumfy, jednoduché a efektívne spôsoby, ako rozbehnúť biznis už dnes.	This book will show you quick wins, easy and effective ways to reach out to your market today.	0.253846
Ak pracujete vo väčšej firme nájdete tiež veľa rád, ktoré vás inšpirujú a pomôžu vám vyhnúť sa bežným nástrahám.	If you work for a larger business, you will also find plenty of tips here to inform and inspire and you—and help you avoid common pitfalls.	0.386842
Určite využívate stránky a služby ako sú Facebook, Twitter, Youtube, Flickr a iTunes, aby ste boli v kontakte s kamarátmi, vymieňali si s nimi fotky či sťahovali hudbu. ~~~ Ale pýtate sa, ako môžu byť takéto stránky užitočné vo vašom obchode?	You may already use sites and services like Facebook, YouTube, Twitter, Flickr, and iTunes to keep in touch with friends, share photos or download music—but wonder how such sites can be used for marketing your business.	0.0580257
Možnosť výberu prostriedkov pre on-line marketing je priam zarážajúci.	The range of online marketing tools out there can seem bewildering.	0.574138
Kde však začať?	Where do you start?	0.235714
Ako sa popasovať s publicitou?	How do you cut through the hype?	0.3
Táto publikácia vám vysvetlí, čo a ako funguje a ako to správne využívať.	This book shows you what works, why it works, and how to use it.	0.456593
Ukáže vám krok za krokom, ako si efektívne vybrať prostriedky on-line marketingu.	It takes you step by step through the process of choosing and using online marketing tools effectively.	0.228169
Ku všetkým prostriedkom, ktoré sú v publikácii spomenuté, nájdete tiež tipy ako si zmanažovať ich prácu a kontrolovať výsledky (len si treba nájsť čas pre všetky aktualizácie).	For each tool covered, there are also tips on managing the workload (just where will you find the time for all those updates? ) and measuring your results.	0.248837
Vďaka rozsiahlemu slovníku sa priučíte odbornému slangu a pokiaľ nie ste dosť pripravený ponoriť sa do toho sám, poradí vám, ako nájsť niekoho, kto to urobí za vás.	An extensive glossary cuts through the jargon; and if you’re not quite ready to take the plunge yourself, it also advises you on how to find someone to do it for you.	0.502485
Súčasťou každej kapitoly je časť "Ako to funguje v praxi".		-0.3
Nájdete tam konkrétne prípadové štúdie z oblasti biznisu, ktorým sa podarilo uspieť vďaka prostriedkom on-line marketingu.	We will look at case studies of businesses that have succeeded with online marketing tools, in the "…in action” section of each chapter.	0.280556
Prípadové štúdie a iné spomínané firmy v tejto publikácii vás možno prekvapia, pretože väčšina z nich nie je zameraná technicky ako ste si možno predstavovali.	The case studies and other businesses mentioned along the way in this book may surprise you: Most are not technology businesses, as you might imagine.	0.27874
Stretnete sa tu s maloobchodníkmi s oblečením, farmármi, výrobcami potravín, hypnoterapeutom, fotogalériou, dodávateľom svadobného papierenského tovaru, maloobchodníkom so skladačkami či majiteľom coffee shopu - čiže ľuďmi ako ste vy.	They include clothing retailers, farmers, food producers, a hypnotherapist, a photographic gallery, a wedding stationery supplier, a jigsaw retailer, and a coffee shop owner—people just like you.	0.341849
A ak si myslíte, že nikto vo vašom odvetví sa neobťažuje s využívaním nových metód on-line marketingu, je to pre vás vynikajúca správa, pretože ste vo výhradnej pozícii. ~~~ Môžete byť prví a stať sa konkurenciou.	And if you think that no one in your industry bothers with the new online marketing methods, that’s brilliant news: You’re in the privileged position of having a competitive advantage in your industry by being the first mover.	-0.0101124
Nový marketing nie je jednoduchý marketing.	The new marketing isn’t austerity marketing.	1.14945
Má však veľa výhod, pokiaľ nemáte dostatok financií.	But it does also have advantages when funds are tight.	0.3
Ak má vaša firma problémy, ktoré sú výsledkom finančnej krízy alebo hospodárskeho úpadku, bude vás lákať znížiť predaj.	If your business is struggling as a result of the credit crunch or recession, it can be tempting to cut back on your marketing.	0.294175
Je to však posledná možná situácia, kedy to urobiť.	Actually, it is the very worst time to do so.	0.543243
Zníženie produkcie nikdy nevedie ku zvýšeniu predaja.	Less marketing never leads to more sales.	0.2
Avšak pokiaľ sa budete riadiť princípmi v tejto publikácii, budete schopní znížiť váš rozpočet, zatiaľ čo vaše zisky porastú.	However, by following the principles in this book, you will be able to cut back your marketing budget while increasing your reach.	0.294444
On-line marketing je neustále vyvíjajúce sa odvetvie s novými prostriedkami sociálnych médií, ktoré sa vynárajú po celý čas.	Online marketing is an ever-evolving field, with new social media tools cropping up all the time.	0.386109
Môže byť náročné držať s nimi krok.	It can be hard to keep up.	0.171429
Pre aktualizáciu informácií v tejto knihe, kliknite na sprievodnú webovú stránku www. getuptospeed.biz ktorá obsahuje:	For updates on all the information in this book, take a look at the accompanying website at www. getuptospeed.biz which includes:	0.660714
Okrem toho môžete byť so mnou v kontakte prostredníctvom tejto stránky a podeliť sa s vlastnými skúsenosťami v oblasti prípadové štúdie v ďalšom vydaní on-line marketingu.	You can also get in touch with me via the site and submit a case study sharing your own experience of online marketing.	0.275
Sociálne médiá sú príkladom dvojsmernej komunikácie a ja chcem vašu spätnú väzbu!	Social media is a two-way conversation, and I want to hear from you!	0.457085
Od vás ako od čitateľa tejto knihy je pre mňa dôležitý váš názor.	As the reader of this book, your opinion is the most important.	0.29434
Kontaktujte ma on-line, dajte mi vedieť čo sa vám páčilo a čo nie, čo by ste chceli vidieť v nasledujúcom vydaní a povedzte mi o vašej skúsenosti s on-line marketingom.	Connect with me online, let me know what you did or didn’t like, what you would like to see in the next edition, and tell me about your experience of online marketing.	0.293431
Môžete ma tiež nájsť na Twitteri ako #getuptospeed alebo #jonreed, takisto nájdete odkazy na mňa na iných sociálnych stránkach, ktoré používam na www.getuptospeed.biz alebo mi napíšte e-mail na jon@getuptospeed.biz.	You can also follow me on Twitter at @getuptospeed or @jonreed, find links to me on all the other social sites I use at www. getuptospeed.biz, or email me at jon@getuptospeed.biz.	0.324
Prajem vám veľa šťastia vo vašom podnikaní.	For now, I wish you the best of luck with your business.	0.236842
Či už ste začiatočník, úplne nový alebo uznávaný biznismen dúfam, že táto kniha bude pre vás osožným návodom a že vďaka nej využijete vašu snahu v marketingovej oblasti čo najefektívnejšie.	Whether you’re aspiring, brand new or more established, I hope you will find this book a useful guide for focusing your marketing efforts where they are most effective.	0.363307
Pred tým, ako vhupneme do tejto témy a oboznámime sa so všetkými tými úžasnými pomôckami, ktoré máme dnes k dispozícii, vráťme sa o krok späť a zamyslime sa nad tým, čo chceme dosiahnuť.	Before we jump in with all the exciting new tools available, let’s take a step back and think about what you want to achieve.	0.268544
Príliš veľa ľudí si myslí: "Každý má svoj blog na internete (alebo vysiela podcast, "tweetuje" či "facebookuje"). ~~~ Mal by som aj ja mať nejaký blog. Idem si ho vytvoriť!"	Too many people think: "Everyone’s blogging (or podcasting, tweeting, or on Facebook)—I should be blogging—let’s start a blog!”	-0.019898
Takýto začiatok je nesprávny.	This is the wrong starting point.	0.277778
Len preto, že je rýchle, jednoduché a bezplatné vytvoriť si účet na WordPress Facebook, Twitter, MySpace, alebo na YouTube, neznamená, že by ste to mali urobiť aj vy.	Just because it’s quick, easy, and free to set up an account with WordPress, Facebook, Twitter, MySpace, or YouTube doesn’t mean you should.	0.747059
Na začiatok (nech už je to akákoľvek forma marketingu) by ste si mali určiť ciele a zámery vášho marketingu a identifikovať cieľovú skupinu, následne zistiť, kde s ňou môžete prísť do kontaktu a potom zvoliť správne nástroje na to, aby ste ju zaujali.	Like any form of marketing, your starting point should be your marketing aims and objectives, then identifying your community and where they hang out, then you choose appropriate tools to reach them.	0.318128
Táto kapitola vám poskytne rýchlo kurz v stratégii on-line marketingu a pomôže vám pochopiť, ako fungujú sociálne médiá a ako vám umožňujú vhodne a efektívne využívať akékoľvek prostriedky.	This chapter will give you a crash course in online marketing strategy and help you understand some key principles of social media that will enable you to use any tool appropriately and effectively.	0.396086
Takmer dve miliardy ľudí využívajú internet (môžeme povedať, že sú zastihnuteľní on-line).	There are almost two billion people online.	-0.0315789
Práve niektorí z nich sú vaši ideálni klienti alebo zákazníci.	Some of them are your ideal clients or customers.	0.214286
Ak ste schopní čo i len zlomok z nich získať pre svoj obchod, potom váš obchod má šancu.	If you can reach even a tiny fraction of them, you will have a viable business.	0.267692
Internet so sebou prináša nespočetné množstvo výhod, ktoré dokážeme využiť, ak sa chceme na trhu predať.	The Internet has brought enormous benefits to the way we market our businesses.	0.417227
Webová stránka je ako výklad obchodu, ktorý je otvorený nonstop.	A website is like a virtual shopfront that is always open.	0.257143
Vďaka e-mailom sú cieľové skupiny stále informované o najnovších produktoch.	Email reaches targeted audiences with news of our latest products.	0.248276
Blog poskytuje pravidelne aktualizované informácie pre zákazníkov a záujemcov, na ktoré môžu reagovať.	A blog provides regularly updated information for customers and prospects, which they can comment on.	0.289773
Ľudia nás môžu počúvať na svojich MP3 prehrávačoch kdekoľvek sú.	People can listen to us wherever they are on an MP3 player.	0.52987
Môžu sledovať video ukážky našich produktov na internete. ~~~ Masívny nárast širokopásmového zobrazovania nám dnes umožňuje sledovať obrovské streamované video dokumenty.	They can watch video demonstrations of our products online, now that massive take-up of broadband enables us to watch large streaming video files.	0.0853846
Sociálne siete nám umožňujú priamo sa spojiť s ľuďmi, ktorí sa zaujímajú o náš tovar.	Social networks enable us to make direct connections with people who are interested in our wares.	0.254167
Dokážeme si získať našu cieľovú skupinu oveľa jednoduchšie ako kedykoľvek predtým a moc, akú má internet, dokáže túto malú skupinu rozšíriť globálne.	We can reach niche audiences more easily than ever before—and the power of the Internet makes these niches global.	0.201031
Nezáleží na tom, ako je vaša potenciálna skupina zameraná, pretože vďaka vášmu on-line marketingu si dokážete túto skupinu nielen získať tým, že sa zviditeľníte on-line, ale docielite aj to, že vás začne sama vyhľadávať.	However specialized our niche, there is a market for it online, which not only can we reach but, by increasing our visibility online, will also come looking for us.	0.188321
On-line marketing má veľa spoločného s marketingom tradičným, no na rozdiel od neho je lacnejší, efektívnejší a oveľa viac profituje.	Online marketing does a lot of the same things that traditional marketing does—it just does them more cheaply and effectively with a greater reach.	0.559627
Možno vám je dobre známy pojem z oblasti tradičného marketingu – lievik predaja.	You may be familiar with the traditional marketing concept of the "sales funnel.	0.3
Opisuje fázy, ktorými vytláčate svojich potenciálnych zákazníkov z pozície masového trhu ľudí, ktorí nemajú poňatia o tom, že existujete, na cieľového verného zákazníka, ktorý prichádza späť, aby získal viac.	”It describes the stages through which you push potential customers from being a mass market of people who are unaware of your existence to a highly targeted loyal customer who comes back for more.	0.270909
Takisto vysvetľuje, ktoré marketingové metódy je vhodné použiť v konkrétnej fáze.	It also describes which marketing methods to use at which stage.	0.207273
Metódy on-line marketingu sa široko prekrývajú s metódami tradičného marketingu, avšak v každej fáze zviditeľňujete seba tak, aby vás ľudia mohli vyhľadávať a pútate pozornosť cieľovej skupiny namiesto toho, aby ste púšťali do obehu nič nehovoriacu reklamu a dúfali v to najlepšie.	Online marketing methods loosely map on to traditional methods, but at every stage you are making yourself visible to people who will seek you out, and engaging a highly targeted audience, rather than broadcasting an indiscriminate message and hoping for the best.	0.416767
Hovorené slovo je Svätým grálom marketingu a je ťažko dosiahnuteľné off-line.	Word of mouth is the Holy Grail of marketing—and very difficult to achieve offline.	0.286765
On-line marketing ním však prekypuje.	But it is turbo-charged with online marketing.	0.238235
Ľudia trávia určitý čas na internete, najmä na sociálnych sieťach, ako napr. Facebook či Twitter. ~~~ Má zmysel pustiť sa do toho.	Given the amount of time people spend on the Internet, particularly on social sites such as Facebook and Twitter, it makes sense to join in.	0.0348214
Priemerný spotrebiteľ má tendenciu mať ďaleko väčší prehľad o väčšine obchodov ak využíva sociálne médiá.	The average consumer tends to be way ahead of most businesses in their use of social media.	0.236842
Pokiaľ váš zákazník trávi čas na týchto stránkach, mali by ste byť tam, kde aj on.	If your market is spending time on these sites, so should you—go where your market is.	0.282353
Dôvody, prečo on-line marketing funguje v biznise: 1. Riadi frekvenciu na vašej stránke.	Specific reasons why online marketing works for business include 1. Drive traffic to your site.	0.709091
Toto je pravdepodobne najhlavnejší dôvod, prečo používať on-line marketing.	This is probably the single biggest reason for using online marketing.	0.565574
Webová stránka je jadrom vášho obchodu a cieľom vašich on-line marketingových aktivít je riadiť jej frekvenciu.	Your website is the hub of your business, and the aim of your online marketing activities is to drive traffic to it.	0.296875
Nové spôsoby ako sa spojiť s vašimi zákazníkmi.	New ways to connect with your market.	0.215625
Ak si vytvoríte on-line prezentáciu na sociálnych sieťach, ktoré vaši zákazníci navštevujú, stanete sa viditeľnými aj pre nových záujemcov skôr, ako keby ste sa riadili myšlienkou, že si treba vytvoriť webovú stránku, ktorú vám budú navštevovať.	By establishing a presence on social sites that your market use, rather than taking an "if you build it they will come” approach to your business website, you’ll become visible to a new set of prospects.	0.225444
Buduje dôveru.	Build trust.	0.25
Ľudia vždy preferujú obchodovanie s ľuďmi, ktorých poznajú.	People always prefer to do business with people they know.	0.282
Vaši klienti a zákazníci vás môžu spoznať vďaka vašej on-line prezentácii.	Your clients and customers can get to know you through your online presence.	0.3
Konverzácia.	Start a conversation.	0.138462
On-line marketing je konverzácia, nie prednáška.	Online marketing is a conversation—not a lecture.	0.728571
Obojstranná komunikácia medzi vami a vaším zákazníkom alebo záujemcom je oveľa efektívnejšia ako jednosmerné vysielanie vašej reklamy.	A two-way dialogue with your customers and prospects is much more effective than a one-way broadcast of your marketing message.	0.439144
Vytvára hodnotu.	Create value.	0.230769
Jedna časť tajomstva on-line marketingu spočíva v tom, že vytvoríte nejaký obsah (myšlienku) a vyjdete s ním na verejnosť.	Part of the secret of online marketing is creating useful content and giving it away.	0.1625
Ak vytvoríte schopnú myšlienku alebo zaujímavý obsah, ktorým zacielite vašu skupinu, začne sa za vami vracať, aby získala viac.	If you can create a useful resource or interesting content targeted at your niche, they will keep coming back for more.	0.27
Buduje komunity a vzťahy.	Build communities and relationships.	0.156522
Premýšľajte o svojom trhu ako o spoločenstve záujmov, ktoré sa sústreďuje na konkrétnu tému súvisiacu s vaším biznisom.	Think of your market as a "community of interest, ” built around a particular topic related to your business.	0.26413
Možno budete schopní vytvoriť spoločnosť sústredenú na váš obchod alebo produkt, pokiaľ bude dostatočne lákavý.	You may also be able to create a community around your business or product—if it is interesting enough!	0.262069
Poskytuje rýchle, aktuálne informácie o vašom obchode alebo predmete záujmu.	Provide quick, up-to-date information about your business or topic of interest.	0.291176
Podoba v štýle "horúcich noviniek" viacerých foriem on-line marketingu ho robí ideálnym pre oznamy o najnovších produktoch alebo službách, špeciálnych ponukách alebo jednoducho o vzácnych informáciách o vašom sektore alebo oblasti pôsobenia.	The "breaking news” aspect of many forms of online marketing makes it ideal for announcements about new products or services, special offers, or simply valuable topical information about your sector or area of expertise.	0.263298
Zhromažďovanie údajov.	Data capture.	0.0923077
Tvorba databázy potenciálnych zákazníkov je základný cieľ vašej e-mailovej marketingovej kampane.		-0.3
Väčšina snahy, ktorú vynaložíte na svoj on-line marketing, sa zameria na tvorbu zoznamu.	Building a database of potential customers is a core aim of your email marketing campaign.	0.3
No nielen na tvorbu zoznamu facebookových fanúšikov alebo užívateľov Twitteru, ale aj na posielanie pozvánok, ktorými povzbudíte ľudí, aby sa prihlásili na e-mailový odber vašich noviniek.	But much of your online marketing effort will also be geared toward list building—not just your lists of Facebook fans and Twitter followers, but the calls to action you will use to encourage people to sign up to your email newsletter.	0.241463
Prieskum trhu.	Market research.	0.257143
Jedna z výhod používania nových prostriedkov on-line marketingu je to, že ste oveľa bližšie k vašim zákazníkom a máte prehľad o tom, čo chcú.	One of the benefits of using the new online marketing tools is that you are much closer to your market and aware of what they want.	0.266355
Môžete byť však o krok vpred a vypýtať si od nich spätnú väzbu týkajúcu sa vašich produktov alebo služieb, ba dokonca vytvoriť on-line dotazník a pomocou vašich stránok ho spustiť do obehu.	But you can go a stage further and ask them for their feedback on your products or services, or even create an online questionnaire and market it through your online marketing channels.	0.383167
Nízke náklady, zanedbateľné riziko, efektívnosť.	Low-cost, low-risk, effective.	0.134483
Väčšina prostriedkov je k dispozícii buď zadarmo, alebo veľmi lacno.	Most of the tools are available either free or very cheap.	0.232653
Investícia väčšinou spočíva skôr v čase ako v peniazoch.	The investment is often in time rather than money.	0.25814
Riziká využívania sociálnych médií a otvorenej komunikácie so zákazníkmi sú nízke pokiaľ sa riadite zásadami v tejto publikácii.	The risks of using social media and communicating openly with your market are low, as long as you follow the principles in this book.	0.297297
Sú ďaleko viac vyvážené výhodami, ktoré získate neskôr.	They are far outweighed by the benefits you will gain.	0.280435
Pre tých, ktorí sa stále sústreďujú na dodržiavanie kontroly, je dôležité si pamätať, že my už sme kontrolu stratili a pravdepodobne u nás nikdy nebola na prvom mieste.	For anyone still concerned about maintaining control, it is important to remember that we have already lost control—and probably never really had it in the first place.	0.297887
Ľudia už o nás hovoria.	People are already talking about us.	0.12
Pre vás je však dôležité mať prehľad o tom, kde sa nachádzajú tieto rozhovory, aby ste sa mohli k nim pripojiť a ovplyvňovať ich.	It is important for you to be aware of where those conversations are taking place, to join them, and to influence them where appropriate.	0.27757
Ďalšou výhodou on-line marketingu je schopnosť vytvoriť funkčný biznis z medzier na trhu.	Another benefit of online marketing is the ability to create a viable business out of a niche market.	0.273077
Je jednoduchšie než kedykoľvek predtým odhaliť tieto medzery.	Niches work well online, and it’s easier than ever before to reach them.	0.267273
Možno ste už počuli o koncepcii, s ktorou prišiel Chris Andersona - síce The Long Tail, čiže Dlhý chvost.	You may have heard of Chris Anderson’s concept of The Long Tail.	0.803419
Je to variant Paretovho princípu (80/20) aplikovaný na príjem získaný vďaka sortimentu produktov.	It’s a variation of the 80/20 rule, applied to the revenue generated by a product range.	0.465637
Princíp tvrdí, že 80 % príjmu pochádza z 20 % produktov.	Typically, 80 percent of your revenue will come from 20 percent of your products.	3.15957
Nízky počet predaných tzv. bestsellerov vám zaručí vyšší príjem než vyšší počet predaných položiek, o ktoré nie je taký záujem.	A small number of "bestsellers” generates more income than a large number of low-selling items.	0.20122
Častý predaj produktov vo forme zľavových vĺn nie je ničím novým. ~~~ Čo je však nové?	A frequency distribution of number of products by volume of sales is not a new idea.	-0.00214286
