Ako sa ľudský mozog prispôsobuje slepote a dovoľuje nám vidieť svet prostredníctvom echolokácie.	How the human brain adapts to blindness and allows us to see our world through echolocation.	0.273077
Navyše, spolu s ich novoobjavenými echolokačnými zručnosťami nadobúdajú aj vizuálnu obrazotvornosť a po týždni so zaviazanými očami sa ich obrazotvornosť stáva živšou.	What’s more, with their newfound echolocation skills comes some visual imagery. After a week of being blindfolded, the imagery becomes more vivid.	0.380435
Jeden z účastníkov Kellogovho výskumu hovorí, že takto mohol vidieť vyzdobené budovy z bledého zeleného mramoru a kreslené postavy.	One of Kellogg’s research participants said he experienced ornate buildings of whitish green marble and cartoon-like figures.	0.289091
Je samotný zvuk zodpovedný za schopnosť echolokátora orientovať sa v prostredí?	Is sound alone responsible for echolocators’ ability to navigate the environment?	0.291429
Výskumníci uvažujú o tom, či môžu hmatové podnety – napríklad pohyb zvuku okolo predmetov – poskytnúť informácie o okolí.	Researchers wonder whether touch cues, such as the way air moves around objects, can offer information about the surroundings.	0.285577
Philip Worchel a Karl Dallenbach z Texaskej univerzity v Austine hľadali odpoveď na tieto otázky v 40.-tych rokoch dvadsiateho storočia.	Philip Worchel and Karl Dallenbach from the University of Texas at Austin sought to answer these questions in the 1940s.	0.82437
K ich experimentom prizvali nevidiacich a vidiacich ľudí so zviazanými očami. Požiadali ich, aby kráčali smerom k doske, ktorej vzdialenosť menili.	Their experiments involved asking both blind and blindfolded sighted participants to walk toward a board placed at varying distances.	0.418966
Odmenou pre účastníkov bolo to, že sa naučili všimnúť si dosku bez toho, aby ku nej museli kráčať tvárou vpred.	Participants were rewarded for learning to detect the board by not walking into it face-first.	0.255556
Po mnohých opakovaniach pokusu si oba typy ľudí dokázali všimnúť prekážku ľahšie.	After multiple trials, both the blindfolded and blind subjects became better able to detect the obstacle.	0.215493
Po asi tridsiatych pokusoch boli vidiaci so zaviazanými očami pri zastavení pred doskou rovnako úspešní ako nevidiaci v topánkach s tvrdou podrážkou.	After about 30 trials, blindfolded subjects were as successful at stopping in front of the boards as blind subjects when they were wearing hard-soled shoes.	0.290698
Avšak táto schopnosť zmizla vtedy, keď rovnaký experiment vykonávali na koberci alebo len v ponožkách. ~~~ To zvuk ich krokov stlmilo.	But this ability disappeared when subjects performed the same experiments on carpet or while wearing socks, which muffled the sound their footsteps created.	-0.0276316
Výskumníci zistili, že jednotlivci sa spoliehali na zvuk svojej chôdze a tým pádom aj na to, že zvuk je zodpovedný za schopnosť orientovať sa.	The researchers concluded that the subjects relied on sound emanating from their shoes, implying sound is responsible for navigational ability.	0.2875
Zdá sa, že zvýšená schopnosť orientovať sa prostredníctvom zvuku je výsledkom nielen zvýšenej ostrosti zvuku, ale aj zvukového spracovávania v mozgu.	The increased ability to navigate via sound appears to be the result of sound processing in the brain, not merely increased acuity of hearing.	0.275
Istá štúdia ukázala, že vidiaci aj nevidiaci jedinci dosiahli v sluchových testoch podobné výsledky.	One study showed that the blind and the sighted scored similarly on normal hearing tests.	0.252632
Keď však nahrávka zaznamenala ozvenu, časti mozgu spojené s vizuálnym vnímaním u vidiacich ľudí sa aktivovali u echolokátorov, nie však u vidiacich ľudí.	But when a recording had echoes, parts of the brain associated with visual perception in sighted people activated in echolocators but not in sighted people.	0.297727
Tieto výsledky ukázali, že echolokátori získali informácie zo zvuku, ktorý nebol pre ovládanie zraku dostupný.	These results showed how echolocators extracted information from sound that wasn’t available to the sighted controls.	0.281443
Niektoré záznamy poukazujú na to, že ľudia prostredníctvom echolokácie nemôžu vnímať predmety do vzdialenosti dvoch metrov.	Some reports seem to indicate that humans can’t perceive objects that are very close — within 2 meters of them — through echolocation.	0.288991
Kellogova štúdia na Floridskej štátnej univerzite v roku 1962 však dokázala, že nevidiaci môžu zaznamenávať prekážky na oveľa kratšiu vzdialenosť a to 30 - 120 centimetrov.	But a 1962 study by Kellogg at Florida State University showed that blind people can detect obstacles at much shorter distances — 30 to 120 centimeters.	1.91979
Niektorí účastníci boli v určovaní tak presní, že dokázali určiť predmety vo vzdialenosti len 10 centimetrov.	Some participants were accurate even within 10 centimeters, suggesting that although subjects aren’t consciously aware of the echo, they still can respond appropriately to echo stimuli.	2.03276
Z toho môžeme usúdiť, že hoci predmety nevedia o odrážaní zvuku, stále môžu primerane reagovať na jeho podnety.	The above cases show that our perceptual experiences involve a lot more than just what we’re consciously aware of.	0.293684
Vyššie spomenuté prípady dokazujú, že naše vnímanie zahŕňa oveľa viac než len to, čoho sme si vedomí.		-0.3
Náš mozog je pripravený dosiahnuť zdanlivo nadľudské a to aj na základnej úrovni nášho vnímania.	Our brain is primed to accomplish the seemingly superhuman, even at the basic level of perception.	0.483886
Je to výnimočný orgán, ktorý nám vytvára bohaté zážitky premieňaním vĺn narážajúcich na ušný bubienok na zložité, no fenomenálne zobrazenia nášho prostredia.	It’s an extraordinary organ that creates our rich experiences by turning waves that merely strike the eardrum into complicated, phenomenal representations of our surroundings.	0.264964
Naučiť sa vidieť v tme	Teaching the Blind to See	0.252632
Na echolokácii je najúžasnejšie to, že sa dá naučiť.	Perhaps what is most amazing about echolocation is that it can be taught.	0.186667
Kish vo svojej diplomovej práci z vývojovej psychológie vypracoval prvú systematickú metódu - postup, ako túto zručnosť možno naučiť.	Kish wrote his developmental psychology master’s thesis on the subject, developing the first systematic approach to teaching the skill.	0.444828
V súčasnosti sa cez jeho organizáciu s názvom World Access for the Blind (Svetová nezisková organizácia pre nevidiacich, prekl. D. K.) s cieľom dať nevidiacim ľuďom rovnakú slobodu, akú majú vidiaci, usiluje naučiť nevidiacich orientovať sa vo svete pomocou sluchu.	Now, through his organization, World Access for the Blind, he strives to give the blind nearly the same freedom as sighted people by teaching blind people to navigate with their ears.	0.532792
Prečo teda nevyužívajú echolokáciu všetci nevidiaci?	So why don’t all blind people echolocate?	0.2
Kish tvrdí, že problém spočíva v tom, že naša spoločnosť podporuje obmedzenie výcvikových metód.	The problem, says Kish, is that our society has fostered restricting training regimens.	0.268421
Jeden z príkladov obmedzenia je tradičný výcvik so slepeckou palicou.	One example of this restriction is the traditional cane training method.	0.290164
Techniku na používanie slepeckej palice vyvinuli pred viac ako 60 rokmi pre nevidiacich vojnových veteránov, ktorí žili v obmedzených podmienkach.	The military developed the cane techniques more than 60 years ago for blind veterans, people used to living in restricted circumstances.	1.84322
Kishova výcviková osnova sa od ostaných líši svojím zážitkovým prístupom zameraným na aktivovanie uvedomovania si prostredia.	Kish’s training curriculum differs from tradition by taking an immersive approach intended to activate environmental awareness.	0.294595
Je to veľmi náročná metóda len s malou pomocou cudzej osoby.	It’s a tough-love approach with very little hand-holding.	0.3
Deti preto nabáda k tomu, aby si samy skúmali svoje domáce prostredie a odhovára ich rodičov od toho, aby im pomáhali, kým to nie je pre ne nebezpečné.	He encourages children to explore their home environment for themselves and discourages family members from interfering unless the child otherwise could be harmed.	0.3842
Kish neskôr mení študentom palicu.	Kish then changes the cane his students use during walking.	0.606452
Študent drží palicu pred sebou a lakeť má mierne ohnutý tak, aby bola jeho ruka približne vo výške pása.	The student holds the cane out in front, elbow slightly bent, so the hand is roughly at waist height.	0.289286
Pri každom kroku špička palice pristane približne tam, kam mieri študentova noha. ~~~ Tým palica uvoľní oblasť, do ktorej sa dieťa chystá stupiť.	With every step, the cane tip lands about where the student’s foot will land so the cane clears the area of where the child is about to step.	-0.0104348
Študent pri tom opakovane ťuká palicou zľava doprava. Tento pohyb sa nazýva tzv. dvojbodový dotyk.	The student repeatedly taps the cane from left to right, called two-point touch.	0.230435
Hoci jeho metódu podporujú aj počítačové modely, Kish si myslí, že ich pohyb je neprirodzený.	Although computer models support this method, Kish thinks the movement is unnatural.	0.506445
My nie sme roboty, podotýka Kish a zároveň dodáva:	We are not robots, he says.	0.0391304
Skutočnosť je taká, že biomechanika neudržuje kontrolovaný pohyb, ktorý je na to potrebný. ~~~ Strácate plynulosť pohybu.	The reality is that the biomechanics do not sustain the kind of regimented movement you have to have in order for that to work — you lose fluidity of motion.	0.0122061
Nepotrebujete byť fyzioterapeutom, aby ste vedeli, že to je recept na problémy so zápästím.	You don’t have to be a physical therapist to know that’s a recipe for a wrist problem.	0.466197
No a potom začína skutočná zábava. Študenti sa učia používať echolokáciu systematickým rozlišovaním podnetov.	Then the real fun begins: The students learn to echolocate by systematic stimulus differentiation.	0.261628
Všimnite si, že výraz ako zisťovanie sa tu nespomína.	Notice the term detection isn’t included.	0.227027
Vo vákuu skutočne nie je žiaden podnet, takže sa nejedná o zisťovanie, ale o rozlišovanie jedného podnetu od druhého a od prostredia.	No stimulus really occurs in a vacuum, so the process is not so much detection as it is distinguishing one stimulus from another and its background.	0.401231
Tento postup funguje na základe bežného študijného systému. ~~~ Študenti sa najskôr naučia rozoznávať výrazné a zreteľné podnety a potom postupujú k rozlišovaniu nevýrazných a menej zreteľných podnetov.	The process follows a standard learning structure: Students first learn to differentiate among strong, obvious stimuli and then advance to weaker, less obvious stimuli.	0.0440083
Kish zavádza takzvaný háčikový podnet, ktorý spočíva v krúžení plochou doskou okolo študenta.	Kish establishes a hook stimulus by using a plain panel he moves around in the student’s environment.	0.499652
Keďže podnet je vybraný tak, aby bol dostatočne silný na upútanie pozornosti mozgu, študenti nepotrebujú vopred vedieť, čo majú počuť.	Students don’t need to know what they’re listening for, since the stimulus is selected to be strong enough that it captures the brain’s attention.	0.27931
Problém je však v tom, že to zo začiatku nefunguje u každého.	But the panel doesn’t work for everyone at first.	0.235714
V takýchto prípadoch Kish používa takmer 20-litrové vedro alebo niečo, čo vytvára veľmi výraznú kvalitu zvuku.	In those cases, he uses a 5-gallon bucket or something else that produces a very distinct sound quality.	0.272727
Len čo mozog zachytí príznačný podnet, začne spracovávať jeho vlastnosti tak, aby výsledok zjemnil.	Once the brain is hooked on the characteristic stimulus, he starts manipulating its features to make the effect subtler.	0.244828
