To som dnes robil v práci.	That’s what I did at work today.	0.231818
V polovici 17. storočia sa cukor začal meniť z luxusného korenia, ktoré sa zaraďovalo do tej istej skupiny ako muškátový oriešok a kardamóm, na základnú zložku potravy u strednej triedy a neskôr aj u chudobných.		-0.3
Súvislosť medzi cukrom a otroctvom sa skončila v 18. storočí. ~~~ Každých pár rokov sa kolonizoval ďalší ostrov, ako napr. Portoriko alebo Trinidad, na ktorom sa klčovali lesy a vysádzala sa cukrová trstina.	In the mid-17th century sugar began to change from a luxury spice, classed with nutmeg and cardamom, to a staple, first for the middle class, then for the poor.	0.0503414
Keď domorodci vymreli, plantážnici ich nahradili africkými otrokmi.	By the 18th century the marriage of sugar and slavery was complete.	0.278947
Po pozbieraní a pomletí úrody ju zhromažďovali na lodiach.	Every few years a new island—Puerto Rico, Trinidad—was colonized, cleared, and planted.	0.447059
Na nich sa prepravovala do Londýna, Amsterdamu alebo Paríža.	When the natives died, the planters replaced them with African slaves.	0.254717
Tam ju vymieňali za hotový tovar, ktorý prevážali na západné pobrežie Afriky, kde ho vymieňali za ďalších otrokov. ~~~ Počas tohto trojuholníkového obchodu zomrelo niekoľko miliónov Afričanov.	After the crop was harvested and milled, it was piled in the holds of ships and carried to London, Amsterdam, Paris, where it was traded for finished goods, which were brought to the west coast of Africa and traded for more slaves.	-0.0225904
Jeho krvavá súčasť sa nazývala ako tzv. Stredná cesta. ~~~ V roku 1807 bolo vo Veľkej Británii otroctvo zakázané.	The bloody side of this triangular trade, during which millions of Africans died, was known as the Middle Passage.	-0.00315789
Dovtedy bolo do Nového sveta prepravených viac ako 11 miliónov Afričanov, z ktorých viac ako polovica skončila na cukrových plantážach.	Until the slave trade was banned in Britain in 1807, more than 11 million Africans were shipped to the New World—more than half ending up on sugar plantations.	1.8304
Trinidadský historik a politik Eric Williams tvrdí: Otroctvo sa nenarodilo z rasizmu, ale skôr rasizmus je následkom otroctva.	According to Trinidadian politician and historian Eric Williams, Slavery was not born of racism; rather, racism was the consequence of slavery.	0.419713
Inak povedané, Afričania neboli zotročení, pretože ich považovali za nižšie postavených. ~~~ Vnímali ich tak preto, aby tým obhájili otroctvo, ktoré bolo potrebné pre prosperitu prvého obchodovania s cukrom.	Africans, in other words, were not enslaved because they were seen as inferior; they were seen as inferior to justify the enslavement required for the prosperity of the early sugar trade.	-0.0199367
Pôvodným britským ostrovom s cukrom bol Barbados.	The original British sugar island was Barbados.	0.660714
Bol neobývaný, až kým ho 14. mája 1625 neobjavil britský kapitán. ~~~ Ostrov čoskoro zaplnili cukrovary, usadlosti na plantážach a chatrče.	Deserted when a British captain found it on May 14, 1625, the island was soon filled with grinding mills, plantation houses, and shanties.	0.0169355
V prvých rokoch sa na ostrove pestoval tabak a bavlna, ale potom sa tam rýchlo rozmohlo pestovanie cukrovej trstiny, rovnako ako keď ju zasadili v Karibiku.	Tobacco and cotton were grown in the early years, but cane quickly overtook the island, as it did wherever it was planted in the Caribbean.	0.258621
V priebehu jedného storočia došlo k ochudobneniu polí a zníženiu hladiny podzemnej vody.	Within a century the fields were depleted, the water table sapped.	0.444737
Dovtedy už najviac ctižiadostiví plantážnici Barbados opustili. ~~~ Snažili sa nájsť ďalší ostrov, ktorý by mohli využívať.	By then the most ambitious planters had left Barbados in search of the next island to exploit.	0.13319
Do roku 1720 mala Jamajka v pestovaní cukru prvé miesto.	By 1720 Jamaica had captured the sugar crown.	3.89744
Život na týchto ostrovoch bol pre Afričanov peklom.	For an African, life on these islands was hell.	0.2625
V celom Karibiku zomreli milióny ľudí na poliach, v lisovniach alebo pri pokuse o útek.	Throughout the Caribbean millions died in the fields and pressing houses or while trying to escape.	0.255405
Aj obyvatelia Európy začali postupne pociťovať hriech z obchodovania.	Gradually the sin of the trade began to be felt in Europe.	0.2125
Reformátori volali po zrušení obchodovania s cukrom, ženy v domácnosti bojkotovali cukrovú trstinu, ktorú vypestovali otroci.	Reformers preached abolition; housewives boycotted slave- grown cane.	0.0714286
Elizabeth Abbottová v diele Cukor: Sladkohorká história cituje vodcu Kvakerov Williama Foxa, ktorý povedal, že za každý kilogram cukru nás môžu vnímať, ako keby sme skonzumovali 100 gramov ľudského mäsa.	In Sugar:A Bittersweet History Elizabeth Abbott quotes Quaker leader William Fox, who told a crowd that for every pound of sugar, we may be considered as consuming two ounces of human flesh.	0.368649
Otrok v diele Voltaira Candide alebo optimizmus, ktorému chýba ruka a noha, vysvetľuje svoje zmrzačenie takto: Keď sme pracovali v cukrovaroch a naše prsty sa zachytili v mlynskom kameni, odsekli nám ruky. Keď sme sa pokúsili utiecť preč, odsekli nám nohy. Mne sa stali obe veci.	A slave in Voltaire’s Candide, missing both a hand and a leg, explains his mutilation: When we work in the sugar mills and we catch our finger in the millstone, they cut off our hand; when we try to run away, they cut off a leg; both things have happened to me.	0.393536
Za túto cenu jete cukor v Európe.	It is at this price that you eat sugar in Europe.	0.171429
Aj napriek tomu sa jeho rozmach nezastavil.	And yet there was no stopping the boom.	0.254545
Cukor bol ropou tej doby.	Sugar was the oil of its day.	0.272727
Čím viac ste ho ochutnali, tým viac ste ho chceli.	The more you tasted, the more you wanted.	0.24
V roku 1800 skonzumoval priemerný Angličan 2 kg cukru ročne.	In 1700 the average Englishman consumed 4 pounds a year.	0.275
V roku 1800 priemerný muž zjedol 9 kg cukru.	In 1800 the common man ate 18 pounds of sugar.	0.591892
V roku 1870 rovnako maškrtný muž zjedol 21 kg ročne.	In 1870 that same sweet-toothed bloke was eating 47 pounds annually.	0.470455
Uspokojilo ho to?	Was he satisfied?	0.3
Samozrejme, že nie!	Of course not!	0.184615
V roku 1900 stúpla konzumácia cukru na 45 kg ročne.	By 1900 he was up to 100 pounds a year.	0.456598
V priebehu týchto 30 rokov svetová produkcia cukrovej trstiny a repného cukru prudko vzrástla z 2, 8 milióna ton cukru na viac ako 13 miliónov ročne.	In that span of 30 years, world production of cane and beet sugar exploded from 2. 8 million tons a year to 13 million plus.	1.8441
V súčasnosti skonzumuje priemerný Američan ročne 35 kg pridaného cukru alebo viac ako 22 čajových lyžičiek cukru denne.	Today the average American consumes 77 pounds of added sugar annually, or more than 22 teaspoons of added sugar a day.	0.445774
Ak dnes navštívime Barbados, uvidíme, čo tam cukor zanechal: zničené mlyny, ich drevené vrtule, ktoré sa otáčajú vo vetre a označujú čas; ošarpané panské sídla; stúpajúce a klesajúce cesty, z ktorých máme vždy výhľad na more. ~~~ Nájdeme tam aj hotely, v ktorých turistom nalievajú sladké rumové kokteily, tých pár tovární, kde sa cukrová trstina stále dvíha do lisov a surový, lepkavý, sladký cukor klesá dolu šmýkačkou.	If you go to Barbados today, you can see the legacies of sugar: the ruined mills, their wooden blades turning in the wind, marking time; the faded mansions; the roads that rise and fall but never lose sight of the sea; the hotels where the tourists are filled with jam and rum; and those few factories where the cane is still heaved into the presses, and the raw sugar, sticky sweet, is sent down the chutes.	-0.00943114
Keď som stál v rafinérii a okolo mňa pobehovali muži s prilbami na hlave, prečítal som si nápis napísaný rukou: modliaci sa človek úpenlivo prosí Pána Boha, aby ho obdaril múdrosťou, ochraňoval ho a zabezpečil plodine úrodnosť.	Standing in a refinery, as men in hard hats rushed around me, I read a handwritten sign: a prayer beseeching the Lord to grant them the wisdom, protection, and strength to bring in the crop.	0.399788
Vinník	The Culprit	0.128571
Zdá sa, že zakaždým, keď skúmam chorobu a zisťujem príčinu jej vzniku, privedie ma to k cukru.	It seems like every time I study an illness and trace a path to the first cause, I find my way back to sugar.	0.602954
Richard Johnson je nefrológ z Denverskej univerzity v štáte Kolorádo. ~~~ V jeho kancelárii v meste Aurora v Koloráde sme sa rozprávali o tom, ako ulice zapĺňajú obézni ľudia.	Richard Johnson, a nephrologist at the University of Colorado Denver, was talking to me in his office in Aurora, Colorado, the Rockies crowding the horizon.	-0.0157895
Je to muž väčších rozmerov, ktorého oči pri rozprávaní žiaria.	He’s a big man with eyes that sparkle when he talks.	0.223256
Prečo má v súčasnosti jedna tretina dospelých (celosvetovo) vysoký krvný tlak, ak v roku 1900 malo vysoký krvný tlak len 5 % dospelých na celom svete? opýtal sa.	Why is it that one-third of adults[worldwide] have high blood pressure, when in 1900 only 5 percent had high blood pressure? he asked.	1.74159
Prečo malo v roku 1980 cukrovku 153 miliónov ľudí a teraz ju má viac ako 347 miliónov?	Why did 153 million people have diabetes in 1980, and now we’re up to 347 million?	0.639706
Prečo je čím ďalej, tým viac Američanov obéznych?	Why are more and more Americans obese?	0.209091
Som presvedčený, že cukor je jedným z vinníkov, ak nie hlavným.	Sugar, we believe, is one of the culprits, if not the major culprit.	0.283333
Už v roku 1675 zažívala západná Európa prvý rozmach cukru. ~~~ Thomas Willis, lekár a jeden zo zakladateľov britskej Kráľovskej spoločnosti vtedy poznamenal, že moč ľudí trpiacich cukrovkou chutí nádherne (úplne) sladko, ako keby bol napustený medom alebo cukrom.	As far back as 1675, when western Europe was experiencing its first sugar boom, Thomas Willis, a physician and founding member of Britain’s Royal Society, noted that the urine of people afflicted with diabetes tasted wonderfully sweet, as if it were imbued with honey or sugar.	0.10431
O 250 rokov neskôr doktor Haven Emerson z Kolumbijskej univerzity upozornil na to, že výrazné zvýšenie počtu úmrtí v dôsledku cukrovky v období rokov 1900 - 1920 sa časovo zhoduje s nárastom spotreby cukru v týchto rokoch.	Two hundred and fifty years later Haven Emerson at Columbia University pointed out that a remarkable increase in deaths from diabetes between 1900 and 1920 corresponded with an increase in sugar consumption.	0.646687
V 60. rokoch 20. storočia vykonal britský odborník na výživu John Yudkin sériu experimentov na zvieratách a ľuďoch.	And in the 1960s the British nutrition expert John Yudkin conducted a series of experiments on animals and people showing that high amounts of sugar in the diet led to high levels of fat and insulin in the blood—risk factors for heart disease and diabetes.	0.42823
Ukázali, že vysoké množstvo cukru v strave vedie k vysokému podielu inzulínu v krvi a nárastu tuku, ktoré sú rizikovými faktormi pre vznik ochorení srdca a cukrovky. ~~~ Ale Yudkinovu správu zmiatla zo stola skupina ďalších vedcov.	But Yudkin’s message was drowned out by a chorus of other scientists blaming the rising rates of obesity and heart disease instead on cholesterol caused by too much saturated fat in the diet.	0.0321429
Príčinu vysokej úrovne obezity a ochorení srdca videli v cholesterole, ktorý bol spôsobený príliš veľkým podielom nasýtených tukov v strave.		-0.3
V dôsledku toho sa dnes v americkej strave nachádza menší podiel tuku ako pred 20 rokmi.	As a result, fat makes up a smaller portion of the American diet than it did 20 years ago.	2.23707
Napriek tomu sa počet obéznych Američanov zvýšil.	Yet the portion of America that is obese has only grown larger.	0.238636
Johnson spolu s ďalšími odborníkmi tvrdí, že hlavným dôvodom rozšírenia obezity je cukor, a najmä fruktóza.	The primary reason, says Johnson, along with other experts, is sugar, and in particular fructose.	0.267857
Sacharóza alebo stolový cukor, sa skladá z rovnakého množstva glukózy a fruktózy, cukru, ktorý môžete prirodzene nájsť v ovocí.	Sucrose, or table sugar, is composed of equal amounts of glucose and fructose, the latter being the kind of sugar you find naturally in fruit.	0.275455
Práve fruktóza dodáva stolovému cukru jeho lahodnú sladkosť.	It’s also what gives table sugar its yummy sweetness.	0.247826
Vysoko-fruktózový kukuričný sirup, v skratke HFCS, tiež tvorí kombinácia fruktózy a glukózy, v nealkoholických nápojoch sa nachádzajú v pomere okolo 55 % ku 45 %.	(High-fructose corn syrup, or HFCS, is also a mix of fructose and glucose— about 55 percent and 45 percent in soft drinks.	2.01726
Zdá sa, že sacharóza a HFCS majú na zdravie podobný vplyv.	The impact on health of sucrose and HFCS appears to be similar. )	0.519388
