Niekoľko stoviek bobrov nezrekonštruuje Arktídu.	A few hundred beavers won’t reengineer the Arctic.	0.293182
Tento nápad sa stretáva i s kritikou.	The concept has its critics.	0.216
Niektorí vedci popierajú odhady Zimovcov o tom, koľko veľkých zvierat sa potulovalo po Sibíri v období pleistocénu. ~~~ Tvrdia tiež, že ich teória o ekologických zmenách, minulých aj súčasných, je príliš zjednodušená.	Some scientists dispute the Zimovs’ estimates of how many large animals were roaming around Siberia in the Pleistocene, or insist that their theory of ecological change, both past and present, is too simplistic.	-0.005
Väčšina kritiky poukazuje predovšetkým na trúfalosť Zimovcov.	Above all, most criticism seems leveled at the Zimovs’ audacity.	0.3
Max Holmes z inštitúcie Woods Hole, ktorý ich dobre pozná, vidí v ich tvorbe geniálnu iskru.	Max Holmes of Woods Hole, who knows them well, sees a spark of genius in their work.	0.966752
Holmes povedal: Zimovci síce nie sú v centre pozornosti, ale práve mimo nej často vznikajú skvelé nápady a zmeny.	The Zimovs are at the fringe, Holmes said, but that’s often where big ideas and big changes originate.	0.423011
Moderný svet mimo Pleistocénneho parku reagoval na otepľujúcu sa Arktídu nezáujmom.	Outside Pleistocene Park, the modern world has responded to the warming Arctic with complacency.	0.259459
Celé desaťročia sme ignorovali dôkazy o klimatických zmenách a dúfali sme, že sa situácia príliš nezhorší.	We’ve spent decades ignoring the evidence of climate change and hoping that things won’t get too bad.	0.27907
Spoliehame sa na pokrokovú techniku, ktorá sa zdá byť nedosiahnuteľná.	We count on technological advances that seem always just out of reach.	0.29
Konáme tak aj napriek radám vedcov zaoberajúcich sa klímou, najmä odborníkov na permafrost, ktorí tvrdia, že všetko poukazuje na potrebu naliehavých až odvážnych opatrení.	And we do this in spite of the fact that climate scientists—permafrost experts in particular—say all signs point to the need for urgent and even audacious action.	0.273723
Zimovci sú iní. ~~~ Svoj život strávili bojom v nemilosrdnej krajine, ktorá sa nechce poddať.	The Zimovs are different: They’ve spent their lives battling an unforgiving landscape that rewards bullheadedness.	-0.0417722
Pýtajú sa, či je záchrana permafrostu obnovením arktickej stepi naozaj šialenejšia predstava než očakávanie, že ľudia rýchlo zmenia energetický systém sveta.	Is trying to save permafrost by restoring the Arctic steppe, they ask, really so much crazier than counting on humans to quickly retool the world’s energy system?	0.29781
Možno naozaj potrebujeme trochu šialenstva.	Maybe we need a little craziness.	0.186207
Boj proti klimatickým zmenám si vyžaduje viac krokov z rôznych strán.	Fighting climate change needs multiple actions from multiple different fronts, Nikita said.	0.195
Ak ich skombinujeme, budúcnosť nemusí byť celkom mizerná, uviedol Nikita.	Only if we combine them all can we make the future not entirely miserable.	0.285484
Píšem pre deti i dospelých.	I write for children and for adults.	0.2125
Už asi 30 rokov si na živobytie zarábam svojimi slovami, väčšinou tým, že si príbehy vymýšľam a potom ich píšem.	For about 30 years I have been earning my living through my words, mostly by making things up and writing them down.	1.86505
Je teda jasné, že je v mojom záujme, aby ľudia čítali, a aby čítali fikciu, aby fungovali knižnice a knihovníci a pomáhali pestovať lásku k čítaniu a k miestam, kde možno čítať.	It is obviously in my interest for people to read, for them to read fiction, for libraries and librarians to exist and help foster a love of reading and places in which reading can occur.	0.376623
Takže ako spisovateľ som zaujatý.	So I’m biased as a writer.	0.190909
Dnes som tu teda s týmto prejavom pod záštitou Reading Agency: charity, ktorej poslaním je dať každému človeku rovnakú šancu a pomáhať mu stať sa sebavedomým a nadšeným čitateľom.	And I’m here giving this talk tonight, under the auspices of the Reading Agency: a charity whose mission is to give everyone an equal chance in life by helping people become confident and enthusiastic readers.	0.552632
Podporuje literárne programy, knižnice i jednotlivcov a otvorene a úprimne nabáda k čítaniu.	Which supports literacy programs, and libraries and individuals and nakedly and wantonly encourages the act of reading.	0.214815
Pretože, ako sa hovorí, všetko sa mení vtedy, keď čítame.	Because, they tell us, everything changes when we read.	0.29375
Dnes som tu preto, aby som hovoril práve o zmene i čítaní.	And it’s that change, and that act of reading that I’m here to talk about tonight.	0.175
Chcem vám porozprávať o tom, čo čítanie dokáže.	I want to talk about what reading does.	0.227273
A na čo je dobré.	What it’s good for.	0.235714
Raz som si v New Yorku vypočul prednášku o výstavbe súkromných väzníc, ktoré sú v Amerike priemyslom s budúcnosťou.	I was once in New York, and I listened to a talk about the building of private prisons - a huge growth industry in America.	0.443878
Musia však odhadnúť ich rast - koľko ciel budú potrebovať?	The prison industry needs to plan its future growth - how many cells are they going to need?	0.416727
Koľko väzňov budú mať o 15 rokov?	How many prisoners are there going to be, 15 years from now?	4.18929
Zistili, že to veľmi jednoducho dokážu predvídať na základe algoritmu, ktorý je založený na počte 10 a 11-ročných detí, ktoré nevedia čítať.	And they found they could predict it very easily, using a pretty simple algorithm, based on asking what percentage of 10 and 11-year-olds couldn’t read.	1.84272
A už vôbec nečítajú pre potešenie.	And certainly couldn’t read for pleasure.	0.23
Nie je to jedna k jednej: nedá sa povedať, že vzdelaná spoločnosť je bez kriminality.	It’s not one to one: you can’t say that a literate society has no criminality.	0.455192
Ale obe navzájom súvisia.	But there are very real correlations.	0.169565
Myslím, že tie najjednoduchšie súvislosti pochádzajú z niečoho jednoduchého.	And I think some of those correlations, the simplest, come from something very simple.	0.278261
Vzdelaní ľudia čítajú fikciu.	Literate people read fiction.	0.3
Fikcia má dve výhody.	Fiction has two uses.	0.3
Po prvé je vstupnou bránou k čítaniu.	Firstly, it’s a gateway drug to reading.	0.271875
Zvedavosť k tomu, čo sa stane ďalej, túžba otočiť stranu, potreba pokračovať aj napriek zložitosti, pretože niekto má problém a vy potrebujete vedieť, ako sa to skončí toto je skutočnou hnacou silou.	The drive to know what happens next, to want to turn the page, the need to keep going, even if it’s hard, because someone’s in trouble and you have to know how it’s all going to end that’s a very real drive.	0.478225
Núti vás to naučiť sa nové slová, myslieť odlišne, pokračovať.	And it forces you to learn new words, to think new thoughts, to keep going.	0.528283
Zistiť, že čítanie je samo o sebe uspokojivé.	To discover that reading per se is pleasurable.	0.284615
Akonáhle sa toto naučíte, budete chcieť postupne čítať všetko.	Once you learn that, you ’re on the road to reading everything.	0.288679
Práve čítanie je kľúčové.	And reading is key.	0.194118
Pred niekoľkými rokmi sa objavili chýry o tom, že žijeme v postliterárnom svete, v ktorom je chápanie zmyslu slov nadbytočnou schopnosťou. ~~~ Avšak tieto dni sú už minulosťou a slová sú dôležitejšie než kedykoľvek predtým.	There were noises made briefly, a few years ago, about the idea that we were living in a post-literate world, in which the ability to make sense out of written words was somehow redundant, but those days are gone: words are more important than they ever were: we navigate the world with words, and as the world slips onto the web, we need to follow, to communicate and to comprehend what we are reading.	-0.112698
Svet riadime slovami, a ako postupne prechádza k webu, tak ho musíme nasledovať, komunikovať spolu a porozumieť veciam, čo čítame.	People who cannot understand each other cannot exchange ideas, cannot communicate, and translation programs only go so far.	0.285981
Ľudia, ktorí si navzájom nerozumejú, nie sú schopní vymieňať si myšlienky, nevedia komunikovať a prekladateľské programy majú svoje limity.	The simplest way to make sure that we raise literate children is to teach them to read, and to show them that reading is a pleasurable activity.	0.442437
Najjednoduchším spôsobom, ako vychovať gramotné deti, je naučiť ich čítať a ukázať im, že čítanie je príjemná aktivita.	And that means, at its simplest, finding books that they enjoy, giving them access to those books, and letting them read them.	0.291262
Jednoducho nájsť knihy, ktoré ich budú baviť, dať im k týmto knihám prístup a nechať ich čítať.	I don’t think there is such a thing as a bad book for children.	0.329412
Nemyslím si, že pre deti existuje niečo ako zlá kniha. ~~~ Niekedy dospelí poukazujú na podskupinu detských kníh, žáner či autora - a tvrdia, že sú to zlé knihy alebo knihy, ktoré by deti nemali čítať.	Every now and again it becomes fashionable among some adults to point at a subset of children’s books, a genre, perhaps, or an author, and to declare them bad books, books that children should be stopped from reading.	0.0372334
Vidím, ako sa to neustále deje. O Enid Blytonovej tvrdili, že je zlá autorka, takisto aj o R. L. Stinovi a mnohých ďalších.	I’ve seen it happen over and over; Enid Blyton was declared a bad author, so was RL Stine, so were dozens of others.	0.527895
O komiksoch sa hovorilo, že spôsobujú negramotnosť.	Comics have been decried as fostering illiteracy.	0.286364
Je to nezmysel.	It’s tosh.	0.18
Náfukanosť a hlúposť.	It’s snobbery and it’s foolishness.	0.12
Neexistujú zlí autori, deti ich chcú čítať a vyhľadávajú ich, pretože deti sú odlišné.	There are no bad authors for children, that children like and want to read and seek out, because every child is different.	0.186486
Dokážu si nájsť príbehy, ktoré potrebujú a do tých príbehov sa dostať.	They can find the stories they need to, and they bring themselves to stories.	0.275
Otrepaný nápad pre ne nie je otrepaným.	A hackneyed, worn-out idea isn’t hackneyed and worn out to them.	0.114706
Je to prvýkrát, čo sa s ním dieťa stretlo.	This is the first time the child has encountered it.	0.222857
Neodrádzajte deti od čítania len preto, že máte pocit, že čítajú zlú vec.	Do not discourage children from reading because you feel they are reading the wrong thing.	0.227419
CHYBA TEXT ~~~ Nie všetci máme rovnaký vkus.	Fiction you do not like is a route to other books you may prefer.	-0.0648649
Aj dospelí s dobrým úmyslom môžu ľahko zničiť detskú lásku k čítaniu.	And not everyone has the same taste as you.	0.108333
Zastavíte ich v čítaní toho, čo ich baví a dáte im hodnotné, ale nudné knihy, ktoré bavia vás. Takzvané ekvivalenty viktoriánskej vylepšenej literatúry 21. storočia.	Well-meaning adults can easily destroy a child’s love of reading: stop them reading what they enjoy, or give them worthy-but-dull books that you like, the 21st-century equivalents of Victorian improving” literature.	0.322427
Vychováte generáciu, ktorá je presvedčená, že čítanie nie je super, a čo je horšie, že je nepríjemné.	You’ll wind up with a generation convinced that reading is uncool and worse, unpleasant.	0.460526
Potrebujeme, aby sa naše deti dostali na rebrík čítania - knihy, ktorých čítanie ich baví ich posunú ku gramotnosti o stupienok vyššie.	We need our children to get onto the reading ladder: anything that they enjoy reading will move them up, rung by rung, into literacy.	0.289189
(Takisto nerobte to, čo spravil istý autor, keď mala jeho 11-ročná dcéra rada R. L. Stina - išiel, zohnal jej román Carrie od Stephena Kinga a povedal, že ak má rada tie, bude mať rada aj tieto!	(Also, do not do what this author did when his 11-year-old daughter was into RL Stine, which is to go and get a copy of Stephen King’s Carrie, saying if you liked those you’ll love this!	0.367265
Holly čítala počas celej puberty len neškodné príbehy o kolonistoch na stepiach a stále na mňa zazerá, keď sa spomenie meno Stephen King).	Holly read nothing but safe stories of settlers on prairies for the rest of her teenage years, and still glares at me when Stephen King’s name is mentioned).	0.514103
Po druhé, fikcia buduje empatiu.	And the second thing fiction does is to build empathy.	0.124138
Keď sledujete televízor, alebo pozeráte film, ste svedkami vecí, ktoré sa dejú iným ľuďom.	When you watch TV or see a film, you are looking at things happening to other people.	0.465714
Próza je niečo, čo vyskladáte z písmen abecedy a s niekoľkými interpunkčnými znamienkami. Vlastnou predstavivosťou vytvoríte svet a ľudí a pozeráte sa očami iných.	Prose fiction is something you build up from 26 letters and a handful of punctuation marks, and you, and you alone, using your imagination, create a world and people it and look out through other eyes.	0.484681
Pocítite veci, navštívite miesta a svety, ktoré by ste inak nikdy nepoznali.	You get to feel things, visit places and worlds you would never otherwise know.	0.295455
Zistíte, že sa viete stotožniť s každým.	You learn that everyone else out there is a me, as well.	0.205714
Ste niekým iným a do vlastného sveta sa vrátite zmenení.	You’re being someone else, and when you return to your own world, you’re going to be slightly changed.	0.0625
Empatia je nástrojom k budovaniu ľudských komunít. Vďaka nej fungujeme viac ako jednotlivci posadnutí sami sebou.	Empathy is a tool for building people into groups, for allowing us to function as more than self-obsessed individuals.	0.293939
Počas čítania zároveň prichádzate k niečomu zásadnému, vďaka čomu sa v živote nestratíte.	You’re also finding out something as you read vitally important for making your way in the world.	0.284615
Svet nemusí byť takýto.	And it’s this: The world doesn’t have to be like this.	-0.0428571
Veci môžu vyzerať inak.	Things can be different.	0.285714
V roku 2007 som bol v Číne na prvom zhromaždení science fiction a fantasy v čínskej histórii.	I was in China in 2007, at the first party-approved science fiction and fantasy convention in Chinese history.	0.738462
Čo sa zmenilo?	What had changed?	0.230769
Povedal, že to bolo jednoduché.	It’s simple, he told me.	0.2
Číňania boli skvelí vo výrobe vecí, ak im plány poskytli iní.	The Chinese were brilliant at making things if other people brought them the plans.	0.190385
Ale nič nezlepšovali a nič nevynašli.	But they did not innovate and they did not invent.	0.218182
Nemali predstavivosť.	They did not imagine.	0.268421
A tak poslali delegáciu do Spojených štátov. Do spoločností Apple, Microsoft, Google a zisťovali informácie o ľuďoch s invenciou.	So they sent a delegation to the US, to Apple, to Microsoft, to Google, and they asked the people there who were inventing the future about themselves.	0.7125
Zistili, že každý z nich v detstve čítal science fiction.	And they found that all of them had read science fiction when they were boys or girls.	0.438033
Fikcia vám môže ukázať odlišný svet.	Fiction can show you a different world.	0.28125
Môže vás zobrať niekam, kde ste nikdy predtým neboli.	It can take you somewhere you’ve never been.	0.236842
Akonáhle navštívite iným svet, napríklad ten, v ktorom jedia ovocie víl, už nikdy nebudete úplne spokojní so svetom, v ktorom ste vyrastali.	Once you’ve visited other worlds, like those who ate fairy fruit, you can never be entirely content with the world that you grew up in.	0.278571
Nespokojnosť je dobrá vec. Nespokojní ľudia môžu upravovať a zlepšovať svet, meniť ho na lepší a iný.	Discontent is a good thing: discontented people can modify and improve their worlds, leave them better, leave them different.	0.389922
Ešte kým sme pri tejto téme, rád by som povedal aj niečo o eskapistickej literatúre.	And while we’re on the subject, I’d like to say a few words about escapism.	0.256452
Počul som názory, že je zlá.	I hear the term bandied about as if it’s a bad thing.	0.0625
Ako keby bola úniková fikcia lacnou drogou pre zmätených, hlúpych a pochabých, a jediná fikcia, ktorá za niečo stojí, či už pre deti alebo dospelých, je mimetická 1 fikcia, ktorá odráža zo sveta, v ktorom čitateľ žije, to najhoršie.	As if escapist” fiction is a cheap opiate used by the muddled and the foolish and the deluded, and the only fiction that is worthy, for adults or for children, is mimetic fiction, mirroring the worst of the world the reader finds herself in.	0.368846
Ak by ste zostali v bezvýchodiskovej situácii na nepríjemnom mieste s ľuďmi, ktorí by vám chceli uškodiť a niekto by vám ponúkol dočasný únik, neprijali by ste ho?	If you were trapped in an impossible situation, in an unpleasant place, with people who meant you ill, and someone offered you a temporary escape, why wouldn’t you take it?	0.38812
A úniková fikcia je práva o tom. ~~~ Je to fikcia, ktorá vám otvára dvere, ukazuje slnečné svetlo, ponúka miesto vo vedení a s ľuďmi, s ktorými chcete byť (a knihy sú skutočnými miestami, nemýľte si to). ~~~ A čo je dôležitejšie, počas vášho úteku vás knihy môžu poučiť o svete a vašej zlej situácii, dať vám zbrane a brnenie: reálne veci, ktoré si môžete vziať do svojej situácie.	And escapist fiction is just that: fiction that opens a door, shows the sunlight outside, gives you a place to go where you are in control, are with people you want to be with(and books are real places, make no mistake about that); and more importantly, during your escape, books can also give you knowledge about the world and your predicament, give you weapons, give you armour: real things you can take back into your prison.	-0.0621479
Zručnosti a vedomosti, ktoré môžete použiť na skutočný útek.	Skills and knowledge and tools you can use to escape for real.	0.294231
Ako by nám pripomenul J. R. R. Tolkien: Jediní ľudia, ktorí sú proti úteku sú väznitelia.	As JRR Tolkien reminded us, the only people who inveigh against escape are jailers.	0.283099
Ja som mal šťastie.	I was lucky.	0.136364
Keď som bol dieťa, mali sme vynikajúcu miestnu knižnicu.	I had an excellent local library growing up.	0.213158
Mojich rodičov som presvedčil, aby ma pri nej počas letných prázdnin cestou do práce vysadili. ~~~ A knihovníkom malý chlapec bez rodičov, čo každé ráno zamieril do detskej časti knižnice a listoval si v katalógu, hľadajúc knihy o duchoch, mágii alebo raketách, o upíroch, detektívoch, čarodejniciach či zázrakoch, neprekážal.	I had the kind of parents who could be persuaded to drop me off in the library on their way to work in summer holidays, and the kind of librarians who did not mind a small, unaccompanied boy heading back into the children’s library every morning and working his way through the card catalogue, looking for books with ghosts or magic or rockets in them, looking for vampires or detectives or witches or wonders.	-0.0323741
Akonáhle som prestal čítať detské knihy, začal som s tými pre dospelých.	And when I had finished reading the children’s’ library I began on the adult books.	0.26129
Boli to dobrí knihovníci.	They were good librarians.	0.286957
Mali radi knihy a mali radi, keď sa knihy čítali.	They liked books and they liked the books being read.	0.270732
Naučili ma, ako si objednať knihy z iných knižníc cez medziknižničné výpožičky.	They taught me how to order books from other libraries on inter-library loans.	0.291045
Nepovyšovali sa nad ničím, čo som čítal.	They had no snobbery about anything I read.	0.282857
Boli spokojní, že je tam malý chlapec s veľkými očami, ktorý rád číta. ~~~ Rozprávali sa so mnou o tom, čo som čítali a hľadali mi ďalšie knihy zo sérií. Pomáhali mi.	They just seemed to like that there was this wide-eyed little boy who loved to read, and would talk to me about the books I was reading, they would find me other books in a series, they would help.	-0.0277778
Správali sa ku mne ako k čitateľovi - nič viac, nič menej - čo znamenalo, že ma rešpektovali.	They treated me as another reader - nothing less or more - which meant they treated me with respect.	0.592413
Keď som mal osem, na rešpekt som nebol zvyknutý.	I was not used to being treated with respect as an eight- year-old.	0.190244
Sú o vzdelaní (o procese, ktorý nekončí absolvovaním školy alebo univerzity), o zábave, o bezpečných miestach a o prístupe k informáciám.	They are about education (which is not a process that finishes the day we leave school or university), about entertainment, about making safe spaces, and about access to information.	0.342296
Obávam sa, že v 21. storočí ľudia nerozumejú podstate knižníc.	I worry that here in the 21st century people misunderstand what libraries are and the purpose of them.	0.122222
Ak vnímate knižnicu ako police plné kníh, tak to môže vo svete, v ktorom sú takmer všetky knihy digitálne, znieť zastarane či staromódne.	If you perceive a library as a shelf of books, it may seem antiquated or outdated in a world in which most, but not all, books in print exist digitally.	0.27931
Ale to len tak na okraj.	But that is to miss the point fundamentally.	0.458571
Myslím si, že dôležitá je podstata informácie.	I think it has to do with nature of information.	0.2925
Informácia má hodnotu a správna informácia má ešte väčšiu hodnotu.	Information has value, and the right information has enormous value.	0.289655
Počas celej histórie ľudstva sme nemali dostatok informácií. ~~~ Vždy bolo potrebné, aby ich ľudia mali, a aby za niečo stáli: kde zasadiť plodiny, kde nájsť veci, mapy, opísať dejiny a príbehy - informácie boli vždy užitočné pri získaní jedla, pre spoločnosť.	For all of human history, we have lived in a time of information scarcity, and having the needed information was always important, and always worth something: when to plant crops, where to find things, maps and histories and stories - they were always good for a meal and company.	0.0692432
Boli to hodnotné veci a tí, ktorí ich mali, alebo si ich vedeli zohnať, si mohli za služby pýtať peniaze.	Information was a valuable thing, and those who had it or could obtain it could charge for that service.	0.45
Za posledné roky sme sa preorientovali z ekonomiky nedostatku informácií na ekonomiku poháňanú nadbytočnými informáciami.	In the last few years, we’ve moved from an information-scarce economy to one driven by an information glut.	0.243956
Podľa Erica Schmidta zo spoločnosti Google v súčasnosti ľudia vytvárajú každé dva dni toľko informácií, koľko ich vytvorili od vzniku civilizácie až do roku 2003.	According to Eric Schmidt of Google, every two days now the human race creates as much information as we did from the dawn of civilisation until 2003.	0.381785
Aby sme boli presní, tak približne päť exabajtov dát denne.	That’s about five exobytes of data a day, for those of you keeping score.	0.241176
Výzvou už teda nie je nájsť vzácnu rastlinu, ktorá rastie na púšti, ale nájsť špecifickú rastlinu, ktorá rastie v džungli.	The challenge becomes, not finding that scarce plant growing in the desert, but finding a specific plant growing in a jungle.	0.294231
Budeme potrebovať pomoc s manévrovaním s danou informáciou, aby sme sa dopátrali k veci, ktorú skutočne potrebujeme.	We are going to need help navigating that information to find the thing we actually need.	0.196
Knižnice sú miestami, kam ľudia chodia po informácie.	Libraries are places that people go to for information.	0.293617
Knihy sú len vrcholom informačného ľadovca. ~~~ Knižnice stále existujú a knihy poskytujú legálne a zadarmo.	Books are only the tip of the information iceberg: they are there, and libraries can provide you freely and legally with books.	-0.0225806
Dnes si požičiava knihy z knižníc viac detí ako kedykoľvek predtým. ~~~ Sú to knihy každého druhu: papierové, digitálne, a aj audioknihy.	More children are borrowing books from libraries than ever before - books of all kinds: paper and digital and audio.	-0.027551
Knižnice sú však aj miestami pre ľudí, ktorí nemajú počítač či internet, pretože môžu byť online bez akéhokoľvek poplatku. ~~~ A to je veľmi dôležité, keďže sa hľadanie práce, uchádzanie o prácu alebo sociálne dávky presúva len do online priestoru.	But libraries are also, for example, places that people, who may not have computers, who may not have internet connections, can go online without paying anything: hugely important when the way you find out about jobs, apply for jobs or apply for benefits is increasingly migrating exclusively online.	0.0391319
Knihovníci pomáhajú ľuďom zorientovať sa v tom svete.	Librarians can help these people navigate that world.	0.3
Nemyslím si, že všetky knihy sa presunú alebo by sa mali presunúť na obrazovky. ~~~ Pred viac ako 20 rokmi, po objavení čítačky Kindle, mi Douglas Adams povedal, že fyzická kniha je ako žralok.	I do not believe that all books will or should migrate onto screens: as Douglas Adams once pointed out to me, more than 20 years before the Kindle turned up, a physical book is like a shark.	0.872283
Žraloky sú staré - v oceánoch existovali už pred dinosaurami.	Sharks are old: there were sharks in the ocean before the dinosaurs.	0.271698
